Date,High,Low,Open,Close,Adj Close,Volume
2020-07-23,17.5,17.5,17.5,17.5,9.922,88000.0
2020-07-24,20.1,20.1,20.1,20.1,11.397,145600.0
2020-07-27,23.1,23.1,23.1,23.1,13.098,456200.0
2020-07-28,26.5,23.3,23.6,26.5,15.025,357600.0
2020-07-29,29.2,21.7,29.2,25.5,14.458,197100.0
2020-07-30,25.1,21.6,25.1,22.0,12.474,89000.0
2020-07-31,23.4,22.0,22.9,22.0,12.474,42000.0
2020-08-03,23.4,22.0,22.6,23.2,13.154,53800.0
2020-08-04,25.0,23.0,23.0,24.9,14.118,77700.0
2020-08-05,27.8,24.4,24.4,27.8,15.762,226091.0
2020-08-06,31.0,27.6,30.0,31.0,17.577,145300.0
2020-08-07,35.4,26.3,34.0,34.2,19.391,437300.0
2020-08-10,31.7,27.2,31.7,27.2,15.422,75200.0
2020-08-11,28.6,24.3,24.7,24.3,13.778,81600.0
2020-08-12,23.3,21.0,21.5,22.1,12.531,667800.0
2020-08-13,24.4,22.0,22.0,24.4,13.835,329100.0
2020-08-14,27.2,24.2,24.2,27.2,15.422,357500.0
2020-08-17,30.3,22.5,27.0,22.5,12.757,1878291.0
2020-08-18,24.7,21.9,23.0,24.6,13.948,293011.0
2020-08-19,25.0,19.3,22.7,22.5,12.757,631500.0
2020-08-20,22.8,18.7,22.3,19.3,10.943,308680.0
2020-08-21,20.6,17.6,18.0,17.6,9.979,385110.0
2020-08-24,21.3,15.9,18.6,18.9,10.716,967366.0
2020-08-25,20.6,15.9,18.9,17.1,9.696,614056.0
2020-08-26,19.6,15.3,17.0,16.7,9.469,359010.0
2020-08-27,16.5,14.5,16.5,14.5,8.221,132850.0
2020-08-28,14.0,12.7,14.0,12.7,7.201,325603.0
2020-08-31,11.7,10.8,11.2,10.8,6.124,192133.0
2020-09-01,12.5,9.3,10.5,10.3,5.84,1666610.0
2020-09-03,11.5,9.2,10.8,9.5,5.386,257730.0
2020-09-04,9.5,8.0,9.5,9.0,5.103,77055.0
2020-09-07,9.4,8.5,8.9,9.0,5.103,275111.0
2020-09-08,9.5,8.5,8.9,9.2,5.216,255900.0
2020-09-09,9.5,8.8,9.2,9.2,5.216,281112.0
2020-09-10,10.5,8.0,9.5,8.0,4.536,973831.0
2020-09-11,9.4,7.8,8.5,8.1,4.593,433010.0
2020-09-14,8.6,7.9,8.3,8.3,4.706,97701.0
2020-09-15,8.2,7.8,8.2,7.8,4.423,146028.0
2020-09-16,7.9,7.4,7.9,7.4,4.196,92810.0
2020-09-17,7.4,6.8,7.3,6.8,3.856,191910.0
2020-09-18,7.0,6.5,7.0,6.7,3.799,85299.0
2020-09-21,7.7,6.6,6.6,7.7,4.366,849835.0
2020-09-22,8.7,7.7,7.8,8.3,4.706,536400.0
2020-09-23,8.5,7.8,8.3,7.8,4.423,103509.0
2020-09-24,8.0,7.0,7.8,7.7,4.366,88953.0
2020-09-25,8.0,7.5,7.5,7.5,4.252,95366.0
2020-09-28,8.6,7.5,7.7,8.0,4.536,625094.0
2020-09-29,8.5,7.0,8.1,7.3,4.139,1337551.0
2020-09-30,7.5,6.9,7.5,7.2,4.082,40746.0
2020-10-01,7.3,6.9,7.1,7.2,4.082,177030.0
2020-10-02,7.1,6.8,6.8,7.0,3.969,239950.0
2020-10-05,7.2,6.9,7.0,7.1,4.026,239720.0
2020-10-06,7.1,6.8,6.9,6.9,3.912,98120.0
2020-10-07,7.1,6.8,7.0,7.0,3.969,102195.0
2020-10-08,7.9,6.9,7.8,7.0,3.969,78545.0
2020-10-09,7.1,6.6,6.9,6.8,3.856,169500.0
2020-10-12,6.9,6.7,6.9,6.8,3.856,121500.0
2020-10-13,7.4,6.7,6.9,7.2,4.082,339055.0
2020-10-14,7.2,6.9,7.2,7.1,4.026,71217.0
2020-10-15,7.0,6.8,7.0,7.0,3.969,101500.0
2020-10-16,7.2,6.4,7.1,6.7,3.799,276308.0
2020-10-19,7.0,6.7,6.8,6.8,3.856,56700.0
2020-10-20,6.9,6.7,6.8,6.8,3.856,132085.0
2020-10-21,6.8,6.7,6.8,6.8,3.856,61521.0
2020-10-22,6.9,6.7,6.8,6.8,3.856,65830.0
2020-10-23,7.1,6.6,6.9,6.9,3.912,1134314.0
2020-10-26,7.2,6.6,7.0,6.9,3.912,1208130.0
2020-10-27,7.0,6.6,6.9,6.7,3.799,172150.0
2020-10-28,6.7,6.4,6.6,6.5,3.685,277660.0
2020-10-29,6.5,6.1,6.5,6.1,3.459,296600.0
2020-10-30,6.2,5.9,6.2,6.0,3.402,248100.0
2020-11-02,6.5,5.9,6.0,6.3,3.572,245405.0
2020-11-03,6.3,6.0,6.3,6.1,3.459,142600.0
2020-11-04,6.3,6.0,6.1,6.2,3.515,105000.0
2020-11-05,6.2,6.0,6.1,6.0,3.402,286420.0
2020-11-06,6.1,6.0,6.0,6.1,3.459,99700.0
2020-11-09,6.1,6.0,6.0,6.0,3.402,134620.0
2020-11-10,6.1,6.0,6.1,6.0,3.402,194406.0
2020-11-11,6.0,5.8,6.0,5.9,3.345,131047.0
2020-11-12,5.9,5.7,5.9,5.8,3.289,249600.0
