Date,High,Low,Open,Close,Adj Close,Volume
2018-06-25,15.8,15.8,15.8,15.8,10.427,362000.0
2018-06-26,17.3,16.0,17.3,17.3,11.416,800200.0
2018-06-27,19.0,16.5,19.0,16.5,10.889,532700.0
2018-06-28,16.8,16.5,16.5,16.6,10.954,210300.0
2018-06-29,16.8,16.5,16.6,16.7,11.02,108100.0
2018-07-02,16.8,16.1,16.7,16.7,11.02,129000.0
2018-07-03,16.8,16.5,16.6,16.6,10.954,98800.0
2018-07-04,16.7,16.5,16.6,16.5,10.889,80500.0
2018-07-05,16.7,16.4,16.5,16.5,10.889,144700.0
2018-07-06,16.8,16.4,16.5,16.7,11.02,232100.0
2018-07-09,16.9,16.5,16.7,16.7,11.02,248300.0
2018-07-10,16.8,16.5,16.7,16.6,10.954,151100.0
2018-07-11,16.7,16.3,16.6,16.6,10.954,82500.0
2018-07-12,18.2,16.5,16.6,18.2,12.009,518100.0
2018-07-13,20.0,18.2,18.2,20.0,13.198,482500.0
2018-07-16,22.0,20.0,20.0,22.0,14.517,479500.0
2018-07-17,22.2,21.5,22.1,22.1,14.584,103000.0
2018-07-18,22.6,21.6,22.1,22.6,14.913,79800.0
2018-07-19,22.8,22.4,22.7,22.7,14.979,64300.0
2018-07-20,22.7,22.0,22.7,22.2,14.65,62800.0
2018-07-23,22.6,22.0,22.3,22.4,14.782,61600.0
2018-07-24,22.5,21.4,22.5,21.4,14.122,58400.0
2018-07-25,21.6,21.0,21.5,21.0,13.857,68600.0
2018-07-26,21.2,20.6,20.9,21.1,13.924,64000.0
2018-07-27,21.6,21.0,21.0,21.4,14.122,67100.0
2018-07-30,21.6,21.3,21.5,21.3,14.055,42100.0
2018-07-31,21.8,21.3,21.4,21.6,14.254,50300.0
2018-08-01,21.9,21.0,21.7,21.0,13.857,62700.0
2018-08-02,21.5,20.4,21.1,20.9,13.791,140600.0
2018-08-03,22.0,20.8,21.0,21.9,14.452,150400.0
2018-08-06,22.6,20.7,21.5,22.4,14.782,176800.0
2018-08-07,22.7,21.5,22.3,22.6,14.913,118000.0
2018-08-08,22.8,22.0,22.6,22.2,14.65,98900.0
2018-08-09,24.4,21.6,22.1,24.4,16.102,443400.0
2018-08-10,26.8,26.4,26.4,26.8,17.684,216700.0
2018-08-13,29.4,29.0,29.0,29.4,19.401,161900.0
2018-08-14,30.5,26.5,29.9,29.4,19.401,397900.0
2018-08-15,32.3,26.7,29.4,32.3,21.314,658500.0
2018-08-16,34.1,29.1,33.0,31.2,20.589,777300.0
2018-08-17,32.0,28.1,31.2,30.2,19.929,577000.0
2018-08-20,30.2,27.2,30.2,27.5,18.146,354600.0
2018-08-21,27.5,24.8,27.5,24.8,16.364,318700.0
2018-08-22,24.8,22.4,24.8,22.4,14.782,69200.0
2018-08-23,21.0,20.2,20.2,20.3,13.396,386700.0
2018-08-24,21.7,18.3,20.3,21.7,14.319,343600.0
2018-08-27,21.8,19.6,21.7,21.5,14.188,274000.0
2018-08-28,21.5,19.4,21.5,21.0,13.857,147800.0
2018-08-29,21.0,18.9,21.0,19.8,13.065,160300.0
2018-08-30,19.5,17.9,19.5,17.9,11.812,167600.0
2018-08-31,17.5,16.2,17.0,16.2,10.691,88300.0
2018-09-04,15.9,14.6,15.0,15.3,10.096,544400.0
2018-09-05,16.8,15.3,15.3,16.8,11.086,409000.0
2018-09-06,18.4,17.2,17.7,18.4,12.142,428100.0
2018-09-07,19.9,16.6,19.9,16.6,10.954,109400.0
2018-09-10,16.0,15.0,16.0,15.0,9.897,534100.0
2018-09-11,15.9,13.5,15.9,14.7,9.7,114100.0
2018-09-12,16.1,13.3,14.9,16.1,10.624,341900.0
2018-09-13,16.1,14.5,16.0,15.4,10.162,170400.0
2018-09-14,15.0,13.9,15.0,14.3,9.436,499660.0
2018-09-17,14.2,12.9,14.2,14.0,9.238,642230.0
2018-09-18,13.8,12.6,13.8,12.9,8.513,222800.0
2018-09-19,12.9,11.9,12.6,12.3,8.116,101210.0
2018-09-20,12.9,12.0,12.0,12.6,8.314,57700.0
2018-09-21,12.9,12.3,12.6,12.8,8.447,56000.0
2018-09-24,12.9,12.3,12.8,12.4,8.183,38700.0
2018-09-25,13.6,12.0,12.6,13.6,8.974,433800.0
2018-09-26,14.9,13.6,13.6,14.7,9.7,304590.0
2018-09-27,15.1,14.0,14.7,14.3,9.436,85660.0
2018-09-28,15.0,13.2,13.9,14.6,9.635,323220.0
2018-10-01,14.9,13.2,14.8,13.8,9.107,285200.0
2018-10-02,13.8,12.5,13.2,13.2,8.71,407825.0
2018-10-03,13.4,11.9,13.0,13.2,8.71,490910.0
2018-10-04,11.9,11.2,11.9,11.5,8.71,52600.0
2018-10-05,12.0,11.0,11.2,12.0,9.089,115500.0
2018-10-08,11.7,10.8,11.7,11.5,8.71,1685030.0
2018-10-09,11.7,11.2,11.5,11.7,8.861,175520.0
2018-10-10,11.7,11.0,11.5,11.5,8.71,21600.0
2018-10-11,10.9,10.4,10.5,10.4,7.877,168200.0
2018-10-12,10.7,9.4,10.4,10.7,8.105,455250.0
2018-10-15,10.8,10.0,10.8,10.2,7.726,44200.0
2018-10-16,10.5,10.3,10.4,10.4,7.877,38000.0
2018-10-17,10.5,10.1,10.5,10.4,7.877,46400.0
2018-10-18,10.4,9.9,10.4,10.4,7.877,50300.0
2018-10-19,10.4,9.9,10.1,10.4,7.877,53910.0
2018-10-22,10.5,10.2,10.4,10.4,7.877,82000.0
2018-10-23,10.4,10.0,10.4,10.4,7.877,75300.0
2018-10-24,10.3,10.0,10.1,10.3,7.801,40200.0
2018-10-25,10.3,9.7,10.0,10.3,7.801,34975.0
2018-10-26,10.4,9.9,10.3,10.3,7.801,45600.0
2018-10-29,10.2,9.8,10.0,10.0,7.574,38200.0
2018-10-30,10.3,9.7,10.0,9.9,7.499,133400.0
2018-10-31,10.1,9.6,9.8,9.9,7.499,117400.0
2018-11-01,10.0,9.3,9.9,9.4,7.12,30200.0
2018-11-02,10.3,9.2,9.5,10.3,7.801,243430.0
2018-11-05,10.5,10.2,10.2,10.4,7.877,52220.0
2018-11-06,10.4,10.1,10.4,10.4,7.877,102840.0
2018-11-07,10.3,10.1,10.3,10.3,7.801,24700.0
2018-11-08,10.5,10.3,10.3,10.5,7.953,91375.0
2018-11-09,10.6,10.3,10.5,10.5,7.953,86150.0
2018-11-12,10.5,10.3,10.5,10.5,7.953,28480.0
2018-11-13,10.5,10.2,10.4,10.5,7.953,50000.0
2018-11-14,11.4,10.3,10.4,11.2,8.484,752955.0
2018-11-15,11.5,11.1,11.2,11.2,8.484,257910.0
2018-11-16,11.5,11.3,11.4,11.4,8.635,104020.0
2018-11-19,12.5,10.4,11.4,11.2,8.484,173400.0
2018-11-20,11.1,10.5,11.1,11.0,8.331,191200.0
2018-11-21,10.9,10.5,10.9,10.8,8.18,64710.0
2018-11-22,10.7,10.5,10.7,10.6,8.029,90058.0
2018-11-23,10.6,10.2,10.5,10.5,7.953,147005.0
2018-11-26,10.5,10.3,10.4,10.5,7.953,34275.0
2018-11-27,10.4,9.8,10.4,10.3,7.801,190035.0
2018-11-28,10.6,10.1,10.2,10.6,8.029,63595.0
2018-11-29,10.5,10.2,10.3,10.2,7.726,22182.0
2018-11-30,10.4,10.2,10.2,10.4,7.877,6405.0
2018-12-03,10.4,9.9,10.2,10.4,7.877,43160.0
2018-12-04,10.5,10.2,10.4,10.4,7.877,29102.0
2018-12-05,10.4,10.2,10.2,10.3,7.801,6730.0
2018-12-06,10.3,9.9,10.2,10.3,7.801,106190.0
2018-12-07,10.2,10.0,10.2,10.2,7.726,34255.0
2018-12-10,10.1,9.9,9.9,10.1,7.65,5850.0
2018-12-11,10.2,10.0,10.1,10.1,7.65,7705.0
2018-12-12,10.2,9.1,9.7,10.0,7.574,29225.0
2018-12-13,10.2,9.8,9.9,10.2,7.726,69345.0
2018-12-14,10.3,10.1,10.2,10.3,7.801,56240.0
2018-12-17,10.3,9.8,10.2,10.3,7.801,52475.0
2018-12-18,10.2,9.8,9.9,10.2,7.726,39000.0
2018-12-19,10.2,9.9,10.0,10.2,7.726,89867.0
2018-12-20,10.2,10.0,10.0,10.2,7.726,48462.0
2018-12-21,10.2,10.0,10.0,10.2,7.726,20550.0
2018-12-24,10.2,10.0,10.1,10.1,7.65,19580.0
2018-12-25,10.1,9.9,10.0,10.1,7.65,45020.0
2018-12-26,10.1,9.9,10.1,10.1,7.65,11260.0
2018-12-27,10.2,9.9,10.0,10.2,7.726,64235.0
2018-12-28,10.2,9.9,9.9,10.2,7.726,17056.0
2019-01-02,10.2,9.9,10.2,10.1,7.65,35295.0
2019-01-03,10.0,9.7,10.0,10.0,7.574,23715.0
2019-01-04,10.1,9.8,9.8,10.1,7.65,61700.0
2019-01-07,10.1,10.0,10.1,10.0,7.574,4856.0
2019-01-08,10.1,9.9,10.0,10.0,7.574,26115.0
2019-01-09,10.0,9.9,10.0,10.0,7.574,19115.0
2019-01-10,10.0,9.9,10.0,10.0,7.574,10690.0
2019-01-11,9.9,9.5,9.9,9.9,7.499,31690.0
2019-01-14,9.8,9.6,9.6,9.8,7.422,8720.0
2019-01-15,9.8,9.5,9.8,9.5,7.196,31177.0
2019-01-16,9.7,9.6,9.7,9.6,7.271,37770.0
2019-01-17,10.5,9.6,9.6,10.1,7.65,652945.0
2019-01-18,10.5,10.0,10.2,10.2,7.726,366200.0
2019-01-21,10.3,10.0,10.2,10.2,7.726,202310.0
2019-01-22,10.2,9.7,10.2,10.0,7.574,193800.0
