Date,High,Low,Open,Close,Adj Close,Volume
2020-12-28,16.0,13.3,15.5,13.4,8.208,3124600.0
2020-12-29,14.1,13.5,13.8,13.5,8.268,1886191.0
2020-12-30,14.0,13.5,13.9,13.6,8.329,1396514.0
2020-12-31,13.6,13.3,13.6,13.5,8.268,1188032.0
2021-01-04,13.6,13.1,13.5,13.1,8.024,1668474.0
2021-01-05,13.3,12.5,13.3,13.2,8.085,2694485.0
2021-01-06,13.9,13.0,13.0,13.6,8.329,1600793.0
2021-01-07,13.8,13.4,13.6,13.5,8.268,1282512.0
2021-01-08,13.8,13.5,13.6,13.7,8.391,1895056.0
2021-01-11,13.8,13.6,13.7,13.7,8.391,1430979.0
2021-01-12,13.8,13.4,13.7,13.6,8.329,1199367.0
2021-01-13,13.8,13.4,13.6,13.5,8.268,1344451.0
2021-01-14,13.6,13.4,13.5,13.6,8.329,1011050.0
2021-01-15,14.2,13.5,13.5,14.1,8.637,3513332.0
2021-01-18,14.7,14.1,14.1,14.3,8.758,1699857.0
2021-01-19,14.5,13.0,14.4,13.5,8.268,1669363.0
2021-01-20,13.7,12.5,13.5,13.4,8.208,1809537.0
2021-01-21,13.7,13.3,13.5,13.7,8.391,968994.0
2021-01-22,13.9,13.4,13.7,13.5,8.268,768123.0
2021-01-25,13.5,13.1,13.5,13.3,8.146,634245.0
2021-01-26,13.3,12.5,13.3,12.6,7.717,1887092.0
2021-01-27,13.0,12.3,12.7,12.4,7.595,795936.0
2021-01-28,12.4,10.7,12.3,10.8,6.615,3779320.0
2021-01-29,12.1,10.5,10.7,12.0,7.35,864558.0
2021-02-01,12.3,11.5,12.0,11.6,7.104,427872.0
2021-02-02,12.0,11.2,11.8,11.9,7.289,1788081.0
2021-02-03,12.4,11.7,11.8,12.3,7.533,957886.0
2021-02-04,12.6,12.0,12.3,12.5,7.656,1986722.0
2021-02-05,12.8,12.3,12.4,12.8,7.839,1295769.0
2021-02-08,12.9,12.2,12.7,12.7,7.778,1463214.0
2021-02-09,12.7,12.4,12.5,12.7,7.778,628355.0
2021-02-17,12.8,12.5,12.7,12.8,7.839,2926458.0
2021-02-18,13.2,12.7,12.8,13.0,7.963,852997.0
2021-02-19,13.2,12.9,13.1,13.0,7.963,541969.0
2021-02-22,13.1,12.9,13.0,12.9,7.901,729909.0
2021-02-23,12.9,12.7,12.9,12.9,7.901,605861.0
2021-02-24,13.0,12.7,12.9,12.8,7.839,655957.0
2021-02-25,12.9,12.7,12.9,12.7,7.778,372620.0
2021-02-26,12.8,12.6,12.7,12.7,7.778,679000.0
2021-03-01,12.9,12.7,12.7,12.8,7.839,1004444.0
2021-03-02,13.0,12.8,13.0,12.8,7.839,1097250.0
2021-03-03,12.9,12.7,12.9,12.8,7.839,1338919.0
2021-03-04,13.2,12.8,12.8,13.0,7.963,2346474.0
2021-03-05,13.1,12.8,13.0,12.9,7.901,1283697.0
2021-03-08,13.2,12.9,13.0,13.1,8.024,2594485.0
2021-03-09,14.2,13.1,13.1,14.0,8.575,6415601.0
2021-03-10,14.5,13.8,14.1,14.1,8.637,2289910.0
2021-03-11,14.3,13.8,14.2,13.9,8.514,2180547.0
2021-03-12,14.1,13.8,13.8,14.0,8.575,2372801.0
2021-03-15,14.1,13.9,14.0,14.1,8.637,2448443.0
2021-03-16,14.6,14.0,14.1,14.6,8.942,6346277.0
2021-03-17,15.3,14.5,14.5,15.0,9.187,4548460.0
2021-03-18,15.3,14.8,15.0,15.0,9.187,3639299.0
2021-03-19,15.0,14.6,15.0,14.8,9.065,3632585.0
2021-03-22,14.8,14.5,14.7,14.6,8.942,2044043.0
2021-03-23,14.7,14.2,14.6,14.5,8.881,2299036.0
2021-03-24,14.3,13.6,14.3,14.0,8.575,2921161.0
2021-03-25,14.2,13.8,14.0,14.0,8.575,1734031.0
2021-03-26,14.0,13.4,14.0,14.0,8.575,1565814.0
2021-03-29,14.4,13.9,14.0,14.3,8.758,1616109.0
2021-03-30,14.7,14.3,14.5,14.5,8.881,3520350.0
2021-03-31,14.9,14.6,14.8,14.6,8.942,3160686.0
2021-04-01,15.0,14.3,14.8,14.9,9.126,6379211.0
2021-04-02,16.5,14.9,14.9,16.1,9.862,8148379.0
2021-04-05,17.5,16.0,16.2,17.2,10.535,6477154.0
2021-04-06,17.5,16.5,17.4,16.9,10.351,4994357.0
2021-04-07,18.0,16.7,17.1,17.6,10.779,6305788.0
2021-04-08,20.2,17.6,20.2,17.9,10.963,7216754.0
2021-04-09,20.0,17.5,18.0,17.8,10.902,3097478.0
2021-04-12,18.5,17.8,17.8,18.4,11.27,6079610.0
2021-04-13,18.6,17.4,18.5,17.7,10.84,5918919.0
2021-04-14,17.9,17.3,17.9,17.9,10.963,3147210.0
2021-04-15,18.0,17.5,17.8,17.6,10.779,2956922.0
2021-04-16,17.7,16.4,17.7,17.0,10.412,6027301.0
2021-04-19,17.3,16.5,17.1,17.2,10.535,1752980.0
2021-04-20,17.6,16.9,17.5,17.1,10.474,2242837.0
2021-04-22,17.2,16.3,17.1,16.4,10.045,2855735.0
2021-04-23,16.9,16.0,16.4,16.7,10.228,3079570.0
2021-04-26,17.0,16.0,16.5,16.2,9.923,2083817.0
2021-04-27,16.4,16.0,16.3,16.3,9.983,1122140.0
2021-04-28,16.8,16.2,16.3,16.7,10.228,1867030.0
2021-04-29,17.2,16.7,16.7,17.1,10.474,3091510.0
2021-05-04,17.2,16.3,16.5,17.0,10.412,2519480.0
2021-05-05,17.5,16.9,16.9,17.3,10.596,3356560.0
2021-05-06,18.2,17.0,17.2,18.0,11.025,9123091.0
2021-05-07,18.2,17.5,17.9,17.8,10.902,5115141.0
2021-05-10,18.4,17.5,17.8,18.1,11.086,5881726.0
2021-05-11,18.3,17.8,18.1,17.8,10.902,3986339.0
2021-05-12,18.0,17.6,17.9,17.9,10.963,3235146.0
2021-05-13,18.3,17.7,17.9,18.0,11.025,4826484.0
2021-05-14,19.1,18.0,18.0,18.8,11.515,6584869.0
2021-05-17,19.0,18.3,18.7,18.5,11.331,3731120.0
2021-05-18,18.6,18.0,18.5,18.3,11.208,3279691.0
2021-05-19,18.5,18.1,18.3,18.5,11.331,3022172.0
2021-05-20,19.4,18.3,18.4,19.1,11.699,6307742.0
2021-05-21,19.9,19.0,19.1,19.5,11.944,5010102.0
2021-05-24,19.7,19.2,19.7,19.4,11.882,3551158.0
2021-05-25,19.8,19.2,19.4,19.6,12.005,4302393.0
2021-05-26,20.4,19.5,19.5,20.0,12.25,5979051.0
2021-05-27,22.5,20.0,20.2,21.5,13.169,10970976.0
2021-05-28,22.9,21.2,21.5,22.7,13.903,8030163.0
2021-05-31,25.5,22.2,22.7,25.0,15.312,12708209.0
2021-06-01,25.8,23.5,25.5,24.4,14.945,11380879.0
2021-06-02,24.4,23.0,24.4,23.6,14.455,8133179.0
2021-06-03,25.7,23.3,23.6,25.0,15.312,8006045.0
2021-06-04,25.9,24.3,24.8,24.7,15.128,5990691.0
2021-06-07,24.9,22.7,24.8,23.0,14.087,6443115.0
2021-06-08,23.5,20.9,22.9,21.2,12.985,6273536.0
2021-06-09,22.7,20.3,21.0,22.0,13.474,5587021.0
2021-06-10,22.3,21.1,22.0,21.3,13.046,3337254.0
2021-06-11,23.1,21.3,21.3,22.5,13.781,3141491.0
2021-06-14,22.9,22.0,22.6,22.3,13.659,3419709.0
2021-06-15,22.5,21.5,22.5,22.0,13.474,2407856.0
2021-06-16,22.0,21.4,22.0,21.7,13.291,2240017.0
2021-06-17,21.7,21.0,21.7,21.6,13.23,2385688.0
2021-06-18,22.0,21.5,21.6,21.9,13.413,2043605.0
2021-06-21,22.4,21.4,21.9,21.6,13.23,1566222.0
2021-06-22,22.4,21.4,21.6,22.2,13.598,4251778.0
2021-06-23,23.3,22.2,22.2,22.7,13.903,4238488.0
2021-06-24,23.3,22.4,22.7,22.5,13.781,1624247.0
2021-06-25,22.6,22.0,22.5,22.5,13.781,1733334.0
2021-06-28,23.1,22.5,22.6,23.1,14.148,4464844.0
2021-06-29,23.9,23.1,23.1,23.3,14.271,4105325.0
2021-06-30,23.6,23.0,23.4,23.2,14.21,2413082.0
2021-07-01,23.5,22.7,23.0,23.4,14.332,3566154.0
2021-07-02,23.8,23.4,23.4,23.6,14.455,3225907.0
2021-07-05,24.2,23.3,23.7,24.0,14.699,5270616.0
2021-07-06,24.8,22.0,24.0,22.9,14.026,5271799.0
2021-07-07,23.3,22.2,22.9,23.3,14.271,3432010.0
2021-07-08,23.3,22.4,23.3,22.5,13.781,2408492.0
2021-07-09,24.3,22.1,22.5,23.5,14.394,7478023.0
2021-07-12,23.6,20.0,23.5,21.6,13.23,4378431.0
2021-07-13,22.4,21.1,21.9,21.8,13.352,2448132.0
2021-07-14,21.9,20.2,21.8,20.7,12.678,3117444.0
2021-07-15,21.5,20.4,20.5,21.3,13.046,1554309.0
2021-07-16,21.5,20.9,21.3,21.0,12.862,1384386.0
2021-07-19,20.9,18.2,20.8,18.5,11.331,4841235.0
2021-07-20,19.5,17.9,18.0,19.3,11.821,2781242.0
2021-07-21,19.7,18.0,18.0,19.2,11.76,1264744.0
2021-07-22,19.7,18.8,19.3,19.7,12.065,1509569.0
2021-07-23,19.8,19.0,19.7,19.2,11.76,1554394.0
2021-07-26,19.1,18.5,19.0,18.9,11.576,1263142.0
2021-07-27,19.4,18.9,18.9,19.3,11.821,1118235.0
2021-07-28,19.3,18.9,19.3,19.0,11.637,832637.0
2021-07-29,20.2,19.0,19.0,20.2,12.373,2329717.0
2021-07-30,20.7,20.1,20.1,20.7,12.678,2167381.0
2021-08-02,21.0,20.2,20.7,20.8,12.74,2258126.0
2021-08-03,21.4,20.5,20.8,21.3,13.046,3199606.0
2021-08-04,21.3,20.9,21.1,21.1,12.924,1607435.0
2021-08-05,21.3,20.8,20.9,21.2,12.985,1216091.0
2021-08-06,21.3,21.0,21.2,21.1,12.924,2064740.0
2021-08-09,21.3,20.7,21.0,21.1,12.924,1790083.0
2021-08-10,22.0,21.1,21.2,22.0,13.474,3098059.0
2021-08-11,22.3,21.7,22.0,21.9,13.413,2454317.0
2021-08-12,22.1,21.7,21.9,21.9,13.413,1754540.0
2021-08-13,21.9,21.0,21.9,21.7,13.291,2317528.0
2021-08-16,22.2,21.3,21.4,22.1,13.536,2438889.0
2021-08-17,22.7,22.0,22.1,22.4,13.72,2728245.0
2021-08-18,22.4,22.0,22.4,22.3,13.659,1163721.0
2021-08-19,22.2,21.7,22.2,22.0,13.474,2105819.0
2021-08-20,22.0,20.3,22.0,20.7,12.678,3606154.0
2021-08-23,20.7,20.1,20.7,20.2,12.373,2733229.0
2021-08-24,20.5,20.0,20.2,20.3,12.434,1672258.0
2021-08-25,20.5,20.0,20.3,20.5,12.556,878912.0
2021-08-26,20.9,20.1,20.5,20.4,12.494,981496.0
2021-08-27,20.4,19.8,20.0,20.3,12.434,1801449.0
2021-08-30,20.5,20.0,20.3,20.5,12.556,1454097.0
2021-08-31,20.8,20.2,20.5,20.3,12.434,1389468.0
2021-09-01,20.4,20.0,20.3,20.2,12.373,1651735.0
2021-09-06,20.4,20.1,20.2,20.3,12.434,2021081.0
2021-09-07,21.4,20.4,20.4,21.0,12.862,3923538.0
2021-09-08,22.5,20.8,21.4,20.9,12.801,1270371.0
2021-09-09,20.9,20.6,20.9,20.8,12.74,1401505.0
2021-09-10,21.5,20.6,21.2,20.7,12.678,1618521.0
2021-09-13,20.7,20.2,20.7,20.4,12.494,1300468.0
2021-09-14,20.4,20.1,20.3,20.2,12.373,959367.0
2021-09-15,20.6,20.0,20.1,20.4,12.494,1178072.0
2021-09-16,20.7,20.3,20.5,20.7,12.678,992052.0
2021-09-17,21.1,20.5,20.5,20.9,12.801,2199215.0
2021-09-20,21.9,20.9,21.0,21.4,13.107,3371542.0
2021-09-21,21.4,20.8,21.4,21.0,12.862,2124766.0
2021-09-22,21.3,20.9,20.9,21.3,13.046,1265745.0
2021-09-23,22.0,21.1,21.4,21.8,13.352,4084514.0
2021-09-24,22.4,21.7,21.8,22.0,13.474,4323552.0
2021-09-27,22.4,21.0,22.0,21.1,12.924,1798475.0
2021-09-28,21.3,20.5,21.0,21.3,13.046,1585885.0
2021-09-29,21.1,20.6,21.0,20.8,12.74,1209946.0
2021-09-30,21.2,20.8,20.8,21.1,12.924,1064206.0
2021-10-01,21.0,20.5,21.0,20.6,12.617,1924284.0
2021-10-04,20.7,20.3,20.6,20.5,12.556,2499832.0
2021-10-05,20.7,20.3,20.4,20.6,12.617,784574.0
2021-10-06,20.7,20.4,20.6,20.7,12.678,722082.0
2021-10-07,20.9,20.6,20.8,20.7,12.678,663189.0
2021-10-08,20.8,17.6,20.5,20.7,12.678,782347.0
2021-10-11,21.2,20.6,20.6,21.2,12.985,1348518.0
2021-10-12,21.5,17.8,17.8,21.1,12.924,809702.0
2021-10-13,21.2,18.0,18.0,21.1,12.924,785298.0
2021-10-14,21.4,20.0,20.0,21.1,12.924,1576654.0
2021-10-15,21.3,20.0,20.0,21.2,12.985,1620327.0
2021-10-18,21.3,20.5,20.5,21.0,12.862,1029405.0
2021-10-19,21.1,20.5,20.5,20.9,12.801,770584.0
2021-10-20,21.2,20.5,20.5,21.0,12.862,1382027.0
2021-10-21,21.2,20.8,20.8,21.1,12.924,922848.0
2021-10-22,21.2,20.5,20.5,21.0,12.862,938393.0
2021-10-25,21.0,20.5,20.5,20.6,12.617,1186289.0
2021-10-26,20.8,20.5,20.8,20.8,12.74,1239893.0
2021-10-27,22.0,17.8,17.8,21.5,13.169,2600085.0
2021-10-28,21.9,21.3,21.6,21.4,13.107,2252543.0
2021-10-29,21.7,20.1,20.1,21.5,13.169,2171755.0
2021-11-01,21.8,21.4,21.5,21.7,13.291,2903547.0
2021-11-02,22.4,21.6,22.0,22.0,13.474,5279714.0
2021-11-03,24.3,22.0,22.3,23.3,14.271,8675121.0
2021-11-04,24.0,23.1,24.0,23.3,14.271,3339916.0
2021-11-05,23.5,22.7,23.0,22.9,14.026,2347852.0
2021-11-08,23.2,22.4,22.9,22.8,13.964,5122248.0
2021-11-09,22.6,21.4,22.5,21.7,14.628,3071611.0
2021-11-10,21.8,21.1,21.7,21.4,14.427,1800883.0
2021-11-11,21.4,20.6,21.4,21.0,14.157,2920142.0
2021-11-12,21.3,20.6,20.6,21.3,14.359,1484280.0
2021-11-15,21.4,17.8,17.8,21.0,14.157,1394029.0
2021-11-16,21.3,18.5,18.5,20.9,14.089,1259536.0
2021-11-17,21.1,20.8,21.1,21.0,14.157,1162710.0
2021-11-18,21.3,20.8,20.8,20.9,14.089,1706396.0
2021-11-19,22.0,20.8,20.8,21.5,14.494,3821388.0
2021-11-22,23.4,21.2,21.2,22.7,15.303,7425098.0
2021-11-23,23.0,21.8,23.0,22.4,15.101,1953114.0
2021-11-24,24.5,22.1,23.0,24.2,16.314,11773565.0
2021-11-25,24.5,23.6,24.5,24.0,16.179,4011387.0
2021-11-26,24.2,22.0,22.0,23.5,15.842,3107531.0
2021-11-29,23.1,22.5,22.6,22.9,15.437,3617859.0
2021-11-30,23.3,22.0,22.8,22.2,14.966,4849477.0
2021-12-01,22.6,19.5,19.5,22.5,15.168,2977215.0
2021-12-02,22.6,22.1,22.1,22.2,14.966,987045.0
2021-12-03,22.4,19.1,19.1,21.4,14.427,3213269.0
2021-12-06,21.6,20.2,21.5,20.6,13.887,3236798.0
2021-12-07,21.3,19.5,19.5,21.1,14.224,1396883.0
2021-12-08,21.5,20.8,21.0,21.0,14.157,3263119.0
2021-12-09,21.9,20.9,21.9,21.2,14.292,877812.0
2021-12-10,21.5,18.5,18.5,21.1,14.224,1212060.0
2021-12-13,21.2,20.8,20.8,21.0,14.157,1714745.0
2021-12-14,21.1,20.7,21.0,20.9,14.089,1767901.0
2021-12-15,21.2,20.6,20.6,20.9,14.089,1406692.0
2021-12-16,21.0,20.6,20.6,20.8,14.022,1387817.0
2021-12-17,20.9,20.5,20.5,20.9,14.089,1793895.0
2021-12-20,21.2,20.8,20.9,21.1,14.224,1498049.0
2021-12-21,21.2,20.8,21.2,21.0,14.157,1119431.0
2021-12-22,22.0,20.7,22.0,20.9,14.089,1399073.0
2021-12-23,21.2,20.2,21.2,20.5,13.82,3309859.0
2021-12-24,21.4,20.5,21.0,21.3,14.359,3437579.0
2021-12-27,24.0,21.3,21.3,22.4,15.101,5589501.0
2021-12-28,23.5,22.4,23.0,23.0,15.505,4801813.0
2021-12-29,23.2,22.4,23.0,22.5,15.168,3042459.0
2021-12-30,22.9,21.5,22.7,21.7,14.628,4669777.0
2021-12-31,22.5,21.7,22.0,22.0,14.831,2315161.0
2022-01-04,22.5,21.8,22.4,22.1,14.898,2677870.0
2022-01-05,22.6,22.0,22.5,22.1,14.898,4339612.0
2022-01-06,22.5,21.5,22.2,21.7,14.628,2683357.0
2022-01-07,22.0,21.6,22.0,22.0,14.831,2356401.0
2022-01-10,22.0,21.1,22.0,21.2,14.292,3292396.0
2022-01-11,21.5,20.9,21.5,21.0,14.157,2111110.0
2022-01-12,21.6,20.6,21.2,21.5,14.494,3346275.0
2022-01-13,22.1,21.3,21.5,21.4,14.427,2867623.0
2022-01-14,22.1,21.5,21.7,21.9,14.763,3185278.0
2022-01-17,22.0,21.1,21.9,21.1,14.224,3639020.0
2022-01-18,21.5,20.6,21.1,20.8,14.022,2371280.0
2022-01-19,21.1,20.7,20.9,21.0,14.157,1026169.0
2022-01-20,21.5,20.7,21.3,21.1,14.224,1406080.0
2022-01-21,21.5,20.9,21.1,21.3,14.359,2478109.0
2022-01-24,21.5,20.9,21.5,21.0,14.157,2146739.0
2022-01-25,21.7,20.9,21.3,21.6,14.562,2160994.0
2022-01-26,23.0,21.7,21.7,22.6,15.236,5025759.0
2022-01-27,22.9,22.5,22.7,22.6,15.236,2045522.0
2022-01-28,23.2,22.6,22.7,23.0,15.505,3045134.0
2022-02-07,23.5,22.9,23.0,23.2,15.64,3806624.0
2022-02-08,23.5,22.9,23.5,23.1,15.572,3861386.0
2022-02-09,23.2,22.8,23.2,23.0,15.505,5550187.0
2022-02-10,19.0,17.0,17.0,18.2,16.6,7924417.0
2022-02-11,18.5,17.9,18.2,18.1,16.509,2766652.0
2022-02-14,18.2,17.3,18.1,17.5,15.962,4203103.0
2022-02-15,17.6,17.1,17.5,17.4,15.871,2810120.0
2022-02-16,17.5,17.2,17.4,17.5,15.962,1762053.0
2022-02-17,17.5,17.3,17.5,17.4,15.871,1329928.0
2022-02-18,17.4,17.2,17.4,17.3,15.779,1369386.0
2022-02-21,17.4,17.1,17.4,17.3,15.779,2014775.0
2022-02-22,17.3,16.8,17.1,17.0,15.506,3366573.0
2022-02-23,17.3,17.0,17.1,17.1,15.597,1199752.0
2022-02-24,17.1,16.5,17.1,16.7,15.232,3115059.0
2022-02-25,17.0,16.7,16.8,16.9,15.414,1505363.0
2022-02-28,16.9,16.6,16.9,16.8,15.323,1104659.0
2022-03-01,16.8,16.6,16.8,16.8,15.323,1337649.0
2022-03-02,16.8,16.4,16.7,16.6,15.141,1442080.0
2022-03-03,16.7,16.4,16.6,16.7,15.232,1133404.0
2022-03-04,16.9,16.5,16.7,16.7,15.232,2039626.0
2022-03-07,16.8,16.4,16.7,16.5,15.05,1629613.0
2022-03-08,16.6,16.1,16.5,16.3,14.867,1494881.0
2022-03-09,16.4,16.0,16.1,16.2,14.776,2066914.0
