Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,28.4,27.0,28.0,27.0,10.993,4000.0
2018-01-03,28.8,27.5,28.0,27.9,11.36,2169.0
2018-01-04,27.5,27.3,27.5,27.3,11.115,400.0
2018-01-05,27.9,27.5,27.9,27.5,11.197,2400.0
2018-01-08,28.9,27.0,28.0,27.5,11.197,6900.0
2018-01-09,28.0,27.2,27.2,28.0,11.4,1330.0
2018-01-10,28.5,27.0,27.9,28.0,11.4,48300.0
2018-01-11,28.0,27.0,28.0,27.8,11.319,5999.0
2018-01-12,31.0,27.8,27.8,27.8,11.319,15000.0
2018-01-15,28.1,28.0,28.0,28.0,11.4,6500.0
2018-01-16,27.8,27.8,27.8,27.8,11.319,500.0
2018-01-17,27.7,27.7,27.7,27.7,11.278,300.0
2018-01-18,27.6,26.5,26.5,27.6,11.237,1580.0
2018-01-19,27.2,26.6,27.2,27.2,11.075,2250.0
2018-01-22,27.2,26.3,26.7,27.1,11.034,4900.0
2018-01-23,27.1,22.9,27.1,26.5,10.79,48790.0
2018-01-24,26.7,25.6,26.5,26.5,10.79,39100.0
2018-01-25,26.6,25.6,26.6,25.6,10.423,7000.0
2018-01-26,25.9,24.8,25.7,25.9,10.545,24600.0
2018-01-29,25.5,24.7,25.5,24.7,10.057,23760.0
2018-01-30,25.5,21.2,24.5,25.0,10.179,19400.0
2018-01-31,25.0,24.0,25.0,25.0,10.179,3500.0
2018-02-01,24.9,24.8,24.9,24.8,10.097,4400.0
2018-02-02,24.7,24.0,24.7,24.4,9.935,2110.0
2018-02-05,24.4,24.0,24.4,24.0,9.772,12900.0
2018-02-06,24.3,22.0,23.0,23.9,9.731,59100.0
2018-02-07,23.8,22.0,23.8,22.0,8.957,17200.0
2018-02-08,22.5,22.0,22.0,22.0,8.957,55500.0
2018-02-09,23.3,21.2,22.0,23.3,9.487,19100.0
2018-02-12,23.3,22.5,23.3,23.2,9.446,300.0
2018-02-13,24.7,22.0,23.2,24.7,10.057,2700.0
2018-02-21,24.2,23.9,24.2,23.9,9.731,2600.0
2018-02-22,23.8,23.8,23.8,23.8,9.69,2200.0
2018-02-23,27.3,23.8,23.8,26.0,10.586,3020.0
2018-02-26,26.0,23.1,25.6,25.0,10.179,6900.0
2018-02-27,25.0,24.0,25.0,25.0,10.179,21700.0
2018-02-28,27.6,24.0,25.0,27.6,11.237,20200.0
2018-03-01,25.9,21.5,24.7,25.3,10.301,13700.0
2018-03-02,25.0,22.7,22.7,25.0,10.179,7410.0
2018-03-05,24.7,24.7,24.7,24.7,10.057,210.0
2018-03-06,24.9,24.6,24.9,24.6,10.016,400.0
2018-03-07,24.6,24.5,24.6,24.5,9.975,400.0
2018-03-08,27.5,24.4,24.4,27.5,11.197,13700.0
2018-03-09,26.8,26.2,26.8,26.2,10.667,11010.0
2018-03-12,26.2,23.6,24.1,26.2,10.667,4111.0
2018-03-13,26.2,25.7,26.2,25.7,10.464,800.0
2018-03-14,28.0,25.7,25.7,26.0,11.086,3210.0
2018-03-15,28.0,24.8,25.1,28.0,11.939,13600.0
2018-03-16,27.5,27.0,27.5,27.0,11.512,1100.0
2018-03-19,27.4,25.1,25.1,27.4,11.683,22600.0
2018-03-20,26.7,24.2,24.2,26.7,11.384,1420.0
2018-03-21,26.9,26.6,26.7,26.9,11.47,9200.0
2018-03-22,27.3,26.9,26.9,27.3,11.64,41500.0
2018-03-23,27.3,24.1,24.1,27.3,11.64,23000.0
2018-03-26,27.3,26.6,27.3,26.6,11.342,7300.0
2018-03-27,27.0,26.6,26.6,27.0,11.512,4300.0
2018-03-28,26.9,26.7,26.9,26.7,11.384,500.0
2018-03-29,26.9,26.7,26.7,26.9,11.47,500.0
2018-03-30,28.4,26.8,26.8,27.9,11.896,2600.0
2018-04-02,27.5,27.5,27.5,27.5,11.726,70.0
2018-04-03,27.5,27.5,27.5,27.5,11.726,0.0
2018-04-04,27.5,27.5,27.5,27.5,11.726,0.0
2018-04-05,27.5,27.5,27.5,27.5,11.726,0.0
2018-04-06,27.5,26.8,27.5,26.8,11.427,850.0
2018-04-09,27.5,25.2,26.0,27.5,11.726,5810.0
2018-04-10,27.5,25.3,27.5,26.9,11.47,7400.0
2018-04-11,26.6,25.7,25.7,26.6,11.342,10900.0
2018-04-12,25.7,24.7,24.7,25.7,10.958,27600.0
2018-04-13,27.9,24.9,24.9,27.9,11.896,16224.0
2018-04-16,27.5,25.1,26.0,27.0,11.512,6800.0
2018-04-17,26.5,26.5,26.5,26.5,11.299,100.0
2018-04-18,26.4,26.4,26.4,26.4,11.257,800.0
2018-04-19,26.4,26.4,26.4,26.4,11.257,0.0
2018-04-20,26.4,26.4,26.4,26.4,11.257,0.0
2018-04-23,26.4,26.4,26.4,26.4,11.257,24.0
2018-04-24,30.0,26.0,26.0,26.4,11.257,3500.0
2018-04-26,30.0,26.4,30.0,26.4,11.257,820.0
2018-04-27,28.7,26.4,26.4,28.0,11.939,10530.0
2018-05-02,28.0,27.2,28.0,27.9,11.896,554.0
2018-05-03,27.8,27.8,27.8,27.8,11.853,52.0
2018-05-04,27.6,27.6,27.6,27.6,11.768,200.0
2018-05-07,30.0,27.5,30.0,27.5,11.726,500.0
2018-05-08,28.0,28.0,28.0,28.0,11.939,0.0
2018-05-09,27.0,24.1,24.1,26.8,11.427,1400.0
2018-05-10,26.8,24.1,25.4,24.1,10.276,3900.0
2018-05-11,26.4,24.3,24.3,26.4,11.257,2700.0
2018-05-14,24.9,24.1,24.1,24.9,10.617,1300.0
2018-05-15,25.9,24.3,24.3,25.9,11.043,10600.0
2018-05-16,24.6,24.6,24.6,24.6,10.489,220.0
2018-05-17,26.9,26.4,26.4,26.8,11.427,400.0
2018-05-18,26.8,25.3,26.8,26.6,11.342,1000.0
2018-05-21,26.5,24.1,26.5,26.3,11.214,5400.0
2018-05-22,26.5,26.5,26.5,26.5,11.299,100.0
2018-05-23,24.2,24.0,24.2,24.0,10.233,3020.0
2018-05-24,26.0,24.1,24.1,26.0,11.086,2070.0
2018-05-25,25.5,23.6,25.5,25.5,10.873,520.0
2018-05-28,25.4,25.4,25.4,25.4,10.83,100.0
2018-05-29,25.4,25.4,25.4,25.4,10.83,0.0
2018-05-30,25.2,25.2,25.2,25.2,10.745,100.0
2018-05-31,25.0,24.9,24.9,25.0,10.66,900.0
2018-06-01,25.0,25.0,25.0,25.0,10.66,410.0
2018-06-04,25.0,25.0,25.0,25.0,10.66,92.0
2018-06-05,25.0,25.0,25.0,25.0,10.66,2800.0
2018-06-06,25.0,25.0,25.0,25.0,10.66,100.0
2018-06-07,28.0,25.0,26.5,25.0,10.66,1020.0
2018-06-08,25.0,24.1,25.0,24.1,10.276,1890.0
2018-06-11,24.9,24.9,24.9,24.9,10.617,242.0
2018-06-12,24.9,24.9,24.9,24.9,10.617,0.0
2018-06-13,25.0,24.9,25.0,25.0,10.66,20300.0
2018-06-14,25.0,25.0,25.0,25.0,10.66,100.0
2018-06-15,26.5,26.5,26.5,26.5,11.299,100.0
2018-06-18,26.5,26.5,26.5,26.5,11.299,0.0
2018-06-19,27.0,25.0,27.0,25.0,10.66,11900.0
2018-06-20,26.5,24.5,26.5,24.5,10.446,1058.0
2018-06-21,26.5,25.0,26.5,25.0,10.66,2112.0
2018-06-22,26.4,25.0,25.0,25.0,10.66,1500.0
2018-06-25,25.7,24.0,25.7,24.0,10.233,4600.0
2018-06-26,24.9,23.6,24.9,24.8,10.574,899.0
2018-06-27,24.6,24.1,24.1,24.6,10.489,613.0
2018-06-28,24.6,24.6,24.6,24.6,10.489,100.0
2018-06-29,24.8,24.6,24.6,24.8,10.574,200.0
2018-07-02,24.3,23.5,23.7,24.0,10.233,500.0
2018-07-03,23.8,23.8,23.8,23.8,10.148,500.0
2018-07-04,23.8,23.0,23.1,23.8,10.148,12000.0
2018-07-05,23.7,22.5,22.7,23.7,10.105,600.0
2018-07-06,23.7,23.7,23.7,23.7,10.105,100.0
2018-07-09,26.0,22.7,24.9,22.9,9.764,3900.0
2018-07-10,23.1,23.1,23.1,23.1,9.849,560.0
2018-07-11,23.5,23.5,23.5,23.5,10.02,400.0
2018-07-12,23.5,23.5,23.5,23.5,10.02,0.0
2018-07-13,24.4,23.3,23.3,24.4,10.404,200.0
2018-07-16,24.9,24.9,24.9,24.9,10.617,110.0
2018-07-17,25.4,23.5,25.4,23.5,10.02,400.0
2018-07-18,23.9,23.5,23.9,23.5,10.02,900.0
2018-07-19,24.5,23.5,23.7,23.8,10.148,6320.0
2018-07-20,24.3,23.7,23.7,23.7,10.105,4700.0
2018-07-23,24.9,23.7,24.9,23.7,10.105,1500.0
2018-07-24,24.2,22.1,24.2,24.1,10.276,2100.0
2018-07-25,24.2,24.2,24.2,24.2,10.318,100.0
2018-07-26,25.9,24.5,24.5,25.9,11.043,1010.0
2018-07-27,24.2,23.7,23.7,24.2,10.318,1900.0
2018-07-30,24.9,24.9,24.9,24.9,10.617,100.0
2018-07-31,25.6,24.0,24.1,25.6,10.915,3630.0
2018-08-01,26.9,23.1,25.0,23.1,9.849,1000.0
2018-08-02,24.0,23.7,24.0,23.7,10.105,1400.0
2018-08-03,27.0,25.7,25.7,27.0,11.512,500.0
2018-08-06,26.7,26.7,26.7,26.7,11.384,0.0
2018-08-07,26.7,26.7,26.7,26.7,11.384,0.0
2018-08-08,24.3,24.2,24.2,24.3,10.361,800.0
2018-08-09,27.5,24.2,27.5,24.2,10.318,300.0
2018-08-10,27.4,24.5,27.4,24.5,10.446,306.0
2018-08-13,24.5,24.5,24.5,24.5,10.446,1054.0
2018-08-14,24.5,23.1,24.5,24.5,10.446,1300.0
2018-08-15,26.0,24.5,24.5,26.0,11.086,700.0
2018-08-16,27.4,24.0,27.4,24.0,10.233,300.0
2018-08-17,25.9,25.5,25.5,25.9,11.043,254.0
2018-08-20,27.9,25.9,27.9,25.9,11.043,200.0
2018-08-21,25.9,25.9,25.9,25.9,11.043,100.0
2018-08-22,26.4,26.4,26.4,26.4,11.257,100.0
2018-08-23,26.4,26.4,26.4,26.4,11.257,10.0
2018-08-24,27.5,27.5,27.5,27.5,11.726,100.0
2018-08-27,28.9,28.9,28.9,28.9,12.322,122.0
2018-08-28,25.9,25.1,25.9,25.1,10.702,200.0
2018-08-29,28.4,28.4,28.4,28.4,12.109,130.0
2018-08-30,29.1,27.0,29.1,27.0,11.512,230.0
2018-08-31,32.0,27.6,28.5,28.0,11.939,2800.0
2018-09-04,28.6,28.6,28.6,28.6,12.195,0.0
2018-09-05,29.0,27.5,29.0,27.5,11.726,300.0
2018-09-06,29.1,25.1,29.1,25.1,10.702,1710.0
2018-09-07,27.5,27.5,27.5,27.5,11.726,100.0
2018-09-10,29.2,27.1,29.2,27.1,11.555,200.0
2018-09-11,27.9,25.1,27.9,25.4,10.83,3100.0
2018-09-12,26.0,26.0,26.0,26.0,11.086,100.0
2018-09-13,26.0,26.0,26.0,26.0,11.086,0.0
2018-09-14,25.9,24.2,25.0,25.6,10.915,500.0
