Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,1.7,1.6,1.7,1.7,1.7,123300.0
2018-01-03,1.7,1.6,1.7,1.6,1.6,1134833.0
2018-01-04,1.6,1.5,1.5,1.6,1.6,141001.0
2018-01-05,1.6,1.5,1.6,1.5,1.5,122100.0
2018-01-08,1.6,1.5,1.5,1.6,1.6,261722.0
2018-01-09,1.6,1.5,1.6,1.6,1.6,168300.0
2018-01-10,1.6,1.5,1.6,1.6,1.6,288400.0
2018-01-11,1.6,1.5,1.6,1.6,1.6,112204.0
2018-01-12,1.6,1.5,1.6,1.6,1.6,111240.0
2018-01-15,1.6,1.5,1.6,1.5,1.5,81908.0
2018-01-16,1.6,1.5,1.6,1.6,1.6,376700.0
2018-01-17,1.6,1.5,1.6,1.5,1.5,231700.0
2018-01-18,1.6,1.4,1.5,1.5,1.5,444613.0
2018-01-19,1.6,1.4,1.5,1.4,1.4,186200.0
2018-01-22,1.5,1.4,1.4,1.5,1.5,116270.0
2018-01-23,1.5,1.4,1.4,1.4,1.4,1706612.0
2018-01-24,1.5,1.4,1.4,1.4,1.4,212800.0
2018-01-25,1.5,1.3,1.4,1.4,1.4,476010.0
2018-01-26,1.5,1.3,1.4,1.4,1.4,276200.0
2018-01-29,1.4,1.3,1.3,1.3,1.3,423752.0
2018-01-30,1.4,1.3,1.3,1.3,1.3,448601.0
2018-01-31,1.4,1.2,1.3,1.2,1.2,448000.0
2018-02-01,1.3,1.2,1.2,1.3,1.3,151700.0
2018-02-02,1.4,1.2,1.2,1.2,1.2,123000.0
2018-02-05,1.3,1.2,1.2,1.2,1.2,161900.0
2018-02-06,1.3,1.1,1.2,1.2,1.2,498243.0
2018-02-07,1.3,1.1,1.2,1.3,1.3,109300.0
2018-02-08,1.3,1.2,1.3,1.2,1.2,278500.0
2018-02-09,1.2,1.1,1.2,1.2,1.2,167800.0
2018-02-12,1.2,1.1,1.2,1.2,1.2,123200.0
2018-02-13,1.2,1.1,1.2,1.2,1.2,312100.0
2018-02-21,1.3,1.2,1.2,1.3,1.3,81762.0
2018-02-22,1.3,1.2,1.3,1.2,1.2,22200.0
2018-02-23,1.3,1.2,1.2,1.2,1.2,77210.0
2018-02-26,1.3,1.1,1.2,1.1,1.1,223310.0
2018-02-27,1.2,1.0,1.2,1.2,1.2,1248950.0
2018-02-28,1.2,1.1,1.2,1.2,1.2,18150.0
2018-03-01,1.2,1.1,1.2,1.2,1.2,341800.0
2018-03-02,1.2,1.1,1.2,1.1,1.1,339623.0
2018-03-05,1.2,1.1,1.2,1.2,1.2,120539.0
2018-03-06,1.2,1.1,1.1,1.2,1.2,232520.0
2018-03-07,1.2,1.1,1.1,1.1,1.1,103000.0
2018-03-08,1.2,1.2,1.2,1.2,1.2,755512.0
2018-03-09,1.3,1.2,1.2,1.3,1.3,696975.0
2018-03-12,1.4,1.2,1.4,1.3,1.3,503600.0
2018-03-13,1.3,1.2,1.3,1.2,1.2,129195.0
2018-03-14,1.3,1.2,1.2,1.2,1.2,322930.0
2018-03-15,1.2,1.1,1.2,1.1,1.1,2428500.0
2018-03-16,1.2,1.0,1.1,1.2,1.2,431500.0
2018-03-19,1.2,1.1,1.2,1.2,1.2,75400.0
2018-03-20,1.2,1.1,1.2,1.1,1.1,892400.0
2018-03-21,1.2,1.1,1.1,1.1,1.1,157200.0
2018-03-22,1.2,1.1,1.1,1.1,1.1,38410.0
2018-03-23,1.1,1.0,1.1,1.1,1.1,331200.0
2018-03-26,1.1,1.0,1.0,1.1,1.1,11700.0
2018-03-27,1.1,1.0,1.1,1.1,1.1,63491.0
2018-03-28,1.2,1.0,1.0,1.1,1.1,425500.0
2018-03-29,1.2,1.1,1.1,1.1,1.1,86703.0
2018-03-30,1.1,1.1,1.1,1.1,1.1,72425.0
2018-04-02,1.1,1.0,1.1,1.1,1.1,253976.0
2018-04-03,1.1,1.0,1.1,1.1,1.1,309600.0
2018-04-04,1.1,1.0,1.0,1.0,1.0,57300.0
2018-04-05,1.1,1.0,1.1,1.0,1.0,127190.0
2018-04-06,1.1,1.0,1.1,1.1,1.1,230840.0
2018-04-09,1.1,1.0,1.1,1.1,1.1,65647.0
2018-04-10,1.1,1.0,1.0,1.1,1.1,140412.0
2018-04-11,1.1,1.0,1.0,1.1,1.1,112230.0
2018-04-12,1.1,1.0,1.1,1.1,1.1,91450.0
2018-04-13,1.1,1.0,1.1,1.0,1.0,75900.0
2018-04-16,1.1,1.0,1.0,1.0,1.0,524502.0
2018-04-17,1.1,1.0,1.0,1.0,1.0,273912.0
2018-04-18,1.1,0.9,1.0,1.0,1.0,261800.0
2018-04-19,1.0,0.9,1.0,1.0,1.0,228929.0
2018-04-20,1.0,0.9,0.9,1.0,1.0,1803800.0
2018-04-23,1.0,0.9,1.0,0.9,0.9,1220340.0
2018-04-24,1.0,0.8,0.9,1.0,1.0,264430.0
2018-04-26,1.0,0.9,1.0,0.9,0.9,256507.0
2018-04-27,0.9,0.8,0.9,0.8,0.8,112200.0
2018-05-02,0.9,0.8,0.9,0.9,0.9,270510.0
2018-05-03,0.9,0.8,0.9,0.8,0.8,58300.0
2018-05-04,0.9,0.8,0.9,0.9,0.9,167100.0
2018-05-07,0.9,0.8,0.9,0.9,0.9,789405.0
2018-05-08,0.9,0.8,0.9,0.8,0.8,191900.0
2018-05-09,0.9,0.8,0.8,0.9,0.9,297400.0
2018-05-10,0.9,0.8,0.9,0.8,0.8,73800.0
2018-05-11,0.9,0.8,0.9,0.8,0.8,78000.0
2018-05-14,0.9,0.8,0.9,0.8,0.8,54902.0
2018-05-15,0.9,0.8,0.9,0.9,0.9,99120.0
2018-05-16,0.9,0.8,0.9,0.9,0.9,78212.0
2018-05-17,0.9,0.8,0.9,0.8,0.8,456600.0
2018-05-18,0.9,0.7,0.8,0.7,0.7,116200.0
2018-05-21,0.8,0.7,0.8,0.8,0.8,296300.0
2018-05-22,0.8,0.7,0.8,0.7,0.7,235000.0
2018-05-23,0.8,0.7,0.8,0.8,0.8,158400.0
2018-05-24,0.8,0.8,0.8,0.8,0.8,56510.0
2018-05-25,0.8,0.7,0.8,0.8,0.8,325212.0
