Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,6.3,6.06,6.06,6.16,5.843,915610.0
2018-01-03,6.26,5.85,6.2,5.98,5.672,875180.0
2018-01-04,6.15,5.89,5.9,5.99,5.681,1067860.0
2018-01-05,6.17,5.9,6.17,5.9,5.596,928480.0
2018-01-08,6.01,5.75,6.0,5.79,5.492,778410.0
2018-01-09,5.9,5.68,5.89,5.89,5.587,940580.0
2018-01-10,6.0,5.75,5.84,5.89,5.587,916910.0
2018-01-11,5.9,5.81,5.81,5.84,5.539,626140.0
2018-01-12,6.05,5.84,5.89,5.9,5.596,758930.0
2018-01-15,6.2,5.9,5.9,6.2,5.881,1196670.0
2018-01-16,6.24,5.93,6.1,6.13,5.814,1554290.0
2018-01-17,6.16,5.86,6.15,5.86,5.558,814160.0
2018-01-18,5.9,5.6,5.6,5.9,5.596,942760.0
2018-01-19,5.9,5.67,5.9,5.8,5.501,1029500.0
2018-01-22,5.95,5.77,5.8,5.92,5.615,766570.0
2018-01-25,6.04,5.87,5.92,6.02,5.71,1150830.0
2018-01-26,6.12,5.9,6.1,5.99,5.681,529480.0
2018-01-29,6.12,5.95,6.12,6.0,5.691,706430.0
2018-01-30,6.42,5.99,6.09,6.42,6.089,4904020.0
2018-01-31,6.85,6.3,6.85,6.3,5.975,980180.0
2018-02-01,6.29,5.98,6.28,6.0,5.691,604510.0
2018-02-02,6.1,5.89,5.92,5.94,5.634,886010.0
2018-02-05,6.02,5.8,5.8,5.85,5.549,1194100.0
2018-02-06,5.85,5.45,5.45,5.5,5.217,859500.0
2018-02-07,5.8,5.6,5.7,5.69,5.397,370120.0
2018-02-08,5.69,5.5,5.69,5.57,5.283,232430.0
2018-02-09,5.55,5.19,5.2,5.5,5.217,454910.0
2018-02-12,5.7,5.35,5.5,5.59,5.302,152460.0
2018-02-13,5.88,5.56,5.59,5.88,5.577,277850.0
2018-02-21,5.9,5.85,5.9,5.89,5.587,290040.0
2018-02-22,5.88,5.54,5.54,5.7,5.406,180100.0
2018-02-23,5.77,5.65,5.7,5.71,5.416,156040.0
2018-02-26,5.75,5.6,5.6,5.6,5.311,532650.0
2018-02-27,5.65,5.57,5.6,5.62,5.33,329600.0
2018-02-28,5.67,5.59,5.6,5.63,5.34,252760.0
2018-03-01,5.85,5.6,5.63,5.7,5.406,389070.0
2018-03-02,5.7,5.6,5.7,5.62,5.33,276100.0
2018-03-05,5.7,5.6,5.64,5.6,5.311,255630.0
2018-03-06,5.67,5.51,5.51,5.66,5.368,221400.0
2018-03-07,5.88,5.66,5.66,5.8,5.501,632240.0
2018-03-08,5.82,5.71,5.8,5.8,5.501,212000.0
2018-03-09,5.82,5.71,5.71,5.74,5.444,195130.0
2018-03-12,5.75,5.62,5.74,5.62,5.33,185230.0
2018-03-13,5.69,5.59,5.63,5.62,5.33,121650.0
2018-03-14,5.65,5.56,5.65,5.56,5.274,331810.0
2018-03-15,5.65,5.53,5.56,5.53,5.245,223430.0
2018-03-16,5.67,5.5,5.53,5.57,5.283,253910.0
2018-03-19,5.68,5.55,5.67,5.55,5.264,217310.0
2018-03-20,5.56,5.5,5.56,5.54,5.255,259480.0
2018-03-21,5.6,5.5,5.6,5.51,5.226,234520.0
