Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,9.18,8.92,9.08,8.93,8.93,1255520.0
2018-01-03,9.55,8.93,8.93,9.0,9.0,2929050.0
2018-01-04,9.19,8.96,9.0,8.96,8.96,698720.0
2018-01-05,9.01,8.71,9.0,8.71,8.71,1061580.0
2018-01-08,8.9,8.49,8.8,8.5,8.5,1225380.0
2018-01-09,9.09,8.29,8.5,9.09,9.09,4001450.0
2018-01-10,9.3,8.95,9.2,8.95,8.95,829970.0
2018-01-11,9.2,8.85,8.85,9.0,9.0,1439070.0
2018-01-12,9.2,8.86,9.0,9.03,9.03,2042830.0
2018-01-15,9.19,8.9,9.03,8.9,8.9,2038980.0
2018-01-16,9.52,8.93,8.99,9.52,9.52,9769520.0
2018-01-17,9.63,8.86,9.63,8.86,8.86,1191460.0
2018-01-18,8.95,8.24,8.9,8.48,8.48,3075430.0
2018-01-19,8.73,7.89,8.48,7.9,7.9,12659260.0
2018-01-22,8.2,7.9,7.9,7.99,7.99,578110.0
2018-01-25,8.0,7.44,8.0,7.47,7.47,2604780.0
2018-01-26,7.65,7.4,7.46,7.5,7.5,459690.0
2018-01-29,7.67,7.2,7.67,7.2,7.2,886250.0
2018-01-30,7.39,7.02,7.02,7.26,7.26,757350.0
2018-01-31,7.39,7.15,7.22,7.18,7.18,541260.0
2018-02-01,7.3,6.85,7.18,6.89,6.89,1132780.0
2018-02-02,7.05,6.61,6.89,6.76,6.76,472510.0
2018-02-05,6.77,6.29,6.6,6.29,6.29,1028080.0
2018-02-06,6.1,5.85,5.85,5.85,5.85,2194250.0
2018-02-07,6.25,6.15,6.2,6.25,6.25,9112700.0
2018-02-08,6.6,6.2,6.29,6.24,6.24,6574670.0
2018-02-09,6.15,5.81,5.82,5.89,5.89,5566330.0
2018-02-12,6.09,5.83,5.86,5.9,5.9,1324770.0
2018-02-13,5.98,5.49,5.9,5.55,5.55,6314750.0
2018-02-21,5.71,5.55,5.55,5.58,5.58,1429670.0
2018-02-22,5.64,5.4,5.58,5.51,5.51,1689110.0
2018-02-23,5.57,5.45,5.55,5.53,5.53,2027850.0
2018-02-26,5.59,5.2,5.53,5.22,5.22,2283360.0
2018-02-27,5.35,5.1,5.22,5.22,5.22,1977330.0
2018-02-28,5.28,5.0,5.22,5.1,5.1,2798320.0
2018-03-01,5.19,4.9,5.17,5.13,5.13,2693250.0
2018-03-02,5.14,5.0,5.01,5.01,5.01,1961550.0
2018-03-05,5.1,4.89,5.01,5.0,5.0,2391290.0
2018-03-06,5.05,4.8,4.99,4.88,4.88,2115750.0
2018-03-07,5.22,4.88,4.88,5.22,5.22,3362450.0
2018-03-08,5.56,5.0,5.55,5.07,5.07,6619770.0
2018-03-09,5.13,4.92,5.13,5.0,5.0,2677400.0
2018-03-12,5.0,4.87,4.93,4.9,4.9,1883060.0
2018-03-13,4.89,4.79,4.84,4.81,4.81,1686690.0
2018-03-14,4.99,4.76,4.78,4.85,4.85,1572660.0
2018-03-15,5.04,4.83,4.89,4.86,4.86,1740070.0
2018-03-16,5.0,4.86,4.86,4.93,4.93,598660.0
2018-03-19,5.03,4.92,4.93,4.93,4.93,1008700.0
2018-03-20,4.95,4.82,4.95,4.82,4.82,1519690.0
2018-03-21,4.94,4.8,4.82,4.81,4.81,712880.0
2018-03-22,4.86,4.75,4.86,4.79,4.79,1458580.0
2018-03-23,4.72,4.46,4.72,4.5,4.5,3001080.0
2018-03-26,4.6,4.4,4.5,4.4,4.4,1033290.0
2018-03-27,4.6,4.48,4.59,4.49,4.49,1455700.0
2018-03-28,4.49,4.42,4.49,4.44,4.44,752430.0
2018-03-29,4.45,4.35,4.44,4.36,4.36,658130.0
2018-03-30,4.4,4.35,4.35,4.37,4.37,541850.0
2018-04-02,4.42,4.31,4.4,4.32,4.32,825050.0
2018-04-03,4.37,4.17,4.32,4.17,4.17,1243850.0
2018-04-04,4.2,4.07,4.17,4.12,4.12,846750.0
2018-04-05,4.24,4.11,4.16,4.17,4.17,785180.0
2018-04-06,4.2,4.14,4.18,4.15,4.15,550270.0
2018-04-09,4.2,4.12,4.17,4.13,4.13,720570.0
2018-04-10,4.13,4.0,4.13,4.0,4.0,1320860.0
2018-04-11,4.08,3.86,4.08,3.9,3.9,766970.0
2018-04-12,3.92,3.82,3.9,3.83,3.83,712940.0
2018-04-13,3.86,3.74,3.86,3.76,3.76,1016610.0
2018-04-16,3.76,3.67,3.76,3.73,3.73,532750.0
2018-04-17,3.84,3.73,3.73,3.77,3.77,509950.0
2018-04-18,4.03,3.82,3.82,4.03,4.03,1239760.0
2018-04-19,4.3,4.05,4.15,4.05,4.05,2085000.0
2018-04-20,4.23,4.05,4.1,4.14,4.14,730570.0
2018-04-23,4.13,3.86,4.02,3.86,3.86,977210.0
