Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,30.0,27.9,27.9,30.0,13.108,10200.0
2018-01-03,29.3,28.5,28.5,29.3,12.802,300.0
2018-01-04,30.0,30.0,30.0,30.0,13.108,1100.0
2018-01-05,30.0,29.7,29.7,30.0,13.108,1300.0
2018-01-08,30.0,29.8,30.0,29.8,13.02,5900.0
2018-01-09,30.0,29.1,29.5,29.3,12.802,3200.0
2018-01-10,29.3,29.3,29.3,29.3,12.802,0.0
2018-01-11,29.3,28.9,29.3,28.9,12.627,1800.0
2018-01-12,29.0,29.0,29.0,29.0,12.67,200.0
2018-01-15,29.0,28.5,29.0,28.5,12.452,800.0
2018-01-16,28.9,28.9,28.9,28.9,12.627,200.0
2018-01-17,29.1,28.9,29.1,28.9,12.627,250.0
2018-01-18,28.9,28.9,28.9,28.9,12.627,100.0
2018-01-19,28.9,28.9,28.9,28.9,12.627,300.0
2018-01-22,29.1,29.1,29.1,29.1,12.714,100.0
2018-01-23,28.9,26.4,26.4,28.4,12.409,4000.0
2018-01-24,31.2,26.4,28.9,27.7,12.103,8900.0
2018-01-25,28.2,26.1,26.1,27.9,12.19,26700.0
2018-01-26,29.7,25.3,25.3,29.7,12.976,7800.0
2018-01-29,29.9,29.5,29.5,29.6,12.932,1200.0
2018-01-30,29.4,27.2,27.2,29.4,12.845,500.0
2018-01-31,31.9,27.2,27.2,31.9,13.938,5500.0
2018-02-01,31.3,29.5,29.5,29.9,13.064,400.0
2018-02-02,29.9,29.9,29.9,29.9,13.064,100.0
2018-02-05,29.9,29.9,29.9,29.9,13.064,100.0
2018-02-06,28.8,28.8,28.8,28.8,12.583,200.0
2018-02-07,31.6,30.7,31.6,30.7,13.413,200.0
2018-02-08,28.0,27.8,28.0,28.0,12.233,7200.0
2018-02-09,28.8,28.1,28.6,28.8,12.583,800.0
2018-02-12,28.6,28.6,28.6,28.6,12.495,200.0
2018-02-13,31.2,28.2,28.2,31.2,13.631,2200.0
2018-02-21,34.3,29.7,32.0,30.5,13.326,2200.0
2018-02-22,32.8,29.2,32.8,29.2,12.758,1500.0
2018-02-23,31.8,27.7,29.9,30.0,13.108,2600.0
2018-02-26,29.5,29.1,29.1,29.3,12.802,900.0
2018-02-27,31.6,29.1,29.1,31.6,13.806,1800.0
2018-02-28,32.0,29.1,29.6,31.9,13.938,18300.0
2018-03-01,30.9,29.5,29.5,30.9,13.501,300.0
2018-03-02,30.0,29.1,29.1,30.0,13.108,300.0
2018-03-05,29.9,29.2,29.2,29.9,13.064,300.0
2018-03-06,29.7,29.2,29.2,29.7,12.976,600.0
2018-03-07,29.8,29.2,29.2,29.8,13.02,300.0
2018-03-08,31.0,29.5,29.5,30.5,13.326,7500.0
2018-03-09,29.7,28.5,28.5,29.6,12.932,3000.0
2018-03-12,29.2,29.2,29.2,29.2,12.758,300.0
2018-03-13,29.0,28.8,29.0,28.8,12.583,1700.0
2018-03-14,28.5,26.0,28.1,26.0,11.36,36700.0
2018-03-15,25.0,23.4,25.0,23.4,10.224,30300.0
2018-03-16,25.0,21.1,21.1,21.1,9.219,29600.0
2018-03-19,23.2,19.2,22.9,23.2,10.137,1400.0
2018-03-20,25.5,22.3,22.3,25.5,11.141,1200.0
2018-03-21,27.5,24.5,25.4,27.5,12.015,5600.0
2018-03-22,28.9,25.6,25.6,28.9,12.627,2000.0
2018-03-23,28.9,28.9,28.9,28.9,12.627,100.0
2018-03-26,27.6,26.1,26.1,27.6,12.059,2900.0
2018-03-27,27.9,25.6,25.6,27.5,12.015,600.0
2018-03-28,27.5,26.1,26.1,27.3,11.928,1300.0
2018-03-29,27.9,25.5,25.5,27.4,11.972,2700.0
2018-03-30,28.0,25.2,25.2,28.0,12.233,6000.0
2018-04-02,26.5,25.7,26.0,26.5,11.578,800.0
2018-04-03,26.5,25.1,25.1,26.1,11.404,700.0
2018-04-04,26.2,26.0,26.0,26.0,11.36,400.0
2018-04-05,26.1,26.0,26.0,26.1,11.404,200.0
2018-04-06,27.5,26.1,26.6,26.9,11.753,4600.0
2018-04-09,28.0,26.6,26.7,27.9,12.19,6000.0
2018-04-10,28.0,26.8,26.8,27.9,12.19,700.0
2018-04-11,29.9,26.8,28.4,26.8,11.709,900.0
2018-04-12,28.2,28.2,28.2,28.2,12.321,500.0
2018-04-13,29.9,27.9,28.2,28.9,12.627,3400.0
2018-04-16,28.9,28.9,28.9,28.9,12.627,200.0
2018-04-17,28.8,26.9,27.1,28.7,12.54,5900.0
2018-04-18,27.7,26.4,27.1,27.7,12.103,3000.0
2018-04-19,29.6,26.5,29.6,28.0,12.233,1400.0
2018-04-20,27.7,26.0,26.8,27.7,12.103,7200.0
2018-04-23,27.9,25.9,26.3,25.9,11.316,5100.0
2018-04-24,27.2,25.3,25.3,26.1,11.404,109000.0
2018-04-26,28.7,26.8,26.8,28.0,12.233,29900.0
2018-04-27,28.7,25.3,28.5,27.2,11.884,17700.0
2018-05-02,25.9,25.0,25.7,25.0,10.923,7900.0
2018-05-03,27.1,24.3,27.1,25.0,10.923,500.0
2018-05-04,27.5,26.1,26.1,26.9,11.753,5600.0
2018-05-07,27.9,26.3,26.9,26.9,11.753,3600.0
2018-05-08,29.5,24.7,27.0,24.8,10.836,21600.0
2018-05-09,27.2,23.2,26.9,25.0,10.923,12100.0
2018-05-10,27.5,23.9,23.9,25.0,10.923,46000.0
2018-05-11,26.7,24.8,24.8,26.5,11.578,1800.0
2018-05-14,26.9,25.2,25.2,26.5,11.578,3000.0
2018-05-15,28.5,24.9,26.4,24.9,10.879,31800.0
2018-05-16,24.9,24.7,24.9,24.9,10.879,1200.0
2018-05-17,24.9,24.9,24.9,24.9,10.879,200.0
2018-05-18,25.0,24.9,25.0,24.9,10.879,1800.0
2018-05-21,27.0,23.3,26.4,24.6,10.748,15900.0
2018-05-22,23.9,23.3,23.3,23.9,10.442,200.0
2018-05-23,23.5,22.6,23.5,22.6,9.874,30800.0
2018-05-24,22.5,22.2,22.2,22.5,9.831,500.0
2018-05-25,21.3,20.3,20.3,21.3,9.306,3300.0
2018-05-28,20.4,20.1,20.1,20.3,8.869,600.0
2018-05-29,20.1,19.5,19.5,20.1,8.782,500.0
2018-05-30,19.6,19.6,19.6,19.6,8.563,180.0
2018-05-31,21.1,19.4,19.5,21.1,9.219,700.0
2018-06-01,21.0,19.0,19.8,19.3,8.433,1000.0
2018-06-04,19.1,19.1,19.1,19.1,8.345,100.0
2018-06-05,20.6,19.4,19.4,19.8,8.651,910.0
2018-06-06,19.6,19.6,19.6,19.6,8.563,100.0
2018-06-07,21.0,19.1,19.1,19.8,8.651,2200.0
2018-06-08,21.3,19.1,19.9,19.4,8.476,3940.0
2018-06-11,21.0,19.3,19.4,19.5,8.52,10500.0
2018-06-12,21.4,19.0,19.0,20.0,8.738,11000.0
2018-06-13,20.0,18.3,20.0,19.1,8.345,1100.0
2018-06-14,20.8,18.2,18.2,20.8,9.088,200.0
2018-06-15,19.1,18.8,19.1,19.1,8.345,1820.0
2018-06-18,20.8,18.3,18.3,18.7,8.17,3800.0
2018-06-19,20.0,17.3,18.2,18.0,7.864,6300.0
2018-06-20,17.8,17.4,17.4,17.6,7.69,500.0
2018-06-21,17.4,16.1,17.0,16.1,7.034,4400.0
2018-06-22,17.7,14.7,15.2,15.8,6.903,4200.0
2018-06-25,17.2,15.3,15.4,17.2,7.515,1800.0
2018-06-26,16.4,15.6,16.4,15.8,6.903,1900.0
2018-06-27,16.8,14.9,14.9,16.4,7.165,1900.0
2018-06-28,17.3,15.1,15.1,15.9,6.947,3200.0
2018-06-29,15.5,15.2,15.5,15.2,6.641,3000.0
2018-07-02,16.1,15.8,16.1,15.8,6.903,600.0
