Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,13.4,12.7,13.0,12.8,10.711,837682.0
2018-01-03,13.0,12.2,12.8,12.4,10.376,1248703.0
2018-01-04,12.7,12.2,12.5,12.3,10.292,670215.0
2018-01-05,12.4,11.9,12.3,12.2,10.209,1246731.0
2018-01-08,12.2,11.6,12.2,11.6,9.707,703767.0
2018-01-09,12.4,11.5,11.7,12.1,10.125,753432.0
2018-01-10,13.0,12.0,12.3,12.3,10.292,1335996.0
2018-01-11,12.7,11.9,12.5,12.1,10.125,633560.0
2018-01-12,12.8,11.9,12.1,12.4,10.376,1636910.0
2018-01-15,12.5,12.1,12.4,12.2,10.209,304470.0
2018-01-16,12.4,12.1,12.4,12.2,10.209,361667.0
2018-01-17,12.3,11.7,12.2,11.7,9.79,1791260.0
2018-01-18,11.9,11.5,11.7,11.5,9.623,735855.0
2018-01-19,12.3,11.5,11.7,11.9,9.958,864049.0
2018-01-22,12.5,11.7,12.1,11.9,9.958,824981.0
2018-01-23,12.3,11.8,12.0,12.0,10.041,924200.0
2018-01-24,12.1,11.8,11.9,11.9,9.958,629380.0
2018-01-25,12.0,11.6,11.8,11.7,9.79,541366.0
2018-01-26,11.8,11.4,11.7,11.5,9.623,579944.0
2018-01-29,11.6,10.9,11.5,10.9,9.121,726370.0
2018-01-30,11.2,10.8,11.0,10.9,9.121,288600.0
2018-01-31,11.1,10.8,10.9,10.8,9.037,213070.0
2018-02-01,11.0,10.4,11.0,10.5,8.786,503909.0
2018-02-02,10.7,9.7,10.7,10.2,8.535,374960.0
2018-02-05,10.2,8.9,10.0,8.9,7.447,613680.0
2018-02-06,8.9,8.1,8.9,8.3,6.945,982800.0
2018-02-07,9.4,8.5,8.5,9.4,7.866,1002756.0
2018-02-08,10.4,9.1,9.8,9.1,7.615,453810.0
2018-02-09,9.2,8.3,9.0,8.9,7.447,406422.0
2018-02-12,9.4,8.9,9.2,9.0,7.531,202730.0
2018-02-13,9.3,8.7,9.3,8.9,7.447,283895.0
2018-02-21,10.2,9.0,9.0,10.2,8.535,1194108.0
2018-02-22,10.8,9.9,10.3,10.0,8.368,680830.0
2018-02-23,10.2,10.0,10.0,10.0,8.368,217107.0
2018-02-26,10.7,9.5,10.0,10.1,8.451,1574466.0
2018-02-27,10.2,9.6,10.1,10.0,8.368,347499.0
2018-02-28,10.0,9.5,10.0,9.6,8.033,286350.0
