Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,7.18,6.8,7.18,7.0,4.869,48170.0
2018-01-03,6.99,6.8,6.99,6.99,4.861,70240.0
2018-01-04,7.15,6.9,7.15,6.9,4.799,25500.0
2018-01-05,6.9,6.72,6.72,6.73,4.68,24730.0
2018-01-08,6.9,6.73,6.73,6.9,4.799,33160.0
2018-01-09,6.9,6.7,6.9,6.9,4.799,58340.0
2018-01-10,6.9,6.8,6.9,6.9,4.799,28240.0
2018-01-11,6.9,6.75,6.9,6.8,4.73,14790.0
2018-01-12,6.88,6.71,6.8,6.75,4.695,34690.0
2018-01-15,6.85,6.75,6.85,6.75,4.695,21450.0
2018-01-16,6.77,6.73,6.73,6.73,4.68,16880.0
2018-01-17,7.15,6.72,6.75,6.72,4.674,35670.0
2018-01-18,6.99,6.5,6.73,6.9,4.799,72760.0
2018-01-19,6.94,6.71,6.71,6.81,4.736,17720.0
2018-01-22,7.2,6.95,7.2,7.1,4.937,58280.0
2018-01-25,7.2,7.0,7.2,7.19,5.001,74400.0
2018-01-26,7.4,7.05,7.15,7.35,5.112,98920.0
2018-01-29,7.86,7.45,7.5,7.86,5.466,233400.0
2018-01-30,8.41,8.0,8.0,8.41,5.849,395080.0
2018-01-31,8.95,8.2,8.95,8.41,5.849,214910.0
2018-02-01,8.2,7.9,7.9,7.92,5.508,108090.0
2018-02-02,7.9,7.37,7.4,7.89,5.488,6830.0
2018-02-05,7.8,7.5,7.51,7.62,5.3,42870.0
2018-02-06,7.45,7.09,7.1,7.39,5.14,147870.0
2018-02-07,7.89,7.21,7.89,7.4,5.147,6420.0
2018-02-08,7.4,6.95,7.4,7.4,5.147,820.0
2018-02-09,7.5,6.91,6.91,7.3,5.077,9550.0
2018-02-12,7.81,7.01,7.01,7.78,5.411,19420.0
2018-02-13,7.79,7.4,7.79,7.78,5.411,8300.0
2018-02-21,8.0,7.88,7.98,7.98,5.55,11480.0
2018-02-22,7.98,7.47,7.98,7.8,5.426,14030.0
2018-02-23,7.95,7.8,7.8,7.85,5.46,6040.0
2018-02-26,8.0,7.8,8.0,7.85,5.46,3240.0
2018-02-27,7.85,7.62,7.85,7.7,5.356,91400.0
2018-02-28,7.83,7.6,7.7,7.7,5.356,19090.0
2018-03-01,7.9,7.5,7.7,7.79,5.417,9270.0
2018-03-02,7.8,7.6,7.8,7.75,5.391,3440.0
2018-03-05,7.84,7.5,7.84,7.69,5.348,8310.0
2018-03-06,7.7,7.4,7.4,7.69,5.348,47580.0
2018-03-07,7.69,7.5,7.65,7.69,5.348,19750.0
2018-03-08,7.7,7.51,7.7,7.69,5.348,21730.0
2018-03-09,7.7,7.53,7.53,7.7,5.356,33160.0
2018-03-12,7.7,7.51,7.7,7.63,5.306,14690.0
2018-03-13,7.7,7.7,7.7,7.7,5.356,500.0
2018-03-14,7.7,7.5,7.5,7.65,5.32,20790.0
2018-03-15,7.65,7.51,7.65,7.65,5.32,1780.0
2018-03-16,7.7,7.53,7.53,7.7,5.356,12380.0
2018-03-19,7.75,7.57,7.57,7.6,5.285,22200.0
2018-03-20,7.7,7.31,7.31,7.6,5.285,19210.0
2018-03-21,7.7,7.6,7.6,7.6,5.285,17430.0
2018-03-22,7.77,7.6,7.6,7.6,5.285,54760.0
2018-03-23,7.6,7.51,7.6,7.6,5.285,710.0
2018-03-26,7.75,7.52,7.6,7.75,5.391,35070.0
2018-03-27,7.73,7.31,7.7,7.51,5.223,8430.0
2018-03-28,7.7,7.51,7.51,7.55,5.251,50030.0
2018-03-29,8.05,7.54,8.05,7.54,5.244,15490.0
2018-03-30,7.8,7.8,7.8,7.8,5.426,10.0
2018-04-02,7.79,7.26,7.26,7.6,5.285,64800.0
2018-04-03,7.7,7.6,7.7,7.6,5.285,1220.0
2018-04-04,7.5,7.31,7.5,7.5,5.216,12850.0
2018-04-05,7.5,7.2,7.5,7.4,5.147,2500.0
2018-04-06,7.4,7.25,7.28,7.33,5.098,18850.0
2018-04-09,7.84,7.4,7.4,7.69,5.348,16590.0
2018-04-10,7.59,7.4,7.5,7.55,5.251,10160.0
2018-04-11,7.7,7.3,7.35,7.59,5.279,4310.0
2018-04-12,7.8,7.6,7.67,7.8,5.426,14460.0
2018-04-13,7.8,7.5,7.8,7.69,5.348,15820.0
2018-04-16,8.15,7.65,7.7,7.9,5.495,39650.0
2018-04-17,7.9,7.65,7.9,7.8,5.426,2380.0
2018-04-18,7.9,7.66,7.8,7.88,5.481,6060.0
2018-04-19,7.9,7.7,7.9,7.7,5.356,11830.0
2018-04-20,7.9,7.45,7.7,7.8,5.426,23710.0
2018-04-23,7.8,7.5,7.8,7.8,5.426,11570.0
2018-04-24,7.8,7.7,7.8,7.8,5.426,13400.0
2018-04-26,7.79,7.52,7.7,7.79,5.417,1150.0
2018-04-27,7.79,7.5,7.79,7.79,5.417,16420.0
2018-05-02,7.65,7.3,7.55,7.3,5.077,49650.0
2018-05-03,7.45,6.9,6.9,7.45,5.182,10500.0
2018-05-04,7.4,7.4,7.4,7.4,5.147,300.0
2018-05-07,7.4,7.2,7.4,7.4,5.147,3980.0
2018-05-08,7.4,7.01,7.25,7.4,5.147,1280.0
2018-05-09,7.3,7.2,7.3,7.2,5.007,20980.0
2018-05-10,7.39,7.16,7.2,7.16,4.98,9740.0
2018-05-11,7.66,7.15,7.66,7.3,5.077,1890.0
2018-05-14,7.3,7.3,7.3,7.3,5.077,10.0
2018-05-15,7.55,7.16,7.55,7.16,4.98,4360.0
2018-05-16,7.3,7.1,7.3,7.1,4.937,16800.0
2018-05-17,7.19,7.01,7.05,7.19,5.001,4740.0
2018-05-18,7.2,7.19,7.2,7.19,5.001,2110.0
2018-05-21,7.29,6.8,6.8,7.29,5.07,80.0
2018-05-22,7.29,7.0,7.0,7.29,5.07,1220.0
2018-05-23,7.29,7.0,7.29,7.28,5.062,520.0
2018-05-24,7.29,7.27,7.29,7.27,5.056,20.0
2018-05-25,7.27,7.27,7.27,7.27,5.056,0.0
2018-05-28,7.2,6.83,6.83,7.0,4.869,6670.0
2018-05-29,7.2,6.52,6.6,7.2,5.007,1010.0
2018-05-30,7.2,6.9,6.9,7.2,5.007,1700.0
2018-05-31,7.18,7.18,7.18,7.18,4.994,1350.0
2018-06-01,7.19,7.0,7.17,7.19,5.001,11400.0
2018-06-04,7.19,7.05,7.05,7.08,4.925,26640.0
2018-06-05,7.15,7.0,7.15,7.06,4.91,5740.0
2018-06-06,7.2,7.0,7.2,7.17,4.986,38360.0
2018-06-07,7.17,7.0,7.17,7.1,4.937,18240.0
2018-06-08,7.1,6.95,6.95,7.1,4.937,10940.0
2018-06-11,7.1,6.91,7.1,6.91,4.806,3880.0
2018-06-12,7.05,6.91,6.91,7.05,4.903,16700.0
2018-06-13,7.05,7.0,7.05,7.05,4.903,5060.0
2018-06-14,7.05,7.0,7.05,7.05,4.903,15630.0
2018-06-15,7.05,7.03,7.05,7.05,4.903,6600.0
2018-06-18,7.05,6.8,6.8,7.05,4.903,10330.0
2018-06-19,7.04,6.95,6.95,7.01,4.876,11330.0
2018-06-20,7.04,7.0,7.01,7.04,4.896,3740.0
2018-06-21,7.04,7.04,7.04,7.04,4.896,7530.0
2018-06-22,7.08,7.01,7.03,7.08,4.925,16490.0
2018-06-25,7.08,7.03,7.04,7.08,4.925,7000.0
2018-06-26,7.0,7.0,7.0,7.0,4.869,7490.0
2018-06-27,7.05,7.0,7.0,7.05,4.903,12710.0
2018-06-28,7.06,7.04,7.04,7.06,4.91,20540.0
2018-06-29,7.06,7.0,7.0,7.06,4.91,9010.0
2018-07-02,7.05,6.95,6.95,7.05,4.903,180.0
2018-07-03,7.03,6.7,6.95,7.02,4.882,15490.0
2018-07-04,7.0,7.0,7.0,7.0,4.869,2000.0
2018-07-05,7.0,7.0,7.0,7.0,4.869,0.0
2018-07-06,7.0,6.8,6.8,7.0,4.869,5550.0
2018-07-09,7.0,7.0,7.0,7.0,4.869,160.0
2018-07-10,6.9,6.6,6.73,6.9,4.799,7310.0
2018-07-11,6.9,6.6,6.6,6.9,4.799,12020.0
2018-07-12,6.9,6.61,6.9,6.9,4.799,4490.0
2018-07-13,6.98,6.6,6.62,6.9,4.799,7110.0
2018-07-16,6.95,6.95,6.95,6.95,4.835,560.0
2018-07-17,6.89,6.75,6.89,6.89,4.791,1020.0
2018-07-18,7.3,6.71,6.8,7.3,5.077,23410.0
2018-07-19,7.29,6.94,7.29,6.94,4.827,800.0
2018-07-20,7.2,6.94,7.2,7.2,5.007,2490.0
2018-07-23,7.25,7.01,7.2,7.24,5.036,5160.0
2018-07-24,7.1,7.01,7.01,7.1,4.937,14110.0
2018-07-25,7.25,7.19,7.19,7.25,5.042,15010.0
2018-07-26,7.2,7.09,7.09,7.2,5.007,40.0
2018-07-27,7.2,7.02,7.02,7.2,5.007,3310.0
2018-07-30,7.2,7.1,7.1,7.2,5.007,20.0
2018-07-31,7.23,7.1,7.15,7.1,4.937,6780.0
2018-08-01,7.25,7.14,7.15,7.14,4.966,3450.0
2018-08-02,6.79,6.75,6.77,6.75,5.126,6200.0
2018-08-03,6.89,6.31,6.89,6.87,5.216,1360.0
2018-08-06,6.84,6.4,6.41,6.84,5.193,7650.0
2018-08-07,6.6,6.4,6.4,6.5,4.936,14310.0
2018-08-08,6.49,6.41,6.41,6.49,4.928,3610.0
2018-08-09,6.86,6.49,6.5,6.86,5.209,17100.0
2018-08-10,6.86,6.86,6.86,6.86,5.209,0.0
2018-08-13,6.85,6.84,6.85,6.85,5.201,1100.0
