Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,2.9,2.86,2.9,2.87,2.87,19600.0
2018-01-03,2.89,2.82,2.89,2.82,2.82,149530.0
2018-01-04,2.9,2.83,2.84,2.89,2.89,91920.0
2018-01-05,2.89,2.82,2.89,2.82,2.82,43430.0
2018-01-08,3.0,2.89,2.9,2.94,2.94,141210.0
2018-01-09,2.94,2.84,2.89,2.9,2.9,220410.0
2018-01-10,2.94,2.87,2.9,2.88,2.88,32650.0
2018-01-11,2.9,2.84,2.86,2.9,2.9,90200.0
2018-01-12,2.91,2.81,2.87,2.88,2.88,229860.0
2018-01-15,2.91,2.8,2.91,2.81,2.81,111770.0
2018-01-16,2.85,2.8,2.81,2.83,2.83,108560.0
2018-01-17,2.86,2.83,2.83,2.85,2.85,136090.0
2018-01-18,2.89,2.8,2.85,2.86,2.86,151320.0
2018-01-19,2.88,2.83,2.88,2.86,2.86,86100.0
2018-01-22,2.82,2.75,2.82,2.76,2.76,81420.0
2018-01-25,2.8,2.7,2.76,2.8,2.8,147940.0
2018-01-26,2.8,2.67,2.72,2.8,2.8,80990.0
2018-01-29,2.8,2.62,2.8,2.63,2.63,51860.0
2018-01-30,2.64,2.5,2.61,2.52,2.52,192700.0
2018-01-31,2.69,2.52,2.52,2.69,2.69,112700.0
2018-02-01,2.87,2.8,2.86,2.87,2.87,389550.0
2018-02-02,3.05,2.87,3.0,2.92,2.92,319710.0
2018-02-05,2.92,2.72,2.92,2.72,2.72,59430.0
2018-02-06,2.73,2.53,2.65,2.6,2.6,75730.0
2018-02-07,2.78,2.42,2.6,2.62,2.62,149840.0
2018-02-08,2.79,2.62,2.69,2.62,2.62,104540.0
2018-02-09,2.73,2.52,2.73,2.52,2.52,29220.0
2018-02-12,2.68,2.6,2.6,2.67,2.67,35100.0
2018-02-13,2.8,2.62,2.8,2.75,2.75,11760.0
2018-02-21,2.75,2.75,2.75,2.75,2.75,4410.0
2018-02-22,2.71,2.6,2.71,2.7,2.7,65760.0
2018-02-23,2.66,2.52,2.55,2.52,2.52,377240.0
2018-02-26,2.5,2.43,2.45,2.45,2.45,112390.0
2018-02-27,2.6,2.28,2.33,2.44,2.44,333330.0
2018-02-28,2.45,2.27,2.45,2.4,2.4,621230.0
2018-03-01,2.4,2.3,2.4,2.35,2.35,221080.0
2018-03-02,2.51,2.35,2.35,2.51,2.51,479650.0
2018-03-05,2.68,2.68,2.68,2.68,2.68,174900.0
2018-03-06,2.85,2.5,2.85,2.68,2.68,335520.0
2018-03-07,2.64,2.51,2.6,2.64,2.64,263500.0
2018-03-08,2.62,2.46,2.6,2.5,2.5,296760.0
2018-03-09,2.5,2.4,2.5,2.4,2.4,108630.0
2018-03-12,2.54,2.31,2.4,2.48,2.48,234910.0
2018-03-13,2.45,2.32,2.45,2.4,2.4,50910.0
2018-03-14,2.56,2.43,2.43,2.5,2.5,143860.0
2018-03-15,2.52,2.46,2.5,2.52,2.52,87770.0
2018-03-16,2.52,2.42,2.48,2.5,2.5,50070.0
2018-03-19,2.48,2.37,2.37,2.43,2.43,33840.0
2018-03-20,2.44,2.4,2.4,2.44,2.44,14480.0
2018-03-21,2.48,2.37,2.48,2.42,2.42,84050.0
2018-03-22,2.42,2.37,2.42,2.37,2.37,36410.0
2018-03-23,2.49,2.38,2.49,2.43,2.43,54710.0
2018-03-26,2.48,2.43,2.45,2.43,2.43,106660.0
2018-03-27,2.47,2.4,2.43,2.47,2.47,70440.0
2018-03-28,2.47,2.35,2.46,2.35,2.35,30700.0
2018-03-29,2.42,2.35,2.35,2.4,2.4,16190.0
2018-03-30,2.46,2.25,2.4,2.25,2.25,101250.0
2018-04-02,2.35,2.29,2.29,2.35,2.35,9120.0
2018-04-03,2.39,2.2,2.32,2.38,2.38,57530.0
2018-04-04,2.39,2.31,2.38,2.38,2.38,46360.0
2018-04-05,2.38,2.3,2.38,2.33,2.33,14870.0
2018-04-06,2.35,2.29,2.29,2.35,2.35,65440.0
2018-04-09,2.37,2.3,2.3,2.37,2.37,32000.0
2018-04-10,2.37,2.32,2.37,2.33,2.33,12570.0
2018-04-11,2.3,2.25,2.3,2.27,2.27,38760.0
2018-04-12,2.3,2.23,2.28,2.3,2.3,10810.0
2018-04-13,2.34,2.26,2.34,2.3,2.3,10420.0
2018-04-16,2.32,2.3,2.3,2.31,2.31,118350.0
2018-04-17,2.35,2.3,2.35,2.3,2.3,17170.0
2018-04-18,2.34,2.28,2.3,2.33,2.33,18140.0
2018-04-19,2.33,2.24,2.3,2.26,2.26,52500.0
2018-04-20,2.29,2.22,2.25,2.29,2.29,17310.0
2018-04-23,2.29,2.2,2.2,2.29,2.29,1890.0
2018-04-24,2.17,2.17,2.17,2.17,2.17,3810.0
2018-04-26,2.29,2.15,2.17,2.15,2.15,7790.0
2018-04-27,2.22,2.0,2.2,2.22,2.22,26930.0
2018-05-02,2.27,2.1,2.2,2.23,2.23,30740.0
2018-05-03,2.23,2.08,2.09,2.08,2.08,103210.0
2018-05-04,2.15,2.05,2.05,2.09,2.09,3700.0
2018-05-07,2.08,1.95,2.07,1.95,1.95,27060.0
2018-05-08,2.08,1.9,1.98,2.0,2.0,36670.0
2018-05-09,2.05,1.86,2.0,2.0,2.0,341190.0
2018-05-10,2.04,1.96,2.0,2.03,2.03,25270.0
2018-05-11,2.02,1.9,1.92,1.95,1.95,26100.0
2018-05-14,2.0,1.86,2.0,1.95,1.95,44450.0
2018-05-15,1.97,1.9,1.95,1.91,1.91,10730.0
2018-05-16,1.95,1.91,1.91,1.95,1.95,20450.0
2018-05-17,2.0,1.95,1.95,1.95,1.95,87530.0
2018-05-18,1.99,1.94,1.99,1.98,1.98,12530.0
2018-05-21,1.98,1.96,1.98,1.98,1.98,47820.0
2018-05-22,1.98,1.88,1.98,1.97,1.97,43790.0
2018-05-23,1.97,1.84,1.97,1.84,1.84,133810.0
2018-05-24,1.96,1.84,1.84,1.86,1.86,19720.0
2018-05-25,1.93,1.73,1.93,1.84,1.84,159360.0
2018-05-28,1.84,1.72,1.84,1.76,1.76,54100.0
2018-05-29,1.82,1.71,1.76,1.8,1.8,4150.0
2018-05-30,1.88,1.68,1.8,1.88,1.88,26820.0
2018-05-31,1.88,1.75,1.75,1.77,1.77,5460.0
2018-06-01,1.86,1.78,1.79,1.86,1.86,73280.0
2018-06-04,1.86,1.82,1.86,1.85,1.85,38140.0
2018-06-05,1.85,1.8,1.8,1.8,1.8,31880.0
2018-06-06,1.85,1.8,1.8,1.81,1.81,19900.0
2018-06-07,1.85,1.7,1.8,1.75,1.75,33310.0
2018-06-08,1.8,1.75,1.76,1.8,1.8,59810.0
