Date,High,Low,Open,Close,Adj Close,Volume
2018-01-08,33.5,29.0,29.0,33.5,18.936,500.0
2018-01-09,32.6,32.6,32.6,32.6,18.427,0.0
2018-01-10,30.0,30.0,30.0,30.0,16.957,1500.0
2018-01-11,28.6,28.4,28.6,28.4,16.053,3520.0
2018-01-12,29.0,29.0,29.0,29.0,16.392,2700.0
2018-01-15,29.0,29.0,29.0,29.0,16.392,0.0
2018-01-16,29.0,29.0,29.0,29.0,16.392,3100.0
2018-01-17,29.0,29.0,29.0,29.0,16.392,4600.0
2018-01-18,29.0,29.0,29.0,29.0,16.392,151.0
2018-01-19,29.0,29.0,29.0,29.0,16.392,0.0
2018-01-22,29.0,29.0,29.0,29.0,16.392,2000.0
2018-01-23,29.5,29.0,29.5,29.0,16.392,1179.0
2018-01-24,29.0,28.3,28.3,29.0,16.392,2400.0
2018-01-25,28.6,28.6,28.6,28.6,16.166,0.0
2018-01-26,28.2,28.2,28.2,28.2,15.94,100.0
2018-01-29,28.2,28.2,28.2,28.2,15.94,0.0
2018-01-30,28.2,28.2,28.2,28.2,15.94,0.0
2018-01-31,28.2,28.2,28.2,28.2,15.94,0.0
2018-02-01,28.2,28.2,28.2,28.2,15.94,0.0
2018-02-02,28.2,28.2,28.2,28.2,15.94,0.0
2018-02-05,29.0,28.3,29.0,28.5,16.109,3400.0
2018-02-06,28.2,28.0,28.2,28.2,15.94,2200.0
2018-02-07,28.1,28.1,28.1,28.1,15.883,0.0
2018-02-08,28.1,28.1,28.1,28.1,15.883,0.0
2018-02-09,28.5,28.5,28.5,28.5,16.109,800.0
2018-02-12,28.5,28.5,28.5,28.5,16.109,0.0
2018-02-13,28.5,28.5,28.5,28.5,16.109,0.0
2018-02-21,28.5,28.5,28.5,28.5,16.109,0.0
2018-02-22,31.0,30.0,30.0,31.0,17.523,339.0
2018-02-23,30.5,26.0,26.0,30.0,16.957,3800.0
2018-02-26,30.0,24.8,24.8,30.0,16.957,1100.0
2018-02-27,29.0,24.9,24.9,29.0,16.392,298.0
2018-02-28,30.0,29.0,29.0,30.0,16.957,1100.0
2018-03-01,29.7,29.7,29.7,29.7,16.788,0.0
2018-03-02,28.5,28.5,28.5,28.5,16.109,100.0
2018-03-05,30.0,30.0,30.0,30.0,16.957,1100.0
2018-03-06,30.0,30.0,30.0,30.0,16.957,0.0
2018-03-07,30.0,30.0,30.0,30.0,16.957,0.0
2018-03-08,29.0,28.5,29.0,28.5,16.109,4000.0
2018-03-09,28.6,28.6,28.6,28.6,16.166,0.0
2018-03-12,28.6,28.6,28.6,28.6,16.166,0.0
2018-03-13,28.6,28.6,28.6,28.6,16.166,1000.0
2018-03-14,28.8,28.8,28.8,28.8,16.279,1000.0
2018-03-15,29.0,29.0,29.0,29.0,16.392,4400.0
2018-03-16,29.0,29.0,29.0,29.0,16.392,0.0
2018-03-19,28.0,28.0,28.0,28.0,15.827,2800.0
2018-03-20,28.0,28.0,28.0,28.0,15.827,0.0
2018-03-21,28.0,28.0,28.0,28.0,15.827,0.0
2018-03-22,28.0,28.0,28.0,28.0,15.827,0.0
2018-03-23,28.0,28.0,28.0,28.0,15.827,0.0
2018-03-26,28.0,28.0,28.0,28.0,15.827,0.0
2018-03-27,28.5,27.0,28.5,27.0,15.262,4900.0
2018-03-28,26.5,26.5,26.5,26.5,14.979,3900.0
2018-03-29,30.0,30.0,30.0,30.0,16.957,100.0
2018-03-30,30.0,30.0,30.0,30.0,16.957,0.0
2018-04-02,30.0,30.0,30.0,30.0,16.957,0.0
2018-04-03,28.9,26.0,26.0,28.9,16.336,500.0
2018-04-04,27.0,27.0,27.0,27.0,15.262,100.0
2018-04-05,27.2,27.0,27.0,27.2,15.375,1000.0
2018-04-06,27.2,27.2,27.2,27.2,15.375,0.0
2018-04-09,27.8,27.5,27.8,27.5,15.544,5600.0
2018-04-10,29.0,27.5,29.0,27.5,15.544,2100.0
2018-04-11,27.0,27.0,27.0,27.0,15.262,3000.0
2018-04-12,27.0,27.0,27.0,27.0,15.262,0.0
2018-04-13,27.0,27.0,27.0,27.0,15.262,0.0
2018-04-16,26.5,25.9,26.5,26.5,14.979,5000.0
2018-04-17,26.5,26.0,26.0,26.2,14.809,4520.0
2018-04-18,26.5,25.2,25.2,26.0,14.696,2500.0
2018-04-19,26.5,26.5,26.5,26.5,14.979,100.0
2018-04-20,26.5,26.0,26.0,26.5,14.979,1700.0
2018-04-23,26.5,26.5,26.5,26.5,14.979,500.0
2018-04-24,26.4,25.8,26.2,26.0,14.696,2000.0
2018-04-26,26.1,26.1,26.1,26.1,14.753,0.0
2018-04-27,25.5,25.5,25.5,25.5,14.414,500.0
2018-05-02,27.5,26.0,26.0,26.0,14.696,10000.0
2018-05-03,27.5,27.0,27.5,27.0,15.262,1006.0
2018-05-04,27.5,27.5,27.5,27.5,15.544,200.0
2018-05-07,27.5,27.5,27.5,27.5,15.544,18.0
2018-05-08,27.5,27.5,27.5,27.5,15.544,0.0
2018-05-09,29.0,27.5,29.0,27.5,15.544,5500.0
2018-05-10,28.6,26.1,26.1,26.2,14.809,2100.0
2018-05-11,27.5,27.5,27.5,27.5,15.544,310.0
2018-05-14,29.0,26.1,29.0,26.1,15.368,7398.0
2018-05-15,29.0,29.0,29.0,29.0,17.075,0.0
2018-05-16,29.0,29.0,29.0,29.0,17.075,6100.0
2018-05-17,29.0,29.0,29.0,29.0,17.075,100.0
2018-05-18,29.0,29.0,29.0,29.0,17.075,0.0
2018-05-21,29.0,29.0,29.0,29.0,17.075,1300.0
2018-05-22,29.0,29.0,29.0,29.0,17.075,500.0
2018-05-23,29.0,29.0,29.0,29.0,17.075,0.0
2018-05-24,29.1,29.0,29.0,29.1,17.134,700.0
2018-05-25,29.1,29.1,29.1,29.1,17.134,0.0
2018-05-28,30.3,27.0,29.0,27.1,15.956,9014.0
2018-05-29,27.9,27.9,27.9,27.9,16.427,4000.0
2018-05-30,27.9,27.0,27.0,27.9,16.427,1500.0
2018-05-31,27.3,27.3,27.3,27.3,16.074,0.0
2018-06-01,27.3,25.9,25.9,27.3,16.074,1500.0
2018-06-04,27.0,27.0,27.0,27.0,15.898,400.0
2018-06-05,27.0,27.0,27.0,27.0,15.898,68.0
2018-06-06,27.0,27.0,27.0,27.0,15.898,0.0
2018-06-07,29.5,29.0,29.5,29.0,17.075,600.0
2018-06-08,29.4,29.4,29.4,29.4,17.311,0.0
2018-06-11,29.4,29.4,29.4,29.4,17.311,0.0
2018-06-12,29.4,29.4,29.4,29.4,17.311,0.0
2018-06-13,29.4,29.4,29.4,29.4,17.311,0.0
2018-06-14,29.4,29.4,29.4,29.4,17.311,0.0
2018-06-15,29.4,29.4,29.4,29.4,17.311,30.0
2018-06-18,29.4,29.4,29.4,29.4,17.311,0.0
2018-06-19,29.4,29.4,29.4,29.4,17.311,0.0
2018-06-20,27.1,27.0,27.1,27.0,15.898,23900.0
2018-06-21,27.0,27.0,27.0,27.0,15.898,13300.0
2018-06-22,27.0,27.0,27.0,27.0,15.898,0.0
2018-06-25,27.0,27.0,27.0,27.0,15.898,1100.0
2018-06-26,27.0,27.0,27.0,27.0,15.898,0.0
2018-06-27,26.5,26.0,26.5,26.0,15.309,4800.0
2018-06-28,26.2,26.2,26.2,26.2,15.426,0.0
2018-06-29,28.5,28.0,28.0,28.0,16.486,2400.0
2018-07-02,28.2,28.2,28.2,28.2,16.604,0.0
2018-07-03,28.2,28.2,28.2,28.2,16.604,0.0
2018-07-04,28.2,28.2,28.2,28.2,16.604,0.0
2018-07-05,28.2,28.2,28.2,28.2,16.604,0.0
2018-07-06,28.2,28.2,28.2,28.2,16.604,0.0
2018-07-09,27.0,27.0,27.0,27.0,15.898,500.0
2018-07-10,27.0,27.0,27.0,27.0,15.898,3900.0
2018-07-11,27.0,27.0,27.0,27.0,15.898,0.0
2018-07-12,27.0,27.0,27.0,27.0,15.898,0.0
2018-07-13,27.0,27.0,27.0,27.0,15.898,0.0
2018-07-16,27.0,27.0,27.0,27.0,15.898,0.0
2018-07-17,27.0,27.0,27.0,27.0,15.898,0.0
2018-07-18,28.0,28.0,28.0,28.0,16.486,1000.0
2018-07-19,28.5,28.1,28.5,28.1,16.545,1100.0
2018-07-20,28.5,28.5,28.5,28.5,16.781,98.0
2018-07-23,28.5,28.5,28.5,28.5,16.781,0.0
2018-07-24,28.5,28.5,28.5,28.5,16.781,0.0
2018-07-25,28.5,28.5,28.5,28.5,16.781,0.0
2018-07-26,27.0,27.0,27.0,27.0,15.898,900.0
2018-07-27,27.0,27.0,27.0,27.0,15.898,0.0
2018-07-30,27.0,27.0,27.0,27.0,15.898,0.0
2018-07-31,29.5,29.5,29.5,29.5,17.37,100.0
2018-08-01,29.5,29.5,29.5,29.5,17.37,0.0
2018-08-02,29.5,29.5,29.5,29.5,17.37,0.0
2018-08-03,29.5,29.5,29.5,29.5,17.37,0.0
2018-08-06,29.5,29.5,29.5,29.5,17.37,0.0
2018-08-07,27.0,27.0,27.0,27.0,15.898,4600.0
2018-08-08,27.0,27.0,27.0,27.0,15.898,0.0
2018-08-09,27.5,27.0,27.5,27.0,15.898,605.0
2018-08-10,27.4,27.4,27.4,27.4,16.133,17.0
2018-08-13,27.4,27.4,27.4,27.4,16.133,0.0
2018-08-14,29.0,28.5,28.5,29.0,17.075,5000.0
2018-08-15,29.0,29.0,29.0,29.0,17.075,1000.0
2018-08-16,28.2,28.0,28.0,28.2,16.604,2600.0
2018-08-17,28.0,28.0,28.0,28.0,16.486,0.0
2018-08-20,28.0,28.0,28.0,28.0,16.486,0.0
2018-08-21,27.5,27.5,27.5,27.5,16.192,1000.0
2018-08-22,27.5,27.0,27.5,27.0,15.898,1100.0
2018-08-23,28.0,28.0,28.0,28.0,16.486,8200.0
2018-08-24,28.0,28.0,28.0,28.0,16.486,300.0
2018-08-27,28.0,28.0,28.0,28.0,16.486,10.0
2018-08-28,27.1,27.1,27.1,27.1,15.956,100.0
2018-08-29,28.5,27.2,28.5,27.2,16.015,1100.0
2018-08-30,27.2,27.2,27.2,27.2,16.015,500.0
2018-08-31,27.2,27.2,27.2,27.2,16.015,0.0
2018-09-04,27.2,27.2,27.2,27.2,16.015,0.0
2018-09-05,27.2,27.2,27.2,27.2,16.015,0.0
2018-09-06,27.7,27.7,27.7,27.7,16.31,200.0
2018-09-07,27.7,27.7,27.7,27.7,16.31,0.0
2018-09-10,27.7,27.7,27.7,27.7,16.31,28.0
2018-09-11,27.7,27.7,27.7,27.7,16.31,0.0
2018-09-12,27.7,27.7,27.7,27.7,16.31,0.0
2018-09-13,27.7,27.7,27.7,27.7,16.31,0.0
2018-09-14,27.7,27.7,27.7,27.7,16.31,500.0
2018-09-17,27.7,27.7,27.7,27.7,16.31,0.0
2018-09-18,29.0,27.7,27.7,28.5,16.781,2600.0
2018-09-19,28.6,28.6,28.6,28.6,16.84,0.0
2018-09-20,28.5,28.5,28.5,28.5,16.781,3000.0
2018-09-21,28.5,28.5,28.5,28.5,16.781,0.0
2018-09-24,28.0,28.0,28.0,28.0,16.486,100.0
2018-09-25,28.0,28.0,28.0,28.0,16.486,10.0
2018-09-26,28.0,28.0,28.0,28.0,16.486,0.0
2018-09-27,29.8,29.0,29.0,29.8,17.546,1300.0
2018-09-28,33.0,29.1,33.0,29.1,17.134,200.0
2018-10-01,31.1,31.1,31.1,31.1,18.312,5000.0
2018-10-02,29.5,29.5,29.5,29.5,17.37,100.0
2018-10-03,30.0,30.0,30.0,30.0,17.664,8128.0
2018-10-04,30.0,30.0,30.0,30.0,17.664,0.0
2018-10-05,30.0,30.0,30.0,30.0,17.664,0.0
2018-10-08,30.0,30.0,30.0,30.0,17.664,500.0
2018-10-09,30.0,30.0,30.0,30.0,17.664,1500.0
2018-10-10,30.0,30.0,30.0,30.0,17.664,4300.0
2018-10-11,30.0,30.0,30.0,30.0,17.664,8800.0
2018-10-12,34.5,34.5,34.5,34.5,20.313,100.0
2018-10-15,34.5,34.5,34.5,34.5,20.313,18.0
2018-10-16,34.5,34.5,34.5,34.5,20.313,0.0
2018-10-17,29.4,29.4,29.4,29.4,17.311,100.0
2018-10-18,30.0,30.0,30.0,30.0,17.664,600.0
2018-10-19,30.0,30.0,30.0,30.0,17.664,0.0
2018-10-22,30.0,30.0,30.0,30.0,17.664,0.0
2018-10-23,30.0,30.0,30.0,30.0,17.664,5200.0
2018-10-24,27.7,27.7,27.7,27.7,16.31,100.0
2018-10-25,30.0,30.0,30.0,30.0,17.664,1000.0
2018-10-26,30.0,30.0,30.0,30.0,17.664,0.0
2018-10-29,29.5,29.0,29.2,29.5,17.37,3000.0
2018-10-30,29.3,29.3,29.3,29.3,17.252,0.0
2018-10-31,30.0,30.0,30.0,30.0,17.664,8600.0
2018-11-01,30.0,30.0,30.0,30.0,17.664,0.0
2018-11-02,30.3,30.3,30.3,30.3,17.841,1200.0
2018-11-05,30.3,30.3,30.3,30.3,17.841,3100.0
2018-11-06,30.3,30.3,30.3,30.3,17.841,0.0
2018-11-07,30.3,30.3,30.3,30.3,17.841,0.0
