Date,High,Low,Open,Close,Adj Close,Volume
2021-09-08,11.0,11.0,11.0,11.0,11.0,0.0
2021-09-09,11.0,11.0,11.0,11.0,11.0,0.0
2021-09-10,11.0,11.0,11.0,11.0,11.0,0.0
2021-09-13,11.0,11.0,11.0,11.0,11.0,0.0
2021-09-14,11.0,11.0,11.0,11.0,11.0,0.0
2021-09-15,11.0,11.0,11.0,11.0,11.0,0.0
2021-09-16,15.4,15.4,15.4,15.4,15.4,1800.0
2021-09-17,17.7,17.7,17.7,17.7,17.7,114900.0
2021-09-20,20.3,18.8,20.3,18.9,18.9,658100.0
2021-09-21,20.4,18.5,19.3,18.6,18.6,760800.0
2021-09-22,18.0,16.8,18.0,16.8,16.8,350800.0
2021-09-23,16.8,15.2,16.8,15.4,15.4,104100.0
2021-09-24,15.7,14.7,15.7,15.1,15.1,72900.0
2021-09-27,15.6,15.0,15.1,15.5,15.5,291900.0
2021-09-28,15.7,15.5,15.5,15.6,15.6,189300.0
2021-09-29,16.0,15.5,15.7,15.9,15.9,199200.0
2021-09-30,16.0,15.6,15.9,15.7,15.7,57000.0
2021-10-01,15.8,15.4,15.8,15.5,15.5,168600.0
2021-10-04,15.4,15.0,15.4,15.1,15.1,141000.0
2021-10-05,15.4,15.0,15.0,15.2,15.2,322500.0
2021-10-06,15.4,15.0,15.0,15.3,15.3,172000.0
2021-10-07,15.5,15.2,15.3,15.4,15.4,155900.0
2021-10-08,15.4,15.0,15.4,15.1,15.1,91600.0
2021-10-11,15.2,15.0,15.2,15.0,15.0,347800.0
2021-10-12,15.1,14.7,15.1,15.0,15.0,201200.0
2021-10-13,17.0,14.9,17.0,15.1,15.1,172200.0
2021-10-14,15.2,15.0,15.1,15.1,15.1,113000.0
2021-10-15,15.3,15.0,15.1,15.0,15.0,172300.0
2021-10-18,15.2,14.9,15.2,15.0,15.0,90400.0
2021-10-19,15.2,15.0,15.1,15.0,15.0,99700.0
2021-10-20,15.1,15.0,15.1,15.0,15.0,116400.0
2021-10-21,15.1,14.7,15.1,15.0,15.0,94800.0
2021-10-22,15.3,15.0,15.0,15.2,15.2,106800.0
2021-10-25,15.5,14.9,15.2,15.1,15.1,494900.0
2021-10-26,15.3,15.0,15.2,15.1,15.1,319400.0
2021-10-27,15.2,14.9,15.1,15.0,15.0,287500.0
2021-10-28,15.1,14.8,15.0,14.9,14.9,265500.0
2021-10-29,15.0,14.6,15.0,14.7,14.7,280400.0
2021-11-01,14.9,14.7,14.7,14.8,14.8,437200.0
2021-11-02,14.8,14.3,14.8,14.4,14.4,404700.0
2021-11-03,14.4,14.1,14.4,14.4,14.4,298000.0
2021-11-04,14.5,14.3,14.3,14.4,14.4,294200.0
2021-11-05,14.7,14.5,14.5,14.6,14.6,246700.0
2021-11-08,14.7,14.5,14.6,14.6,14.6,430200.0
2021-11-09,15.1,14.6,14.6,14.9,14.9,582300.0
2021-11-10,15.1,14.6,15.0,14.8,14.8,347900.0
2021-11-11,14.8,14.2,14.6,14.5,14.5,455300.0
2021-11-12,14.6,14.2,14.5,14.4,14.4,505200.0
2021-11-15,14.5,14.3,14.4,14.5,14.5,307300.0
2021-11-16,14.7,14.3,14.3,14.6,14.6,548200.0
2021-11-17,14.7,14.0,14.0,14.6,14.6,358500.0
2021-11-18,14.6,14.2,14.5,14.4,14.4,508300.0
2021-11-19,14.5,13.9,14.4,14.0,14.0,323300.0
2021-11-22,14.3,13.4,14.1,13.6,13.6,490000.0
2021-11-23,13.6,13.0,13.5,13.1,13.1,367900.0
2021-11-24,13.4,12.9,13.0,13.1,13.1,324600.0
2021-11-25,13.3,13.1,13.1,13.2,13.2,377400.0
2021-11-26,13.3,12.9,13.2,13.2,13.2,393100.0
2021-11-29,13.2,12.8,13.1,12.8,12.8,421600.0
2021-11-30,13.1,12.6,12.8,12.6,12.6,324300.0
2021-12-01,13.0,12.8,12.8,12.8,12.8,340000.0
2021-12-02,13.0,12.7,12.8,12.8,12.8,327800.0
2021-12-03,13.0,12.6,12.8,12.7,12.7,382200.0
2021-12-06,12.8,11.8,12.7,11.8,11.8,211500.0
2021-12-07,12.5,11.7,12.2,12.0,12.0,171300.0
2021-12-08,12.2,11.6,12.0,11.9,11.9,172700.0
2021-12-09,12.5,11.6,12.2,11.7,11.7,196000.0
2021-12-10,11.9,11.0,11.9,11.4,11.4,434600.0
2021-12-13,11.6,11.0,11.5,11.4,11.4,262500.0
2021-12-14,12.2,11.1,11.3,11.9,11.9,308700.0
2021-12-15,12.1,11.8,11.8,12.0,12.0,348200.0
2021-12-16,12.2,11.4,12.0,11.7,11.7,266900.0
2021-12-17,11.8,11.6,11.7,11.6,11.6,309500.0
2021-12-20,11.7,11.1,11.7,11.3,11.3,199200.0
2021-12-21,11.5,11.1,11.5,11.2,11.2,209200.0
2021-12-22,11.3,11.0,11.2,11.2,11.2,212500.0
2021-12-23,11.3,11.0,11.1,11.1,11.1,260100.0
2021-12-24,11.6,11.1,11.1,11.6,11.6,473500.0
2021-12-27,11.5,11.1,11.4,11.3,11.3,284900.0
2021-12-28,11.5,11.2,11.3,11.3,11.3,354101.0
2021-12-29,11.4,11.1,11.2,11.3,11.3,261200.0
2021-12-30,11.4,11.1,11.2,11.4,11.4,216600.0
2021-12-31,11.5,11.2,11.3,11.5,11.5,233900.0
2022-01-04,11.8,11.3,11.5,11.8,11.8,260600.0
2022-01-05,12.3,11.6,11.7,12.2,12.2,319200.0
2022-01-06,12.3,12.0,12.2,12.0,12.0,353400.0
2022-01-07,12.1,11.6,12.1,11.7,11.7,247000.0
2022-01-10,11.9,11.4,11.8,11.4,11.4,364399.0
2022-01-11,11.7,11.2,11.6,11.4,11.4,244900.0
2022-01-12,11.4,10.8,11.4,11.0,11.0,282700.0
2022-01-13,11.5,11.0,11.0,11.2,11.2,260500.0
2022-01-14,11.5,11.1,11.3,11.1,11.1,235500.0
2022-01-17,11.5,10.9,11.0,11.0,11.0,268700.0
2022-01-18,11.2,10.4,11.2,10.5,10.5,298000.0
2022-01-19,10.8,10.6,10.6,10.7,10.7,336600.0
2022-01-20,11.1,10.5,10.7,11.0,11.0,252700.0
2022-01-21,11.1,10.9,10.9,11.0,11.0,242700.0
2022-01-24,11.2,10.7,11.1,10.8,10.8,219700.0
2022-01-25,11.2,10.5,11.1,10.7,10.7,423000.0
2022-01-26,10.7,10.4,10.7,10.5,10.5,147200.0
2022-01-27,10.8,10.2,10.6,10.5,10.5,263200.0
2022-01-28,10.7,10.4,10.5,10.7,10.7,343500.0
2022-02-07,11.0,10.7,10.7,11.0,11.0,421500.0
2022-02-08,11.1,10.6,10.9,11.0,11.0,241650.0
2022-02-09,11.3,10.9,10.9,11.1,11.1,205100.0
2022-02-10,11.3,10.9,11.1,11.2,11.2,300800.0
2022-02-11,11.3,10.9,11.1,11.2,11.2,217300.0
2022-02-14,11.2,11.1,11.2,11.2,11.2,232821.0
2022-02-15,11.4,11.0,11.3,11.0,11.0,160200.0
2022-02-16,11.4,11.0,11.2,11.1,11.1,215218.0
2022-02-17,11.2,10.8,11.2,11.0,11.0,200500.0
2022-02-18,11.0,10.7,11.0,10.8,10.8,226200.0
2022-02-21,10.8,10.6,10.8,10.8,10.8,201500.0
2022-02-22,10.8,10.5,10.8,10.7,10.7,196900.0
2022-02-23,10.8,10.4,10.6,10.8,10.8,212228.0
2022-02-24,10.7,10.3,10.6,10.7,10.7,271000.0
2022-02-25,10.6,10.5,10.6,10.5,10.5,230810.0
2022-02-28,10.8,10.5,10.6,10.7,10.7,182600.0
2022-03-01,10.9,10.5,10.9,10.6,10.6,209200.0
2022-03-02,10.9,10.5,10.7,10.7,10.7,185200.0
2022-03-03,10.8,10.5,10.6,10.8,10.8,303600.0
2022-03-04,10.9,10.4,10.5,10.8,10.8,214000.0
2022-03-07,11.0,10.6,10.7,11.0,11.0,248137.0
2022-03-08,11.0,10.6,11.0,10.6,10.6,215300.0
2022-03-09,10.9,10.6,10.7,10.8,10.8,250200.0
2022-03-10,11.9,10.7,10.7,11.7,11.7,478338.0
2022-03-11,12.9,11.5,11.5,12.5,12.5,403200.0
2022-03-14,12.9,11.4,12.7,12.0,12.0,190919.0
2022-03-15,12.0,11.3,12.0,11.5,11.5,363200.0
2022-03-16,11.7,11.2,11.7,11.6,11.6,173500.0
2022-03-17,11.8,11.4,11.5,11.7,11.7,182701.0
2022-03-18,12.5,11.5,11.6,12.3,12.3,453011.0
2022-03-21,12.3,11.7,12.3,12.1,12.1,228200.0
2022-03-22,12.1,11.7,12.0,11.8,11.8,152000.0
2022-03-23,11.9,11.3,11.9,11.6,11.6,211700.0
2022-03-24,11.8,11.2,11.7,11.5,11.5,279000.0
2022-03-25,11.5,11.2,11.4,11.5,11.5,216320.0
2022-03-28,11.5,11.2,11.4,11.3,11.3,242800.0
2022-03-29,11.5,11.1,11.2,11.4,11.4,156500.0
2022-03-30,11.5,11.1,11.3,11.4,11.4,260300.0
2022-03-31,11.6,11.3,11.3,11.4,11.4,174800.0
2022-04-01,11.6,11.3,11.4,11.5,11.5,183800.0
2022-04-04,11.6,11.3,11.5,11.3,11.3,231800.0
2022-04-05,11.5,11.2,11.4,11.5,11.5,202000.0
2022-04-06,11.7,11.4,11.5,11.6,11.6,167602.0
2022-04-07,12.1,11.5,11.6,11.8,11.8,167710.0
2022-04-08,12.0,11.2,11.7,11.6,11.6,199320.0
2022-04-12,11.7,11.1,11.7,11.2,11.2,226400.0
2022-04-13,11.7,10.9,11.4,11.0,11.0,148800.0
2022-04-14,11.2,10.4,11.2,11.0,11.0,325000.0
2022-04-15,11.0,10.6,11.0,10.8,10.8,225500.0
2022-04-18,10.9,10.5,10.8,10.9,10.9,205000.0
2022-04-19,10.8,10.4,10.7,10.6,10.6,203800.0
2022-04-20,10.8,10.4,10.7,10.5,10.5,132205.0
2022-04-21,10.8,9.6,10.7,9.7,9.7,223905.0
2022-04-22,10.2,9.6,9.7,10.2,10.2,207002.0
2022-04-25,10.2,9.3,10.2,9.8,9.8,220002.0
2022-04-26,10.0,9.7,9.8,9.9,9.9,208801.0
2022-04-27,10.1,9.7,9.9,10.0,10.0,152601.0
2022-04-28,10.0,9.6,9.9,9.9,9.9,158408.0
2022-04-29,10.0,9.8,9.9,10.0,10.0,202412.0
2022-05-04,10.5,9.9,10.0,10.5,10.5,256700.0
2022-05-05,10.8,10.3,10.5,10.7,10.7,168100.0
2022-05-06,10.7,10.3,10.7,10.4,10.4,119202.0
2022-05-09,10.4,9.9,10.4,10.3,10.3,150000.0
2022-05-10,10.3,9.9,10.3,10.2,10.2,197200.0
2022-05-11,10.2,9.9,10.2,10.1,10.1,108918.0
2022-05-12,10.3,9.7,10.1,10.0,10.0,117600.0
2022-05-13,10.1,9.7,10.1,9.9,9.9,189300.0
2022-05-16,10.3,9.8,9.9,10.0,10.0,210310.0
2022-05-17,10.1,9.7,10.0,10.1,10.1,156408.0
2022-05-18,10.1,9.8,9.8,10.0,10.0,105500.0
2022-05-19,10.0,9.7,10.0,10.0,10.0,103100.0
2022-05-20,10.1,9.8,9.9,10.1,10.1,250402.0
2022-05-23,10.2,9.7,10.1,10.1,10.1,307000.0
2022-05-24,10.1,9.8,10.1,10.1,10.1,158800.0
2022-05-25,10.3,9.9,10.1,10.1,10.1,105400.0
2022-05-26,10.1,9.8,10.1,10.0,10.0,103400.0
2022-05-27,10.1,9.9,10.0,10.0,10.0,160500.0
2022-05-30,10.1,9.8,10.0,10.1,10.1,246300.0
2022-05-31,10.2,9.8,10.2,10.0,10.0,300900.0
2022-06-01,10.1,9.8,10.0,10.0,10.0,173900.0
2022-06-02,10.1,9.9,9.9,10.0,10.0,153500.0
2022-06-03,10.3,9.8,10.0,9.9,9.9,203900.0
2022-06-06,10.1,9.9,10.0,10.1,10.1,254100.0
2022-06-07,10.1,9.6,10.1,9.9,9.9,106702.0
2022-06-08,10.0,9.7,9.9,10.0,10.0,194900.0
2022-06-09,10.1,9.8,9.9,10.1,10.1,102300.0
2022-06-10,10.1,9.8,10.1,10.0,10.0,101700.0
