Date,High,Low,Open,Close,Adj Close,Volume
2018-02-21,29.6,25.0,29.6,25.0,23.211,81200.0
2018-02-22,26.0,25.0,26.0,25.0,23.211,28900.0
2018-02-23,25.2,22.4,25.2,23.0,21.354,37800.0
2018-02-26,24.3,20.0,22.0,22.9,21.261,21100.0
2018-02-27,24.8,20.0,24.8,24.0,22.282,34700.0
2018-02-28,22.0,20.4,20.4,22.0,20.426,2300.0
2018-03-01,22.2,21.0,22.0,22.2,20.611,21100.0
2018-03-02,21.9,20.5,21.9,21.6,20.054,24900.0
2018-03-05,21.5,21.0,21.2,21.3,19.776,35500.0
2018-03-06,22.5,20.5,22.5,21.7,20.147,4200.0
2018-03-07,20.5,20.0,20.5,20.2,18.754,3000.0
2018-03-08,21.0,21.0,21.0,21.0,19.497,2100.0
2018-03-09,21.0,18.0,21.0,20.9,19.404,36700.0
2018-03-12,20.9,19.5,20.0,20.5,19.033,7000.0
2018-03-13,20.0,19.2,20.0,19.8,18.383,15100.0
2018-03-14,19.7,18.8,19.1,18.8,17.455,11700.0
2018-03-15,19.5,18.0,18.3,19.3,17.919,29700.0
2018-03-16,21.5,19.5,20.9,20.0,18.569,33500.0
2018-03-19,21.2,20.2,20.2,21.2,19.683,14000.0
2018-03-20,20.9,19.1,20.0,20.0,18.569,101100.0
2018-03-21,20.5,19.1,20.5,19.8,18.383,63600.0
2018-03-22,22.4,19.8,20.0,22.4,20.797,135400.0
2018-03-23,23.8,22.0,22.3,23.5,21.818,97700.0
2018-03-26,24.4,22.7,24.3,24.0,22.282,198500.0
2018-03-27,26.8,20.8,24.0,24.0,22.282,362200.0
2018-03-28,26.2,22.5,23.6,23.9,22.19,433200.0
2018-03-29,25.3,23.5,23.8,23.8,22.097,272700.0
2018-03-30,25.0,24.1,24.1,24.9,23.118,46000.0
2018-04-02,25.7,25.0,25.0,25.7,23.861,47800.0
2018-04-03,27.0,25.5,25.9,26.3,24.418,49300.0
2018-04-04,26.3,25.6,26.3,26.0,24.139,60400.0
2018-04-05,26.3,25.6,26.0,26.2,24.325,206800.0
2018-04-06,26.2,25.5,26.0,25.8,23.954,70500.0
2018-04-09,26.8,25.3,25.4,26.5,24.604,71600.0
2018-04-10,26.2,25.3,25.3,26.0,24.139,63800.0
2018-04-11,26.0,25.0,26.0,25.8,23.954,77400.0
2018-04-12,25.8,25.0,25.7,25.7,23.861,100200.0
2018-04-13,26.0,25.2,25.8,25.8,23.954,36600.0
2018-04-16,25.7,25.6,25.6,25.7,23.861,55000.0
2018-04-17,25.7,25.0,25.7,25.7,23.861,58000.0
2018-04-18,25.7,25.6,25.6,25.7,23.861,10500.0
2018-04-19,25.6,24.8,25.0,25.6,23.768,30000.0
2018-04-20,25.7,25.5,25.5,25.7,23.861,20200.0
2018-04-23,25.6,25.0,25.5,25.0,23.211,31600.0
2018-04-24,25.5,25.0,25.5,25.0,23.211,21100.0
2018-04-26,25.0,24.9,25.0,24.9,23.118,28200.0
2018-04-27,25.0,25.0,25.0,25.0,23.211,33200.0
2018-05-02,25.6,25.0,25.0,25.6,23.768,13900.0
2018-05-03,25.7,25.4,25.7,25.5,23.675,1300.0
2018-05-04,25.7,25.7,25.7,25.7,23.861,4700.0
2018-05-07,24.0,22.1,24.0,23.0,21.354,11900.0
2018-05-08,25.0,21.0,24.9,24.9,23.118,101600.0
2018-05-09,24.4,22.2,24.4,22.2,20.611,300.0
2018-05-10,24.9,22.4,22.4,23.0,21.354,1400.0
2018-05-11,23.9,23.9,23.9,23.9,22.19,100.0
2018-05-14,23.9,23.9,23.9,23.9,22.19,0.0
2018-05-15,23.5,23.5,23.5,23.5,21.818,100.0
2018-05-16,23.9,22.0,23.9,23.8,22.097,10500.0
