Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,10.0,10.0,10.0,10.0,7.932,0.0
2018-01-03,10.0,10.0,10.0,10.0,7.932,0.0
2018-01-04,10.0,10.0,10.0,10.0,7.932,0.0
2018-01-05,10.3,10.3,10.3,10.3,8.17,500.0
2018-01-08,10.3,10.3,10.3,10.3,8.17,0.0
2018-01-09,10.3,10.3,10.3,10.3,8.17,0.0
2018-01-10,10.3,10.3,10.3,10.3,8.17,0.0
2018-01-11,11.8,11.8,11.8,11.8,9.36,100.0
2018-01-12,13.0,13.0,13.0,13.0,10.312,1800.0
2018-01-15,14.5,14.5,14.5,14.5,11.502,100.0
2018-01-16,14.5,14.5,14.5,14.5,11.502,0.0
2018-01-17,14.5,14.5,14.5,14.5,11.502,0.0
2018-01-18,14.5,14.5,14.5,14.5,11.502,0.0
2018-01-19,14.5,14.5,14.5,14.5,11.502,0.0
2018-01-22,14.5,14.5,14.5,14.5,11.502,0.0
2018-01-23,14.5,14.5,14.5,14.5,11.502,0.0
2018-01-24,14.5,14.5,14.5,14.5,11.502,0.0
2018-01-25,14.5,14.5,14.5,14.5,11.502,0.0
2018-01-26,14.5,14.5,14.5,14.5,11.502,0.0
2018-01-29,14.5,14.5,14.5,14.5,11.502,0.0
2018-01-30,13.5,13.5,13.5,13.5,10.709,1400.0
2018-01-31,13.5,13.5,13.5,13.5,10.709,0.0
2018-02-01,13.5,13.5,13.5,13.5,10.709,0.0
2018-02-02,13.5,13.5,13.5,13.5,10.709,0.0
2018-02-05,13.5,13.5,13.5,13.5,10.709,0.0
2018-02-06,13.5,13.5,13.5,13.5,10.709,0.0
2018-02-07,13.5,13.5,13.5,13.5,10.709,0.0
2018-02-08,13.5,13.5,13.5,13.5,10.709,0.0
2018-02-09,13.5,13.5,13.5,13.5,10.709,0.0
2018-02-12,13.5,13.5,13.5,13.5,10.709,0.0
2018-02-13,13.5,13.5,13.5,13.5,10.709,0.0
2018-02-21,13.5,13.5,13.5,13.5,10.709,0.0
2018-02-22,13.5,13.5,13.5,13.5,10.709,0.0
2018-02-23,13.5,13.5,13.5,13.5,10.709,0.0
2018-02-26,13.5,13.5,13.5,13.5,10.709,0.0
2018-02-27,13.5,13.5,13.5,13.5,10.709,0.0
2018-02-28,13.5,13.5,13.5,13.5,10.709,0.0
2018-03-01,13.5,13.5,13.5,13.5,10.709,0.0
2018-03-02,13.5,13.5,13.5,13.5,10.709,0.0
2018-03-05,15.5,15.5,15.5,15.5,12.295,100.0
2018-03-06,15.5,15.5,15.5,15.5,12.295,0.0
2018-03-07,14.8,14.8,14.8,14.8,11.74,100.0
2018-03-08,14.8,14.8,14.8,14.8,11.74,0.0
2018-03-09,17.0,17.0,17.0,17.0,13.485,4100.0
2018-03-12,17.0,17.0,17.0,17.0,13.485,0.0
2018-03-13,15.1,15.0,15.1,15.1,11.978,1656604.0
2018-03-14,15.1,15.1,15.1,15.1,11.978,0.0
2018-03-15,15.1,15.1,15.1,15.1,11.978,0.0
2018-03-16,15.1,15.1,15.1,15.1,11.978,0.0
2018-03-19,15.1,15.1,15.1,15.1,11.978,0.0
2018-03-20,15.1,15.1,15.1,15.1,11.978,0.0
2018-03-21,15.1,15.1,15.1,15.1,11.978,0.0
2018-03-22,15.1,15.1,15.1,15.1,11.978,0.0
2018-03-23,15.1,15.1,15.1,15.1,11.978,0.0
2018-03-26,15.1,15.1,15.1,15.1,11.978,0.0
2018-03-27,15.1,15.1,15.1,15.1,11.978,0.0
2018-03-28,15.1,15.1,15.1,15.1,11.978,0.0
2018-03-29,15.1,15.1,15.1,15.1,11.978,0.0
2018-03-30,15.1,15.1,15.1,15.1,11.978,0.0
2018-04-02,15.1,15.1,15.1,15.1,11.978,0.0
2018-04-03,15.1,15.1,15.1,15.1,11.978,0.0
2018-04-04,15.1,15.1,15.1,15.1,11.978,0.0
2018-04-05,15.1,15.1,15.1,15.1,11.978,0.0
2018-04-06,15.1,15.1,15.1,15.1,11.978,0.0
2018-04-09,15.1,15.1,15.1,15.1,11.978,0.0
2018-04-10,15.1,15.1,15.1,15.1,11.978,0.0
2018-04-11,15.1,15.1,15.1,15.1,11.978,0.0
2018-04-12,15.1,15.1,15.1,15.1,11.978,0.0
2018-04-13,15.1,15.1,15.1,15.1,11.978,0.0
2018-04-16,15.1,15.1,15.1,15.1,11.978,0.0
2018-04-17,15.1,15.1,15.1,15.1,11.978,0.0
2018-04-18,15.1,15.1,15.1,15.1,11.978,0.0
2018-04-19,15.1,15.1,15.1,15.1,11.978,0.0
2018-04-20,15.1,15.1,15.1,15.1,11.978,0.0
2018-04-23,15.1,15.1,15.1,15.1,11.978,0.0
2018-04-24,13.0,13.0,13.0,13.0,10.312,100.0
2018-04-26,13.0,13.0,13.0,13.0,10.312,0.0
2018-04-27,13.0,13.0,13.0,13.0,10.312,0.0
2018-05-02,13.0,13.0,13.0,13.0,10.312,0.0
2018-05-03,13.0,13.0,13.0,13.0,10.312,0.0
2018-05-04,13.0,13.0,13.0,13.0,10.312,0.0
2018-05-07,13.0,13.0,13.0,13.0,10.312,0.0
2018-05-08,13.0,13.0,13.0,13.0,10.312,0.0
2018-05-09,13.0,13.0,13.0,13.0,10.312,0.0
2018-05-10,13.0,13.0,13.0,13.0,10.312,0.0
2018-05-11,13.0,13.0,13.0,13.0,10.312,0.0
2018-05-14,13.0,13.0,13.0,13.0,10.312,0.0
2018-05-15,13.0,13.0,13.0,13.0,10.312,0.0
2018-05-16,13.0,13.0,13.0,13.0,10.312,0.0
2018-05-17,13.0,13.0,13.0,13.0,10.312,0.0
2018-05-18,13.0,13.0,13.0,13.0,10.312,0.0
2018-05-21,13.0,13.0,13.0,13.0,10.312,0.0
