Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,14.5,14.5,14.5,14.5,13.232,300.0
2018-01-03,16.0,13.0,16.0,13.0,11.863,11500.0
2018-01-04,15.0,14.0,14.0,15.0,13.688,13800.0
2018-01-05,14.7,14.7,14.7,14.7,13.414,0.0
2018-01-08,14.5,14.0,14.0,14.5,13.232,800.0
2018-01-09,14.4,14.4,14.4,14.4,13.14,5000.0
2018-01-10,15.0,15.0,15.0,15.0,13.688,11000.0
2018-01-11,15.0,15.0,15.0,15.0,13.688,0.0
2018-01-12,15.0,15.0,15.0,15.0,13.688,0.0
2018-01-15,15.0,15.0,15.0,15.0,13.688,5000.0
2018-01-16,15.0,15.0,15.0,15.0,13.688,3000.0
2018-01-17,15.0,15.0,15.0,15.0,13.688,0.0
2018-01-18,15.0,15.0,15.0,15.0,13.688,0.0
2018-01-19,16.0,15.0,15.5,16.0,14.6,2900.0
2018-01-22,15.7,15.7,15.7,15.7,14.327,0.0
2018-01-23,15.7,15.7,15.7,15.7,14.327,0.0
2018-01-24,15.5,15.5,15.5,15.5,14.144,900.0
2018-01-25,15.5,15.5,15.5,15.5,14.144,0.0
2018-01-26,15.5,15.5,15.5,15.5,14.144,0.0
2018-01-29,15.5,15.5,15.5,15.5,14.144,0.0
2018-01-30,15.5,15.5,15.5,15.5,14.144,0.0
2018-01-31,15.5,15.5,15.5,15.5,14.144,0.0
2018-02-01,15.5,15.0,15.5,15.0,13.688,6000.0
2018-02-02,15.1,12.9,13.5,15.1,13.779,7400.0
2018-02-05,14.5,14.5,14.5,14.5,13.232,0.0
2018-02-06,14.5,14.5,14.5,14.5,13.232,0.0
2018-02-07,14.5,14.5,14.5,14.5,13.232,0.0
2018-02-08,14.5,14.5,14.5,14.5,13.232,0.0
2018-02-09,15.0,15.0,15.0,15.0,13.688,1100.0
2018-02-12,15.0,15.0,15.0,15.0,13.688,0.0
2018-02-13,15.0,15.0,15.0,15.0,13.688,0.0
2018-02-21,15.0,15.0,15.0,15.0,13.688,0.0
2018-02-22,13.6,13.5,13.5,13.5,12.319,10000.0
2018-02-23,13.5,13.5,13.5,13.5,12.319,0.0
2018-02-26,13.5,13.5,13.5,13.5,12.319,0.0
2018-02-27,13.5,13.5,13.5,13.5,12.319,0.0
2018-02-28,13.5,13.5,13.5,13.5,12.319,0.0
2018-03-01,13.5,13.5,13.5,13.5,12.319,0.0
2018-03-02,13.5,13.5,13.5,13.5,12.319,0.0
