Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,34.4,34.4,34.4,34.4,27.051,20.0
2018-01-03,35.6,35.6,35.6,35.6,27.995,1000.0
2018-01-04,37.5,35.9,36.0,36.5,28.703,6500.0
2018-01-05,36.5,36.5,36.5,36.5,28.703,260.0
2018-01-08,36.5,34.0,36.5,34.0,26.737,1580.0
2018-01-09,36.2,34.5,35.0,35.4,27.838,7300.0
2018-01-10,35.0,34.0,35.0,35.0,27.523,14300.0
2018-01-11,35.0,34.0,35.0,34.0,26.737,20640.0
2018-01-12,36.0,35.0,35.9,35.0,27.523,10900.0
2018-01-15,35.5,35.0,35.45,35.0,27.523,13440.0
2018-01-16,35.4,34.8,35.4,35.1,27.602,12270.0
2018-01-17,35.0,33.2,34.0,34.9,27.444,18200.0
2018-01-18,34.9,34.5,34.9,34.85,27.405,20610.0
2018-01-19,35.5,35.0,35.0,35.5,27.916,13200.0
2018-01-22,36.0,35.4,35.5,36.0,28.309,5330.0
2018-01-25,37.0,36.0,36.0,36.0,28.309,18110.0
2018-01-26,36.9,34.0,34.0,36.9,29.017,16010.0
2018-01-29,38.5,36.5,38.5,38.4,30.197,13750.0
2018-01-30,38.4,37.0,38.0,38.4,30.197,11440.0
2018-01-31,38.6,36.1,36.1,38.6,30.354,14500.0
2018-02-01,39.5,36.15,38.6,39.3,30.905,23920.0
2018-02-02,39.9,39.0,39.9,39.9,31.376,15170.0
2018-02-05,42.5,39.0,39.0,42.5,33.421,12090.0
2018-02-06,42.5,39.55,42.5,42.3,33.264,8250.0
2018-02-07,42.3,39.35,42.3,41.0,32.241,12770.0
2018-02-08,42.5,38.2,40.0,42.5,33.421,5110.0
2018-02-09,42.5,39.55,39.55,42.5,33.421,10520.0
2018-02-12,40.1,39.55,39.6,40.1,31.534,20480.0
2018-02-13,40.0,37.3,37.5,40.0,31.455,23970.0
2018-02-21,40.0,37.2,40.0,40.0,31.455,35200.0
2018-02-22,38.0,37.2,37.3,38.0,29.882,29200.0
2018-02-23,40.6,35.5,36.55,40.6,31.927,25190.0
2018-02-26,40.6,37.8,40.6,40.4,31.77,18890.0
2018-02-27,39.9,37.6,37.8,39.9,31.376,35320.0
2018-02-28,40.0,37.15,37.3,40.0,31.455,34400.0
2018-03-01,40.0,37.35,40.0,37.4,29.41,5770.0
2018-03-02,38.95,36.6,37.1,38.95,30.629,25950.0
2018-03-05,38.45,37.0,37.0,38.1,29.961,26860.0
2018-03-06,38.1,35.5,37.0,38.1,29.961,75330.0
2018-03-07,38.0,38.0,38.0,38.0,29.882,370.0
2018-03-08,37.75,35.75,35.75,37.0,29.096,6330.0
2018-03-09,37.0,35.15,37.0,36.85,28.978,5590.0
2018-03-12,36.85,36.85,36.85,36.85,28.978,300.0
2018-03-13,36.45,35.05,35.05,36.45,28.663,13110.0
2018-03-14,36.45,34.9,36.45,36.0,28.309,30180.0
2018-03-15,36.0,34.0,35.0,35.0,27.523,37150.0
2018-03-16,35.0,32.8,35.0,32.8,25.793,38970.0
2018-03-19,35.0,34.5,34.7,35.0,27.523,21010.0
2018-03-20,35.0,34.6,35.0,34.75,27.327,4020.0
