Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,27.0,25.2,25.5,27.0,18.028,2903770.0
2018-01-03,27.05,26.5,27.0,26.8,17.894,2458110.0
2018-01-04,27.7,26.55,26.8,27.55,18.395,4424190.0
2018-01-05,27.55,26.95,27.5,27.4,18.295,1908830.0
2018-01-08,28.2,27.4,27.7,27.85,18.595,2053870.0
2018-01-09,27.95,26.0,27.85,27.4,18.295,4214750.0
2018-01-10,28.25,27.3,27.4,27.45,18.328,2817750.0
2018-01-11,27.75,27.15,27.5,27.6,18.429,1566970.0
2018-01-12,27.55,27.1,27.2,27.25,18.195,2484840.0
2018-01-15,27.7,26.75,27.05,27.3,18.228,1787190.0
2018-01-16,27.9,27.25,27.35,27.7,18.495,2368450.0
2018-01-17,28.1,27.0,27.7,27.0,18.028,2847680.0
2018-01-18,27.1,26.3,26.6,27.1,18.095,1833010.0
2018-01-19,27.3,26.6,27.2,26.9,17.961,3553540.0
2018-01-22,28.6,26.85,26.9,28.45,18.996,5040120.0
2018-01-25,30.4,28.8,29.1,30.4,20.298,7986250.0
2018-01-26,32.5,31.5,32.5,32.5,21.7,5677170.0
2018-01-29,34.75,33.0,33.0,34.6,23.102,4395390.0
2018-01-30,36.0,32.85,32.85,36.0,24.037,3283230.0
2018-01-31,37.25,34.2,37.2,34.2,22.835,1755870.0
2018-02-01,34.55,32.9,34.5,33.7,22.502,1894280.0
2018-02-02,34.3,33.1,33.3,33.7,22.502,1771520.0
2018-02-05,33.4,31.35,33.2,31.35,20.932,2790640.0
2018-02-06,30.8,29.2,29.2,29.2,19.497,3316700.0
2018-02-07,31.2,30.0,31.2,31.2,20.832,2058050.0
2018-02-08,32.8,31.2,31.2,32.2,21.5,2043470.0
2018-02-09,33.0,29.95,30.0,32.3,21.567,1800170.0
2018-02-12,34.55,32.5,33.0,34.55,23.069,2363270.0
2018-02-13,36.5,35.0,36.4,35.4,23.637,2458380.0
2018-02-21,37.85,35.6,36.0,37.4,24.972,2137010.0
2018-02-22,38.6,36.75,37.0,36.8,24.571,2856780.0
2018-02-23,37.5,35.9,37.0,37.1,24.772,3624350.0
2018-02-26,38.75,37.4,37.9,38.1,25.439,3516600.0
2018-02-27,38.8,37.6,38.1,38.15,25.473,2216610.0
2018-02-28,39.5,37.65,37.9,39.0,26.04,4521850.0
2018-03-01,39.6,37.5,38.6,37.8,25.239,2634150.0
2018-03-02,38.0,36.9,37.0,37.8,25.239,2378830.0
2018-03-05,38.4,35.2,38.25,35.2,23.503,2589100.0
2018-03-06,37.65,35.45,36.0,37.65,25.139,2525060.0
2018-03-07,38.1,36.9,38.0,37.5,25.039,2053190.0
2018-03-08,38.0,37.0,37.5,37.2,24.838,1132070.0
2018-03-09,38.0,37.0,37.5,37.25,24.872,2263330.0
2018-03-12,39.0,38.0,38.7,38.6,25.773,2014660.0
2018-03-13,39.2,38.0,38.6,39.2,26.174,1980080.0
2018-03-14,39.8,38.9,39.8,39.0,26.04,1996080.0
2018-03-15,41.7,38.7,39.0,41.7,27.843,3528060.0
2018-03-16,43.5,41.8,42.3,42.8,28.578,2628200.0
2018-03-19,43.1,41.2,43.0,41.7,27.843,2366180.0
2018-03-20,43.1,41.0,41.2,42.5,28.377,1866550.0
2018-03-21,43.8,42.6,43.5,43.5,29.045,1606790.0
2018-03-22,44.5,43.25,43.5,44.3,29.579,2525390.0
2018-03-23,43.6,41.4,43.5,42.35,28.277,3661530.0
2018-03-26,44.9,42.0,42.0,44.9,29.98,1932890.0
2018-03-27,46.6,44.1,46.0,44.1,29.446,2941390.0
2018-03-28,44.75,43.4,44.0,44.55,29.746,1672540.0
2018-03-29,44.7,43.8,44.55,44.0,29.379,896470.0
2018-03-30,43.95,42.65,43.8,43.4,28.978,2211040.0
2018-04-02,45.0,42.95,43.8,45.0,30.047,2610170.0
2018-04-03,45.8,44.7,45.3,45.1,30.113,1340170.0
2018-04-04,45.45,44.8,45.1,44.8,29.913,1511210.0
2018-04-05,44.8,43.75,44.8,44.0,29.379,1744010.0
2018-04-06,44.7,43.8,44.2,44.0,29.379,1469830.0
2018-04-09,45.0,43.4,44.3,44.4,29.646,2724810.0
2018-04-10,46.4,44.8,44.9,45.5,30.38,4181500.0
2018-04-11,46.8,44.0,46.8,44.5,29.713,2384910.0
2018-04-12,45.0,43.6,44.3,44.4,29.646,1816480.0
2018-04-13,44.8,41.7,44.5,42.0,28.043,3369270.0
2018-04-16,42.0,40.0,41.0,40.0,26.708,2207540.0
2018-04-17,41.9,39.7,40.0,41.9,27.977,2516280.0
2018-04-18,42.7,40.2,42.7,40.2,26.842,1196420.0
2018-04-19,40.4,37.8,40.2,38.0,25.373,2755020.0
2018-04-20,39.55,37.0,38.5,39.45,26.341,2415490.0
2018-04-23,40.65,36.7,39.8,36.7,24.505,3210890.0
2018-04-24,38.5,35.9,37.0,38.0,25.373,2503080.0
2018-04-26,38.5,35.5,37.8,36.5,24.371,2207270.0
2018-04-27,38.1,36.0,36.4,36.1,24.104,2026830.0
