Date,High,Low,Open,Close,Adj Close,Volume
2022-01-10,15.2,15.2,15.2,15.2,15.2,43600.0
2022-01-11,17.4,17.4,17.4,17.4,17.4,31200.0
2022-01-12,20.0,20.0,20.0,20.0,20.0,40100.0
2022-01-13,23.0,23.0,23.0,23.0,23.0,45200.0
2022-01-14,26.4,26.0,26.4,26.4,26.4,120700.0
2022-01-17,30.3,30.0,30.0,30.3,30.3,43000.0
2022-01-18,34.6,34.6,34.6,34.6,34.6,52800.0
2022-01-19,39.5,29.5,39.0,29.5,29.5,76600.0
2022-01-20,29.6,29.6,29.6,29.6,29.6,6000.0
2022-01-21,25.2,25.2,25.2,25.2,25.2,18100.0
2022-01-24,21.5,21.5,21.5,21.5,21.5,12878.0
2022-01-25,24.5,18.3,18.3,22.0,22.0,64510.0
2022-01-26,23.0,22.0,22.0,23.0,23.0,18590.0
2022-01-27,24.0,21.5,21.5,23.1,23.1,14276.0
2022-01-28,24.0,21.0,23.0,22.7,22.7,30800.0
2022-02-07,25.1,21.9,22.0,25.0,25.0,7957.0
2022-02-08,25.6,22.6,25.6,23.8,23.8,4824.0
2022-02-09,23.8,21.2,23.8,22.3,22.3,24500.0
2022-02-10,22.2,21.6,21.6,22.2,22.2,19327.0
2022-02-11,22.6,21.9,21.9,21.9,21.9,5700.0
2022-02-14,22.0,21.3,22.0,21.6,21.6,11057.0
2022-02-15,21.8,21.0,21.6,21.8,21.8,12129.0
2022-02-16,22.6,21.5,21.6,22.6,22.6,6214.0
2022-02-17,23.0,22.0,22.0,23.0,23.0,15917.0
2022-02-18,23.0,22.6,23.0,22.7,22.7,2890.0
2022-02-21,22.7,21.5,22.5,22.5,22.5,9900.0
2022-02-22,23.0,22.0,22.4,22.0,22.0,13200.0
2022-02-23,22.6,22.2,22.2,22.6,22.6,6000.0
2022-02-24,22.0,21.5,22.0,21.5,21.5,3900.0
2022-02-25,22.0,21.8,21.8,22.0,22.0,3800.0
2022-02-28,22.5,21.9,21.9,21.9,21.9,3710.0
2022-03-01,22.5,21.9,22.0,22.0,22.0,4001.0
2022-03-02,22.0,21.5,22.0,21.5,21.5,3910.0
2022-03-03,22.5,21.3,21.8,21.5,21.5,5800.0
2022-03-04,22.0,21.0,21.7,21.5,21.5,10738.0
2022-03-07,23.0,20.8,21.3,21.0,21.0,19812.0
2022-03-08,21.7,21.3,21.5,21.3,21.3,3812.0
2022-03-09,21.0,20.6,21.0,20.6,20.6,4100.0
2022-03-10,21.0,20.6,20.8,20.8,20.8,2000.0
2022-03-11,23.0,20.5,20.7,23.0,23.0,12912.0
2022-03-14,22.2,21.2,22.2,22.0,22.0,1539.0
2022-03-15,21.5,21.0,21.5,21.0,21.0,3423.0
2022-03-16,21.3,20.7,21.3,21.0,21.0,3000.0
2022-03-17,21.0,20.8,21.0,20.8,20.8,2800.0
2022-03-18,20.9,20.5,20.9,20.8,20.8,5408.0
2022-03-21,21.0,20.6,20.7,20.7,20.7,4800.0
2022-03-22,20.8,20.7,20.7,20.7,20.7,2500.0
2022-03-23,21.0,20.5,20.7,21.0,21.0,22300.0
2022-03-24,21.9,21.0,21.0,21.5,21.5,8831.0
2022-03-25,21.5,21.4,21.4,21.5,21.5,2601.0
2022-03-28,20.6,20.5,20.5,20.6,20.6,1508.0
2022-03-29,20.7,19.8,20.6,20.6,20.6,3300.0
2022-03-30,20.4,20.1,20.4,20.1,20.1,2600.0
2022-03-31,20.2,20.0,20.2,20.0,20.0,2131.0
2022-04-01,20.1,19.5,20.1,19.5,19.5,4100.0
2022-04-04,19.9,19.7,19.8,19.7,19.7,5100.0
2022-04-05,19.7,19.5,19.7,19.5,19.5,2309.0
2022-04-06,19.6,19.0,19.6,19.3,19.3,2400.0
2022-04-07,19.4,19.4,19.4,19.4,19.4,400.0
2022-04-08,19.0,16.5,19.0,16.8,16.8,5036.0
2022-04-12,19.9,17.3,19.9,17.3,17.3,2400.0
2022-04-13,19.5,17.3,19.5,17.8,17.8,2600.0
2022-04-14,18.7,18.5,18.5,18.7,18.7,800.0
2022-04-15,20.5,18.2,19.0,20.5,20.5,14900.0
2022-04-18,19.0,17.5,19.0,17.5,17.5,701.0
2022-04-19,17.5,17.5,17.5,17.5,17.5,200.0
2022-04-20,17.5,16.5,17.0,17.5,17.5,1350.0
2022-04-21,17.5,16.1,17.0,17.5,17.5,3700.0
2022-04-22,17.0,15.6,16.6,17.0,17.0,2800.0
2022-04-25,17.0,15.9,17.0,16.8,16.8,2900.0
2022-04-26,17.0,16.7,17.0,17.0,17.0,2500.0
2022-04-27,17.5,17.2,17.5,17.5,17.5,12800.0
2022-04-28,18.9,17.0,17.4,18.5,18.5,11600.0
2022-04-29,19.0,18.0,18.3,19.0,19.0,3900.0
2022-05-04,19.1,18.1,18.1,18.9,18.9,5500.0
2022-05-05,19.0,17.8,18.2,19.0,19.0,700.0
2022-05-06,18.0,17.6,18.0,17.6,17.6,700.0
2022-05-09,17.5,17.3,17.5,17.3,17.3,400.0
2022-05-10,17.4,16.8,17.4,16.8,16.8,1135.0
2022-05-11,18.0,17.0,17.0,18.0,18.0,5000.0
2022-05-12,18.7,18.5,18.6,18.5,18.5,4201.0
2022-05-13,19.5,15.9,18.6,19.0,19.0,7800.0
2022-05-16,17.5,17.2,17.5,17.2,17.2,673.0
2022-05-17,18.4,17.0,17.0,18.4,18.4,3800.0
2022-05-18,18.4,16.7,18.4,17.9,17.9,17100.0
2022-05-19,17.8,17.6,17.8,17.6,17.6,20000.0
2022-05-20,18.0,16.1,18.0,18.0,18.0,30000.0
2022-05-23,18.9,16.2,17.7,18.3,18.3,34100.0
2022-05-24,18.2,16.1,16.1,17.9,17.9,35700.0
2022-05-25,17.9,16.2,16.2,17.6,17.6,21200.0
2022-05-26,20.2,16.1,20.2,17.0,17.0,174000.0
2022-05-27,17.2,17.2,17.2,17.2,17.2,40500.0
2022-05-30,18.9,16.9,16.9,18.8,18.8,28600.0
2022-05-31,20.0,17.4,18.6,19.7,19.7,62200.0
2022-06-01,19.3,19.0,19.3,19.1,19.1,30300.0
2022-06-02,19.1,17.0,19.1,17.0,17.0,25105.0
2022-06-03,18.7,18.0,18.7,18.0,18.0,45200.0
2022-06-06,18.5,16.3,16.9,17.3,17.3,45002.0
2022-06-07,17.8,16.5,17.8,17.4,17.4,43200.0
2022-06-08,17.6,16.3,17.6,17.0,17.0,47300.0
2022-06-09,17.5,15.1,17.5,16.7,16.7,45900.0
2022-06-10,17.3,16.5,17.3,16.5,16.5,43900.0
2022-06-13,17.3,15.1,16.5,16.9,16.9,55500.0
2022-06-14,19.0,16.0,16.7,17.4,17.4,57500.0
2022-06-15,18.3,16.0,18.3,16.0,16.0,46400.0
2022-06-16,20.1,16.4,17.4,16.9,16.9,54600.0
2022-06-17,19.4,16.6,19.4,16.7,16.7,45800.0
2022-06-20,18.4,16.2,16.5,18.0,18.0,59805.0
2022-06-21,18.8,15.6,17.9,15.9,15.9,192600.0
2022-06-22,18.2,16.0,17.6,18.2,18.2,65500.0
2022-06-23,17.7,15.6,17.7,17.0,17.0,55700.0
2022-06-24,16.9,16.0,16.9,16.6,16.6,45500.0
2022-06-27,19.0,16.5,17.3,16.5,16.5,50300.0
2022-06-28,17.8,16.3,17.7,17.4,17.4,60400.0
2022-06-29,18.0,15.5,17.3,18.0,18.0,100600.0
2022-06-30,17.6,16.0,16.6,16.9,16.9,50200.0
2022-07-01,18.0,16.3,17.2,18.0,18.0,59600.0
2022-07-04,17.0,15.2,17.0,16.1,16.1,46400.0
2022-07-05,16.6,15.0,16.6,16.1,16.1,57000.0
2022-07-06,16.3,15.0,16.3,15.7,15.7,32500.0
2022-07-07,16.1,15.0,16.0,15.9,15.9,56800.0
2022-07-08,18.5,15.0,16.0,17.5,17.5,71600.0
2022-07-11,17.8,15.2,17.1,17.1,17.1,56300.0
2022-07-12,16.9,15.2,16.7,16.4,16.4,59000.0
2022-07-13,16.8,15.1,16.1,16.8,16.8,78700.0
2022-07-14,17.0,15.0,16.6,17.0,17.0,91600.0
2022-07-15,16.9,15.1,16.4,16.8,16.8,63100.0
2022-07-18,16.6,15.2,16.5,16.6,16.6,64700.0
2022-07-19,18.8,15.0,16.4,16.9,16.9,93100.0
2022-07-20,18.9,15.0,16.5,17.0,17.0,98900.0
2022-07-21,18.9,15.0,18.5,17.5,17.5,138000.0
2022-07-22,19.0,15.1,16.9,15.4,15.4,98400.0
2022-07-25,18.1,15.1,16.4,16.9,16.9,87500.0
2022-07-26,18.7,15.4,16.9,15.5,15.5,112600.0
2022-07-27,19.4,15.4,18.0,15.6,15.6,125500.0
2022-07-28,19.5,15.3,17.4,15.6,15.6,157700.0
2022-07-29,18.9,15.2,17.4,16.7,16.7,118810.0
2022-08-01,19.3,15.5,17.6,16.3,16.3,119800.0
2022-08-02,18.6,15.5,16.9,15.8,15.8,100900.0
2022-08-03,18.7,15.6,17.8,15.9,15.9,97900.0
2022-08-04,17.5,15.6,17.4,15.8,15.8,73510.0
2022-08-05,17.2,15.3,16.9,16.0,16.0,70500.0
2022-08-08,16.9,15.2,16.1,15.6,15.6,144800.0
2022-08-09,16.5,14.6,15.9,16.0,16.0,67200.0
2022-08-10,16.0,13.5,15.9,15.0,15.0,61900.0
2022-08-11,15.0,13.5,15.0,15.0,15.0,104000.0
2022-08-12,16.0,14.6,14.9,15.6,15.6,70000.0
2022-08-15,15.4,14.9,15.1,15.4,15.4,70800.0
2022-08-16,15.2,15.0,15.0,15.1,15.1,70400.0
2022-08-17,15.1,14.4,15.0,15.1,15.1,62500.0
2022-08-18,15.1,14.6,15.1,14.9,14.9,79600.0
2022-08-19,15.0,14.5,14.9,15.0,15.0,76000.0
2022-08-22,15.1,14.6,14.8,15.0,15.0,91400.0
2022-08-23,15.8,14.6,14.9,15.8,15.8,103100.0
2022-08-24,15.1,14.7,15.0,14.9,14.9,68300.0
2022-08-25,15.4,14.8,15.0,15.2,15.2,72100.0
2022-08-26,15.3,14.6,15.1,15.2,15.2,101200.0
2022-08-29,15.1,14.1,14.9,14.6,14.6,102500.0
2022-08-30,15.0,14.2,15.0,14.9,14.9,82100.0
2022-08-31,15.0,14.4,14.8,15.0,15.0,93200.0
2022-09-05,16.9,14.3,15.0,14.8,14.8,141400.0
2022-09-06,15.9,14.5,15.7,15.2,15.2,166700.0
2022-09-07,15.6,14.6,14.9,15.0,15.0,56900.0
2022-09-08,15.5,14.6,15.2,15.1,15.1,123400.0
2022-09-09,15.1,14.6,15.1,15.0,15.0,79900.0
2022-09-12,15.2,14.7,15.0,15.0,15.0,104200.0
2022-09-13,14.9,14.5,14.9,14.9,14.9,72601.0
2022-09-14,14.7,13.9,14.7,14.6,14.6,111200.0
2022-09-15,14.6,13.7,14.0,14.5,14.5,78322.0
2022-09-16,14.5,13.9,13.9,14.4,14.4,90600.0
2022-09-19,14.3,12.7,14.3,14.0,14.0,170900.0
2022-09-20,13.6,12.1,13.6,13.5,13.5,124200.0
2022-09-21,14.0,12.3,13.4,13.1,13.1,148900.0
2022-09-22,13.3,12.0,13.3,13.0,13.0,108000.0
2022-09-23,13.8,12.3,13.0,13.1,13.1,155200.0
2022-09-26,13.9,12.1,13.1,12.4,12.4,106000.0
2022-09-27,13.3,12.2,13.0,12.9,12.9,120800.0
2022-09-28,12.9,12.0,12.8,12.0,12.0,117600.0
2022-09-29,12.7,11.7,12.0,12.4,12.4,83801.0
2022-09-30,12.3,11.2,11.7,11.8,11.8,54100.0
2022-10-03,12.0,10.8,12.0,11.1,11.1,67900.0
2022-10-04,11.3,10.4,11.3,10.7,10.7,89700.0
2022-10-05,11.0,10.2,10.2,10.8,10.8,58300.0
2022-10-06,11.2,10.4,11.0,10.9,10.9,131900.0
2022-10-07,12.5,10.1,10.8,12.4,12.4,97800.0
2022-10-10,12.4,11.1,11.7,12.2,12.2,103600.0
2022-10-11,13.4,12.1,12.3,12.5,12.5,109700.0
2022-10-12,13.7,12.9,13.1,13.4,13.4,91100.0
2022-10-13,14.7,13.6,13.8,14.6,14.6,94700.0
2022-10-14,15.9,14.4,15.3,15.0,15.0,98000.0
2022-10-17,16.4,13.2,16.0,15.6,15.6,103200.0
2022-10-18,16.0,13.1,15.9,15.5,15.5,107100.0
2022-10-19,15.4,13.2,15.4,14.6,14.6,99900.0
2022-10-20,14.0,12.4,13.9,12.4,12.4,63600.0
2022-10-21,13.8,11.4,13.0,12.0,12.0,77300.0
2022-10-24,12.8,10.9,12.4,12.1,12.1,69200.0
2022-10-25,12.4,10.5,12.2,11.7,11.7,67900.0
2022-10-26,12.4,10.2,11.8,12.2,12.2,181200.0
2022-10-27,13.0,11.5,11.6,12.4,12.4,96700.0
2022-10-28,13.5,11.0,12.8,12.8,12.8,101300.0
2022-10-31,12.6,11.0,12.5,11.7,11.7,50800.0
2022-11-01,11.9,10.3,11.8,11.2,11.2,92500.0
2022-11-02,11.6,10.3,11.1,11.3,11.3,142000.0
2022-11-03,11.5,10.3,11.4,10.7,10.7,49900.0
2022-11-04,10.9,10.0,10.5,10.8,10.8,77900.0
2022-11-07,11.9,10.6,10.7,11.0,11.0,118200.0
2022-11-08,12.4,11.2,11.2,12.0,12.0,114950.0
2022-11-09,13.4,12.0,13.3,12.6,12.6,80000.0
2022-11-10,14.0,11.3,13.1,11.4,11.4,144300.0
2022-11-11,13.0,11.2,11.6,12.6,12.6,82300.0
2022-11-14,13.2,11.2,12.9,11.3,11.3,113200.0
2022-11-15,12.1,10.5,12.0,11.1,11.1,85901.0
2022-11-16,11.5,9.9,10.9,11.3,11.3,70500.0
2022-11-17,12.0,10.4,11.1,11.1,11.1,104300.0
2022-11-18,11.5,10.1,11.2,11.4,11.4,135700.0
2022-11-21,11.4,10.2,11.3,10.7,10.7,63600.0
2022-11-22,11.4,10.3,10.7,11.1,11.1,86300.0
2022-11-23,12.2,10.4,12.2,11.0,11.0,60300.0
2022-11-24,11.1,10.1,11.1,10.8,10.8,64400.0
2022-11-25,11.8,10.4,10.5,11.2,11.2,148500.0
2022-11-28,12.5,11.3,11.4,12.5,12.5,138500.0
2022-11-29,13.0,11.1,12.8,12.7,12.7,108025.0
2022-11-30,13.7,11.2,12.7,12.3,12.3,119900.0
2022-12-01,12.8,11.5,12.3,11.8,11.8,41000.0
2022-12-02,12.2,11.1,11.7,11.8,11.8,67700.0
2022-12-05,11.8,11.0,11.7,11.5,11.5,56000.0
2022-12-06,11.6,10.8,11.4,11.4,11.4,71900.0
2022-12-07,11.2,10.2,11.2,11.0,11.0,107900.0
2022-12-08,11.0,10.3,10.6,11.0,11.0,82500.0
2022-12-09,11.4,10.3,10.9,11.0,11.0,130900.0
2022-12-12,11.4,10.4,10.8,10.9,10.9,99000.0
2022-12-13,11.5,10.4,10.9,10.8,10.8,96600.0
2022-12-14,11.3,10.5,10.9,10.9,10.9,111900.0
2022-12-15,11.1,10.4,11.0,10.7,10.7,54700.0
2022-12-16,10.8,10.4,10.6,10.6,10.6,56100.0
2022-12-19,10.6,10.1,10.5,10.4,10.4,70000.0
2022-12-20,10.5,9.2,10.2,10.2,10.2,75200.0
2022-12-21,10.2,9.2,10.1,9.9,9.9,89500.0
2022-12-22,9.9,9.2,9.8,9.6,9.6,66500.0
2022-12-23,9.6,9.3,9.5,9.5,9.5,32900.0
2022-12-26,9.6,8.7,9.5,9.3,9.3,49200.0
2022-12-27,9.3,8.5,9.2,9.0,9.0,82400.0
2022-12-28,9.2,8.6,8.7,8.7,8.7,78708.0
2022-12-29,9.9,8.7,8.9,9.1,9.1,119000.0
2022-12-30,9.6,8.9,9.4,9.4,9.4,61500.0
2023-01-03,9.7,8.9,9.4,9.2,9.2,91300.0
2023-01-04,9.5,8.6,9.4,9.0,9.0,103900.0
2023-01-05,9.3,8.2,9.0,8.7,8.7,96200.0
2023-01-06,8.7,8.0,8.7,8.5,8.5,69100.0
2023-01-09,8.6,8.0,8.5,8.0,8.0,68700.0
2023-01-10,9.0,8.1,8.3,9.0,9.0,148801.0
2023-01-11,9.0,8.0,8.7,8.4,8.4,43901.0
2023-01-12,8.4,7.7,8.3,8.2,8.2,51901.0
2023-01-13,8.2,7.4,8.1,7.7,7.7,57300.0
2023-01-16,7.8,7.0,7.6,7.0,7.0,190200.0
2023-01-17,7.4,6.9,7.4,6.9,6.9,71300.0
2023-01-18,7.2,6.7,7.1,7.1,7.1,90100.0
2023-01-19,7.5,7.0,7.3,7.3,7.3,63800.0
2023-01-27,7.9,7.1,7.4,7.6,7.6,82008.0
2023-01-30,8.0,7.3,7.8,7.5,7.5,97702.0
2023-01-31,7.7,7.0,7.6,7.2,7.2,87300.0
2023-02-01,7.7,7.0,7.3,7.2,7.2,118500.0
2023-02-02,7.3,6.9,7.3,6.9,6.9,42600.0
2023-02-03,7.2,6.8,7.1,6.8,6.8,23308.0
2023-02-06,7.9,6.8,7.0,7.4,7.4,225901.0
2023-02-07,8.1,7.4,7.6,8.0,8.0,78900.0
2023-02-08,8.4,7.3,8.0,8.0,8.0,139701.0
2023-02-09,8.8,7.7,8.1,8.0,8.0,84337.0
2023-02-10,8.7,7.9,8.3,8.3,8.3,145000.0
2023-02-13,8.7,7.3,8.5,7.7,7.7,98500.0
2023-02-14,8.2,7.0,8.0,7.8,7.8,112800.0
2023-02-15,7.5,6.6,7.5,7.1,7.1,139100.0
2023-02-16,7.6,6.9,6.9,7.3,7.3,124000.0
2023-02-17,7.5,6.9,7.5,7.3,7.3,101900.0
2023-02-20,7.5,7.1,7.2,7.4,7.4,72100.0
2023-02-21,7.7,7.1,7.4,7.4,7.4,115800.0
2023-02-22,7.8,6.9,7.5,7.2,7.2,169400.0
2023-02-23,7.2,6.8,7.2,7.1,7.1,31100.0
2023-02-24,7.1,6.6,7.1,7.1,7.1,133600.0
2023-02-27,7.3,6.6,7.1,7.0,7.0,166100.0
2023-02-28,7.3,6.5,7.1,7.0,7.0,145500.0
2023-03-01,7.2,6.3,7.1,6.8,6.8,144300.0
2023-03-02,7.0,6.2,6.9,6.6,6.6,77300.0
2023-03-03,6.9,6.1,6.7,6.1,6.1,126600.0
2023-03-06,6.6,6.0,6.6,6.3,6.3,152200.0
2023-03-07,6.5,5.6,6.3,5.9,5.9,170100.0
2023-03-08,6.6,6.0,6.0,6.1,6.1,171900.0
2023-03-09,6.5,5.8,6.4,6.1,6.1,165800.0
2023-03-10,6.5,5.7,5.7,5.9,5.9,160700.0
2023-03-13,6.1,5.7,6.0,5.7,5.7,72400.0
2023-03-14,6.0,5.2,5.9,5.7,5.7,205847.0
2023-03-15,5.8,5.2,5.7,5.6,5.6,122501.0
2023-03-16,5.6,5.0,5.6,5.3,5.3,127400.0
2023-03-17,5.4,5.1,5.2,5.3,5.3,121000.0
2023-03-20,5.9,5.1,5.3,5.3,5.3,175737.0
2023-03-21,5.7,5.1,5.4,5.5,5.5,128800.0
2023-03-22,5.6,5.1,5.5,5.3,5.3,111300.0
2023-03-23,5.4,4.9,5.3,5.3,5.3,122000.0
2023-03-24,5.4,4.9,5.2,5.0,5.0,131500.0
2023-03-27,5.3,4.6,5.2,4.9,4.9,133800.0
2023-03-28,5.0,4.5,5.0,4.7,4.7,120700.0
2023-03-29,4.7,4.4,4.7,4.5,4.5,96900.0
2023-03-30,4.5,4.3,4.5,4.5,4.5,50800.0
2023-03-31,4.5,4.0,4.4,4.3,4.3,164208.0
2023-04-03,4.6,4.1,4.3,4.4,4.4,164100.0
2023-04-04,4.6,4.2,4.3,4.3,4.3,111800.0
2023-04-05,4.6,4.1,4.4,4.3,4.3,131200.0
2023-04-06,4.8,4.3,4.3,4.8,4.8,266927.0
2023-04-07,5.2,4.6,4.8,5.1,5.1,367802.0
2023-04-10,5.2,4.7,5.0,4.8,4.8,81900.0
2023-04-11,5.1,4.4,5.1,4.6,4.6,156605.0
2023-04-12,4.6,4.4,4.6,4.5,4.5,111300.0
2023-04-13,4.6,4.2,4.5,4.4,4.4,77697.0
2023-04-14,4.4,4.2,4.4,4.4,4.4,120637.0
2023-04-17,4.4,4.2,4.3,4.3,4.3,52500.0
2023-04-18,4.4,4.2,4.3,4.3,4.3,76700.0
2023-04-19,4.4,4.2,4.2,4.3,4.3,37100.0
2023-04-20,4.4,4.2,4.3,4.4,4.4,70547.0
2023-04-21,4.4,4.3,4.4,4.3,4.3,91100.0
2023-04-24,4.5,4.2,4.4,4.2,4.2,58432.0
2023-04-25,4.2,3.8,4.2,4.2,4.2,230536.0
2023-04-26,4.6,4.1,4.1,4.6,4.6,261000.0
2023-04-27,4.9,4.5,4.6,4.6,4.6,98001.0
2023-04-28,4.7,4.4,4.7,4.5,4.5,98700.0
2023-05-04,4.5,4.1,4.4,4.1,4.1,153624.0
2023-05-05,4.3,4.0,4.2,4.3,4.3,106900.0
2023-05-08,4.4,4.2,4.2,4.2,4.2,67375.0
