Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,7.0,7.0,7.0,7.0,4.858,0.0
2018-01-03,6.9,6.3,6.9,6.5,4.511,600.0
2018-01-04,7.0,7.0,7.0,7.0,4.858,300.0
2018-01-05,7.9,7.9,7.9,7.9,5.482,500.0
2018-01-08,7.0,7.0,7.0,7.0,4.858,600.0
2018-01-09,8.0,8.0,8.0,8.0,5.552,100.0
2018-01-10,9.2,7.6,9.2,7.6,5.274,1100.0
2018-01-11,7.5,7.0,7.0,7.5,5.204,646.0
2018-01-12,7.1,7.1,7.1,7.1,4.927,100.0
2018-01-15,7.1,7.1,7.1,7.1,4.927,0.0
2018-01-16,7.1,7.1,7.1,7.1,4.927,0.0
2018-01-17,7.0,7.0,7.0,7.0,4.858,800.0
2018-01-18,7.0,7.0,7.0,7.0,4.858,200.0
2018-01-19,7.0,7.0,7.0,7.0,4.858,0.0
2018-01-22,7.0,7.0,7.0,7.0,4.858,120.0
2018-01-23,7.0,7.0,7.0,7.0,4.858,0.0
2018-01-24,6.9,6.2,6.3,6.9,4.788,6600.0
2018-01-25,7.2,6.4,6.4,7.2,4.996,3200.0
2018-01-26,7.0,6.8,7.0,6.8,4.719,308.0
2018-01-29,6.8,6.6,6.8,6.6,4.581,2300.0
2018-01-30,6.6,6.6,6.6,6.6,4.581,0.0
2018-01-31,6.6,6.6,6.6,6.6,4.581,0.0
2018-02-01,7.0,7.0,7.0,7.0,4.858,200.0
2018-02-02,7.0,7.0,7.0,7.0,4.858,0.0
2018-02-05,7.0,7.0,7.0,7.0,4.858,0.0
2018-02-06,7.0,7.0,7.0,7.0,4.858,0.0
2018-02-07,7.0,7.0,7.0,7.0,4.858,0.0
2018-02-08,6.0,6.0,6.0,6.0,4.164,1000.0
2018-02-09,6.9,6.9,6.9,6.9,4.788,200.0
2018-02-12,7.9,7.9,7.9,7.9,5.482,2100.0
2018-02-13,9.0,6.9,9.0,6.9,4.788,1100.0
2018-02-21,7.1,7.1,7.1,7.1,4.927,500.0
2018-02-22,7.1,7.1,7.1,7.1,4.927,500.0
2018-02-23,7.3,6.8,7.3,6.8,4.719,200.0
2018-02-26,7.1,7.1,7.1,7.1,4.927,0.0
2018-02-27,7.0,7.0,7.0,7.0,4.858,400.0
2018-02-28,7.0,7.0,7.0,7.0,4.858,2.0
2018-03-01,7.0,7.0,7.0,7.0,4.858,0.0
2018-03-02,7.0,7.0,7.0,7.0,4.858,0.0
2018-03-05,6.8,6.8,6.8,6.8,4.719,100.0
2018-03-06,6.8,6.8,6.8,6.8,4.719,0.0
2018-03-07,6.9,6.9,6.9,6.9,4.788,400.0
2018-03-08,6.9,6.9,6.9,6.9,4.788,0.0
2018-03-09,6.9,6.9,6.9,6.9,4.788,229.0
2018-03-12,7.0,7.0,7.0,7.0,4.858,108.0
2018-03-13,7.0,7.0,7.0,7.0,4.858,2800.0
2018-03-14,7.0,7.0,7.0,7.0,4.858,30.0
2018-03-15,7.0,6.9,7.0,6.9,4.788,3800.0
2018-03-16,6.8,6.8,6.8,6.8,4.719,4600.0
2018-03-19,6.8,6.8,6.8,6.8,4.719,500.0
2018-03-20,6.8,6.8,6.8,6.8,4.719,1709.0
2018-03-21,6.8,6.8,6.8,6.8,4.719,0.0
2018-03-22,6.9,6.9,6.9,6.9,4.788,1000.0
2018-03-23,6.9,6.8,6.9,6.8,4.719,1410.0
2018-03-26,6.9,6.8,6.9,6.8,4.719,3200.0
2018-03-27,6.8,6.8,6.8,6.8,4.719,3000.0
2018-03-28,7.0,7.0,7.0,7.0,4.858,170.0
2018-03-29,6.8,6.8,6.8,6.8,4.719,2300.0
2018-03-30,6.8,6.8,6.8,6.8,4.719,2000.0
2018-04-02,6.8,6.8,6.8,6.8,4.719,0.0
2018-04-03,7.0,7.0,7.0,7.0,4.858,100.0
2018-04-04,7.0,7.0,7.0,7.0,4.858,0.0
2018-04-05,6.4,6.3,6.4,6.3,4.372,2000.0
2018-04-06,7.0,6.9,7.0,6.9,4.788,3700.0
2018-04-09,7.0,7.0,7.0,7.0,4.858,300.0
2018-04-10,7.5,6.9,7.5,6.9,4.788,900.0
2018-04-11,7.0,7.0,7.0,7.0,4.858,0.0
2018-04-12,7.0,7.0,7.0,7.0,4.858,0.0
2018-04-13,7.0,7.0,7.0,7.0,4.858,0.0
2018-04-16,7.0,7.0,7.0,7.0,4.858,0.0
2018-04-17,6.8,6.8,6.8,6.8,4.719,1000.0
2018-04-18,6.8,6.8,6.8,6.8,4.719,100.0
2018-04-19,6.8,6.7,6.8,6.8,4.719,1400.0
2018-04-20,6.8,6.8,6.8,6.8,4.719,100.0
2018-04-23,6.7,6.7,6.7,6.7,4.65,2100.0
2018-04-24,6.9,6.2,6.3,6.9,4.788,1100.0
2018-04-26,7.0,6.5,6.5,7.0,4.858,200.0
2018-04-27,6.8,6.8,6.8,6.8,4.719,0.0
2018-05-02,6.8,6.8,6.8,6.8,4.719,84.0
2018-05-03,6.9,6.5,6.5,6.9,4.788,9000.0
2018-05-04,7.0,7.0,7.0,7.0,4.858,100.0
2018-05-07,7.0,7.0,7.0,7.0,4.858,0.0
