Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,11.0,11.0,11.0,11.0,1.561,1000.0
2018-01-03,10.1,10.1,10.1,10.1,1.434,900.0
2018-01-04,11.6,11.6,11.6,11.6,1.647,100.0
2018-01-05,11.6,11.6,11.6,11.6,1.647,0.0
2018-01-08,11.6,11.6,11.6,11.6,1.647,0.0
2018-01-09,11.6,11.6,11.6,11.6,1.647,0.0
2018-01-10,11.6,11.6,11.6,11.6,1.647,0.0
2018-01-11,11.6,11.6,11.6,11.6,1.647,0.0
2018-01-12,11.6,11.6,11.6,11.6,1.647,0.0
2018-01-15,11.6,11.6,11.6,11.6,1.647,0.0
2018-01-16,11.6,11.6,11.6,11.6,1.647,0.0
2018-01-17,11.6,11.6,11.6,11.6,1.647,0.0
2018-01-18,13.3,13.3,13.3,13.3,1.888,2000.0
2018-01-19,13.3,13.3,13.3,13.3,1.888,1400.0
2018-01-22,13.3,13.3,13.3,13.3,1.888,0.0
2018-01-23,13.3,13.3,13.3,13.3,1.888,0.0
2018-01-24,13.3,13.3,13.3,13.3,1.888,0.0
2018-01-25,13.3,13.3,13.3,13.3,1.888,0.0
2018-01-26,11.4,11.4,11.4,11.4,1.618,100.0
2018-01-29,13.1,10.1,11.4,13.1,1.86,99110.0
2018-01-30,11.7,11.7,11.7,11.7,1.661,400.0
2018-01-31,13.3,13.3,13.3,13.3,1.888,100.0
2018-02-01,13.5,13.4,13.5,13.4,1.902,98200.0
2018-02-02,13.4,13.4,13.4,13.4,1.902,33000.0
2018-02-05,13.4,13.4,13.4,13.4,1.902,10.0
2018-02-06,13.4,13.4,13.4,13.4,1.902,0.0
2018-02-07,13.4,13.4,13.4,13.4,1.902,0.0
2018-02-08,11.4,11.4,11.4,11.4,1.618,100.0
2018-02-09,10.3,10.3,10.3,10.3,1.462,110.0
2018-02-12,10.3,10.3,10.3,10.3,1.462,0.0
2018-02-13,11.8,11.8,11.8,11.8,1.675,100.0
2018-02-21,11.8,11.8,11.8,11.8,1.675,0.0
2018-02-22,11.8,11.8,11.8,11.8,1.675,0.0
2018-02-23,10.6,10.2,10.6,10.2,1.448,102700.0
2018-02-26,11.7,11.6,11.6,11.7,1.661,200.0
2018-02-27,13.4,13.4,13.4,13.4,1.902,100.0
2018-02-28,13.5,13.4,13.4,13.5,1.916,102000.0
2018-03-01,13.5,13.5,13.5,13.5,1.916,58000.0
2018-03-02,13.5,13.5,13.5,13.5,1.916,0.0
2018-03-05,13.5,13.5,13.5,13.5,1.916,0.0
2018-03-06,13.5,13.5,13.5,13.5,1.916,0.0
2018-03-07,13.5,13.5,13.5,13.5,1.916,0.0
2018-03-08,13.5,13.5,13.5,13.5,1.916,0.0
2018-03-09,13.5,13.5,13.5,13.5,1.916,0.0
2018-03-12,11.5,11.5,11.5,11.5,1.632,200.0
2018-03-13,11.5,11.5,11.5,11.5,1.632,0.0
2018-03-14,11.5,11.5,11.5,11.5,1.632,6.0
2018-03-15,11.5,11.5,11.5,11.5,1.632,3.0
2018-03-16,11.5,11.5,11.5,11.5,1.632,0.0
2018-03-19,11.5,11.5,11.5,11.5,1.632,0.0
2018-03-20,11.5,11.5,11.5,11.5,1.632,0.0
2018-03-21,11.5,11.5,11.5,11.5,1.632,1.0
2018-03-22,11.5,11.5,11.5,11.5,1.632,0.0
2018-03-23,11.5,11.5,11.5,11.5,1.632,0.0
2018-03-26,11.5,11.5,11.5,11.5,1.632,2022.0
2018-03-27,11.5,11.5,11.5,11.5,1.632,13.0
2018-03-28,11.5,11.5,11.5,11.5,1.632,100.0
2018-03-29,11.5,11.5,11.5,11.5,1.632,0.0
2018-03-30,11.5,11.5,11.5,11.5,1.632,0.0
2018-04-02,11.5,11.5,11.5,11.5,1.632,22.0
2018-04-03,11.5,11.5,11.5,11.5,1.632,1800.0
2018-04-04,12.0,12.0,12.0,12.0,1.703,100.0
2018-04-05,12.0,12.0,12.0,12.0,1.703,0.0
2018-04-06,12.4,11.6,12.4,12.0,1.703,10600.0
