Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,14.85,13.0,14.0,14.8,8.748,223660.0
2018-01-03,15.8,14.8,15.8,15.1,8.926,210080.0
2018-01-04,15.2,14.3,15.2,15.2,8.985,239120.0
2018-01-05,15.2,14.7,15.0,14.8,8.748,25490.0
2018-01-08,15.45,14.6,14.8,15.0,8.866,95590.0
2018-01-09,16.0,14.7,15.0,15.9,9.398,115990.0
2018-01-10,16.45,15.8,15.9,16.0,9.457,75520.0
2018-01-11,16.2,15.5,16.2,16.0,9.457,101410.0
2018-01-12,16.1,15.5,15.5,15.9,9.398,79360.0
2018-01-15,15.8,15.5,15.8,15.6,9.221,13440.0
2018-01-16,15.8,14.55,15.2,15.0,8.866,32980.0
2018-01-17,15.3,15.0,15.0,15.0,8.866,49450.0
2018-01-18,15.5,14.2,14.7,15.0,8.866,27920.0
2018-01-19,16.0,14.5,15.4,16.0,9.457,119400.0
2018-01-22,17.1,15.8,16.0,16.9,9.989,244790.0
2018-01-25,17.7,17.0,17.7,17.5,10.344,110580.0
2018-01-26,17.7,16.8,17.7,17.0,10.049,35800.0
2018-01-29,17.6,17.0,17.5,17.3,10.226,388040.0
2018-01-30,17.3,17.0,17.3,17.0,10.049,10280.0
2018-01-31,17.0,16.4,17.0,16.8,9.93,36430.0
2018-02-01,16.7,15.65,16.7,16.7,9.871,17270.0
2018-02-02,16.7,15.75,15.75,15.8,9.339,650.0
2018-02-05,16.5,15.0,16.5,15.0,8.866,12840.0
2018-02-06,14.5,13.95,13.95,14.4,8.512,59330.0
2018-02-07,15.3,14.6,15.3,15.0,8.866,37340.0
2018-02-08,16.05,14.7,15.0,16.0,9.457,54630.0
2018-02-09,16.0,14.9,16.0,15.9,9.398,20610.0
2018-02-12,16.9,15.9,16.9,16.5,9.753,5290.0
2018-02-13,15.35,15.35,15.35,15.35,9.073,218470.0
2018-02-21,15.9,14.3,14.3,15.7,9.28,148920.0
2018-02-22,15.7,15.1,15.7,15.3,9.044,16350.0
2018-02-23,15.65,14.6,15.65,14.7,8.689,36200.0
2018-02-26,15.3,14.7,15.3,14.9,8.807,85630.0
2018-02-27,15.0,14.3,15.0,14.7,8.689,265250.0
2018-02-28,14.8,14.1,14.1,14.5,8.571,486430.0
2018-03-01,14.8,14.0,14.8,14.5,8.571,155650.0
2018-03-02,14.5,14.1,14.1,14.2,8.394,60360.0
2018-03-05,14.5,13.25,14.2,13.25,7.832,106360.0
2018-03-06,14.15,12.5,13.25,13.5,7.98,324130.0
2018-03-07,14.35,13.8,14.0,13.95,8.246,119660.0
2018-03-08,14.55,14.0,14.55,14.3,8.453,35170.0
2018-03-09,14.35,13.8,14.1,13.8,8.157,164690.0
2018-03-12,14.5,13.6,14.0,13.8,8.157,14220.0
2018-03-13,14.0,13.5,13.65,13.6,8.039,78580.0
2018-03-14,14.0,13.6,13.6,13.65,8.068,56410.0
