Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,15.3,15.3,15.3,15.3,11.212,100.0
2018-01-03,15.3,15.3,15.3,15.3,11.212,0.0
2018-01-04,15.3,15.3,15.3,15.3,11.212,0.0
2018-01-05,15.3,15.3,15.3,15.3,11.212,100.0
2018-01-08,16.8,16.8,16.8,16.8,12.311,100.0
2018-01-09,15.6,15.2,15.2,15.6,11.432,200.0
2018-01-10,17.1,16.5,16.5,17.1,12.531,700.0
2018-01-11,17.1,15.4,15.4,17.1,12.531,600.0
2018-01-12,17.1,15.4,15.4,16.0,11.725,10200.0
2018-01-15,16.0,16.0,16.0,16.0,11.725,0.0
2018-01-16,16.0,16.0,16.0,16.0,11.725,200.0
2018-01-17,16.0,16.0,16.0,16.0,11.725,0.0
2018-01-18,16.0,16.0,16.0,16.0,11.725,0.0
2018-01-19,16.0,16.0,16.0,16.0,11.725,0.0
2018-01-22,14.5,14.5,14.5,14.5,10.626,100.0
2018-01-23,15.8,15.8,15.8,15.8,11.579,200.0
2018-01-24,15.8,15.8,15.8,15.8,11.579,0.0
2018-01-25,15.8,15.8,15.8,15.8,11.579,0.0
2018-01-26,15.8,15.8,15.8,15.8,11.579,0.0
2018-01-29,15.8,15.8,15.8,15.8,11.579,0.0
2018-01-30,17.3,14.3,14.3,17.3,12.678,1200.0
2018-01-31,19.0,15.6,15.6,19.0,13.924,200.0
2018-02-01,20.9,17.1,17.1,17.1,12.531,10900.0
2018-02-02,17.1,17.1,17.1,17.1,12.531,1100.0
2018-02-05,17.1,17.1,17.1,17.1,12.531,300.0
2018-02-06,17.5,15.4,17.5,15.4,11.286,20400.0
2018-02-07,16.0,16.0,16.0,16.0,11.725,10000.0
2018-02-08,16.5,16.5,16.5,16.5,12.092,100.0
2018-02-09,16.5,15.0,16.5,15.0,10.992,1100.0
2018-02-12,15.0,15.0,15.0,15.0,10.992,0.0
2018-02-13,15.0,15.0,15.0,15.0,10.992,0.0
2018-02-21,15.1,15.0,15.1,15.0,10.992,300.0
2018-02-22,15.0,15.0,15.0,15.0,10.992,0.0
2018-02-23,15.0,15.0,15.0,15.0,10.992,0.0
2018-02-26,16.0,16.0,16.0,16.0,11.725,300.0
2018-02-27,17.6,17.5,17.5,17.6,12.898,10500.0
2018-02-28,17.6,17.6,17.6,17.6,12.898,1000.0
2018-03-01,15.9,15.9,15.9,15.9,11.652,100.0
2018-03-02,15.9,15.9,15.9,15.9,11.652,0.0
2018-03-05,15.9,15.9,15.9,15.9,11.652,0.0
