Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,1.3,1.3,1.3,1.3,1.3,100.0
2018-01-03,1.3,1.3,1.3,1.3,1.3,0.0
2018-01-04,1.3,1.2,1.2,1.2,1.2,34400.0
2018-01-05,1.2,1.2,1.2,1.2,1.2,40000.0
2018-01-08,1.2,1.2,1.2,1.2,1.2,31800.0
2018-01-09,1.2,1.2,1.2,1.2,1.2,26000.0
2018-01-10,1.2,1.1,1.2,1.2,1.2,1100.0
2018-01-11,1.2,1.2,1.2,1.2,1.2,1300.0
2018-01-12,1.2,1.1,1.1,1.2,1.2,5000.0
2018-01-15,1.1,1.1,1.1,1.1,1.1,700.0
2018-01-16,1.2,1.1,1.2,1.2,1.2,33000.0
2018-01-17,1.3,1.3,1.3,1.3,1.3,72400.0
2018-01-18,1.4,1.3,1.3,1.4,1.4,60100.0
2018-01-19,1.6,1.5,1.5,1.6,1.6,145100.0
2018-01-22,1.8,1.4,1.4,1.7,1.7,77200.0
2018-01-23,1.8,1.7,1.8,1.7,1.7,5600.0
2018-01-24,1.6,1.5,1.6,1.5,1.5,17800.0
2018-01-25,1.5,1.4,1.4,1.4,1.4,104100.0
2018-01-26,1.4,1.2,1.2,1.4,1.4,21700.0
2018-01-29,1.5,1.4,1.4,1.5,1.5,14100.0
2018-01-30,1.6,1.3,1.3,1.6,1.6,20000.0
2018-01-31,1.7,1.6,1.7,1.6,1.6,74400.0
2018-02-01,1.6,1.6,1.6,1.6,1.6,25000.0
2018-02-02,1.7,1.5,1.5,1.7,1.7,30400.0
2018-02-05,1.6,1.6,1.6,1.6,1.6,1300.0
2018-02-06,1.6,1.6,1.6,1.6,1.6,15000.0
2018-02-07,1.5,1.5,1.5,1.5,1.5,14300.0
2018-02-08,1.5,1.4,1.5,1.4,1.4,5600.0
2018-02-09,1.4,1.4,1.4,1.4,1.4,0.0
2018-02-12,1.4,1.4,1.4,1.4,1.4,0.0
2018-02-13,1.4,1.4,1.4,1.4,1.4,0.0
2018-02-21,1.4,1.4,1.4,1.4,1.4,400.0
2018-02-22,1.5,1.5,1.5,1.5,1.5,1700.0
2018-02-23,1.5,1.5,1.5,1.5,1.5,6000.0
2018-02-26,1.6,1.4,1.4,1.6,1.6,19400.0
2018-02-27,1.6,1.6,1.6,1.6,1.6,15200.0
2018-02-28,1.6,1.6,1.6,1.6,1.6,1000.0
2018-03-01,1.7,1.7,1.7,1.7,1.7,33600.0
2018-03-02,1.7,1.7,1.7,1.7,1.7,0.0
2018-03-05,1.7,1.7,1.7,1.7,1.7,0.0
2018-03-06,1.7,1.7,1.7,1.7,1.7,0.0
2018-03-07,1.8,1.7,1.7,1.8,1.8,70900.0
2018-03-08,2.0,1.8,1.8,2.0,2.0,21900.0
2018-03-09,2.1,2.0,2.0,2.1,2.1,70200.0
2018-03-12,2.4,2.2,2.2,2.3,2.3,12400.0
2018-03-13,2.2,2.2,2.2,2.2,2.2,10000.0
2018-03-14,2.2,2.2,2.2,2.2,2.2,8700.0
2018-03-15,2.2,2.2,2.2,2.2,2.2,0.0
2018-03-16,1.9,1.9,1.9,1.9,1.9,10300.0
2018-03-19,1.8,1.8,1.8,1.8,1.8,10000.0
2018-03-20,1.7,1.7,1.7,1.7,1.7,11000.0
2018-03-21,1.9,1.6,1.7,1.9,1.9,15000.0
2018-03-22,1.7,1.7,1.7,1.7,1.7,5000.0
2018-03-23,1.6,1.6,1.6,1.6,1.6,8700.0
2018-03-26,1.8,1.5,1.8,1.5,1.5,37800.0
2018-03-27,1.7,1.6,1.6,1.7,1.7,4700.0
2018-03-28,1.7,1.7,1.7,1.7,1.7,5000.0
2018-03-29,1.8,1.7,1.7,1.7,1.7,10600.0
2018-03-30,1.8,1.6,1.6,1.8,1.8,1400.0
2018-04-02,1.7,1.6,1.6,1.7,1.7,4100.0
2018-04-03,1.7,1.7,1.7,1.7,1.7,300.0
2018-04-04,1.7,1.6,1.7,1.6,1.6,2200.0
2018-04-05,1.7,1.7,1.7,1.7,1.7,100.0
2018-04-06,1.6,1.5,1.6,1.5,1.5,37100.0
2018-04-09,1.5,1.4,1.5,1.4,1.4,2200.0
2018-04-10,1.6,1.6,1.6,1.6,1.6,200.0
2018-04-11,1.6,1.6,1.6,1.6,1.6,0.0
2018-04-12,1.7,1.4,1.4,1.7,1.7,1200.0
2018-04-13,1.6,1.6,1.6,1.6,1.6,200.0
2018-04-16,1.8,1.7,1.7,1.8,1.8,1500.0
2018-04-17,1.9,1.8,1.8,1.9,1.9,1600.0
2018-04-18,1.8,1.8,1.8,1.8,1.8,500.0
2018-04-19,1.9,1.6,1.6,1.9,1.9,3700.0
2018-04-20,1.7,1.6,1.7,1.6,1.6,200.0
2018-04-23,1.9,1.9,1.9,1.9,1.9,100.0
2018-04-24,1.9,1.8,1.9,1.9,1.9,1200.0
2018-04-26,1.8,1.6,1.6,1.8,1.8,1300.0
2018-04-27,1.7,1.7,1.7,1.7,1.7,4000.0
2018-05-02,1.6,1.6,1.6,1.6,1.6,500.0
2018-05-03,1.6,1.5,1.6,1.5,1.5,1400.0
2018-05-04,1.5,1.5,1.5,1.5,1.5,200.0
2018-05-07,1.6,1.3,1.6,1.6,1.6,23400.0
2018-05-08,1.6,1.5,1.6,1.5,1.5,1400.0
2018-05-09,1.4,1.4,1.4,1.4,1.4,2000.0
2018-05-10,1.6,1.5,1.6,1.5,1.5,11910.0
2018-05-11,1.6,1.6,1.6,1.6,1.6,5300.0
2018-05-14,1.7,1.4,1.4,1.7,1.7,8200.0
2018-05-15,1.4,1.4,1.4,1.4,1.4,100.0
2018-05-16,1.6,1.6,1.6,1.6,1.6,700.0
2018-05-17,1.6,1.6,1.6,1.6,1.6,500.0
2018-05-18,1.6,1.6,1.6,1.6,1.6,10.0
2018-05-21,1.6,1.6,1.6,1.6,1.6,0.0
2018-05-22,1.6,1.6,1.6,1.6,1.6,0.0
2018-05-23,1.6,1.6,1.6,1.6,1.6,0.0
2018-05-24,1.4,1.4,1.4,1.4,1.4,100.0
2018-05-25,1.3,1.3,1.3,1.3,1.3,300.0
2018-05-28,1.3,1.2,1.3,1.3,1.3,3700.0
2018-05-29,1.4,1.4,1.4,1.4,1.4,100.0
2018-05-30,1.4,1.4,1.4,1.4,1.4,0.0
2018-05-31,1.4,1.4,1.4,1.4,1.4,0.0
2018-06-01,1.4,1.4,1.4,1.4,1.4,0.0
2018-06-04,1.4,1.4,1.4,1.4,1.4,2200.0
2018-06-05,1.5,1.5,1.5,1.5,1.5,100.0
2018-06-06,1.4,1.4,1.4,1.4,1.4,1200.0
2018-06-07,1.4,1.4,1.4,1.4,1.4,0.0
2018-06-08,1.6,1.5,1.5,1.6,1.6,800.0
2018-06-11,1.4,1.4,1.4,1.4,1.4,1000.0
2018-06-12,1.4,1.4,1.4,1.4,1.4,7200.0
2018-06-13,1.5,1.5,1.5,1.5,1.5,700.0
2018-06-14,1.5,1.4,1.5,1.4,1.4,45700.0
2018-06-15,1.5,1.5,1.5,1.5,1.5,100.0
2018-06-18,1.5,1.5,1.5,1.5,1.5,0.0
2018-06-19,1.5,1.5,1.5,1.5,1.5,0.0
2018-06-20,1.5,1.5,1.5,1.5,1.5,0.0
2018-06-21,1.4,1.4,1.4,1.4,1.4,10000.0
2018-06-22,1.4,1.4,1.4,1.4,1.4,100.0
2018-06-25,1.4,1.4,1.4,1.4,1.4,0.0
2018-06-26,1.4,1.4,1.4,1.4,1.4,4000.0
2018-06-27,1.4,1.4,1.4,1.4,1.4,800.0
2018-06-28,1.5,1.4,1.5,1.4,1.4,10800.0
2018-06-29,1.4,1.4,1.4,1.4,1.4,0.0
2018-07-02,1.4,1.4,1.4,1.4,1.4,0.0
2018-07-03,1.4,1.4,1.4,1.4,1.4,13500.0
2018-07-04,1.4,1.4,1.4,1.4,1.4,200.0
2018-07-05,1.5,1.4,1.5,1.4,1.4,900.0
2018-07-06,1.4,1.4,1.4,1.4,1.4,0.0
2018-07-09,1.4,1.4,1.4,1.4,1.4,0.0
2018-07-10,1.4,1.4,1.4,1.4,1.4,0.0
2018-07-11,1.4,1.4,1.4,1.4,1.4,0.0
2018-07-12,1.4,1.4,1.4,1.4,1.4,0.0
2018-07-13,1.4,1.4,1.4,1.4,1.4,200.0
2018-07-16,1.4,1.4,1.4,1.4,1.4,0.0
2018-07-17,1.4,1.4,1.4,1.4,1.4,0.0
2018-07-18,1.4,1.4,1.4,1.4,1.4,0.0
2018-07-19,1.4,1.4,1.4,1.4,1.4,0.0
2018-07-20,1.4,1.4,1.4,1.4,1.4,0.0
2018-07-23,1.4,1.4,1.4,1.4,1.4,0.0
2018-07-24,1.4,1.4,1.4,1.4,1.4,0.0
2018-07-25,1.5,1.4,1.4,1.5,1.5,3400.0
2018-07-26,1.4,1.4,1.4,1.4,1.4,0.0
2018-07-27,1.6,1.2,1.2,1.6,1.6,1500.0
2018-07-30,1.6,1.6,1.6,1.6,1.6,100.0
2018-07-31,1.6,1.6,1.6,1.6,1.6,0.0
2018-08-01,1.6,1.6,1.6,1.6,1.6,0.0
2018-08-02,1.6,1.6,1.6,1.6,1.6,0.0
2018-08-03,1.6,1.6,1.6,1.6,1.6,0.0
2018-08-06,1.6,1.6,1.6,1.6,1.6,0.0
2018-08-07,1.6,1.6,1.6,1.6,1.6,0.0
2018-08-08,1.6,1.6,1.6,1.6,1.6,0.0
2018-08-09,1.4,1.4,1.4,1.4,1.4,1000.0
2018-08-10,1.4,1.4,1.4,1.4,1.4,0.0
2018-08-13,1.4,1.4,1.4,1.4,1.4,0.0
2018-08-14,1.4,1.4,1.4,1.4,1.4,100.0
2018-08-15,1.4,1.4,1.4,1.4,1.4,0.0
2018-08-16,1.4,1.4,1.4,1.4,1.4,0.0
2018-08-17,1.4,1.4,1.4,1.4,1.4,0.0
2018-08-20,1.4,1.4,1.4,1.4,1.4,0.0
2018-08-21,1.4,1.4,1.4,1.4,1.4,0.0
2018-08-22,1.4,1.4,1.4,1.4,1.4,0.0
2018-08-23,1.5,1.5,1.5,1.5,1.5,100.0
2018-08-24,1.5,1.5,1.5,1.5,1.5,0.0
2018-08-27,1.5,1.5,1.5,1.5,1.5,0.0
2018-08-28,1.5,1.5,1.5,1.5,1.5,0.0
2018-08-29,1.5,1.5,1.5,1.5,1.5,0.0
2018-08-30,1.5,1.3,1.5,1.5,1.5,6200.0
2018-08-31,1.3,1.3,1.3,1.3,1.3,0.0
2018-09-04,1.3,1.3,1.3,1.3,1.3,0.0
2018-09-05,1.3,1.3,1.3,1.3,1.3,0.0
2018-09-06,1.3,1.3,1.3,1.3,1.3,0.0
2018-09-07,1.4,1.4,1.4,1.4,1.4,4200.0
2018-09-10,1.5,1.5,1.5,1.5,1.5,100.0
2018-09-11,1.6,1.6,1.6,1.6,1.6,100.0
2018-09-12,1.6,1.6,1.6,1.6,1.6,100.0
2018-09-13,1.6,1.6,1.6,1.6,1.6,100.0
2018-09-14,1.6,1.6,1.6,1.6,1.6,0.0
2018-09-17,1.6,1.6,1.6,1.6,1.6,0.0
2018-09-18,1.6,1.6,1.6,1.6,1.6,0.0
2018-09-19,1.4,1.4,1.4,1.4,1.4,900.0
2018-09-20,1.4,1.4,1.4,1.4,1.4,0.0
2018-09-21,1.5,1.5,1.5,1.5,1.5,100.0
2018-09-24,1.5,1.5,1.5,1.5,1.5,100.0
2018-09-25,1.4,1.4,1.4,1.4,1.4,400.0
2018-09-26,1.4,1.3,1.4,1.3,1.3,2000.0
2018-09-27,1.3,1.3,1.3,1.3,1.3,0.0
2018-09-28,1.4,1.3,1.4,1.3,1.3,2200.0
2018-10-01,1.4,1.4,1.4,1.4,1.4,0.0
2018-10-02,1.6,1.4,1.4,1.6,1.6,3300.0
2018-10-03,1.6,1.6,1.6,1.6,1.6,100.0
2018-10-04,1.6,1.6,1.6,1.6,1.6,0.0
2018-10-05,1.6,1.6,1.6,1.6,1.6,0.0
2018-10-08,1.6,1.6,1.6,1.6,1.6,100.0
2018-10-09,1.6,1.6,1.6,1.6,1.6,500.0
2018-10-10,1.6,1.6,1.6,1.6,1.6,0.0
2018-10-11,1.4,1.4,1.4,1.4,1.4,600.0
2018-10-12,1.4,1.4,1.4,1.4,1.4,100.0
2018-10-15,1.2,1.2,1.2,1.2,1.2,100.0
2018-10-16,1.3,1.2,1.3,1.2,1.2,5500.0
2018-10-17,1.2,1.2,1.2,1.2,1.2,0.0
2018-10-18,1.3,1.3,1.3,1.3,1.3,3200.0
2018-10-19,1.3,1.3,1.3,1.3,1.3,0.0
2018-10-22,1.4,1.4,1.4,1.4,1.4,100.0
2018-10-23,1.4,1.4,1.4,1.4,1.4,0.0
2018-10-24,1.4,1.4,1.4,1.4,1.4,200.0
2018-10-25,1.4,1.4,1.4,1.4,1.4,100.0
2018-10-26,1.4,1.4,1.4,1.4,1.4,400.0
2018-10-29,1.4,1.4,1.4,1.4,1.4,0.0
2018-10-30,1.4,1.4,1.4,1.4,1.4,0.0
2018-10-31,1.4,1.4,1.4,1.4,1.4,0.0
2018-11-01,1.4,1.4,1.4,1.4,1.4,0.0
2018-11-02,1.4,1.4,1.4,1.4,1.4,0.0
2018-11-05,1.2,1.2,1.2,1.2,1.2,1000.0
2018-11-06,1.2,1.2,1.2,1.2,1.2,0.0
2018-11-07,1.2,1.2,1.2,1.2,1.2,0.0
2018-11-08,1.3,1.3,1.3,1.3,1.3,1100.0
2018-11-09,1.3,1.3,1.3,1.3,1.3,0.0
2018-11-12,1.3,1.3,1.3,1.3,1.3,0.0
2018-11-13,1.3,1.3,1.3,1.3,1.3,20100.0
2018-11-14,1.3,1.3,1.3,1.3,1.3,0.0
2018-11-15,1.3,1.3,1.3,1.3,1.3,0.0
2018-11-16,1.3,1.3,1.3,1.3,1.3,0.0
2018-11-19,1.3,1.3,1.3,1.3,1.3,0.0
2018-11-20,1.3,1.3,1.3,1.3,1.3,0.0
2018-11-21,1.4,1.4,1.4,1.4,1.4,1000.0
2018-11-22,1.4,1.4,1.4,1.4,1.4,0.0
2018-11-23,1.4,1.4,1.4,1.4,1.4,0.0
2018-11-26,1.4,1.4,1.4,1.4,1.4,0.0
2018-11-27,1.4,1.4,1.4,1.4,1.4,0.0
2018-11-28,1.4,1.4,1.4,1.4,1.4,0.0
2018-11-29,1.3,1.2,1.3,1.2,1.2,1400.0
2018-11-30,1.3,1.3,1.3,1.3,1.3,0.0
2018-12-03,1.3,1.3,1.3,1.3,1.3,0.0
2018-12-04,1.3,1.3,1.3,1.3,1.3,0.0
2018-12-05,1.3,1.3,1.3,1.3,1.3,0.0
2018-12-06,1.4,1.2,1.4,1.2,1.2,2100.0
2018-12-07,1.3,1.2,1.3,1.2,1.2,2200.0
2018-12-10,1.3,1.3,1.3,1.3,1.3,0.0
2018-12-11,1.3,1.3,1.3,1.3,1.3,0.0
2018-12-12,1.3,1.3,1.3,1.3,1.3,0.0
