Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,68.6,65.1,65.2,68.2,59.096,786420.0
2018-01-03,68.6,66.7,68.6,67.0,58.056,463220.0
2018-01-04,68.5,66.6,67.0,67.7,58.663,428800.0
2018-01-05,68.0,65.9,67.8,66.2,57.363,881940.0
2018-01-08,67.7,65.9,66.2,67.4,58.403,531590.0
2018-01-09,71.3,67.1,67.6,71.3,61.782,1452300.0
2018-01-10,72.5,70.0,71.0,70.4,61.003,679730.0
2018-01-11,71.0,69.0,70.1,70.5,61.089,647510.0
2018-01-12,72.0,69.2,70.5,69.2,59.963,896960.0
2018-01-15,73.6,69.3,69.4,73.0,63.256,1010500.0
2018-01-16,73.5,71.0,73.0,72.0,62.389,367440.0
2018-01-17,73.2,70.0,72.0,70.0,60.656,600300.0
2018-01-18,72.0,68.6,70.2,72.0,62.389,889040.0
2018-01-19,75.5,71.7,72.5,75.4,65.335,898460.0
2018-01-22,79.4,75.4,75.4,78.7,68.195,710280.0
2018-01-25,81.0,78.0,79.3,80.0,69.321,703250.0
2018-01-26,85.0,79.0,79.5,83.5,72.354,545350.0
2018-01-29,86.0,81.0,83.0,81.2,70.361,699600.0
2018-01-30,85.7,80.0,80.0,85.7,74.26,470270.0
2018-01-31,87.5,82.0,85.7,82.0,71.054,458860.0
2018-02-01,84.0,77.1,82.5,78.5,68.021,550700.0
2018-02-02,81.0,76.3,79.8,80.3,69.581,466310.0
2018-02-05,79.0,74.7,79.0,74.7,64.729,688330.0
2018-02-06,70.0,69.5,69.5,69.5,60.223,835960.0
2018-02-07,73.0,68.0,73.0,71.3,61.782,502280.0
2018-02-08,75.0,69.5,69.5,73.4,63.602,217690.0
2018-02-09,72.8,68.5,69.5,71.6,62.042,361850.0
2018-02-12,73.5,71.0,72.0,73.5,63.689,297370.0
2018-02-13,76.5,74.5,74.9,75.0,64.989,263970.0
2018-02-21,80.2,75.0,75.0,80.2,69.494,844340.0
