Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,21.9,21.6,21.8,21.6,15.75,8930.0
2018-01-03,21.5,21.0,21.5,21.5,15.677,23300.0
2018-01-04,22.4,21.4,21.5,21.8,15.896,48532.0
2018-01-05,22.5,20.4,22.5,21.7,15.823,19450.0
2018-01-08,22.2,20.5,22.2,21.4,15.604,57200.0
2018-01-09,21.3,20.4,21.3,21.3,15.532,83200.0
2018-01-10,22.0,20.5,21.3,21.0,15.313,74506.0
2018-01-11,20.8,20.3,20.8,20.6,15.021,44030.0
2018-01-12,20.4,20.0,20.4,20.3,14.802,89360.0
2018-01-15,21.1,19.7,20.2,21.1,15.386,40803.0
2018-01-16,21.1,20.2,20.9,20.8,15.167,52000.0
2018-01-17,20.8,20.3,20.8,20.7,15.094,50570.0
2018-01-18,20.5,19.9,20.3,20.5,14.948,59380.0
2018-01-19,20.8,20.2,20.7,20.6,15.021,41072.0
2018-01-22,20.5,20.0,20.2,20.5,14.948,24570.0
2018-01-23,21.0,20.5,20.8,20.7,15.094,60500.0
2018-01-24,21.1,20.5,21.1,20.5,14.948,20672.0
2018-01-25,20.9,20.5,20.5,20.8,15.167,61322.0
2018-01-26,20.7,20.0,20.3,20.7,15.094,78210.0
2018-01-29,21.0,19.8,20.6,20.9,15.24,130610.0
2018-01-30,20.9,20.4,20.9,20.8,15.167,51986.0
2018-01-31,21.1,20.8,20.8,21.1,15.386,350790.0
2018-02-01,21.1,20.4,21.1,20.9,15.24,85500.0
2018-02-02,20.8,20.1,20.4,20.6,15.021,84350.0
2018-02-05,20.5,18.6,20.5,19.6,14.292,125130.0
2018-02-06,19.5,17.7,18.2,19.2,14.0,123510.0
2018-02-07,19.9,18.1,19.5,19.2,14.0,93016.0
2018-02-08,19.0,18.5,18.8,18.9,13.781,12350.0
2018-02-09,18.8,17.1,17.8,18.8,13.709,56810.0
2018-02-12,19.3,18.1,18.1,19.3,14.073,29400.0
2018-02-13,19.9,18.9,19.9,19.2,14.0,26035.0
2018-02-21,19.2,17.9,19.0,19.0,13.854,137740.0
2018-02-22,18.9,18.2,18.5,18.9,13.781,46950.0
2018-02-23,19.2,18.5,18.5,18.9,13.781,56810.0
2018-02-26,18.7,18.3,18.5,18.4,13.417,35650.0
2018-02-27,18.4,18.1,18.2,18.4,13.417,63600.0
2018-02-28,18.9,17.8,18.4,18.9,13.781,81930.0
2018-03-01,18.9,18.5,18.9,18.8,13.709,4700.0
2018-03-02,18.8,18.0,18.0,18.7,13.636,41100.0
2018-03-05,18.8,18.2,18.7,18.7,13.636,49550.0
2018-03-06,18.8,18.1,18.3,18.7,13.636,49831.0
2018-03-07,19.0,18.3,18.5,19.0,13.854,55204.0
2018-03-08,19.0,18.5,19.0,18.9,13.781,33300.0
2018-03-09,18.9,18.5,18.5,18.6,13.563,97325.0
2018-03-12,19.8,18.4,19.0,18.7,13.636,71814.0
2018-03-13,18.7,18.3,18.3,18.7,13.636,22540.0
2018-03-14,19.0,18.5,18.7,19.0,13.854,27200.0
2018-03-15,19.0,18.9,19.0,18.9,13.781,1986.0
2018-03-16,19.0,18.5,18.8,19.0,13.854,43717.0
2018-03-19,19.1,18.6,18.7,19.1,13.927,16800.0
2018-03-20,19.2,18.6,18.6,19.2,14.0,28018.0
2018-03-21,19.2,18.8,19.0,19.1,13.927,24310.0
2018-03-22,19.1,18.6,18.7,19.0,13.854,32174.0
2018-03-23,19.9,18.6,18.9,19.7,14.365,36980.0
2018-03-26,21.5,19.6,21.5,19.9,14.511,9840.0
2018-03-27,20.2,19.8,19.8,20.2,14.729,27660.0
2018-03-28,20.0,19.8,19.8,20.0,14.584,6130.0
2018-03-29,19.9,19.1,19.1,19.9,14.511,26038.0
2018-03-30,19.8,19.0,19.0,19.8,14.438,20240.0
2018-04-02,19.9,19.0,19.8,19.9,14.511,35100.0
2018-04-03,21.0,19.7,19.7,20.5,14.948,84915.0
2018-04-04,21.5,19.8,20.5,19.8,14.438,23653.0
2018-04-05,20.8,19.5,20.8,20.3,14.802,28550.0
2018-04-06,20.3,19.8,19.9,20.3,14.802,16460.0
2018-04-09,20.5,19.5,20.0,20.5,14.948,50029.0
2018-04-10,20.5,19.9,20.5,20.3,14.802,70420.0
2018-04-11,20.1,19.7,20.1,20.1,14.657,42900.0
2018-04-12,20.0,19.0,19.7,20.0,14.584,94670.0
2018-04-13,20.0,19.4,19.5,19.9,14.511,47220.0
2018-04-16,20.5,19.1,20.5,19.9,14.511,29100.0
2018-04-17,19.9,19.1,19.1,19.8,14.438,18600.0
2018-04-18,19.9,19.3,19.8,19.8,14.438,47376.0
2018-04-19,19.8,19.6,19.8,19.7,14.365,5620.0
2018-04-20,19.8,19.8,19.8,19.8,14.438,5000.0
2018-04-23,19.5,19.2,19.2,19.5,14.219,12680.0
2018-04-24,19.5,19.0,19.2,19.4,14.146,31920.0
2018-04-26,19.1,18.0,19.1,19.1,13.927,9000.0
2018-04-27,19.1,18.6,19.1,19.1,13.927,6200.0
2018-05-02,19.0,19.0,19.0,19.0,13.854,3100.0
2018-05-03,19.0,18.3,18.3,19.0,13.854,3200.0
2018-05-04,19.5,18.3,19.5,18.9,13.781,7220.0
2018-05-07,20.5,18.9,20.5,18.9,13.781,1100.0
2018-05-08,19.2,18.8,18.8,19.2,14.0,8700.0
2018-05-09,19.5,18.6,18.8,19.4,14.146,15110.0
2018-05-10,19.4,18.4,18.5,19.3,14.073,11306.0
2018-05-11,19.5,19.0,19.0,19.4,14.146,10500.0
2018-05-14,19.4,18.5,18.5,19.3,14.073,21620.0
2018-05-15,20.5,18.7,19.3,19.3,14.073,10410.0
2018-05-16,19.3,18.8,19.2,19.2,14.0,21100.0
2018-05-17,19.0,18.8,19.0,19.0,13.854,8000.0
2018-05-18,19.0,18.7,18.7,19.0,13.854,21900.0
2018-05-21,18.9,18.5,18.9,18.9,13.781,9800.0
2018-05-22,18.8,18.2,18.2,18.7,13.636,4410.0
2018-05-23,18.7,18.0,18.0,18.7,13.636,6100.0
2018-05-24,18.7,17.3,18.4,18.6,13.563,80800.0
2018-05-25,20.0,17.8,18.7,17.8,12.979,15700.0
2018-05-28,19.4,17.2,19.4,17.8,12.979,20100.0
2018-05-29,17.7,17.5,17.7,17.6,12.834,20120.0
2018-05-30,18.4,18.4,18.4,18.4,13.417,128.0
2018-05-31,18.5,18.0,18.0,18.5,13.49,37100.0
2018-06-01,18.2,17.6,18.0,18.0,13.125,33300.0
2018-06-04,19.0,17.5,19.0,18.5,13.49,18410.0
2018-06-05,18.0,17.6,17.7,18.0,13.125,11458.0
2018-06-06,17.8,17.5,17.5,17.8,12.979,32716.0
2018-06-07,17.8,17.5,17.6,17.8,12.979,2700.0
2018-06-08,17.9,17.1,17.5,17.4,12.688,34900.0
2018-06-11,17.4,17.1,17.4,17.1,12.469,11750.0
2018-06-12,17.1,16.9,17.1,17.0,12.396,2800.0
2018-06-13,16.8,16.0,16.1,16.8,12.25,2299.0
2018-06-14,17.4,16.1,17.4,17.0,12.396,12200.0
2018-06-15,16.9,16.2,16.3,16.9,12.323,28350.0
2018-06-18,16.9,16.5,16.5,16.9,12.323,2200.0
2018-06-19,16.1,15.7,16.1,16.0,11.667,12799.0
2018-06-20,17.0,15.8,15.8,17.0,12.396,15880.0
2018-06-21,16.8,15.8,16.3,16.8,12.25,9000.0
2018-06-22,16.8,15.8,16.5,16.7,12.177,12800.0
2018-06-25,16.9,16.1,16.1,16.9,12.323,7100.0
2018-06-26,16.8,16.8,16.8,16.8,12.25,1000.0
2018-06-27,16.7,16.7,16.7,16.7,12.177,2200.0
2018-06-28,16.7,16.4,16.5,16.7,12.177,17100.0
2018-06-29,16.7,16.7,16.7,16.7,12.177,1010.0
2018-07-02,16.7,16.1,16.7,16.5,12.031,11000.0
2018-07-03,16.1,15.9,16.1,15.9,11.594,1242.0
2018-07-04,15.9,15.8,15.8,15.9,11.594,7300.0
2018-07-05,16.7,14.8,15.8,16.7,12.177,11301.0
2018-07-06,16.9,16.1,16.2,16.9,12.323,6300.0
2018-07-09,16.9,16.9,16.9,16.9,12.323,20.0
2018-07-10,16.9,16.5,16.5,16.9,12.323,700.0
2018-07-11,16.8,15.6,16.2,16.8,12.25,7135.0
2018-07-12,18.0,17.5,18.0,17.5,12.761,1122.0
2018-07-13,16.9,16.8,16.8,16.8,12.761,4000.0
2018-07-16,16.8,16.3,16.5,16.8,12.761,2355.0
2018-07-17,16.8,16.8,16.8,16.8,12.761,600.0
2018-07-18,17.1,16.4,16.9,17.0,12.913,43943.0
2018-07-19,18.7,16.5,17.0,18.7,14.204,79000.0
2018-07-20,18.0,17.1,18.0,18.0,13.672,31500.0
2018-07-23,18.0,17.8,17.8,18.0,13.672,18900.0
2018-07-24,18.0,16.8,18.0,17.8,13.52,29300.0
2018-07-25,17.8,16.8,17.0,17.7,13.444,36955.0
2018-07-26,17.7,16.8,17.7,17.0,12.913,21600.0
2018-07-27,17.5,16.7,17.5,17.0,12.913,9500.0
2018-07-30,16.9,16.5,16.7,16.6,12.609,14700.0
2018-07-31,17.0,17.0,17.0,17.0,12.913,2200.0
2018-08-01,17.3,16.4,17.3,16.9,12.837,6200.0
2018-08-02,16.9,16.5,16.5,16.9,12.837,5503.0
2018-08-03,16.9,16.5,16.5,16.9,12.837,7100.0
2018-08-06,16.9,16.5,16.5,16.9,12.837,12600.0
2018-08-07,16.8,16.5,16.5,16.8,12.761,4560.0
2018-08-08,16.7,16.5,16.5,16.7,12.685,4800.0
2018-08-09,16.7,16.4,16.5,16.7,12.685,10400.0
2018-08-10,16.7,16.6,16.7,16.7,12.685,9230.0
2018-08-13,16.7,16.1,16.4,16.7,12.685,14100.0
2018-08-14,16.6,16.5,16.6,16.6,12.609,10900.0
2018-08-15,16.5,16.2,16.3,16.5,12.533,4400.0
2018-08-16,16.6,16.0,16.2,16.6,12.609,12900.0
2018-08-17,16.6,16.0,16.5,16.6,12.609,12500.0
2018-08-20,16.6,16.2,16.5,16.6,12.609,8300.0
2018-08-21,16.5,16.0,16.0,16.5,12.533,6200.0
2018-08-22,16.4,16.2,16.4,16.4,12.457,11200.0
2018-08-23,16.4,16.2,16.2,16.4,12.457,3000.0
2018-08-24,16.3,16.1,16.1,16.3,12.381,6100.0
2018-08-27,16.3,16.1,16.2,16.3,12.381,6810.0
2018-08-28,16.2,15.8,16.2,16.2,12.305,17400.0
2018-08-29,16.2,16.0,16.1,16.2,12.305,3800.0
2018-08-30,16.1,15.5,16.1,15.6,11.849,24628.0
2018-08-31,15.8,14.9,15.4,15.8,12.001,31567.0
2018-09-04,16.9,15.4,16.9,16.0,12.153,4100.0
2018-09-05,15.6,15.4,15.5,15.6,11.849,5140.0
2018-09-06,15.5,15.2,15.4,15.5,11.773,11300.0
2018-09-07,15.5,15.1,15.4,15.5,11.773,10220.0
2018-09-10,15.6,15.1,15.2,15.6,11.849,6100.0
2018-09-11,15.7,15.2,15.2,15.6,11.849,14610.0
2018-09-12,15.5,15.2,15.3,15.5,11.773,6300.0
2018-09-13,15.5,15.2,15.4,15.5,11.773,5800.0
2018-09-14,15.5,15.2,15.5,15.5,11.773,12900.0
2018-09-17,15.4,15.2,15.2,15.4,11.697,10710.0
2018-09-18,15.3,15.1,15.3,15.3,11.621,9100.0
2018-09-19,15.1,14.9,15.0,15.0,11.393,49138.0
2018-09-20,15.0,14.9,15.0,15.0,11.393,14810.0
2018-09-21,15.0,14.8,14.9,14.8,11.242,22000.0
2018-09-24,15.3,14.9,15.1,15.0,11.393,53238.0
2018-09-25,15.3,14.9,15.3,14.9,11.317,23300.0
2018-09-26,15.0,14.8,14.9,14.8,11.242,23710.0
2018-09-27,15.0,14.8,14.8,14.9,11.317,30420.0
2018-09-28,15.1,14.9,14.9,14.9,11.317,58600.0
2018-10-01,15.8,15.0,15.1,15.6,11.849,190000.0
2018-10-02,15.8,15.4,15.6,15.5,11.773,50420.0
2018-10-03,15.5,15.3,15.5,15.3,11.621,25800.0
2018-10-04,15.6,15.1,15.3,15.2,11.545,87350.0
2018-10-05,16.3,15.0,16.3,15.3,11.621,71938.0
2018-10-08,15.2,14.8,15.2,15.1,11.469,41800.0
2018-10-09,15.1,14.7,15.1,14.9,11.317,45800.0
2018-10-10,15.0,14.6,14.9,15.0,11.393,72121.0
2018-10-11,14.7,13.7,14.6,14.3,10.862,79200.0
2018-10-12,15.5,13.7,14.0,14.8,11.242,68500.0
2018-10-15,15.0,14.2,15.0,14.6,11.09,21000.0
2018-10-16,14.5,14.0,14.5,14.5,11.014,47281.0
2018-10-17,14.5,14.3,14.5,14.4,10.938,3010.0
2018-10-18,14.4,14.2,14.4,14.3,10.862,3100.0
2018-10-19,14.3,13.9,14.0,14.3,10.862,7560.0
2018-10-22,14.2,13.8,14.2,13.8,10.482,19000.0
2018-10-23,14.2,13.5,14.2,13.8,10.482,10460.0
2018-10-24,13.8,13.7,13.8,13.8,10.482,12100.0
2018-10-25,13.7,13.6,13.6,13.7,10.406,6200.0
2018-10-26,14.2,13.4,14.2,13.6,10.33,29119.0
2018-10-29,13.5,13.1,13.1,13.5,10.254,4500.0
2018-10-30,14.0,13.4,14.0,13.8,10.482,26709.0
2018-10-31,13.8,13.3,13.4,13.7,10.406,46610.0
2018-11-01,14.0,13.4,14.0,13.6,10.33,26000.0
