Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,23.8,22.6,23.8,23.2,17.001,433820.0
2018-01-03,24.75,22.7,23.4,24.75,18.137,306380.0
2018-01-04,25.6,24.9,24.9,25.5,18.686,446070.0
2018-01-05,25.6,24.9,25.5,25.2,18.466,140980.0
2018-01-08,25.2,24.55,25.2,25.1,18.393,172230.0
2018-01-09,26.7,24.9,24.9,26.7,19.566,893460.0
2018-01-10,26.9,26.1,26.8,26.5,19.419,459990.0
2018-01-11,26.6,25.8,26.5,26.5,19.419,332540.0
2018-01-12,26.75,25.9,26.1,26.6,19.492,385660.0
2018-01-15,27.0,26.2,27.0,26.6,19.492,122590.0
2018-01-16,26.6,26.1,26.6,26.5,19.419,152260.0
2018-01-17,27.3,26.1,26.3,26.6,19.492,890000.0
2018-01-18,27.15,26.6,26.6,27.15,19.895,422930.0
2018-01-19,27.3,26.85,27.15,27.3,20.005,362190.0
2018-01-22,27.3,26.2,27.3,26.4,19.346,406590.0
2018-01-25,26.35,25.7,26.35,26.2,19.199,324870.0
2018-01-26,28.0,25.7,26.8,28.0,20.518,1681240.0
2018-01-29,28.9,27.3,28.9,28.35,20.775,480970.0
2018-01-30,28.5,27.9,28.0,28.4,20.811,206650.0
2018-01-31,28.3,27.5,28.2,28.0,20.518,427500.0
2018-02-01,28.2,27.3,28.0,27.95,20.482,234810.0
2018-02-02,27.9,27.4,27.8,27.7,20.298,106760.0
2018-02-05,27.7,26.5,27.7,26.5,19.419,358290.0
2018-02-06,26.45,24.45,24.45,26.3,19.455,509040.0
2018-02-07,27.0,26.1,26.5,27.0,19.973,95620.0
2018-02-08,26.95,26.5,26.8,26.8,19.825,343250.0
2018-02-09,26.8,24.95,26.8,26.8,19.825,338000.0
2018-02-12,27.5,26.8,27.0,27.5,20.343,226530.0
2018-02-13,27.95,27.1,27.95,27.3,20.195,222840.0
2018-02-21,27.5,27.0,27.5,27.25,20.158,77150.0
2018-02-22,27.0,26.5,27.0,27.0,19.973,120260.0
2018-02-23,27.45,26.6,26.9,27.45,20.306,121750.0
2018-02-26,28.0,27.0,27.5,27.9,20.639,559940.0
2018-02-27,28.45,27.7,28.0,27.95,20.676,94080.0
2018-02-28,28.1,27.8,28.0,27.8,20.565,179450.0
2018-03-01,27.8,27.05,27.8,27.3,20.195,203620.0
2018-03-02,27.4,27.1,27.3,27.15,20.084,48050.0
2018-03-05,27.2,26.5,27.2,26.5,19.603,113390.0
2018-03-06,26.9,26.0,26.2,26.9,19.899,531610.0
2018-03-07,27.8,26.2,27.0,27.8,20.565,482280.0
2018-03-08,28.5,27.05,27.8,28.5,21.083,1464480.0
2018-03-09,28.5,27.9,28.5,28.0,20.713,368170.0
2018-03-12,28.3,27.6,28.0,28.2,20.861,595470.0
2018-03-13,28.1,27.6,28.0,27.9,20.639,361030.0
2018-03-14,28.0,27.5,27.6,28.0,20.713,344170.0
2018-03-15,27.95,26.9,27.9,26.9,19.899,609290.0
2018-03-16,27.6,26.9,26.9,27.0,19.973,274870.0
2018-03-19,27.8,26.5,27.7,27.4,20.269,488820.0
2018-03-20,27.5,26.7,27.3,27.4,20.269,420380.0
2018-03-21,27.0,26.5,26.9,26.55,19.64,85480.0
2018-03-22,27.1,26.6,26.9,27.1,20.047,458380.0
2018-03-23,27.1,26.4,27.1,27.05,20.01,402890.0
2018-03-26,27.0,25.5,27.0,26.1,19.307,117250.0
2018-03-27,26.8,26.0,26.75,26.8,19.825,127690.0
2018-03-28,26.65,26.1,26.1,26.5,19.603,46310.0
2018-03-29,26.4,25.1,26.0,26.0,19.233,281850.0
2018-03-30,26.0,25.1,25.2,25.1,18.568,134130.0
2018-04-02,25.7,24.85,25.3,25.6,18.938,328280.0
2018-04-03,25.7,25.0,25.7,25.7,19.012,711610.0
2018-04-04,25.6,25.0,25.1,25.55,18.901,266880.0
2018-04-05,25.45,24.9,25.1,25.4,18.937,303800.0
2018-04-06,25.4,24.8,25.4,25.3,18.863,160440.0
2018-04-09,25.65,25.1,25.3,25.4,18.937,448430.0
2018-04-10,25.4,24.8,25.4,25.3,18.863,295190.0
2018-04-11,25.3,24.5,24.9,25.1,18.714,308430.0
2018-04-12,25.0,24.5,25.0,24.6,18.341,136240.0
2018-04-13,24.9,22.9,24.6,24.0,17.894,631590.0
2018-04-16,23.9,23.0,23.65,23.9,17.819,374960.0
2018-04-17,24.0,23.1,23.9,23.9,17.819,409470.0
2018-04-18,23.8,23.0,23.8,23.75,17.707,416460.0
2018-04-19,23.6,23.0,23.05,23.6,17.595,148630.0
2018-04-20,23.8,23.1,23.3,23.5,17.521,254040.0
2018-04-23,23.5,22.9,23.5,23.4,17.446,257210.0
2018-04-24,23.2,22.8,23.2,23.2,17.297,34550.0
2018-04-26,23.0,21.9,23.0,23.0,17.148,100790.0
2018-04-27,23.0,22.5,23.0,22.9,17.073,51420.0
2018-05-02,22.6,22.3,22.6,22.3,16.626,125060.0
2018-05-03,22.2,21.8,22.2,22.2,16.551,100700.0
2018-05-04,22.1,21.7,22.0,22.1,16.477,109460.0
2018-05-07,22.7,22.0,22.0,22.7,16.924,43040.0
2018-05-08,22.6,21.7,22.0,22.4,16.701,345030.0
2018-05-09,22.4,21.7,22.4,22.0,16.402,241940.0
2018-05-10,22.0,21.6,21.8,22.0,16.402,186090.0
2018-05-11,21.85,21.25,21.6,21.7,16.179,324360.0
2018-05-14,21.5,21.0,21.15,21.3,15.88,146510.0
2018-05-15,21.75,21.05,21.1,21.6,16.104,82830.0
2018-05-16,22.3,21.55,21.7,22.0,16.402,65300.0
2018-05-17,22.3,21.6,22.0,21.95,16.365,22550.0
2018-05-18,21.95,21.4,21.95,21.85,16.291,50000.0
2018-05-21,22.1,21.0,22.1,21.0,15.657,111150.0
2018-05-22,21.4,20.5,21.4,20.9,15.582,98990.0
2018-05-23,20.9,19.45,20.9,19.5,14.538,395680.0
2018-05-24,19.5,18.8,19.5,19.2,14.315,251110.0
2018-05-25,19.8,18.7,19.2,19.8,14.762,194020.0
2018-05-28,19.9,18.8,19.5,19.9,14.837,164950.0
2018-05-29,20.0,18.9,19.0,20.0,14.911,134940.0
2018-05-30,19.9,19.0,19.9,19.65,14.65,167050.0
2018-05-31,19.3,18.9,19.05,19.3,14.389,131510.0
2018-06-01,19.7,18.85,19.45,19.7,14.688,217060.0
2018-06-04,19.75,19.1,19.1,19.75,14.725,90070.0
2018-06-05,19.4,18.6,19.4,19.1,14.24,408540.0
2018-06-06,19.1,18.4,19.1,18.5,13.793,221700.0
2018-06-07,19.0,18.5,18.5,18.8,14.017,101180.0
2018-06-08,18.8,18.4,18.8,18.45,13.756,54130.0
2018-06-11,18.5,17.45,18.3,18.5,13.793,571510.0
2018-06-12,18.5,17.5,18.5,17.8,13.271,203750.0
2018-06-13,18.0,17.55,17.6,17.95,13.383,87390.0
2018-06-14,17.95,17.4,17.95,17.8,13.271,347350.0
2018-06-15,17.6,17.0,17.6,17.0,12.675,393620.0
2018-06-18,17.1,16.8,17.0,17.0,12.675,411820.0
2018-06-19,17.0,16.2,16.65,16.5,12.302,338520.0
2018-06-20,16.5,15.85,16.5,15.9,11.854,501770.0
2018-06-21,16.05,15.8,15.9,16.0,11.929,245070.0
2018-06-22,17.1,15.8,15.8,17.1,12.749,270060.0
2018-06-25,18.0,16.45,17.3,17.1,12.749,286950.0
2018-06-26,17.1,15.95,17.1,16.3,12.153,683300.0
2018-06-27,16.45,16.0,16.3,16.2,12.078,83660.0
2018-06-28,16.75,16.2,16.45,16.5,12.302,172680.0
2018-06-29,16.5,16.0,16.0,16.5,12.302,124880.0
2018-07-02,16.5,16.1,16.35,16.35,12.19,118070.0
2018-07-03,16.5,16.2,16.4,16.3,12.153,174340.0
2018-07-04,16.5,16.25,16.35,16.35,12.19,151620.0
2018-07-05,16.4,16.0,16.4,16.35,12.19,100860.0
2018-07-06,16.3,15.8,16.2,15.8,11.78,367160.0
2018-07-09,16.25,16.0,16.0,16.15,12.041,89420.0
2018-07-10,16.2,16.0,16.15,16.15,12.041,147740.0
2018-07-11,16.15,15.5,16.15,16.0,11.929,52440.0
2018-07-12,16.1,15.7,15.8,16.05,11.966,112600.0
2018-07-13,16.7,16.0,16.0,16.45,12.265,140270.0
2018-07-16,16.8,16.2,16.4,16.6,12.376,175870.0
2018-07-17,16.8,16.3,16.3,16.8,12.525,155260.0
2018-07-18,17.8,16.8,16.8,17.7,13.196,212150.0
2018-07-19,18.9,16.5,17.7,18.4,13.718,365000.0
2018-07-20,18.4,17.95,18.4,18.3,13.644,182340.0
2018-07-23,18.3,17.7,17.7,18.3,13.644,87000.0
2018-07-24,18.25,17.7,18.0,18.2,13.569,138540.0
2018-07-25,18.2,17.7,18.2,18.2,13.569,166870.0
2018-07-26,18.0,17.4,18.0,17.4,12.973,114000.0
2018-07-27,17.6,17.0,17.4,17.6,13.122,134680.0
2018-07-30,17.6,17.0,17.6,17.15,12.786,193720.0
2018-07-31,17.55,17.3,17.3,17.55,13.085,39070.0
2018-08-01,17.6,17.5,17.55,17.5,13.047,115940.0
2018-08-02,17.5,17.25,17.5,17.4,12.973,77040.0
2018-08-03,17.4,17.15,17.4,17.3,12.898,160270.0
2018-08-06,17.35,16.8,17.2,17.3,12.898,233060.0
2018-08-07,17.3,16.95,17.2,17.3,12.898,146380.0
2018-08-08,17.4,17.0,17.4,17.3,12.898,123320.0
2018-08-09,17.25,16.95,16.95,17.2,12.824,201160.0
2018-08-10,17.35,17.05,17.05,17.3,12.898,78690.0
2018-08-13,17.8,17.2,17.2,17.7,13.196,158170.0
2018-08-14,18.8,17.7,18.0,18.55,13.83,247220.0
2018-08-15,18.6,17.9,18.55,18.55,13.83,114370.0
2018-08-16,18.85,18.0,18.0,18.75,13.979,287280.0
2018-08-17,18.85,18.35,18.6,18.7,13.942,264990.0
2018-08-20,18.7,18.2,18.7,18.2,13.569,187860.0
2018-08-21,18.9,17.8,18.2,18.7,13.942,160890.0
2018-08-22,18.8,18.4,18.4,18.75,13.979,45770.0
2018-08-23,18.8,18.15,18.8,18.4,13.718,174430.0
2018-08-24,18.5,18.2,18.2,18.5,13.793,42440.0
2018-08-27,18.7,18.3,18.5,18.55,13.83,201170.0
2018-08-28,18.6,18.15,18.55,18.6,13.867,122150.0
2018-08-29,18.6,18.3,18.6,18.35,13.681,50780.0
2018-08-30,18.5,18.25,18.5,18.4,13.718,53950.0
2018-08-31,18.4,18.15,18.25,18.4,13.718,159070.0
2018-09-04,18.4,18.05,18.4,18.3,13.644,156640.0
2018-09-05,18.4,18.15,18.25,18.2,13.569,284040.0
2018-09-06,18.2,17.95,18.2,18.05,13.457,129100.0
2018-09-07,18.05,17.85,18.05,18.0,13.42,63610.0
2018-09-10,18.2,17.8,18.2,18.0,13.42,114990.0
2018-09-11,18.0,17.8,18.0,18.0,13.42,75230.0
2018-09-12,18.8,17.8,17.85,18.55,13.83,322890.0
2018-09-13,18.8,18.45,18.8,18.5,13.793,89580.0
2018-09-14,18.9,18.35,18.4,18.75,13.979,205800.0
2018-09-17,18.75,18.2,18.5,18.5,13.793,115230.0
2018-09-18,18.7,18.25,18.25,18.5,13.793,225470.0
2018-09-19,18.8,18.5,18.5,18.6,13.867,201800.0
2018-09-20,18.7,18.45,18.7,18.5,13.793,69140.0
2018-09-21,18.6,18.35,18.6,18.5,13.793,75650.0
2018-09-24,18.5,18.35,18.5,18.35,13.681,108990.0
2018-09-25,18.55,18.35,18.4,18.4,13.718,144840.0
2018-09-26,19.65,18.5,18.5,19.65,14.65,1029450.0
2018-09-27,20.4,19.5,20.1,19.5,14.538,190550.0
2018-09-28,20.2,19.5,19.5,20.0,14.911,359040.0
2018-10-01,20.35,19.55,20.0,19.7,14.688,158530.0
2018-10-02,19.8,19.3,19.6,19.5,14.538,161950.0
2018-10-03,20.35,19.3,19.5,20.35,15.172,501530.0
2018-10-04,20.35,20.0,20.35,20.05,14.949,180680.0
