Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,21.4,21.3,21.4,21.4,17.28,1000.0
2018-01-03,21.5,21.1,21.3,21.3,17.199,34300.0
2018-01-04,21.7,21.3,21.3,21.4,17.28,22400.0
2018-01-05,21.7,21.2,21.4,21.6,17.441,4907.0
2018-01-08,21.6,21.5,21.6,21.6,17.441,15833.0
2018-01-09,21.6,21.5,21.6,21.5,17.36,21100.0
2018-01-10,21.6,21.3,21.5,21.6,17.441,54128.0
2018-01-11,21.7,21.5,21.5,21.5,17.36,19490.0
2018-01-12,21.5,21.2,21.5,21.5,17.36,48917.0
2018-01-15,21.5,21.4,21.4,21.5,17.36,15160.0
2018-01-16,24.0,21.5,21.5,24.0,19.378,75955.0
2018-01-17,25.5,23.9,24.0,24.1,19.459,71642.0
2018-01-18,23.7,22.8,23.7,22.8,18.411,1617.0
2018-01-19,24.2,22.8,23.5,23.4,18.895,26810.0
2018-01-22,23.0,22.2,23.0,22.3,18.005,21900.0
2018-01-23,23.4,22.1,22.7,23.0,18.572,21500.0
2018-01-24,23.1,22.1,22.5,22.7,18.329,18811.0
2018-01-25,23.0,21.2,21.2,22.2,17.926,12490.0
2018-01-26,22.1,22.1,22.1,22.1,17.845,27255.0
2018-01-29,22.9,22.0,22.9,22.0,17.764,22627.0
2018-01-30,22.3,21.9,22.0,22.3,18.005,20040.0
2018-01-31,22.7,22.0,22.0,22.0,17.764,23429.0
2018-02-01,22.2,21.6,22.2,21.9,17.682,67821.0
2018-02-02,22.3,21.6,22.2,21.9,17.682,15400.0
2018-02-05,21.9,21.4,21.4,21.8,17.602,35210.0
2018-02-06,22.2,19.6,22.1,20.6,16.633,41000.0
2018-02-07,21.5,20.7,21.2,21.1,17.037,16019.0
2018-02-08,21.1,21.0,21.1,21.1,17.037,13500.0
2018-02-09,21.1,20.7,21.1,21.1,17.037,2800.0
2018-02-12,21.2,21.0,21.1,21.2,17.118,3660.0
2018-02-13,21.5,21.1,21.1,21.5,17.36,18523.0
2018-02-21,21.6,21.4,21.5,21.6,17.441,4807.0
2018-02-22,21.5,21.4,21.5,21.4,17.28,1411.0
2018-02-23,21.5,21.2,21.3,21.2,17.118,20900.0
2018-02-26,21.3,20.9,21.2,21.2,17.118,37810.0
2018-02-27,21.3,20.9,21.1,21.2,17.118,38930.0
2018-02-28,21.3,21.1,21.3,21.2,17.118,13979.0
2018-03-01,21.3,21.0,21.0,21.3,17.199,9310.0
2018-03-02,21.3,21.0,21.2,21.3,17.199,23100.0
2018-03-05,21.9,21.2,21.2,21.8,17.602,32661.0
2018-03-06,23.0,21.8,21.8,23.0,18.572,64500.0
2018-03-07,23.1,22.3,22.4,23.1,18.652,22360.0
2018-03-08,23.8,23.0,23.0,23.8,19.218,138781.0
2018-03-09,24.6,23.2,23.5,23.6,19.056,89095.0
2018-03-12,24.8,23.5,23.7,23.6,19.056,20033.0
2018-03-13,24.0,23.4,23.8,23.7,19.136,14400.0
2018-03-14,25.0,23.6,23.6,25.0,20.188,65150.0
2018-03-15,25.5,24.9,25.0,25.3,20.426,41318.0
2018-03-16,27.2,25.3,25.4,27.0,21.801,108005.0
2018-03-19,27.5,24.3,27.1,26.2,21.156,16033.0
2018-03-20,26.5,24.8,26.3,26.3,21.236,29912.0
2018-03-21,26.9,24.5,26.2,24.8,20.025,24719.0
2018-03-22,26.0,24.4,24.5,25.8,20.833,44300.0
2018-03-23,25.4,25.0,25.4,25.0,20.188,10110.0
2018-03-26,26.6,25.0,25.0,26.6,21.478,91706.0
2018-03-27,26.7,25.7,26.6,26.2,21.156,22348.0
2018-03-28,27.0,26.0,26.4,26.8,21.639,96170.0
2018-03-29,26.7,25.7,26.7,25.8,20.833,14035.0
2018-03-30,26.2,25.9,25.9,25.9,20.913,14000.0
2018-04-02,26.0,25.7,26.0,26.0,20.994,6179.0
2018-04-03,26.0,25.7,25.7,25.9,21.358,25010.0
2018-04-04,26.0,25.1,25.1,25.9,21.358,17550.0
2018-04-05,25.4,25.1,25.4,25.2,20.781,1705.0
2018-04-06,25.1,24.8,25.0,24.9,20.534,5700.0
2018-04-09,25.2,25.1,25.2,25.2,20.781,6290.0
2018-04-10,25.3,25.2,25.2,25.3,20.864,11800.0
2018-04-11,25.0,24.5,24.5,24.7,20.368,21205.0
2018-04-12,25.0,24.0,24.1,24.7,20.368,34515.0
2018-04-13,24.9,24.0,24.0,24.7,20.368,15285.0
2018-04-16,24.6,23.7,24.6,24.6,20.287,10557.0
2018-04-17,24.8,24.0,24.1,24.5,20.203,7682.0
2018-04-18,24.3,24.2,24.3,24.2,19.957,2400.0
2018-04-19,24.5,24.1,24.5,24.1,19.874,2500.0
2018-04-20,24.1,24.0,24.0,24.1,19.874,24430.0
2018-04-23,24.1,23.7,24.1,23.7,19.545,37900.0
2018-04-24,23.7,23.3,23.7,23.3,19.214,122248.0
2018-04-26,23.5,23.3,23.5,23.3,19.214,20094.0
2018-04-27,23.3,23.3,23.3,23.3,19.214,15945.0
2018-05-02,23.4,23.3,23.3,23.3,19.214,21200.0
