Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,34.5,34.0,34.5,34.5,6.303,3000.0
2018-01-03,34.2,32.0,34.0,33.0,6.029,8920.0
2018-01-04,32.9,31.0,32.0,32.0,5.847,20400.0
2018-01-05,32.5,32.0,32.0,32.5,5.938,6900.0
2018-01-08,32.4,32.0,32.0,32.3,5.901,10137.0
2018-01-09,32.4,32.1,32.2,32.4,5.92,10500.0
2018-01-10,32.5,32.0,32.4,32.3,5.901,16400.0
2018-01-11,32.3,31.0,32.3,32.2,5.883,2600.0
2018-01-12,32.0,31.9,32.0,32.0,5.847,2125.0
2018-01-15,32.0,32.0,32.0,32.0,5.847,15.0
2018-01-16,32.0,31.2,31.5,31.2,5.7,3401.0
2018-01-17,32.0,31.2,31.2,31.9,5.828,7300.0
2018-01-18,31.5,28.8,31.5,28.8,5.262,63349.0
2018-01-19,29.2,27.0,28.8,28.9,5.28,19100.0
2018-01-22,31.0,28.9,31.0,29.3,5.353,15320.0
2018-01-23,29.1,28.2,29.1,28.5,5.207,13800.0
2018-01-24,28.9,28.1,28.5,28.3,5.171,6320.0
2018-01-25,28.5,27.8,28.2,28.2,5.152,14300.0
2018-01-26,28.5,28.4,28.5,28.5,5.207,2270.0
2018-01-29,29.9,29.0,29.0,29.0,5.299,5500.0
2018-01-30,29.7,29.0,29.0,29.7,5.426,2200.0
2018-01-31,29.9,29.5,29.7,29.7,5.426,13014.0
2018-02-01,29.9,29.5,29.9,29.5,5.39,10200.0
2018-02-02,29.6,29.3,29.6,29.6,5.408,4700.0
2018-02-05,29.3,28.8,29.0,28.8,5.262,12500.0
2018-02-06,28.8,27.8,28.8,28.5,5.207,14000.0
2018-02-07,30.0,29.0,29.0,29.9,5.463,3300.0
2018-02-08,29.8,29.7,29.8,29.7,5.426,500.0
2018-02-09,29.5,28.5,28.5,29.5,5.39,3700.0
2018-02-12,29.5,29.5,29.5,29.5,5.39,0.0
2018-02-13,29.9,29.3,29.9,29.8,5.445,11540.0
2018-02-21,30.5,29.8,29.8,30.4,5.554,4650.0
2018-02-22,31.0,30.4,30.5,31.0,5.664,4200.0
2018-02-23,34.0,29.8,32.0,33.8,6.176,23200.0
2018-02-26,33.8,33.7,33.7,33.8,6.176,1250.0
2018-02-27,33.8,33.0,33.5,33.8,6.176,3900.0
2018-02-28,33.7,32.6,32.6,33.4,6.102,6700.0
2018-03-01,33.4,32.9,33.0,33.4,6.102,5000.0
2018-03-02,33.4,33.0,33.0,33.4,6.102,2000.0
2018-03-05,33.4,32.8,33.3,33.4,6.102,9500.0
2018-03-06,33.4,32.9,33.0,33.2,6.066,5600.0
2018-03-07,33.5,33.2,33.4,33.5,6.121,7300.0
2018-03-08,33.4,32.5,33.4,33.0,6.029,10800.0
2018-03-09,33.2,32.0,32.0,33.0,6.029,3314.0
2018-03-12,33.6,33.3,33.3,33.6,6.139,5100.0
2018-03-13,33.5,33.4,33.4,33.5,6.121,3500.0
2018-03-14,33.5,33.5,33.5,33.5,6.121,500.0
2018-03-15,33.5,32.5,33.1,33.5,6.121,13300.0
2018-03-16,33.4,32.5,33.4,33.2,6.066,1701.0
