Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,4.19,3.97,4.01,4.0,2.443,336340.0
2018-01-03,4.14,3.93,3.93,4.04,2.468,71670.0
2018-01-04,4.12,3.98,4.04,3.98,2.431,161650.0
2018-01-05,4.1,3.98,4.07,4.0,2.443,255540.0
2018-01-08,4.14,4.01,4.01,4.1,2.504,176510.0
2018-01-09,4.13,4.04,4.1,4.04,2.468,214850.0
2018-01-10,4.07,3.98,4.04,4.0,2.443,198410.0
2018-01-11,4.17,3.95,4.0,4.1,2.504,209410.0
2018-01-12,4.33,4.1,4.1,4.32,2.639,474530.0
2018-01-15,4.52,4.33,4.33,4.36,2.663,382420.0
2018-01-16,4.38,4.17,4.33,4.2,2.565,245500.0
2018-01-17,4.2,4.1,4.16,4.17,2.547,254230.0
2018-01-18,4.15,3.92,3.92,4.15,2.535,279530.0
2018-01-19,4.14,4.0,4.01,4.0,2.443,179420.0
2018-01-22,4.28,4.28,4.28,4.28,2.614,131820.0
2018-01-25,4.57,4.22,4.57,4.22,2.578,820400.0
2018-01-26,4.51,4.23,4.23,4.35,2.657,490030.0
2018-01-29,4.5,4.24,4.5,4.3,2.626,114070.0
2018-01-30,4.19,4.06,4.16,4.16,2.541,214210.0
2018-01-31,4.15,4.02,4.02,4.15,2.535,173010.0
2018-02-01,4.11,4.0,4.02,4.0,2.443,225770.0
2018-02-02,4.15,4.0,4.0,4.05,2.474,75420.0
2018-02-05,4.05,3.85,4.0,3.85,2.352,113540.0
2018-02-06,4.11,3.59,3.6,4.0,2.443,190840.0
2018-02-07,4.1,3.9,4.0,3.92,2.394,60210.0
2018-02-08,3.96,3.85,3.93,3.87,2.364,21440.0
2018-02-09,4.14,3.6,3.85,4.13,2.523,451870.0
2018-02-12,4.14,3.89,4.14,4.0,2.443,18040.0
2018-02-13,4.1,3.97,3.97,4.0,2.443,53290.0
2018-02-21,4.28,4.0,4.0,4.27,2.608,168080.0
2018-02-22,4.3,4.08,4.27,4.2,2.565,27550.0
2018-02-23,4.25,4.07,4.2,4.24,2.59,52800.0
2018-02-26,4.24,4.1,4.24,4.2,2.565,86080.0
2018-02-27,4.2,4.1,4.18,4.17,2.547,65460.0
2018-02-28,4.45,4.15,4.17,4.36,2.663,328560.0
2018-03-01,4.37,4.25,4.37,4.28,2.614,190530.0
2018-03-02,4.37,4.21,4.28,4.22,2.578,189560.0
2018-03-05,4.27,4.16,4.26,4.2,2.565,95240.0
2018-03-06,4.26,4.15,4.26,4.19,2.559,105620.0
2018-03-07,4.41,4.1,4.25,4.37,2.669,149360.0
2018-03-08,4.36,4.2,4.2,4.35,2.657,175800.0
2018-03-09,4.65,4.32,4.35,4.65,2.84,1535790.0
2018-03-12,4.97,4.8,4.89,4.85,2.962,477950.0
2018-03-13,5.05,4.6,4.85,4.88,2.981,622150.0
2018-03-14,4.88,4.55,4.68,4.56,2.785,330010.0
2018-03-15,4.55,4.36,4.36,4.42,2.7,151960.0
2018-03-16,4.64,4.38,4.38,4.57,2.791,237530.0
2018-03-19,4.6,4.45,4.59,4.5,2.749,187050.0
2018-03-20,4.75,4.46,4.46,4.69,2.865,262470.0
2018-03-21,4.69,4.58,4.69,4.59,2.804,139640.0
2018-03-22,4.73,4.5,4.6,4.73,2.889,850190.0
2018-03-23,4.69,4.49,4.52,4.5,2.749,257580.0
2018-03-26,4.6,4.4,4.58,4.4,2.687,178360.0
2018-03-27,4.4,4.25,4.4,4.38,2.675,61710.0
2018-03-28,4.4,4.3,4.4,4.4,2.687,31680.0
2018-03-29,4.46,4.28,4.45,4.37,2.669,72990.0
2018-03-30,4.4,4.2,4.28,4.2,2.565,112450.0
2018-04-02,4.4,4.2,4.35,4.21,2.571,67460.0
2018-04-03,4.3,3.92,4.25,4.2,2.565,165920.0
2018-04-04,4.2,4.0,4.2,4.09,2.498,328630.0
2018-04-05,4.09,3.97,4.02,4.0,2.443,336320.0
2018-04-06,4.28,4.1,4.2,4.28,2.614,341460.0
2018-04-09,4.57,4.36,4.36,4.57,2.791,464390.0
2018-04-10,4.68,4.42,4.57,4.53,2.767,249160.0
2018-04-11,4.52,4.22,4.42,4.22,2.578,260900.0
2018-04-12,4.2,3.93,4.11,3.97,2.425,814780.0
2018-04-13,4.2,3.71,4.15,3.72,2.272,579000.0
2018-04-16,3.92,3.68,3.8,3.89,2.376,297530.0
2018-04-17,3.87,3.74,3.87,3.77,2.303,200660.0
2018-04-18,3.8,3.7,3.73,3.7,2.26,228000.0
2018-04-19,3.8,3.63,3.66,3.7,2.26,172530.0
2018-04-20,3.95,3.76,3.78,3.95,2.413,398820.0
2018-04-23,4.22,4.13,4.22,4.2,2.565,763040.0
2018-04-24,4.25,4.0,4.2,4.01,2.449,156750.0
2018-04-26,4.2,3.96,4.01,4.0,2.443,115630.0
2018-04-27,4.1,3.9,4.1,3.92,2.394,156170.0
2018-05-02,4.0,3.85,3.92,3.85,2.352,102900.0
2018-05-03,4.0,3.8,3.84,3.93,2.4,85070.0
2018-05-04,3.98,3.88,3.98,3.9,2.382,59780.0
2018-05-07,3.92,3.8,3.9,3.92,2.394,102830.0
2018-05-08,3.92,3.8,3.92,3.85,2.352,183090.0
2018-05-09,4.1,3.8,3.85,3.97,2.425,162800.0
2018-05-10,4.07,3.88,4.07,3.89,2.376,16190.0
2018-05-11,3.9,3.7,3.7,3.86,2.358,68910.0
2018-05-14,3.93,3.8,3.9,3.89,2.376,118410.0
2018-05-15,3.97,3.83,3.83,3.89,2.376,41620.0
2018-05-16,4.04,3.88,3.89,4.01,2.449,330600.0
2018-05-17,4.08,3.91,3.92,3.98,2.431,135370.0
2018-05-18,4.0,3.81,3.98,3.9,2.382,63990.0
2018-05-21,3.96,3.82,3.96,3.83,2.339,40870.0
2018-05-22,3.9,3.57,3.9,3.74,2.284,79730.0
2018-05-23,3.78,3.69,3.7,3.7,2.26,133510.0
2018-05-24,3.77,3.61,3.66,3.65,2.229,82050.0
2018-05-25,3.75,3.6,3.65,3.62,2.211,68050.0
2018-05-28,3.67,3.37,3.59,3.37,2.058,180100.0
2018-05-29,3.57,3.37,3.45,3.45,2.107,121330.0
2018-05-30,3.47,3.41,3.45,3.46,2.113,80320.0
2018-05-31,3.55,3.44,3.47,3.55,2.168,69080.0
2018-06-01,3.56,3.45,3.55,3.56,2.174,118110.0
2018-06-04,3.8,3.6,3.6,3.8,2.321,338280.0
2018-06-05,3.89,3.72,3.89,3.72,2.272,66840.0
2018-06-06,3.78,3.7,3.72,3.78,2.309,164310.0
2018-06-07,3.78,3.64,3.72,3.75,2.29,144780.0
2018-06-08,3.77,3.66,3.74,3.75,2.29,72820.0
2018-06-11,3.79,3.7,3.79,3.73,2.278,56020.0
2018-06-12,3.75,3.65,3.73,3.73,2.278,132530.0
2018-06-13,3.75,3.67,3.75,3.72,2.272,22550.0
2018-06-14,3.87,3.75,3.75,3.86,2.358,154330.0
2018-06-15,3.91,3.8,3.88,3.87,2.364,176350.0
2018-06-18,3.9,3.75,3.9,3.75,2.29,43570.0
2018-06-19,3.84,3.5,3.84,3.69,2.254,102610.0
2018-06-20,3.71,3.6,3.6,3.69,2.254,85220.0
2018-06-21,3.73,3.61,3.69,3.69,2.254,24120.0
2018-06-22,3.7,3.6,3.6,3.69,2.254,38540.0
2018-06-25,3.7,3.65,3.69,3.65,2.229,65620.0
2018-06-26,3.68,3.6,3.68,3.68,2.248,5250.0
2018-06-27,3.73,3.65,3.73,3.7,2.26,19520.0
2018-06-28,3.72,3.5,3.7,3.5,2.138,109390.0
2018-06-29,3.67,3.5,3.5,3.67,2.242,54480.0
2018-07-02,3.64,3.47,3.6,3.47,2.119,99940.0
