Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,25.0,24.6,24.7,24.6,12.928,776560.0
2018-01-03,26.3,24.6,24.6,26.25,13.795,139770.0
2018-01-04,26.75,25.5,26.75,25.6,13.454,92050.0
2018-01-05,25.45,25.1,25.1,25.2,13.244,172260.0
2018-01-08,26.0,25.7,25.8,26.0,13.664,141150.0
2018-01-09,26.15,26.0,26.0,26.1,13.717,183940.0
2018-01-10,26.7,26.3,26.4,26.45,13.9,90710.0
2018-01-11,27.6,26.2,26.3,27.45,14.426,130220.0
2018-01-12,27.6,27.0,27.5,27.0,14.19,42180.0
2018-01-15,27.1,26.5,26.5,27.0,14.19,84100.0
2018-01-16,26.9,26.6,26.8,26.8,14.084,35550.0
2018-01-17,26.95,26.7,26.8,26.8,14.084,49710.0
2018-01-18,26.9,26.5,26.5,26.8,14.084,183780.0
2018-01-19,27.2,26.8,26.9,27.0,14.19,141610.0
2018-01-22,27.45,27.0,27.0,27.3,14.347,56140.0
2018-01-25,27.85,26.8,27.85,26.9,14.137,63230.0
2018-01-26,26.7,26.5,26.5,26.5,13.927,63160.0
2018-01-29,26.5,26.1,26.5,26.1,14.254,54370.0
2018-01-30,26.0,25.3,26.0,25.85,14.117,39000.0
2018-01-31,25.95,25.5,25.5,25.5,13.926,10510.0
2018-02-01,25.5,25.2,25.5,25.3,13.817,19390.0
2018-02-02,25.2,24.5,25.2,24.8,13.544,132830.0
2018-02-05,24.8,24.1,24.8,24.1,13.162,107070.0
2018-02-06,24.0,23.6,23.8,23.65,12.916,80480.0
2018-02-07,25.3,25.0,25.3,25.0,13.653,18300.0
2018-02-08,25.7,25.0,25.1,25.6,13.981,31930.0
2018-02-09,26.7,25.6,26.7,25.7,14.035,67780.0
2018-02-12,26.1,25.8,26.1,26.0,14.199,80520.0
2018-02-13,26.2,26.05,26.05,26.15,14.281,86330.0
2018-02-21,26.3,26.0,26.0,26.3,14.363,4400.0
2018-02-22,26.3,25.9,26.0,26.0,14.199,73130.0
2018-02-23,26.3,25.7,26.3,26.0,14.199,11880.0
2018-02-26,26.1,25.75,25.9,25.75,14.063,52580.0
2018-02-27,26.1,25.6,25.75,25.75,14.063,156420.0
2018-02-28,26.0,25.75,26.0,25.75,14.063,54270.0
2018-03-01,26.0,25.6,25.7,26.0,14.199,14500.0
2018-03-02,25.9,25.7,25.8,25.7,14.035,9970.0
2018-03-05,25.7,25.45,25.45,25.5,13.926,17700.0
2018-03-06,25.4,25.2,25.2,25.3,13.817,77840.0
2018-03-07,26.0,25.4,25.95,25.4,13.872,9810.0
2018-03-08,25.45,25.3,25.45,25.3,13.817,13730.0
2018-03-09,25.4,25.3,25.3,25.4,13.872,19450.0
2018-03-12,25.4,25.15,25.4,25.3,13.817,8510.0
2018-03-13,25.3,25.0,25.3,25.1,13.708,42220.0
2018-03-14,25.6,25.1,25.1,25.2,13.762,7980.0
2018-03-15,25.3,25.0,25.3,25.0,13.653,38120.0
2018-03-16,24.9,24.0,24.55,24.6,13.435,105740.0
2018-03-19,25.0,24.6,24.6,25.0,13.653,106280.0
2018-03-20,24.8,24.7,24.7,24.8,13.544,2340.0
2018-03-21,24.9,24.7,24.9,24.8,13.544,105970.0
2018-03-22,24.8,24.7,24.7,24.8,13.544,23820.0
2018-03-23,24.8,24.75,24.75,24.75,13.517,20940.0
2018-03-26,24.8,24.7,24.75,24.8,13.544,101610.0
2018-03-27,24.8,24.7,24.8,24.7,13.489,32310.0
2018-03-28,24.7,24.5,24.7,24.5,13.38,2120.0
2018-03-29,24.4,24.2,24.3,24.4,13.325,6800.0
2018-03-30,24.6,24.2,24.3,24.2,13.216,63350.0
2018-04-02,24.35,24.2,24.2,24.25,13.244,35680.0
2018-04-03,24.05,23.5,24.05,24.05,13.134,16270.0
2018-04-04,24.3,24.1,24.3,24.3,13.271,22820.0
2018-04-05,24.65,24.3,24.3,24.65,13.462,21560.0
2018-04-06,24.85,24.65,24.65,24.75,13.517,29160.0
2018-04-09,24.9,24.2,24.9,24.6,13.435,66300.0
2018-04-10,24.6,24.5,24.6,24.6,13.435,38180.0
2018-04-11,24.55,24.4,24.5,24.4,13.325,49190.0
2018-04-12,24.45,24.35,24.45,24.4,13.325,82680.0
2018-04-13,24.4,24.0,24.4,24.3,13.271,9660.0
2018-04-16,24.5,24.3,24.4,24.35,13.298,39040.0
2018-04-17,24.45,24.35,24.4,24.4,13.325,19700.0
2018-04-18,24.5,24.4,24.5,24.4,13.325,45400.0
2018-04-19,24.4,24.2,24.4,24.35,13.298,58120.0
2018-04-20,24.35,24.3,24.3,24.35,13.298,26440.0
2018-04-23,24.4,24.2,24.3,24.25,13.244,50800.0
2018-04-24,24.25,24.0,24.25,24.25,13.244,42370.0
2018-04-26,24.4,24.25,24.3,24.4,13.325,53960.0
2018-04-27,24.45,24.35,24.4,24.45,13.353,10680.0
2018-05-02,25.5,24.5,24.5,24.8,13.544,20690.0
2018-05-03,25.0,24.6,24.8,25.0,13.653,34280.0
2018-05-04,25.0,24.75,24.75,24.95,13.626,27290.0
2018-05-07,25.05,24.95,25.0,24.95,13.626,19940.0
2018-05-08,25.0,24.5,25.0,24.95,13.626,11020.0
2018-05-09,25.4,24.95,25.05,25.1,13.708,9870.0
2018-05-10,25.2,25.1,25.1,25.2,13.762,31150.0
2018-05-11,25.2,24.95,25.2,24.95,13.626,48610.0
2018-05-14,25.1,24.8,25.0,25.1,13.708,30290.0
2018-05-15,25.0,24.95,24.95,24.95,13.626,10330.0
2018-05-16,25.4,24.95,24.95,25.2,13.762,51620.0
2018-05-17,25.45,25.2,25.3,25.45,13.899,8050.0
2018-05-18,25.7,25.2,25.45,25.55,13.954,15910.0
2018-05-21,25.55,25.35,25.55,25.55,13.954,16210.0
2018-05-22,25.45,25.0,25.45,25.0,13.653,18890.0
2018-05-23,25.3,24.8,25.3,25.0,13.653,7290.0
2018-05-24,25.5,25.0,25.0,25.0,13.653,26320.0
2018-05-25,25.4,25.1,25.1,25.1,13.708,14080.0
2018-05-28,25.1,25.0,25.1,25.0,13.653,127700.0
2018-05-29,25.5,25.1,25.15,25.4,13.872,65280.0
2018-05-30,25.9,25.2,25.9,25.2,13.762,20140.0
2018-05-31,25.9,25.2,25.9,25.4,13.872,3030.0
2018-06-01,25.6,25.2,25.6,25.5,13.926,9180.0
2018-06-04,25.5,25.0,25.45,25.5,13.926,38030.0
2018-06-05,25.2,25.0,25.0,25.2,13.762,4490.0
2018-06-06,25.6,25.1,25.1,25.6,13.981,52590.0
2018-06-07,25.6,25.2,25.3,25.3,13.817,14180.0
2018-06-08,25.5,25.2,25.3,25.5,13.926,6130.0
2018-06-11,25.6,25.2,25.25,25.6,13.981,9220.0
2018-06-12,25.65,25.3,25.65,25.4,13.872,17860.0
2018-06-13,25.6,25.0,25.0,25.6,13.981,8820.0
2018-06-14,25.7,25.4,25.4,25.7,14.035,12310.0
2018-06-15,25.7,25.5,25.7,25.7,14.035,27160.0
2018-06-18,25.7,25.3,25.7,25.3,13.817,12480.0
2018-06-19,25.3,24.9,25.3,25.15,13.735,43810.0
2018-06-20,25.6,25.0,25.1,25.5,13.926,41050.0
2018-06-21,24.2,22.65,24.2,22.65,13.935,71720.0
2018-06-22,23.1,22.7,22.7,23.1,14.211,1780.0
2018-06-25,23.8,23.0,23.5,23.8,14.642,20570.0
2018-06-26,23.7,23.5,23.7,23.6,14.519,33920.0
2018-06-27,23.6,22.5,23.1,23.3,14.335,7420.0
2018-06-28,23.3,23.0,23.3,23.0,14.15,5310.0
2018-06-29,23.0,22.9,23.0,23.0,14.15,37730.0
2018-07-02,23.1,23.0,23.0,23.0,14.15,43360.0
2018-07-03,23.0,22.8,22.9,22.8,14.027,13900.0
2018-07-04,23.0,22.9,22.9,23.0,14.15,33170.0
2018-07-05,23.0,22.7,23.0,22.8,14.027,33410.0
2018-07-06,22.8,22.5,22.8,22.8,14.027,61810.0
2018-07-09,23.5,22.8,23.1,22.8,14.027,133440.0
2018-07-10,22.9,22.8,22.8,22.8,14.027,37710.0
2018-07-11,22.6,22.6,22.6,22.6,13.904,10.0
2018-07-12,22.8,22.5,22.5,22.7,13.965,22400.0
2018-07-13,23.0,22.75,22.9,23.0,14.15,10060.0
2018-07-16,23.1,23.0,23.0,23.0,14.15,176050.0
2018-07-17,23.1,23.0,23.1,23.0,14.15,50490.0
2018-07-18,23.5,23.1,23.5,23.1,14.211,4200.0
2018-07-19,23.5,23.15,23.5,23.5,14.458,23020.0
2018-07-20,23.5,23.0,23.1,23.5,14.458,13430.0
2018-07-23,23.8,23.1,23.8,23.1,14.211,8370.0
2018-07-24,23.45,23.1,23.2,23.1,14.211,59330.0
2018-07-25,23.5,23.25,23.5,23.25,14.304,79300.0
2018-07-26,23.3,23.05,23.05,23.25,14.304,42360.0
2018-07-27,23.45,23.25,23.25,23.45,14.427,5790.0
2018-07-30,23.45,23.35,23.35,23.45,14.427,7280.0
2018-07-31,23.55,23.4,23.4,23.55,14.488,83580.0
2018-08-01,23.3,23.2,23.2,23.3,14.335,9600.0
2018-08-02,23.5,23.1,23.1,23.5,14.458,10470.0
2018-08-03,23.7,23.4,23.4,23.6,14.519,11940.0
2018-08-06,23.8,23.5,23.75,23.7,14.581,48260.0
2018-08-07,23.7,23.5,23.7,23.7,14.581,26020.0
2018-08-08,23.7,23.6,23.6,23.7,14.581,12230.0
2018-08-09,23.8,23.5,23.7,23.7,14.581,76910.0
2018-08-10,23.8,23.7,23.7,23.75,14.611,16310.0
2018-08-13,23.8,23.6,23.6,23.8,14.642,30420.0
2018-08-14,23.8,23.3,23.8,23.3,14.335,66550.0
