Date,High,Low,Open,Close,Adj Close,Volume
2020-03-25,10.5,8.8,8.8,8.8,5.647,276320.0
2020-03-26,9.0,8.2,9.0,8.8,5.647,19220.0
2020-03-27,9.41,8.2,9.41,9.0,5.776,39300.0
2020-03-30,8.8,8.37,8.5,8.37,5.372,30050.0
2020-03-31,7.79,7.79,7.79,7.79,5.0,57210.0
2020-04-01,8.2,7.25,7.25,7.99,5.127,117510.0
2020-04-03,8.5,7.62,7.79,7.62,4.891,58250.0
2020-04-06,8.15,7.9,8.15,8.15,5.23,29150.0
2020-04-07,8.6,8.15,8.15,8.6,5.519,87080.0
2020-04-08,8.6,8.02,8.5,8.6,5.519,44170.0
2020-04-09,8.99,8.17,8.6,8.57,5.501,22970.0
2020-04-10,8.5,8.0,8.5,8.0,5.135,51570.0
2020-04-13,8.3,7.9,8.0,8.3,5.327,72930.0
2020-04-14,8.1,7.9,8.0,8.1,5.198,26900.0
2020-04-15,8.3,8.1,8.3,8.15,5.23,25040.0
2020-04-16,8.3,7.92,8.1,8.23,5.283,50510.0
2020-04-17,8.49,8.2,8.4,8.22,5.276,45670.0
2020-04-20,8.5,8.2,8.5,8.22,5.276,51520.0
2020-04-21,8.2,8.02,8.02,8.15,5.23,13390.0
2020-04-22,8.3,8.1,8.21,8.1,5.198,9400.0
2020-04-23,8.3,8.03,8.03,8.2,5.263,4340.0
2020-04-24,8.2,7.95,8.2,8.0,5.135,34350.0
2020-04-27,8.0,7.85,8.0,8.0,5.135,5040.0
2020-04-28,8.1,7.5,8.0,8.1,5.198,13080.0
2020-04-29,8.15,8.0,8.1,8.1,5.198,10010.0
2020-05-04,8.05,7.8,8.05,7.8,5.005,6040.0
2020-05-05,8.0,7.9,7.9,8.0,5.135,8090.0
2020-05-06,8.0,7.9,7.9,7.9,5.07,17880.0
2020-05-07,8.05,8.0,8.0,8.0,5.135,13670.0
2020-05-08,8.2,8.0,8.0,8.15,5.23,23480.0
2020-05-11,8.26,8.1,8.1,8.26,5.301,10790.0
2020-05-12,8.45,8.0,8.26,8.3,5.327,61110.0
2020-05-13,8.33,8.0,8.3,8.3,5.327,33660.0
2020-05-14,8.35,8.2,8.3,8.2,5.263,16430.0
2020-05-15,8.25,8.01,8.2,8.25,5.295,13060.0
2020-05-18,8.25,8.2,8.2,8.25,5.295,30100.0
2020-05-19,8.82,8.2,8.2,8.82,5.661,98470.0
2020-05-20,9.43,9.4,9.43,9.43,6.052,391570.0
2020-05-21,10.05,10.0,10.05,10.05,6.45,444220.0
2020-05-22,10.75,10.05,10.05,10.75,6.899,657860.0
2020-05-25,11.5,10.0,11.0,10.0,6.418,197750.0
2020-05-26,10.5,9.5,10.0,9.95,6.386,239500.0
2020-05-27,9.95,9.4,9.85,9.75,6.257,144590.0
2020-05-28,10.05,9.5,9.51,9.76,6.265,127030.0
2020-05-29,10.0,9.5,9.99,9.76,6.265,55720.0
2020-06-01,9.81,9.41,9.6,9.51,6.104,119040.0
2020-06-02,9.9,9.51,9.51,9.65,6.193,89070.0
2020-06-03,10.3,9.63,9.65,10.0,6.418,196090.0
2020-06-04,10.3,9.81,10.2,10.0,6.418,156560.0
2020-06-05,10.05,9.95,10.0,9.99,6.412,137990.0
2020-06-08,10.15,9.7,10.15,9.78,6.276,188050.0
2020-06-09,9.99,9.75,9.76,9.82,6.302,76210.0
2020-06-10,10.2,9.7,9.94,10.05,6.45,304480.0
2020-06-11,10.75,10.5,10.75,10.7,6.866,903830.0
2020-06-12,10.6,10.0,10.5,10.0,6.418,215090.0
2020-06-15,10.2,9.7,10.2,9.99,6.412,204850.0
2020-06-16,10.3,9.6,9.99,10.15,6.515,307290.0
2020-06-17,10.6,10.0,10.6,10.5,6.739,611520.0
2020-06-18,11.2,10.2,10.5,11.2,7.188,745310.0
2020-06-19,11.95,11.4,11.9,11.95,7.669,1403840.0
2020-06-22,12.4,11.8,12.0,12.0,7.702,649780.0
2020-06-23,12.75,11.8,12.0,12.5,8.023,907240.0
2020-06-24,13.25,12.5,12.5,12.8,8.215,1029800.0
2020-06-25,12.9,12.3,12.55,12.65,8.118,442250.0
2020-06-26,12.8,12.4,12.8,12.45,7.991,395340.0
2020-06-29,11.4,10.65,11.4,10.65,7.432,719390.0
2020-06-30,10.8,9.91,10.35,10.4,7.257,740490.0
2020-07-01,11.1,10.05,10.5,11.05,7.711,429930.0
2020-07-02,11.5,10.8,11.5,10.8,7.537,409060.0
2020-07-03,10.9,10.6,10.8,10.7,7.467,352570.0
2020-07-06,10.95,10.6,10.95,10.85,7.571,304310.0
2020-07-07,11.2,10.7,10.85,10.8,7.537,380470.0
2020-07-08,11.05,10.8,10.8,11.0,7.676,207230.0
2020-07-09,11.75,11.3,11.3,11.75,8.2,980220.0
2020-07-10,12.0,11.2,11.75,11.75,8.2,292620.0
2020-07-13,11.95,11.6,11.9,11.65,8.13,156300.0
2020-07-14,11.65,11.4,11.55,11.6,8.096,487350.0
2020-07-15,11.7,11.55,11.6,11.65,8.13,392420.0
2020-07-16,11.7,11.35,11.7,11.45,7.991,336150.0
2020-07-17,11.6,11.25,11.6,11.3,7.886,325310.0
2020-07-20,11.5,11.05,11.3,11.1,7.746,356100.0
2020-07-21,11.1,10.55,11.0,10.9,7.606,332500.0
2020-07-22,11.0,10.75,10.9,10.8,7.537,172130.0
2020-07-23,11.2,10.8,10.8,10.9,7.606,231470.0
2020-07-24,10.5,9.66,10.5,10.1,7.4,759290.0
2020-07-27,9.8,9.4,9.6,9.4,6.887,295230.0
2020-07-28,9.7,8.85,8.95,9.6,7.035,449990.0
2020-07-29,9.2,8.93,9.0,9.1,6.667,512730.0
2020-07-30,9.4,9.02,9.02,9.25,6.777,133140.0
2020-07-31,9.87,9.1,9.2,9.5,6.961,341190.0
2020-08-03,9.9,9.5,9.5,9.9,7.255,277540.0
2020-08-04,10.15,9.8,10.0,9.9,7.255,154600.0
2020-08-05,10.2,9.75,9.9,10.2,7.475,298780.0
2020-08-06,10.25,9.9,9.9,10.15,7.437,166930.0
2020-08-07,10.15,9.95,10.1,10.0,7.327,169660.0
2020-08-10,10.1,9.9,9.9,9.96,7.298,289120.0
2020-08-11,10.0,9.83,10.0,9.83,7.203,185860.0
2020-08-12,9.9,9.68,9.83,9.89,7.246,145560.0
2020-08-13,10.25,9.7,9.86,10.2,7.475,406490.0
2020-08-14,10.4,10.2,10.2,10.2,7.475,413630.0
2020-08-17,10.5,10.1,10.2,10.5,7.694,512460.0
