Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,18.15,18.15,18.15,18.15,13.537,150.0
2018-01-03,18.15,18.15,18.15,18.15,13.537,0.0
2018-01-04,19.4,19.4,19.4,19.4,14.47,1420.0
2018-01-05,19.4,19.4,19.4,19.4,14.47,30.0
2018-01-08,18.2,18.2,18.2,18.2,13.575,10.0
2018-01-09,18.2,18.2,18.2,18.2,13.575,0.0
2018-01-10,18.2,18.2,18.2,18.2,13.575,0.0
2018-01-11,18.5,17.5,17.5,18.5,13.798,300.0
2018-01-12,19.6,17.3,17.3,19.6,14.619,20.0
2018-01-15,18.3,18.3,18.3,18.3,13.649,10.0
2018-01-16,18.3,18.3,18.3,18.3,13.649,0.0
2018-01-17,18.3,18.3,18.3,18.3,13.649,0.0
2018-01-18,18.3,18.3,18.3,18.3,13.649,0.0
2018-01-19,18.5,17.3,17.3,18.5,13.798,150.0
2018-01-22,18.5,18.5,18.5,18.5,13.798,0.0
2018-01-25,19.0,17.25,17.25,19.0,14.171,1730.0
2018-01-26,19.0,19.0,19.0,19.0,14.171,0.0
2018-01-29,17.95,17.95,17.95,17.95,13.388,10.0
2018-01-30,18.0,16.7,16.7,18.0,13.425,20.0
2018-01-31,18.5,17.4,18.5,17.4,12.978,9270.0
2018-02-01,18.6,17.4,17.4,17.55,13.09,2780.0
2018-02-02,17.7,17.6,17.7,17.6,13.127,120.0
2018-02-05,17.6,17.6,17.6,17.6,13.127,10.0
2018-02-06,17.6,17.6,17.6,17.6,13.127,0.0
2018-02-07,17.6,17.6,17.6,17.6,13.127,0.0
2018-02-08,17.6,17.6,17.6,17.6,13.127,0.0
2018-02-09,17.6,17.6,17.6,17.6,13.127,20.0
2018-02-12,18.7,17.65,18.7,17.65,13.164,30.0
2018-02-13,17.65,17.65,17.65,17.65,13.164,0.0
2018-02-21,18.85,18.85,18.85,18.85,14.059,10.0
2018-02-22,20.1,20.1,20.1,20.1,14.992,10.0
2018-02-23,19.0,18.7,19.0,18.7,13.948,4040.0
2018-02-26,20.0,19.0,19.0,19.0,14.171,3980.0
2018-02-27,19.0,19.0,19.0,19.0,14.171,0.0
2018-02-28,19.7,18.3,18.3,19.7,14.693,40.0
2018-03-01,19.5,19.0,19.0,19.5,14.544,2210.0
2018-03-02,19.5,19.5,19.5,19.5,14.544,0.0
2018-03-05,20.85,19.5,20.85,19.5,14.544,90.0
2018-03-06,19.5,19.5,19.5,19.5,14.544,10.0
2018-03-07,20.3,19.5,19.7,19.5,14.544,1300.0
2018-03-08,20.2,19.45,19.5,19.6,14.619,280.0
2018-03-09,19.5,18.6,18.6,19.5,14.544,50.0
2018-03-12,19.0,18.5,18.5,19.0,14.171,5550.0
2018-03-13,19.15,19.0,19.0,19.0,14.171,110.0
2018-03-14,19.0,19.0,19.0,19.0,14.171,0.0
2018-03-15,19.0,19.0,19.0,19.0,14.171,40.0
2018-03-16,19.8,19.1,19.1,19.6,14.619,200.0
2018-03-19,19.6,19.6,19.6,19.6,14.619,0.0
2018-03-20,19.6,19.6,19.6,19.6,14.619,0.0
2018-03-21,19.6,19.6,19.6,19.6,14.619,0.0
2018-03-22,19.6,19.6,19.6,19.6,14.619,0.0
2018-03-23,19.1,19.0,19.1,19.0,14.171,2010.0
2018-03-26,19.1,19.0,19.05,19.0,14.171,1300.0
2018-03-27,19.2,17.9,17.9,19.2,14.32,20.0
2018-03-28,19.2,19.2,19.2,19.2,14.32,0.0
2018-03-29,18.5,18.5,18.5,18.5,13.798,10.0
2018-03-30,18.5,18.5,18.5,18.5,13.798,0.0
2018-04-02,19.0,17.3,17.3,19.0,14.171,1020.0
2018-04-03,19.0,18.0,18.0,19.0,14.171,1510.0
2018-04-04,19.0,19.0,19.0,19.0,14.171,1250.0
2018-04-05,18.1,18.1,18.1,18.1,13.5,10.0
2018-04-06,19.3,19.3,19.3,19.3,14.395,10.0
2018-04-09,18.2,18.2,18.2,18.2,13.575,10.0
2018-04-10,18.2,18.2,18.2,18.2,13.575,0.0
2018-04-11,19.0,19.0,19.0,19.0,14.171,10.0
