Date,High,Low,Open,Close,Adj Close,Volume
2018-09-05,48.0,44.5,48.0,47.0,7.856,697470.0
2018-09-06,47.0,45.1,45.1,47.0,7.856,332460.0
2018-09-07,47.5,46.5,47.0,47.2,7.89,276640.0
2018-09-10,47.2,46.0,46.1,46.5,7.773,127280.0
2018-09-11,46.8,45.8,46.2,46.8,7.823,252160.0
2018-09-12,46.8,45.9,46.8,46.0,7.689,28030.0
2018-09-13,45.8,43.0,45.8,44.2,7.388,136940.0
2018-09-14,44.2,42.5,44.15,42.7,7.138,494030.0
2018-09-17,43.0,41.15,42.9,42.1,7.038,155060.0
2018-09-18,43.3,41.5,42.1,43.3,7.238,236840.0
2018-09-19,45.6,43.1,43.1,45.4,7.589,369050.0
2018-09-20,46.3,45.4,45.4,45.6,7.622,74690.0
2018-09-21,45.2,44.7,45.1,45.2,7.555,120710.0
2018-09-24,45.0,42.9,43.5,43.15,7.213,168300.0
2018-09-25,44.9,43.0,44.9,43.15,7.213,41650.0
2018-09-26,43.9,43.0,43.15,43.1,7.204,27170.0
2018-09-27,43.0,42.0,42.75,42.1,7.038,112200.0
2018-09-28,43.0,42.3,43.0,43.0,7.187,18270.0
2018-10-01,43.45,42.5,43.0,43.0,7.187,59710.0
2018-10-02,43.0,42.0,42.6,42.5,7.104,93500.0
2018-10-03,42.5,42.0,42.3,42.4,7.087,110520.0
2018-10-04,42.5,42.0,42.5,42.0,7.021,98740.0
2018-10-05,42.5,41.8,42.0,42.5,7.104,138020.0
2018-10-08,42.7,42.1,42.7,42.5,7.104,138950.0
2018-10-09,43.0,42.3,42.3,42.9,7.171,228760.0
2018-10-10,43.1,42.8,42.8,43.0,7.187,188300.0
2018-10-11,42.9,42.0,42.6,42.55,7.112,297170.0
2018-10-12,42.9,42.3,42.3,42.8,7.154,179930.0
2018-10-15,43.1,42.4,42.7,43.1,7.204,286890.0
2018-10-16,43.2,42.8,42.9,43.2,7.221,277350.0
2018-10-17,43.5,42.9,43.2,43.1,7.204,258900.0
2018-10-18,43.1,42.8,42.9,43.1,7.204,179440.0
2018-10-19,43.4,42.9,43.0,43.1,7.204,231390.0
2018-10-22,43.2,42.9,43.1,42.9,7.171,171130.0
2018-10-23,42.9,42.6,42.9,42.8,7.154,163030.0
2018-10-24,42.8,42.5,42.8,42.6,7.121,125540.0
2018-10-25,42.4,41.9,42.2,42.1,7.038,82440.0
2018-10-26,42.5,42.0,42.1,42.3,7.071,111330.0
2018-10-29,42.5,41.8,42.3,42.0,7.021,90900.0
2018-10-30,42.0,41.2,42.0,41.2,6.887,125980.0
2018-10-31,42.0,41.2,41.2,41.6,6.953,137470.0
2018-11-01,42.0,41.4,41.4,41.8,6.987,151580.0
2018-11-02,42.2,41.6,41.6,42.2,7.054,212830.0
2018-11-05,42.3,41.8,42.0,41.8,6.987,117540.0
2018-11-06,42.0,41.6,41.8,41.7,6.97,85080.0
2018-11-07,41.9,41.4,41.6,41.7,6.97,109090.0
2018-11-08,42.0,41.4,41.9,41.6,6.953,109670.0
2018-11-09,41.6,41.2,41.5,41.5,6.937,98180.0
2018-11-12,41.4,41.1,41.4,41.4,6.92,89420.0
2018-11-13,41.4,41.2,41.3,41.3,6.903,80910.0
2018-11-14,41.5,41.2,41.3,41.5,6.937,74130.0
2018-11-15,41.5,41.2,41.5,41.4,6.92,69490.0
2018-11-16,41.4,41.2,41.4,41.4,6.92,68840.0
2018-11-19,41.8,41.2,41.5,41.8,6.987,165310.0
2018-11-20,42.0,41.6,41.8,41.9,7.004,141130.0
2018-11-21,41.9,41.7,41.7,41.8,6.987,103010.0
2018-11-22,42.3,41.8,41.8,42.2,7.054,217170.0
2018-11-23,42.2,41.8,42.1,42.0,7.021,117110.0
2018-11-26,42.2,41.9,42.0,42.0,7.021,101680.0
2018-11-27,42.1,41.9,42.0,42.0,7.021,111350.0
2018-11-28,42.7,41.8,42.0,42.5,7.104,269970.0
2018-11-29,42.9,42.5,42.5,42.8,7.154,211180.0
2018-11-30,43.5,42.3,42.7,43.5,7.271,275120.0
2018-12-03,43.9,43.0,43.4,43.5,7.271,275030.0
2018-12-04,43.5,42.8,43.5,42.8,7.154,172160.0
2018-12-05,42.9,42.6,42.7,42.8,7.154,141860.0
2018-12-06,42.8,42.5,42.8,42.7,7.138,122310.0
2018-12-07,43.1,42.7,42.7,43.1,7.204,116490.0
2018-12-10,43.2,42.8,43.0,43.1,7.204,136820.0
2018-12-11,43.3,42.8,43.1,43.1,7.204,92030.0
2018-12-12,43.7,43.1,43.2,43.6,7.288,208200.0
2018-12-13,44.1,43.7,43.7,43.95,7.346,229510.0
2018-12-14,44.0,43.7,43.9,43.75,7.313,154300.0
2018-12-17,43.8,43.3,43.8,43.3,7.238,151560.0
2018-12-18,43.5,42.8,43.1,43.2,7.221,122520.0
2018-12-19,43.5,42.9,43.2,43.3,7.238,173280.0
2018-12-20,43.7,43.2,43.2,43.4,7.254,189070.0
2018-12-21,43.5,43.2,43.3,43.5,7.271,147080.0
2018-12-24,43.5,43.2,43.4,43.2,7.221,125980.0
2018-12-25,43.1,42.7,43.1,42.95,7.18,103250.0
2018-12-26,43.0,42.8,42.95,42.9,7.171,96770.0
2018-12-27,43.2,42.3,43.2,42.8,7.154,186080.0
2018-12-28,42.8,42.0,42.8,42.0,7.021,106680.0
2019-01-02,42.0,41.5,42.0,41.6,6.953,103200.0
2019-01-03,41.6,41.0,41.5,41.5,6.937,91660.0
2019-01-04,41.6,41.2,41.5,41.3,6.903,87620.0
2019-01-07,41.6,41.2,41.4,41.6,6.953,111590.0
2019-01-08,41.7,41.0,41.5,41.6,6.953,112120.0
2019-01-09,41.9,41.3,41.5,41.8,6.987,112800.0
2019-01-10,41.8,41.2,41.7,41.5,6.937,98700.0
2019-01-11,41.6,41.2,41.5,41.6,6.953,124640.0
2019-01-14,41.6,41.3,41.6,41.4,6.92,101230.0
2019-01-15,41.5,41.0,41.4,41.2,6.887,110250.0
2019-01-16,41.0,40.5,41.0,40.9,6.837,306080.0
2019-01-17,40.9,40.7,40.8,40.7,6.803,130100.0
2019-01-18,40.85,40.6,40.7,40.8,6.82,144620.0
2019-01-21,41.2,40.7,40.9,41.2,6.887,131110.0
2019-01-22,41.4,40.9,41.3,41.0,6.853,118550.0
2019-01-23,41.1,40.8,41.0,41.0,6.853,115580.0
2019-01-24,41.3,40.8,41.0,41.3,6.903,147050.0
2019-01-25,41.5,41.1,41.2,41.5,6.937,150980.0
2019-01-28,41.8,41.5,41.6,41.6,6.953,138820.0
2019-01-29,41.9,41.5,41.6,41.8,6.987,157450.0
2019-01-30,41.9,41.6,41.7,41.8,6.987,106040.0
2019-01-31,42.4,41.7,41.7,42.2,7.054,207430.0
2019-02-01,42.8,42.0,42.0,42.8,7.154,297380.0
2019-02-11,43.15,42.8,42.8,43.0,7.187,262900.0
2019-02-12,43.05,42.7,43.0,42.8,7.154,169550.0
2019-02-13,42.95,42.7,42.7,42.8,7.154,257560.0
2019-02-14,28.0,26.9,27.0,28.0,7.488,565240.0
2019-02-15,28.5,27.95,28.0,28.5,7.622,289640.0
2019-02-18,28.6,27.7,28.5,28.3,7.569,273290.0
2019-02-19,28.0,27.35,28.0,27.65,7.395,266230.0
2019-02-20,27.65,27.4,27.6,27.5,7.355,237670.0
