Date,High,Low,Open,Close,Adj Close,Volume
2019-03-15,15.1,15.1,15.1,15.1,15.1,3300.0
2019-03-18,17.3,17.3,17.3,17.3,17.3,1500.0
2019-03-19,19.8,19.8,19.8,19.8,19.8,31000.0
2019-03-20,22.7,21.1,22.7,22.7,22.7,4600.0
2019-03-21,26.1,22.8,26.1,26.1,26.1,4600.0
2019-03-22,29.6,29.5,29.5,29.6,29.6,13400.0
2019-03-25,33.9,33.0,33.9,33.0,33.0,6819.0
2019-03-26,33.0,30.0,33.0,31.0,31.0,4081.0
2019-03-27,30.8,30.5,30.5,30.8,30.8,200.0
2019-03-28,29.1,26.1,29.1,26.1,26.1,200.0
2019-03-29,29.0,23.5,23.5,29.0,29.0,7920.0
2019-04-01,24.5,20.9,24.5,24.0,24.0,2410.0
2019-04-02,22.5,22.5,22.5,22.5,22.5,0.0
2019-04-03,22.0,22.0,22.0,22.0,22.0,600.0
2019-04-04,21.8,21.5,21.5,21.8,21.8,700.0
2019-04-05,24.0,24.0,24.0,24.0,24.0,220.0
2019-04-08,25.0,25.0,25.0,25.0,25.0,1720.0
2019-04-09,25.0,25.0,25.0,25.0,25.0,0.0
2019-04-10,25.0,25.0,25.0,25.0,25.0,0.0
2019-04-11,26.0,24.0,24.0,26.0,26.0,1500.0
2019-04-12,24.9,24.9,24.9,24.9,24.9,125.0
2019-04-16,25.0,24.9,25.0,24.9,24.9,300.0
2019-04-17,26.6,25.0,25.0,26.6,26.6,200.0
2019-04-18,25.8,25.8,25.8,25.8,25.8,0.0
2019-04-19,25.8,25.8,25.8,25.8,25.8,10.0
2019-04-22,25.8,25.8,25.8,25.8,25.8,0.0
2019-04-23,25.8,25.8,25.8,25.8,25.8,0.0
2019-04-24,27.0,25.8,25.8,27.0,27.0,700.0
2019-04-25,28.0,27.0,27.0,28.0,28.0,400.0
2019-04-26,27.9,27.9,27.9,27.9,27.9,300.0
2019-05-02,28.5,23.8,23.8,28.5,28.5,400.0
2019-05-03,26.2,26.2,26.2,26.2,26.2,0.0
2019-05-06,26.5,26.2,26.5,26.2,26.2,300.0
2019-05-07,28.1,26.4,26.4,28.1,28.1,1500.0
2019-05-08,28.1,28.1,28.1,28.1,28.1,100.0
2019-05-09,28.1,28.1,28.1,28.1,28.1,0.0
2019-05-10,27.5,27.5,27.5,27.5,27.5,200.0
2019-05-13,27.3,27.3,27.3,27.3,27.3,300.0
2019-05-14,27.3,27.3,27.3,27.3,27.3,0.0
2019-05-15,27.3,27.3,27.3,27.3,27.3,0.0
2019-05-16,27.3,27.3,27.3,27.3,27.3,0.0
2019-05-17,23.3,23.3,23.3,23.3,23.3,230.0
2019-05-20,23.3,23.3,23.3,23.3,23.3,100.0
2019-05-21,23.3,23.3,23.3,23.3,23.3,0.0
2019-05-22,23.3,23.3,23.3,23.3,23.3,0.0
2019-05-23,23.0,23.0,23.0,23.0,23.0,400.0
2019-05-24,23.0,23.0,23.0,23.0,23.0,0.0
2019-05-27,23.0,23.0,23.0,23.0,23.0,0.0
2019-05-28,23.0,23.0,23.0,23.0,23.0,0.0
2019-05-29,23.0,23.0,23.0,23.0,23.0,0.0
2019-05-30,23.0,23.0,23.0,23.0,23.0,300.0
2019-05-31,23.0,23.0,23.0,23.0,23.0,0.0
2019-06-03,23.0,23.0,23.0,23.0,23.0,1000.0
2019-06-04,23.0,23.0,23.0,23.0,23.0,0.0
2019-06-05,23.0,23.0,23.0,23.0,23.0,0.0
2019-06-06,23.5,23.5,23.5,23.5,23.5,200.0
2019-06-07,23.5,23.5,23.5,23.5,23.5,0.0
2019-06-10,23.5,23.5,23.5,23.5,23.5,0.0
2019-06-11,23.5,23.5,23.5,23.5,23.5,0.0
2019-06-12,23.5,23.5,23.5,23.5,23.5,0.0
2019-06-13,23.5,23.5,23.5,23.5,23.5,0.0
2019-06-14,23.5,23.5,23.5,23.5,23.5,200.0
2019-06-17,23.5,23.5,23.5,23.5,23.5,0.0
2019-06-18,23.5,23.5,23.5,23.5,23.5,0.0
2019-06-19,23.5,23.5,23.5,23.5,23.5,0.0
2019-06-20,23.5,23.5,23.5,23.5,23.5,0.0
2019-06-21,24.0,24.0,24.0,24.0,24.0,200.0
2019-06-24,23.0,23.0,23.0,23.0,23.0,200.0
2019-06-25,23.0,23.0,23.0,23.0,23.0,0.0
2019-06-26,23.0,23.0,23.0,23.0,23.0,0.0
2019-06-27,23.0,23.0,23.0,23.0,23.0,0.0
2019-06-28,23.0,23.0,23.0,23.0,23.0,200.0
2019-07-01,23.0,23.0,23.0,23.0,23.0,0.0
2019-07-02,23.0,23.0,23.0,23.0,23.0,0.0
2019-07-03,23.0,23.0,23.0,23.0,23.0,0.0
2019-07-04,23.0,23.0,23.0,23.0,23.0,0.0
2019-07-05,23.0,23.0,23.0,23.0,23.0,0.0
2019-07-08,23.0,23.0,23.0,23.0,23.0,0.0
2019-07-09,23.0,23.0,23.0,23.0,23.0,0.0
2019-07-10,23.0,23.0,23.0,23.0,23.0,0.0
2019-07-11,23.0,23.0,23.0,23.0,23.0,25.0
2019-07-12,20.0,20.0,20.0,20.0,20.0,500.0
2019-07-15,20.0,20.0,20.0,20.0,20.0,0.0
2019-07-16,20.0,20.0,20.0,20.0,20.0,0.0
2019-07-17,20.0,20.0,20.0,20.0,20.0,0.0
2019-07-18,20.0,20.0,20.0,20.0,20.0,0.0
2019-07-19,20.0,20.0,20.0,20.0,20.0,0.0
2019-07-22,19.8,19.8,19.8,19.8,19.8,200.0
2019-07-23,19.8,19.8,19.8,19.8,19.8,0.0
2019-07-24,19.8,19.8,19.8,19.8,19.8,0.0
2019-07-25,20.0,20.0,20.0,20.0,20.0,1000.0
2019-07-26,20.0,20.0,20.0,20.0,20.0,0.0
2019-07-29,20.0,20.0,20.0,20.0,20.0,0.0
2019-07-30,20.0,20.0,20.0,20.0,20.0,0.0
2019-07-31,20.0,20.0,20.0,20.0,20.0,0.0
2019-08-01,20.0,20.0,20.0,20.0,20.0,0.0
2019-08-02,18.5,18.5,18.5,18.5,18.5,100.0
2019-08-05,18.5,18.5,18.5,18.5,18.5,0.0
2019-08-06,18.0,18.0,18.0,18.0,18.0,100.0
2019-08-07,18.0,18.0,18.0,18.0,18.0,0.0
2019-08-08,18.0,18.0,18.0,18.0,18.0,0.0
2019-08-09,18.0,18.0,18.0,18.0,18.0,0.0
2019-08-12,18.0,18.0,18.0,18.0,18.0,0.0
2019-08-13,18.0,18.0,18.0,18.0,18.0,200.0
2019-08-14,18.0,18.0,18.0,18.0,18.0,0.0
2019-08-15,18.0,18.0,18.0,18.0,18.0,0.0
2019-08-16,18.0,18.0,18.0,18.0,18.0,0.0
2019-08-19,18.0,18.0,18.0,18.0,18.0,0.0
2019-08-20,18.0,18.0,18.0,18.0,18.0,0.0
2019-08-21,18.0,18.0,18.0,18.0,18.0,0.0
2019-08-22,18.0,18.0,18.0,18.0,18.0,0.0
2019-08-23,18.0,18.0,18.0,18.0,18.0,0.0
2019-08-26,18.0,18.0,18.0,18.0,18.0,0.0
