Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,12.2,11.9,12.2,12.15,7.127,519000.0
2018-01-03,12.25,12.05,12.15,12.1,7.097,759280.0
2018-01-04,12.3,11.85,12.05,12.3,7.215,852610.0
2018-01-05,12.3,11.7,12.2,11.7,6.862,468000.0
2018-01-08,12.0,11.6,11.9,11.75,6.892,702940.0
2018-01-09,12.25,11.9,11.95,12.15,7.127,922260.0
2018-01-10,12.4,11.95,12.1,12.0,7.039,827920.0
2018-01-11,12.0,11.8,12.0,11.85,6.95,610510.0
2018-01-12,12.0,11.7,11.9,11.75,6.892,659830.0
2018-01-15,11.9,11.7,11.85,11.75,6.892,262040.0
2018-01-16,12.1,11.6,11.8,11.8,6.921,823950.0
2018-01-17,12.15,11.65,11.95,11.65,6.833,668060.0
2018-01-18,11.9,11.5,11.5,11.9,6.981,624660.0
2018-01-19,12.0,11.7,11.95,11.9,6.981,403610.0
2018-01-22,12.0,11.8,12.0,11.9,6.981,592840.0
2018-01-25,12.15,11.9,12.1,12.0,7.039,659160.0
2018-01-26,12.8,12.0,12.15,12.8,7.508,2083120.0
2018-01-29,13.65,12.95,13.4,13.65,8.007,1915750.0
2018-01-30,14.55,13.4,13.7,14.45,8.476,1380660.0
2018-01-31,14.4,13.8,14.2,14.0,8.212,1449050.0
2018-02-01,14.4,13.7,13.85,14.25,8.358,1515890.0
2018-02-02,14.4,14.0,14.25,14.0,8.212,890310.0
2018-02-05,13.8,13.05,13.8,13.05,7.654,1277300.0
2018-02-06,13.0,12.15,12.15,12.15,7.127,754780.0
2018-02-07,12.85,12.3,12.7,12.45,7.303,737730.0
2018-02-08,12.6,12.2,12.25,12.5,7.332,490650.0
2018-02-09,12.6,11.7,11.7,12.6,7.391,584620.0
2018-02-12,13.2,12.6,12.7,13.2,7.743,520460.0
2018-02-13,13.3,13.0,13.15,13.0,7.625,373850.0
2018-02-21,13.4,13.1,13.3,13.4,7.86,345440.0
2018-02-22,13.35,13.0,13.35,13.3,7.801,387040.0
2018-02-23,13.35,13.0,13.3,13.15,7.713,508100.0
2018-02-26,13.4,13.05,13.2,13.1,7.684,673890.0
2018-02-27,13.1,12.7,13.1,12.8,7.508,391900.0
2018-02-28,13.25,12.5,12.8,13.25,7.772,489670.0
2018-03-01,13.9,13.2,13.3,13.7,8.036,876850.0
2018-03-02,13.8,13.3,13.3,13.8,8.095,502320.0
2018-03-05,13.9,13.1,13.9,13.1,7.684,417820.0
2018-03-06,13.75,13.05,13.2,13.75,8.065,684160.0
2018-03-07,13.95,13.25,13.75,13.3,7.801,365860.0
2018-03-08,13.4,13.3,13.3,13.4,7.86,180310.0
2018-03-09,13.7,13.45,13.5,13.45,7.889,497430.0
2018-03-12,13.8,13.35,13.65,13.35,7.831,326010.0
2018-03-13,13.6,13.35,13.35,13.5,7.919,220540.0
2018-03-14,13.85,13.55,13.7,13.85,8.124,475790.0
2018-03-15,13.9,13.7,13.7,13.7,8.036,167180.0
2018-03-16,14.65,13.85,13.85,14.65,8.593,1248410.0
2018-03-19,14.95,13.65,14.8,14.6,8.564,710560.0
2018-03-20,14.6,13.8,14.6,14.45,8.476,324340.0
2018-03-21,14.5,14.0,14.5,14.25,8.358,374900.0
2018-03-22,14.3,13.9,14.15,14.1,8.27,508430.0
2018-03-23,14.1,13.3,13.3,14.1,8.27,740080.0
2018-03-26,14.3,13.8,14.1,14.3,8.388,267000.0
2018-03-27,14.6,14.0,14.5,14.0,8.212,252680.0
2018-03-28,14.15,13.7,13.7,14.0,8.212,290000.0
2018-03-29,14.15,13.8,14.15,14.05,8.241,150700.0
2018-03-30,14.15,13.9,14.1,13.95,8.183,292340.0
2018-04-02,14.4,13.9,13.95,14.4,8.446,464290.0
2018-04-03,15.2,13.8,14.45,15.2,8.915,853030.0
2018-04-04,15.5,15.05,15.2,15.05,8.828,441470.0
2018-04-05,15.4,14.75,15.1,15.4,9.033,435750.0
2018-04-06,15.6,15.1,15.4,15.2,8.915,340740.0
2018-04-09,15.6,14.9,15.2,15.1,8.857,391900.0
2018-04-10,15.95,15.3,15.8,15.5,9.092,606220.0
2018-04-11,15.75,14.6,15.75,14.6,8.564,475900.0
2018-04-12,14.9,14.5,14.5,14.7,8.623,263290.0
2018-04-13,15.1,14.4,15.0,14.4,8.446,290600.0
2018-04-16,14.9,14.0,14.15,14.9,8.74,283800.0
2018-04-17,14.9,14.5,14.9,14.6,8.564,118780.0
2018-04-18,14.8,14.4,14.5,14.4,8.446,178350.0
