Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,13.2,13.2,13.2,13.2,9.757,500.0
2018-01-03,13.0,13.0,13.0,13.0,9.609,100.0
2018-01-04,13.0,13.0,13.0,13.0,9.609,0.0
2018-01-05,14.3,13.9,13.9,14.3,10.571,400.0
2018-01-08,14.0,14.0,14.0,14.0,10.35,100.0
2018-01-09,14.0,14.0,14.0,14.0,10.35,0.0
2018-01-10,13.6,13.6,13.6,13.6,10.053,100.0
2018-01-11,13.6,13.1,13.6,13.1,9.684,800.0
2018-01-12,14.0,13.2,13.2,13.2,9.757,1200.0
2018-01-15,14.3,13.3,14.3,13.3,9.831,3200.0
2018-01-16,14.5,13.4,14.0,13.4,9.906,600.0
2018-01-17,14.0,14.0,14.0,14.0,10.35,100.0
2018-01-18,14.0,14.0,14.0,14.0,10.35,0.0
2018-01-19,14.0,14.0,14.0,14.0,10.35,0.0
2018-01-22,14.0,14.0,14.0,14.0,10.35,0.0
2018-01-23,14.0,14.0,14.0,14.0,10.35,0.0
2018-01-24,14.0,14.0,14.0,14.0,10.35,0.0
2018-01-25,14.0,14.0,14.0,14.0,10.35,0.0
2018-01-26,14.0,14.0,14.0,14.0,10.35,0.0
2018-01-29,14.1,14.0,14.1,14.1,10.423,1200.0
2018-01-30,14.1,14.1,14.1,14.1,10.423,0.0
2018-01-31,14.1,14.1,14.1,14.1,10.423,0.0
2018-02-01,14.1,14.1,14.1,14.1,10.423,0.0
2018-02-02,14.2,14.1,14.2,14.1,10.423,500.0
2018-02-05,14.9,14.2,14.2,14.9,11.014,5800.0
2018-02-06,14.9,13.8,14.0,13.8,10.2,6300.0
2018-02-07,14.9,13.8,14.8,13.8,10.2,7100.0
2018-02-08,14.9,14.1,14.1,14.9,11.014,3300.0
2018-02-09,14.9,14.9,14.9,14.9,11.014,0.0
2018-02-12,14.9,14.9,14.9,14.9,11.014,0.0
2018-02-13,14.9,14.4,14.4,14.9,11.014,700.0
2018-02-21,14.9,14.9,14.9,14.9,11.014,0.0
2018-02-22,14.9,14.9,14.9,14.9,11.014,0.0
2018-02-23,14.9,14.9,14.9,14.9,11.014,0.0
2018-02-26,14.0,14.0,14.0,14.0,10.35,400.0
2018-02-27,15.0,14.1,14.1,14.4,10.645,3050.0
2018-02-28,14.4,14.4,14.4,14.4,10.645,0.0
2018-03-01,14.8,14.2,14.8,14.2,10.496,700.0
2018-03-02,14.2,14.2,14.2,14.2,10.496,0.0
2018-03-05,14.2,14.2,14.2,14.2,10.496,0.0
2018-03-06,15.0,14.6,15.0,14.6,10.792,1600.0
2018-03-07,15.2,15.0,15.0,15.2,11.235,5900.0
2018-03-08,15.2,15.2,15.2,15.2,11.235,1900.0
2018-03-09,15.2,15.2,15.2,15.2,11.235,0.0
2018-03-12,15.2,15.2,15.2,15.2,11.235,0.0
2018-03-13,13.7,13.7,13.7,13.7,10.128,322.0
2018-03-14,15.0,15.0,15.0,15.0,11.088,14000.0
2018-03-15,16.5,15.7,16.5,15.7,11.606,1530.0
2018-03-16,15.7,15.7,15.7,15.7,11.606,0.0
2018-03-19,15.7,15.7,15.7,15.7,11.606,22.0
2018-03-20,15.7,15.7,15.7,15.7,11.606,0.0
2018-03-21,15.7,15.7,15.7,15.7,11.606,0.0
2018-03-22,15.7,15.7,15.7,15.7,11.606,0.0
2018-03-23,15.7,15.7,15.7,15.7,11.606,0.0
2018-03-26,16.0,15.7,15.7,16.0,11.828,1000.0
2018-03-27,16.0,16.0,16.0,16.0,11.828,0.0
2018-03-28,14.9,14.9,14.9,14.9,11.014,5010.0
2018-03-29,14.9,14.9,14.9,14.9,11.014,500.0
2018-03-30,16.3,16.3,16.3,16.3,12.049,100.0
2018-04-02,15.9,15.9,15.9,15.9,11.753,100.0
2018-04-03,15.1,15.1,15.1,15.1,11.162,300.0
2018-04-04,14.6,14.6,14.6,14.6,10.792,400.0
2018-04-05,14.6,14.6,14.6,14.6,10.792,0.0
2018-04-06,14.6,14.6,14.6,14.6,10.792,0.0
2018-04-09,14.6,14.6,14.6,14.6,10.792,0.0
2018-04-10,14.6,14.6,14.6,14.6,10.792,0.0
2018-04-11,14.6,14.6,14.6,14.6,10.792,0.0
2018-04-12,15.8,15.8,15.8,15.8,11.68,100.0
2018-04-13,15.0,15.0,15.0,15.0,11.088,1000.0
2018-04-16,14.4,14.4,14.4,14.4,10.645,1000.0
2018-04-17,14.4,14.4,14.4,14.4,10.645,1400.0
2018-04-18,14.5,14.4,14.4,14.5,10.718,700.0
2018-04-19,14.5,14.5,14.5,14.5,10.718,0.0
2018-04-20,14.1,14.1,14.1,14.1,10.423,100.0
2018-04-23,15.5,15.5,15.5,15.5,11.457,100.0
2018-04-24,15.5,15.5,15.5,15.5,11.457,0.0
2018-04-26,15.5,15.5,15.5,15.5,11.457,0.0
2018-04-27,15.5,15.5,15.5,15.5,11.457,0.0
2018-05-02,15.5,15.5,15.5,15.5,11.457,0.0
2018-05-03,14.5,14.3,14.5,14.3,10.571,2000.0
2018-05-04,14.3,14.3,14.3,14.3,10.571,1300.0
2018-05-07,15.7,14.3,15.7,14.3,10.571,200.0
2018-05-08,14.0,14.0,14.0,14.0,10.35,300.0
2018-05-09,15.0,14.2,14.9,14.4,10.645,3900.0
2018-05-10,15.0,14.1,14.9,14.1,10.423,1800.0
2018-05-11,15.5,14.5,15.4,15.5,11.457,3100.0
2018-05-14,14.6,14.6,14.6,14.6,10.792,100.0
2018-05-15,16.0,16.0,16.0,16.0,11.828,100.0
2018-05-16,14.6,14.6,14.6,14.6,10.792,300.0
2018-05-17,14.6,14.6,14.6,14.6,10.792,0.0
2018-05-18,15.0,14.3,14.3,14.4,10.645,9100.0
2018-05-21,14.4,14.4,14.4,14.4,10.645,0.0
2018-05-22,14.4,14.4,14.4,14.4,10.645,0.0
2018-05-23,14.4,14.4,14.4,14.4,10.645,0.0
2018-05-24,14.9,14.2,14.9,14.2,10.496,3000.0
2018-05-25,14.2,14.2,14.2,14.2,10.496,0.0
2018-05-28,14.2,14.2,14.2,14.2,10.496,1000.0
2018-05-29,14.5,14.2,14.5,14.2,10.496,5100.0
2018-05-30,14.4,14.2,14.2,14.2,10.496,3800.0
2018-05-31,14.2,14.2,14.2,14.2,10.496,0.0
2018-06-01,14.3,14.0,14.3,14.0,10.35,4200.0
2018-06-04,14.0,14.0,14.0,14.0,10.35,0.0
2018-06-05,14.0,14.0,14.0,14.0,10.35,0.0
2018-06-06,14.0,14.0,14.0,14.0,10.35,0.0
2018-06-07,14.0,14.0,14.0,14.0,10.35,0.0
2018-06-08,14.0,14.0,14.0,14.0,10.35,0.0
2018-06-11,14.0,14.0,14.0,14.0,10.35,0.0
2018-06-12,14.0,14.0,14.0,14.0,10.35,0.0
2018-06-13,14.0,14.0,14.0,14.0,10.35,1000.0
2018-06-14,14.0,14.0,14.0,14.0,10.35,0.0
2018-06-15,14.0,14.0,14.0,14.0,10.35,0.0
2018-06-18,14.0,14.0,14.0,14.0,10.35,0.0
2018-06-19,14.0,14.0,14.0,14.0,10.35,0.0
2018-06-20,14.0,14.0,14.0,14.0,10.35,0.0
2018-06-21,15.3,15.3,15.3,15.3,11.31,100.0
2018-06-22,14.0,14.0,14.0,14.0,10.35,2100.0
2018-06-25,14.0,14.0,14.0,14.0,10.35,0.0
2018-06-26,15.4,14.5,15.4,14.5,10.718,200.0
2018-06-27,14.5,14.5,14.5,14.5,10.718,0.0
2018-06-28,13.5,13.5,13.5,13.5,9.979,400.0
2018-06-29,13.5,13.5,13.5,13.5,9.979,0.0
2018-07-02,13.5,13.5,13.5,13.5,9.979,0.0
2018-07-03,13.5,13.5,13.5,13.5,9.979,1200.0
2018-07-04,14.8,12.2,14.8,12.2,9.019,200.0
2018-07-05,13.4,12.6,13.4,12.6,9.314,42000.0
2018-07-06,13.8,12.8,13.8,12.8,9.462,200.0
2018-07-09,13.8,13.8,13.8,13.8,10.2,100.0
2018-07-10,13.8,13.8,13.8,13.8,10.2,0.0
2018-07-11,13.8,13.8,13.8,13.8,10.2,0.0
2018-07-12,13.7,12.6,12.6,13.3,9.831,700.0
2018-07-13,13.3,13.3,13.3,13.3,9.831,0.0
2018-07-16,14.6,13.2,14.6,13.2,9.757,200.0
2018-07-17,14.0,11.9,11.9,12.8,9.462,400.0
2018-07-18,14.0,11.8,12.9,11.8,8.722,2200.0
2018-07-19,12.9,10.7,12.9,10.7,7.909,4200.0
2018-07-20,11.7,10.7,11.7,10.7,7.909,200.0
2018-07-23,11.7,10.7,11.7,11.7,8.649,4300.0
2018-07-24,12.8,12.1,12.8,12.8,9.462,400.0
2018-07-25,13.1,13.0,13.0,13.1,9.684,7800.0
2018-07-26,13.1,13.0,13.0,13.1,9.684,200.0
2018-07-27,13.5,13.5,13.5,13.5,9.979,4500.0
2018-07-30,13.5,13.5,13.5,13.5,9.979,0.0
2018-07-31,13.5,13.5,13.5,13.5,9.979,0.0
2018-08-01,13.5,13.5,13.5,13.5,9.979,200.0
2018-08-02,13.5,13.5,13.5,13.5,9.979,3600.0
2018-08-03,13.5,13.4,13.4,13.5,9.979,2500.0
