Date,High,Low,Open,Close,Adj Close,Volume
2018-12-18,15.3,15.3,15.3,15.3,7.836,219600.0
2018-12-19,16.8,16.7,16.7,16.8,8.604,6300.0
2018-12-20,18.4,18.4,18.4,18.4,9.423,47700.0
2018-12-21,20.1,18.0,20.1,18.6,9.525,89500.0
2018-12-24,18.9,18.6,18.6,18.8,9.628,72800.0
2018-12-25,18.7,18.4,18.7,18.6,9.525,81000.0
2018-12-26,19.0,18.1,18.5,19.0,9.73,84500.0
2018-12-27,19.2,19.0,19.1,19.1,9.782,87500.0
2018-12-28,19.5,19.1,19.1,19.5,9.986,33300.0
2019-01-02,19.6,19.0,19.5,19.2,9.833,23600.0
2019-01-03,19.3,19.0,19.2,19.1,9.782,24700.0
2019-01-04,19.2,19.0,19.0,19.1,9.782,64700.0
2019-01-07,19.5,19.0,19.1,19.3,9.884,92900.0
2019-01-08,19.4,19.2,19.3,19.3,9.884,44300.0
2019-01-09,19.4,19.1,19.2,19.2,9.833,43100.0
2019-01-10,19.4,19.2,19.2,19.3,9.884,22000.0
2019-01-11,19.5,19.3,19.3,19.4,9.936,25300.0
2019-01-14,19.8,19.4,19.4,19.6,10.038,103800.0
2019-01-15,20.0,19.6,19.6,19.8,10.14,138400.0
2019-01-16,19.8,19.6,19.7,19.6,10.038,40200.0
2019-01-17,19.6,19.2,19.5,19.5,9.986,42000.0
2019-01-18,19.6,19.2,19.4,19.3,9.884,46310.0
2019-01-21,19.3,19.1,19.2,19.2,9.833,20600.0
2019-01-22,19.5,19.1,19.1,19.4,9.936,20900.0
2019-01-23,19.5,19.3,19.4,19.4,9.936,42400.0
2019-01-24,19.7,19.2,19.4,19.3,9.884,69300.0
2019-01-25,19.5,19.2,19.2,19.4,9.936,23700.0
2019-01-28,19.7,19.2,19.4,19.3,9.884,69000.0
2019-01-29,19.8,19.1,19.2,19.8,10.14,98400.0
2019-01-30,20.0,19.6,19.6,20.0,10.243,44500.0
2019-01-31,20.2,19.5,19.9,19.7,10.089,49600.0
2019-02-01,19.7,19.5,19.6,19.7,10.089,18400.0
2019-02-11,19.8,19.7,19.7,19.8,10.14,22800.0
2019-02-12,19.9,19.4,19.8,19.5,9.986,106200.0
2019-02-13,19.7,19.3,19.5,19.6,10.038,39200.0
2019-02-14,19.9,19.6,19.6,19.9,10.191,61500.0
2019-02-15,20.1,19.5,19.8,19.6,10.038,45500.0
2019-02-18,19.8,19.5,19.5,19.7,10.089,46600.0
2019-02-19,19.9,19.3,19.6,19.8,10.14,57500.0
2019-02-20,19.9,19.6,19.8,19.7,10.089,64300.0
2019-02-21,20.0,19.8,19.8,19.9,10.191,23300.0
2019-02-22,21.0,19.9,19.9,20.7,10.601,109600.0
2019-02-25,21.5,20.6,20.6,21.1,10.806,74900.0
2019-02-26,21.2,20.5,21.0,20.8,10.652,62000.0
2019-02-27,20.8,20.4,20.7,20.5,10.499,17100.0
2019-02-28,20.6,20.3,20.5,20.4,10.447,25500.0
2019-03-01,20.7,20.3,20.3,20.5,10.499,27000.0
2019-03-04,22.1,20.3,20.4,21.8,11.164,322100.0
2019-03-05,22.5,21.2,21.9,21.5,11.011,103200.0
2019-03-06,21.7,21.0,21.5,21.3,10.908,62700.0
2019-03-07,21.2,20.0,21.2,20.3,10.397,97400.0
2019-03-08,20.5,19.8,20.1,20.5,10.499,150800.0
2019-03-11,20.6,20.2,20.4,20.6,10.55,27409.0
2019-03-12,20.7,20.3,20.5,20.4,10.447,13500.0
2019-03-13,20.6,20.2,20.3,20.5,10.499,42200.0
2019-03-14,20.5,20.3,20.5,20.4,10.447,14711.0
2019-03-15,20.7,20.3,20.3,20.7,10.601,29720.0
2019-03-18,20.8,20.5,20.6,20.8,10.652,12662.0
2019-03-19,20.9,20.7,20.7,20.8,10.652,21700.0
2019-03-20,21.0,20.7,20.8,21.0,10.755,38503.0
2019-03-21,21.1,20.9,21.0,21.1,10.806,19300.0
2019-03-22,21.2,20.9,21.1,20.9,10.703,15000.0
2019-03-25,21.1,20.8,20.9,21.0,10.755,17006.0
2019-03-26,21.1,20.9,21.0,21.0,10.755,64800.0
2019-03-27,21.5,20.8,21.0,21.3,10.908,115850.0
2019-03-28,21.5,21.0,21.3,21.1,10.806,83550.0
2019-03-29,21.3,21.0,21.2,21.0,10.755,68203.0
2019-04-01,21.3,20.9,21.0,21.1,10.806,47000.0
2019-04-02,23.2,20.7,21.1,22.8,11.677,169500.0
2019-04-03,23.3,22.6,22.6,23.2,11.882,47800.0
2019-04-04,23.1,22.3,22.6,22.9,11.728,41000.0
2019-04-05,23.1,22.6,23.0,22.7,11.625,44603.0
2019-04-08,22.9,22.3,22.9,22.5,11.523,19700.0
2019-04-09,22.9,21.8,22.5,22.9,11.728,18500.0
2019-04-10,22.9,22.5,22.9,22.6,11.574,29700.0
2019-04-11,23.1,22.4,22.6,22.8,11.677,49300.0
2019-04-12,22.8,22.3,22.8,22.4,11.472,30200.0
2019-04-16,22.6,22.5,22.5,22.6,11.574,56100.0
2019-04-17,22.9,22.4,22.6,22.9,11.728,39130.0
2019-04-18,23.1,22.4,22.8,22.6,11.574,25000.0
