Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,20.85,20.6,20.75,20.8,11.033,883360.0
2018-01-03,21.8,20.8,20.85,21.6,11.458,3305720.0
2018-01-04,23.1,21.75,21.85,22.8,12.095,3965060.0
2018-01-05,23.65,22.5,23.15,22.8,12.095,2875060.0
2018-01-08,23.4,22.6,22.8,23.0,12.2,4018670.0
2018-01-09,23.9,22.8,23.5,23.8,12.624,3299510.0
2018-01-10,24.3,23.45,24.0,23.8,12.624,2945650.0
2018-01-11,23.9,23.45,23.55,23.7,12.571,2411000.0
2018-01-12,24.5,23.0,24.0,23.2,12.307,3958000.0
2018-01-15,23.8,23.1,23.2,23.5,12.466,3059400.0
2018-01-16,23.9,23.0,23.6,23.5,12.466,2008940.0
2018-01-17,23.5,22.6,23.5,22.6,11.988,3315830.0
2018-01-18,22.85,21.75,22.3,22.65,12.014,5618870.0
2018-01-19,23.15,22.5,23.0,22.5,11.935,2534480.0
2018-01-22,22.75,22.25,22.75,22.55,11.962,1803420.0
2018-01-25,23.5,22.5,22.55,23.0,12.2,5055770.0
2018-01-26,23.5,22.8,23.25,22.8,12.095,3233700.0
2018-01-29,23.0,22.45,22.8,22.8,12.095,2060140.0
2018-01-30,24.35,22.2,22.2,24.35,12.917,6763820.0
2018-01-31,26.05,22.65,25.3,22.65,12.014,11441780.0
2018-02-01,24.2,23.2,23.4,24.1,12.784,4758970.0
2018-02-02,24.1,23.3,24.0,23.9,12.678,1866850.0
2018-02-05,23.7,22.25,23.55,22.25,11.803,3966060.0
2018-02-06,22.1,20.7,20.8,20.9,11.086,6073460.0
2018-02-07,22.35,21.5,21.9,22.3,11.83,2586270.0
2018-02-08,22.9,21.9,22.0,22.4,11.882,1642970.0
2018-02-09,21.75,20.9,20.95,21.55,11.431,3522000.0
2018-02-12,22.6,21.9,22.1,22.6,11.988,1108190.0
2018-02-13,23.9,22.6,23.0,23.75,12.598,2412670.0
2018-02-21,24.45,23.6,23.75,23.8,12.624,1616910.0
2018-02-22,24.0,23.4,23.6,23.45,12.439,1253320.0
2018-02-23,23.85,23.3,23.65,23.85,12.65,1042550.0
2018-02-26,24.7,23.95,24.0,24.1,12.784,4362740.0
2018-02-27,24.3,23.5,24.2,23.85,12.65,3081900.0
2018-02-28,23.9,23.65,23.75,23.8,12.624,1808170.0
2018-03-01,25.45,23.4,23.5,25.2,13.368,7535680.0
2018-03-02,26.95,24.7,25.0,26.9,14.269,6768590.0
2018-03-05,27.6,26.2,27.0,26.2,13.898,4587870.0
2018-03-06,27.5,26.1,26.3,27.5,14.587,5905980.0
2018-03-07,28.2,26.6,27.4,27.3,14.481,4636250.0
2018-03-08,27.75,26.85,27.05,26.85,14.242,3753250.0
2018-03-09,27.4,26.85,27.0,26.9,14.269,2708890.0
2018-03-12,28.2,26.8,27.2,27.6,14.641,2788070.0
2018-03-13,28.2,27.5,27.6,28.0,14.852,2037890.0
2018-03-14,28.7,27.6,28.2,27.6,14.641,3144210.0
2018-03-15,28.0,26.9,27.6,27.2,14.428,3312930.0
2018-03-16,27.8,26.95,27.3,27.5,14.587,2002230.0
2018-03-19,28.9,27.5,27.5,28.1,14.905,3895260.0
2018-03-20,28.2,27.65,28.0,27.9,14.8,3536050.0
2018-03-21,28.45,28.0,28.0,28.45,15.091,4566830.0
2018-03-22,28.9,28.05,28.35,28.1,14.905,2450030.0
2018-03-23,27.75,26.9,27.2,27.1,14.376,4031930.0
2018-03-26,27.4,27.0,27.1,27.15,14.402,1218420.0
2018-03-27,27.8,27.05,27.4,27.05,14.348,1962070.0
2018-03-28,27.2,25.5,27.0,25.5,13.527,5471840.0
2018-03-29,26.35,25.5,25.5,26.0,13.791,3118560.0
2018-03-30,26.1,25.6,26.05,25.7,13.632,1505920.0
2018-04-02,26.45,25.85,25.9,26.45,14.031,2301400.0
2018-04-03,27.05,26.45,26.5,26.7,14.163,1518040.0
2018-04-04,26.95,26.0,26.95,26.1,13.845,1486900.0
2018-04-05,26.25,25.45,26.2,25.5,13.527,3607400.0
2018-04-06,26.2,24.9,25.7,25.6,13.579,2559610.0
2018-04-09,26.05,25.35,25.6,25.8,13.687,1624290.0
2018-04-10,25.9,24.45,25.9,24.5,12.996,4183430.0
2018-04-11,24.55,22.8,24.55,23.1,12.252,4946920.0
2018-04-12,24.0,23.1,23.5,23.9,12.678,2356000.0
2018-04-13,24.45,23.3,23.95,23.95,12.704,1900780.0
2018-04-16,23.6,23.2,23.6,23.3,12.359,902830.0
2018-04-17,23.8,23.05,23.8,23.35,12.385,1067940.0
2018-04-18,23.65,22.85,23.35,22.9,12.148,1234080.0
2018-04-19,22.6,21.5,22.5,21.7,11.511,2119210.0
