Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,3.75,3.65,3.65,3.74,3.562,2030290.0
2018-01-03,3.8,3.66,3.74,3.66,3.486,1209740.0
2018-01-04,3.82,3.6,3.66,3.8,3.62,2018860.0
2018-01-05,4.05,3.8,3.85,3.96,3.772,4594760.0
2018-01-08,4.03,3.91,4.03,3.95,3.762,1347840.0
2018-01-09,4.02,3.9,4.0,3.9,3.715,1430130.0
2018-01-10,4.09,3.93,3.93,4.05,3.858,3990350.0
2018-01-11,4.33,4.07,4.1,4.25,4.048,6551930.0
2018-01-12,4.38,4.02,4.38,4.02,3.829,2480850.0
2018-01-15,4.09,4.01,4.02,4.01,3.82,1707820.0
2018-01-16,4.01,3.85,4.01,4.0,3.81,2552100.0
2018-01-17,4.07,3.82,3.93,3.82,3.639,1373650.0
2018-01-18,3.85,3.75,3.85,3.82,3.639,1601280.0
2018-01-19,3.87,3.79,3.82,3.81,3.629,2143450.0
2018-01-22,3.83,3.71,3.81,3.79,3.61,2120240.0
2018-01-25,3.8,3.65,3.75,3.77,3.591,2901930.0
2018-01-26,3.85,3.7,3.77,3.71,3.534,1833470.0
2018-01-29,3.76,3.62,3.71,3.62,3.448,2284800.0
2018-01-30,3.72,3.55,3.67,3.72,3.543,1626650.0
2018-01-31,3.84,3.63,3.75,3.63,3.458,2748420.0
2018-02-01,3.65,3.55,3.65,3.55,3.381,2104770.0
2018-02-02,3.65,3.47,3.53,3.49,3.324,1425930.0
2018-02-05,3.5,3.25,3.5,3.25,3.096,3079420.0
2018-02-06,3.15,3.03,3.03,3.03,2.886,3464430.0
2018-02-07,3.24,3.18,3.19,3.24,3.086,2554600.0
2018-02-08,3.26,3.15,3.2,3.15,3.0,1524210.0
2018-02-09,3.15,2.98,3.0,3.15,3.0,818930.0
2018-02-12,3.3,3.15,3.15,3.27,3.115,484780.0
2018-02-13,3.45,3.27,3.27,3.45,3.286,487320.0
2018-02-21,3.49,3.35,3.49,3.45,3.286,452730.0
2018-02-22,3.44,3.35,3.4,3.42,3.258,380950.0
2018-02-23,3.43,3.33,3.41,3.38,3.22,591250.0
2018-02-26,3.38,3.28,3.38,3.28,3.124,987520.0
2018-02-27,3.33,3.26,3.28,3.31,3.153,451880.0
2018-02-28,3.47,3.3,3.3,3.39,3.229,1038830.0
2018-03-01,3.39,3.25,3.39,3.34,3.181,737560.0
2018-03-02,3.41,3.27,3.34,3.39,3.229,2045490.0
2018-03-05,3.56,3.35,3.4,3.35,3.191,1985180.0
2018-03-06,3.42,3.36,3.4,3.39,3.229,1812880.0
2018-03-07,3.62,3.39,3.39,3.5,3.334,3501260.0
2018-03-08,3.57,3.49,3.5,3.53,3.362,1552970.0
2018-03-09,3.57,3.46,3.54,3.49,3.324,1326160.0
2018-03-12,3.51,3.4,3.47,3.42,3.258,1739000.0
2018-03-13,3.41,3.33,3.41,3.34,3.181,1140920.0
2018-03-14,3.41,3.34,3.34,3.38,3.22,1501080.0
2018-03-15,3.47,3.38,3.38,3.38,3.22,1369830.0
2018-03-16,3.43,3.38,3.38,3.41,3.248,1008130.0
2018-03-19,3.43,3.36,3.41,3.4,3.239,1369600.0
2018-03-20,3.4,3.35,3.4,3.36,3.2,1086850.0
2018-03-21,3.39,3.33,3.36,3.35,3.191,722460.0
2018-03-22,3.38,3.3,3.38,3.3,3.143,563220.0
2018-03-23,3.27,3.14,3.14,3.19,3.039,814280.0
2018-03-26,3.27,3.16,3.16,3.19,3.039,892140.0
2018-03-27,3.28,3.19,3.19,3.21,3.058,2332180.0
2018-03-28,3.24,3.16,3.21,3.2,3.048,1109180.0
2018-03-29,3.22,3.15,3.2,3.18,3.029,327950.0
2018-03-30,3.19,3.11,3.16,3.15,3.0,607350.0
2018-04-02,3.19,3.11,3.19,3.11,2.962,754140.0
2018-04-03,3.11,3.04,3.11,3.05,2.905,1116850.0
2018-04-04,3.11,3.05,3.05,3.06,2.915,1851200.0
2018-04-05,3.21,3.06,3.06,3.2,3.048,2027170.0
2018-04-06,3.24,3.16,3.2,3.19,3.039,1444230.0
2018-04-09,3.23,3.15,3.19,3.16,3.01,1656510.0
2018-04-10,3.2,3.03,3.14,3.03,2.886,1631450.0
2018-04-11,3.1,2.96,3.03,2.96,2.819,1505230.0
2018-04-12,3.03,2.87,3.0,2.95,2.81,1221970.0
2018-04-13,3.15,3.1,3.15,3.15,3.0,2271220.0
2018-04-16,3.33,3.17,3.26,3.29,3.134,2124290.0
2018-04-17,3.31,3.2,3.3,3.23,3.077,793490.0
