Date,High,Low,Open,Close,Adj Close,Volume
2023-06-15,15.5,11.1,15.5,15.4,14.364,24600.0
2023-06-16,13.6,13.3,13.3,13.6,12.685,700.0
2023-06-19,12.0,11.4,12.0,11.4,10.633,2000.0
2023-06-20,13.0,12.0,12.8,12.0,11.192,5400.0
2023-06-21,12.9,12.9,12.9,12.9,12.032,0.0
2023-06-22,11.0,11.0,11.0,11.0,10.26,1000.0
2023-06-23,12.0,11.0,12.0,11.2,10.446,1800.0
2023-06-26,11.2,9.7,11.2,10.0,9.327,5300.0
2023-06-27,10.0,8.7,9.1,8.7,8.114,2600.0
2023-06-28,9.3,9.3,9.3,9.3,8.674,100.0
2023-06-29,9.3,9.3,9.3,9.3,8.674,500.0
2023-06-30,9.4,9.3,9.3,9.3,8.674,3300.0
2023-07-03,9.4,9.4,9.4,9.4,8.767,500.0
2023-07-04,9.2,9.0,9.1,9.2,8.581,1400.0
2023-07-05,9.9,9.2,9.3,9.9,9.234,8900.0
2023-07-06,10.3,10.0,10.0,10.3,9.607,6300.0
2023-07-07,11.5,10.0,11.0,10.0,9.327,5000.0
2023-07-10,11.9,10.2,11.9,10.2,9.514,3900.0
2023-07-11,10.5,10.2,10.5,10.2,9.514,1500.0
2023-07-12,10.5,10.3,10.3,10.5,9.793,11200.0
2023-07-13,9.8,9.8,9.8,9.8,9.8,1100.0
2023-07-14,10.4,9.5,10.4,9.5,9.5,1300.0
2023-07-17,9.2,9.0,9.2,9.0,9.0,3900.0
2023-07-18,10.3,9.0,9.0,10.3,10.3,8700.0
2023-07-19,10.8,9.5,10.8,9.5,9.5,2800.0
2023-07-20,11.6,10.6,11.6,10.8,10.8,7228.0
2023-07-21,12.4,12.4,12.4,12.4,12.4,109.0
2023-07-24,12.4,10.6,12.4,10.6,10.6,8401.0
2023-07-25,10.8,10.6,10.8,10.7,10.7,1000.0
2023-07-26,10.4,10.4,10.4,10.4,10.4,137.0
2023-07-27,10.5,9.2,10.5,10.0,10.0,7600.0
2023-07-28,9.5,9.5,9.5,9.5,9.5,3000.0
2023-07-31,9.5,9.2,9.2,9.5,9.5,2300.0
2023-08-01,9.5,9.4,9.5,9.5,9.5,1700.0
2023-08-02,9.5,9.5,9.5,9.5,9.5,0.0
2023-08-03,9.5,9.5,9.5,9.5,9.5,300.0
2023-08-04,9.5,9.4,9.5,9.5,9.5,2400.0
2023-08-07,9.5,9.5,9.5,9.5,9.5,1.0
2023-08-08,9.5,8.1,8.1,9.5,9.5,1200.0
2023-08-09,9.5,9.5,9.5,9.5,9.5,400.0
2023-08-10,10.9,9.5,10.9,9.5,9.5,1000.0
2023-08-11,9.0,8.2,9.0,9.0,9.0,5800.0
2023-08-14,9.7,9.0,9.7,9.0,9.0,2100.0
2023-08-15,8.9,8.8,8.9,8.8,8.8,2800.0
2023-08-16,9.6,7.9,8.2,9.6,9.6,7800.0
2023-08-17,9.2,9.2,9.2,9.2,9.2,100.0
2023-08-18,8.2,8.0,8.2,8.0,8.0,2800.0
2023-08-21,8.1,7.9,7.9,8.1,8.1,900.0
2023-08-22,8.2,8.2,8.2,8.2,8.2,300.0
2023-08-23,8.2,8.2,8.2,8.2,8.2,300.0
2023-08-24,8.2,8.2,8.2,8.2,8.2,0.0
2023-08-25,9.4,9.0,9.4,9.0,9.0,430.0
2023-08-28,9.1,8.2,9.1,8.2,8.2,705.0
2023-08-29,8.9,8.9,8.9,8.9,8.9,0.0
2023-08-30,8.6,8.2,8.6,8.6,8.6,1705.0
2023-08-31,8.4,8.3,8.4,8.3,8.3,2200.0
2023-09-05,8.4,8.4,8.4,8.4,8.4,101.0
2023-09-06,8.4,8.4,8.4,8.4,8.4,1310.0
2023-09-07,8.4,8.4,8.4,8.4,8.4,0.0
2023-09-08,8.4,8.4,8.4,8.4,8.4,0.0
2023-09-11,8.4,8.4,8.4,8.4,8.4,2.0
2023-09-12,8.5,8.5,8.5,8.5,8.5,118.0
2023-09-13,8.4,8.4,8.4,8.4,8.4,400.0
2023-09-14,8.4,8.4,8.4,8.4,8.4,0.0
2023-09-15,8.4,8.4,8.4,8.4,8.4,0.0
2023-09-18,8.4,8.4,8.4,8.4,8.4,0.0
2023-09-19,8.4,8.4,8.4,8.4,8.4,0.0
2023-09-20,7.8,7.8,7.8,7.8,7.8,300.0
2023-09-21,8.9,8.9,8.9,8.9,8.9,100.0
2023-09-22,8.9,8.9,8.9,8.9,8.9,0.0
2023-09-25,8.9,8.9,8.9,8.9,8.9,1.0
2023-09-26,8.9,8.9,8.9,8.9,8.9,0.0
2023-09-27,8.9,8.9,8.9,8.9,8.9,0.0
2023-09-28,8.9,8.9,8.9,8.9,8.9,0.0
2023-09-29,8.9,8.9,8.9,8.9,8.9,0.0
2023-10-02,8.8,8.8,8.8,8.8,8.8,200.0
2023-10-03,7.5,7.5,7.5,7.5,7.5,300.0
2023-10-04,8.6,8.6,8.6,8.6,8.6,200.0
2023-10-05,8.6,8.5,8.5,8.6,8.6,500.0
2023-10-06,8.3,8.3,8.3,8.3,8.3,100.0
2023-10-09,8.3,8.3,8.3,8.3,8.3,0.0
2023-10-10,8.3,8.3,8.3,8.3,8.3,0.0
2023-10-11,8.3,8.3,8.3,8.3,8.3,0.0
2023-10-12,7.4,7.1,7.1,7.4,7.4,1200.0
2023-10-13,7.4,7.4,7.4,7.4,7.4,1.0
2023-10-16,7.4,7.4,7.4,7.4,7.4,0.0
2023-10-17,7.5,7.4,7.5,7.5,7.5,300.0
2023-10-18,7.5,7.5,7.5,7.5,7.5,0.0
2023-10-19,7.5,7.5,7.5,7.5,7.5,0.0
2023-10-20,7.5,7.5,7.5,7.5,7.5,500.0
2023-10-23,7.5,7.5,7.5,7.5,7.5,0.0
2023-10-24,7.5,7.5,7.5,7.5,7.5,0.0
2023-10-25,7.5,7.5,7.5,7.5,7.5,0.0
2023-10-26,7.5,7.5,7.5,7.5,7.5,0.0
2023-10-27,7.5,7.5,7.5,7.5,7.5,0.0
2023-10-30,7.2,6.4,6.4,7.2,7.2,1200.0
2023-10-31,7.1,7.1,7.1,7.1,7.1,0.0
2023-11-01,7.1,7.1,7.1,7.1,7.1,0.0
2023-11-02,7.1,7.1,7.1,7.1,7.1,0.0
