Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,16.4,16.4,16.4,16.4,9.643,100.0
2018-01-03,16.3,16.3,16.3,16.3,9.584,300.0
2018-01-04,16.3,16.3,16.3,16.3,9.584,0.0
2018-01-05,17.5,17.5,17.5,17.5,10.29,3500.0
2018-01-08,18.0,17.8,17.8,18.0,10.584,14300.0
2018-01-09,18.2,17.8,17.8,18.0,10.584,15600.0
2018-01-10,18.5,18.3,18.3,18.5,10.878,10000.0
2018-01-11,18.0,18.0,18.0,18.0,10.584,3000.0
2018-01-12,17.5,17.5,17.5,17.5,10.29,100.0
2018-01-15,17.0,17.0,17.0,17.0,9.996,14400.0
2018-01-16,17.5,17.5,17.5,17.5,10.29,600.0
2018-01-17,17.5,17.5,17.5,17.5,10.29,0.0
2018-01-18,19.0,17.2,18.2,17.3,10.172,13500.0
2018-01-19,20.0,18.5,18.5,20.0,11.76,39500.0
2018-01-22,21.8,20.0,21.3,21.8,12.818,54800.0
2018-01-23,20.0,19.6,20.0,19.6,11.524,15600.0
2018-01-24,19.7,19.5,19.7,19.5,11.466,2100.0
2018-01-25,21.2,17.1,20.6,17.1,10.054,25600.0
2018-01-26,20.9,17.6,20.0,17.6,10.348,6700.0
2018-01-29,18.1,18.1,18.1,18.1,10.642,100.0
2018-01-30,20.8,18.2,20.5,20.5,12.054,31800.0
2018-01-31,21.9,18.3,20.0,21.5,12.642,80800.0
2018-02-01,21.8,21.8,21.8,21.8,12.818,100.0
2018-02-02,20.1,20.1,20.1,20.1,11.818,5000.0
2018-02-05,20.5,19.1,20.1,19.1,11.23,26100.0
2018-02-06,21.4,18.7,20.0,19.1,11.23,36300.0
2018-02-07,19.5,19.5,19.5,19.5,11.466,0.0
2018-02-08,21.8,19.2,21.5,19.2,11.289,2400.0
2018-02-09,19.6,19.6,19.6,19.6,11.524,0.0
2018-02-12,19.6,19.6,19.6,19.6,11.524,0.0
2018-02-13,19.6,19.6,19.6,19.6,11.524,0.0
2018-02-21,19.6,19.6,19.6,19.6,11.524,0.0
2018-02-22,22.2,18.2,20.5,18.7,10.995,106900.0
2018-02-23,19.3,19.3,19.3,19.3,11.348,0.0
2018-02-26,19.3,18.1,18.1,19.2,11.289,13300.0
2018-02-27,18.3,18.3,18.3,18.3,10.76,0.0
2018-02-28,19.4,19.4,19.4,19.4,11.407,100.0
2018-03-01,20.4,20.1,20.4,20.1,11.818,1900.0
2018-03-02,20.0,20.0,20.0,20.0,11.76,5000.0
2018-03-05,19.5,19.5,19.5,19.5,11.466,19800.0
2018-03-06,20.0,20.0,20.0,20.0,11.76,1000.0
2018-03-07,20.0,20.0,20.0,20.0,11.76,0.0
2018-03-08,20.0,20.0,20.0,20.0,11.76,3000.0
2018-03-09,20.0,20.0,20.0,20.0,11.76,0.0
2018-03-12,20.0,20.0,20.0,20.0,11.76,0.0
2018-03-13,20.0,20.0,20.0,20.0,11.76,0.0
2018-03-14,22.0,19.3,20.0,19.3,11.348,34100.0
2018-03-15,20.2,20.2,20.2,20.2,11.877,0.0
2018-03-16,22.3,19.7,22.0,19.7,11.583,27500.0
2018-03-19,19.8,19.8,19.8,19.8,11.642,5000.0
2018-03-20,20.0,20.0,20.0,20.0,11.76,400.0
2018-03-21,22.0,20.2,21.7,20.2,11.877,25500.0
2018-03-22,20.6,20.6,20.6,20.6,12.112,0.0
2018-03-23,20.6,20.6,20.6,20.6,12.112,0.0
2018-03-26,19.4,19.4,19.4,19.4,11.407,5000.0
2018-03-27,19.4,19.4,19.4,19.4,11.407,0.0
2018-03-28,19.4,19.4,19.4,19.4,11.407,0.0
2018-03-29,16.5,16.5,16.5,16.5,9.702,10000.0
2018-03-30,18.9,18.9,18.9,18.9,11.113,100.0
2018-04-02,18.9,18.9,18.9,18.9,11.113,0.0
2018-04-03,19.0,16.3,16.3,19.0,11.172,12000.0
2018-04-04,16.8,16.8,16.8,16.8,9.878,0.0
2018-04-05,19.3,19.3,19.3,19.3,11.348,600.0
2018-04-06,19.3,19.3,19.3,19.3,11.348,0.0
2018-04-09,19.3,19.3,19.3,19.3,11.348,0.0
2018-04-10,19.3,19.3,19.3,19.3,11.348,0.0
2018-04-11,20.8,19.1,20.0,19.1,11.23,19900.0
2018-04-12,21.2,18.7,21.2,19.0,11.172,30500.0
2018-04-13,21.0,21.0,21.0,21.0,12.348,500.0
2018-04-16,21.0,21.0,21.0,21.0,12.348,0.0
2018-04-17,18.2,18.1,18.1,18.2,10.701,10000.0
2018-04-18,20.1,19.0,20.0,19.0,11.172,4600.0
2018-04-19,19.7,19.7,19.7,19.7,11.583,0.0
2018-04-20,20.0,20.0,20.0,20.0,11.76,3000.0
2018-04-23,20.0,20.0,20.0,20.0,11.76,0.0
2018-04-24,20.0,20.0,20.0,20.0,11.76,1400.0
2018-04-26,17.3,17.3,17.3,17.3,10.172,10000.0
2018-04-27,19.8,18.1,19.8,18.1,10.642,16500.0
2018-05-02,18.3,18.3,18.3,18.3,10.76,0.0
2018-05-03,19.0,19.0,19.0,19.0,11.172,1500.0
2018-05-04,16.3,16.3,16.3,16.3,9.584,9400.0
2018-05-07,16.3,16.3,16.3,16.3,9.584,0.0
2018-05-08,16.3,16.3,16.3,16.3,9.584,0.0
2018-05-09,16.3,16.3,16.3,16.3,9.584,0.0
2018-05-10,16.3,16.3,16.3,16.3,9.584,0.0
2018-05-11,16.3,16.3,16.3,16.3,9.584,0.0
2018-05-14,16.3,16.3,16.3,16.3,9.584,0.0
2018-05-15,16.3,16.3,16.3,16.3,9.584,0.0
2018-05-16,16.3,16.3,16.3,16.3,9.584,0.0
2018-05-17,16.3,16.3,16.3,16.3,9.584,0.0
2018-05-18,16.3,16.3,16.3,16.3,9.584,0.0
2018-05-21,16.3,16.3,16.3,16.3,9.584,0.0
2018-05-22,18.7,18.7,18.7,18.7,10.995,100.0
2018-05-23,20.5,20.5,20.5,20.5,12.054,500.0
2018-05-24,20.5,20.5,20.5,20.5,12.054,0.0
2018-05-25,17.5,17.5,17.5,17.5,10.29,100.0
2018-05-28,17.5,17.5,17.5,17.5,10.29,0.0
2018-05-29,15.2,15.2,15.2,15.2,8.937,100.0
2018-05-30,15.2,15.2,15.2,15.2,8.937,0.0
2018-05-31,15.2,15.2,15.2,15.2,8.937,0.0
2018-06-01,17.4,17.4,17.4,17.4,10.231,100.0
2018-06-04,18.2,17.4,17.4,18.2,11.711,1200.0
2018-06-05,20.7,15.8,15.8,20.7,13.319,200.0
2018-06-06,18.3,18.3,18.3,18.3,11.775,0.0
2018-06-07,18.1,18.1,18.1,18.1,11.646,500.0
2018-06-08,18.1,15.5,15.5,18.1,11.646,200.0
2018-06-11,18.0,18.0,18.0,18.0,11.582,100.0
2018-06-12,15.3,15.3,15.3,15.3,9.845,100.0
2018-06-13,17.5,17.5,17.5,17.5,11.26,100.0
2018-06-14,20.0,14.9,14.9,20.0,12.869,2400.0
2018-06-15,16.4,16.4,16.4,16.4,10.552,100.0
2018-06-18,16.4,16.4,16.4,16.4,10.552,0.0
2018-06-19,18.0,18.0,18.0,18.0,11.582,100.0
2018-06-20,18.0,18.0,18.0,18.0,11.582,300.0
2018-06-21,15.5,15.5,15.5,15.5,9.973,100.0
2018-06-22,15.5,15.5,15.5,15.5,9.973,0.0
2018-06-25,17.0,17.0,17.0,17.0,10.939,100.0
2018-06-26,18.1,14.5,14.5,18.1,11.646,600.0
2018-06-27,19.0,15.5,15.5,19.0,12.225,1200.0
2018-06-28,18.3,18.3,18.3,18.3,11.775,0.0
2018-06-29,18.3,18.3,18.3,18.3,11.775,0.0
2018-07-02,18.3,18.3,18.3,18.3,11.775,0.0
2018-07-03,15.7,15.7,15.7,15.7,10.102,100.0
2018-07-04,18.0,17.0,18.0,18.0,11.582,1400.0
2018-07-05,20.5,20.4,20.4,20.5,13.191,300.0
2018-07-06,19.5,17.4,17.4,19.5,12.547,1100.0
2018-07-09,19.3,19.3,19.3,19.3,12.418,0.0
2018-07-10,19.5,17.0,17.0,19.5,12.547,700.0
2018-07-11,19.1,19.1,19.1,19.1,12.29,0.0
2018-07-12,20.5,20.5,20.5,20.5,13.191,500.0
2018-07-13,21.0,21.0,21.0,21.0,13.512,2000.0
2018-07-16,21.0,21.0,21.0,21.0,13.512,0.0
2018-07-17,19.5,18.2,18.2,19.5,12.547,6100.0
2018-07-18,19.2,19.2,19.2,19.2,12.354,0.0
2018-07-19,19.2,16.5,19.2,16.5,10.617,12600.0
2018-07-20,17.1,17.1,17.1,17.1,11.003,1000.0
2018-07-23,17.1,17.1,17.1,17.1,11.003,0.0
2018-07-24,19.0,19.0,19.0,19.0,12.225,100.0
2018-07-25,16.2,16.2,16.2,16.2,10.424,100.0
2018-07-26,18.6,18.6,18.6,18.6,11.968,100.0
2018-07-27,18.6,18.6,18.6,18.6,11.968,0.0
2018-07-30,18.6,18.6,18.6,18.6,11.968,0.0
2018-07-31,18.6,18.6,18.6,18.6,11.968,0.0
2018-08-01,17.0,17.0,17.0,17.0,10.939,100.0
2018-08-02,17.0,17.0,17.0,17.0,10.939,0.0
2018-08-03,18.5,18.0,18.0,18.5,11.904,2400.0
2018-08-06,20.0,19.9,19.9,20.0,12.869,20600.0
2018-08-07,20.0,20.0,20.0,20.0,12.869,2500.0
2018-08-08,20.0,19.9,19.9,20.0,12.869,8500.0
2018-08-09,20.0,20.0,20.0,20.0,12.869,3200.0
2018-08-10,21.0,20.0,20.0,21.0,13.512,1100.0
2018-08-13,20.1,20.1,20.1,20.1,12.933,0.0
2018-08-14,20.1,20.1,20.1,20.1,12.933,0.0
2018-08-15,20.1,20.1,20.1,20.1,12.933,0.0
2018-08-16,20.1,20.1,20.1,20.1,12.933,0.0
2018-08-17,20.1,20.1,20.1,20.1,12.933,0.0
2018-08-20,20.0,20.0,20.0,20.0,12.869,100.0
2018-08-21,20.0,20.0,20.0,20.0,12.869,0.0
2018-08-22,17.1,17.1,17.1,17.1,11.003,100.0
2018-08-23,17.1,17.1,17.1,17.1,11.003,0.0
2018-08-24,19.5,19.5,19.5,19.5,12.547,500.0
2018-08-27,19.5,19.5,19.5,19.5,12.547,0.0
2018-08-28,19.5,19.5,19.5,19.5,12.547,0.0
2018-08-29,19.5,19.5,19.5,19.5,12.547,0.0
2018-08-30,19.5,19.5,19.5,19.5,12.547,0.0
