Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,2.2,2.0,2.1,2.0,2.0,226100.0
2018-01-03,2.2,2.0,2.1,2.1,2.1,322916.0
2018-01-04,2.2,2.0,2.1,2.1,2.1,116767.0
2018-01-05,2.3,2.1,2.1,2.2,2.2,189000.0
2018-01-08,2.2,2.1,2.1,2.1,2.1,201824.0
2018-01-09,2.2,2.0,2.1,2.1,2.1,196812.0
2018-01-10,2.2,2.0,2.1,2.2,2.2,1173432.0
2018-01-11,2.3,2.1,2.2,2.1,2.1,133416.0
2018-01-12,2.2,2.1,2.1,2.1,2.1,126400.0
2018-01-15,2.2,2.1,2.1,2.1,2.1,367400.0
2018-01-16,2.2,2.0,2.1,2.1,2.1,590400.0
2018-01-17,2.2,2.0,2.1,2.1,2.1,218838.0
2018-01-18,2.1,2.0,2.0,2.1,2.1,65226.0
2018-01-19,2.1,2.0,2.1,2.1,2.1,223410.0
2018-01-22,2.1,2.0,2.0,2.0,2.0,642500.0
2018-01-23,2.1,2.0,2.0,2.0,2.0,193900.0
2018-01-24,2.1,2.0,2.0,2.0,2.0,223500.0
2018-01-25,2.1,2.0,2.0,2.1,2.1,625944.0
2018-01-26,2.1,1.9,2.1,1.9,1.9,173100.0
2018-01-29,2.0,1.8,1.9,1.9,1.9,310700.0
2018-01-30,2.0,1.9,1.9,2.0,2.0,238300.0
2018-01-31,2.0,1.8,2.0,1.9,1.9,131605.0
2018-02-01,2.0,1.8,1.9,1.9,1.9,158350.0
2018-02-02,1.9,1.8,1.9,1.9,1.9,99000.0
2018-02-05,1.9,1.8,1.9,1.8,1.8,237900.0
2018-02-06,1.8,1.7,1.8,1.8,1.8,389466.0
2018-02-07,1.8,1.7,1.7,1.7,1.7,94393.0
2018-02-08,1.8,1.6,1.8,1.7,1.7,154425.0
2018-02-09,1.7,1.6,1.7,1.7,1.7,141310.0
2018-02-12,1.8,1.6,1.6,1.7,1.7,146300.0
2018-02-13,1.8,1.7,1.8,1.8,1.8,32482.0
2018-02-21,1.8,1.7,1.8,1.7,1.7,117825.0
2018-02-22,1.8,1.7,1.7,1.8,1.8,297700.0
2018-02-23,1.9,1.8,1.8,1.9,1.9,196310.0
2018-02-26,2.0,1.8,1.9,1.8,1.8,182000.0
2018-02-27,1.9,1.8,1.9,1.9,1.9,125308.0
2018-02-28,1.9,1.8,1.8,1.8,1.8,60500.0
2018-03-01,1.9,1.8,1.8,1.8,1.8,70300.0
2018-03-02,1.9,1.8,1.8,1.8,1.8,272420.0
2018-03-05,1.9,1.7,1.8,1.9,1.9,542100.0
2018-03-06,1.9,1.8,1.9,1.9,1.9,36400.0
2018-03-07,1.9,1.8,1.9,1.8,1.8,320000.0
2018-03-08,1.9,1.7,1.8,1.8,1.8,534600.0
2018-03-09,1.9,1.7,1.8,1.8,1.8,383011.0
2018-03-12,1.9,1.7,1.8,1.8,1.8,570156.0
2018-03-13,1.9,1.8,1.8,1.9,1.9,1611757.0
2018-03-14,2.0,2.0,2.0,2.0,2.0,147069.0
2018-03-15,2.2,1.8,2.2,1.9,1.9,974136.0
2018-03-16,1.9,1.8,1.9,1.8,1.8,734983.0
2018-03-19,1.9,1.8,1.8,1.8,1.8,208370.0
2018-03-20,1.9,1.7,1.8,1.7,1.7,279215.0
2018-03-21,1.8,1.7,1.8,1.8,1.8,193402.0
2018-03-22,1.8,1.7,1.8,1.8,1.8,82200.0
2018-03-23,1.8,1.7,1.7,1.7,1.7,527907.0
2018-03-26,1.8,1.7,1.7,1.8,1.8,692120.0
2018-03-27,1.9,1.7,1.8,1.8,1.8,355680.0
2018-03-28,1.9,1.8,1.8,1.9,1.9,261000.0
2018-03-29,1.9,1.8,1.8,1.8,1.8,296395.0
2018-03-30,1.8,1.7,1.7,1.7,1.7,31068.0
2018-04-02,1.8,1.6,1.8,1.7,1.7,803033.0
2018-04-03,1.8,1.6,1.7,1.7,1.7,343704.0
2018-04-04,1.8,1.7,1.8,1.7,1.7,41500.0
2018-04-05,1.8,1.7,1.7,1.7,1.7,284546.0
2018-04-06,1.8,1.7,1.7,1.7,1.7,220650.0
2018-04-09,1.8,1.7,1.7,1.7,1.7,280912.0
2018-04-10,1.8,1.6,1.7,1.6,1.6,94406.0
2018-04-11,1.7,1.6,1.6,1.6,1.6,560460.0
2018-04-12,1.7,1.6,1.6,1.7,1.7,316000.0
2018-04-13,1.7,1.6,1.6,1.6,1.6,398222.0
2018-04-16,1.6,1.5,1.6,1.6,1.6,174719.0
2018-04-17,1.6,1.5,1.6,1.5,1.5,41400.0
2018-04-18,1.6,1.5,1.5,1.6,1.6,315220.0
2018-04-19,1.7,1.6,1.7,1.7,1.7,156480.0
2018-04-20,1.7,1.6,1.6,1.6,1.6,64287.0
2018-04-23,1.7,1.5,1.6,1.5,1.5,153400.0
2018-04-24,1.6,1.5,1.5,1.6,1.6,197000.0
