Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,19.35,18.7,19.2,19.2,12.325,299260.0
2018-01-03,19.2,18.8,19.0,19.0,12.196,209230.0
2018-01-04,19.3,18.2,18.5,19.0,12.196,324290.0
2018-01-05,19.35,18.6,19.1,18.6,11.94,270640.0
2018-01-08,19.3,18.5,18.5,19.3,12.389,526680.0
2018-01-09,19.5,19.1,19.4,19.4,12.453,519130.0
2018-01-10,20.1,19.0,19.5,19.9,12.774,589120.0
2018-01-11,20.1,19.6,19.9,19.7,12.646,512590.0
2018-01-12,19.95,18.8,19.7,19.4,12.453,493600.0
2018-01-15,19.35,18.75,19.0,18.9,12.132,327930.0
2018-01-16,19.1,18.6,18.9,18.9,12.132,205740.0
2018-01-17,19.0,18.3,18.8,18.3,11.747,159230.0
2018-01-18,18.6,17.2,18.1,18.2,11.683,279550.0
2018-01-19,18.35,17.0,18.2,17.0,10.913,222990.0
2018-01-22,18.15,16.5,16.5,18.15,11.651,524120.0
2018-01-25,19.4,18.6,19.4,18.6,11.94,434850.0
2018-01-26,18.9,18.1,18.6,18.2,11.683,205350.0
2018-01-29,18.2,17.0,18.0,17.1,10.977,131010.0
2018-01-30,17.3,16.6,17.0,17.0,10.913,133950.0
2018-01-31,17.0,16.45,16.8,16.45,10.559,297430.0
2018-02-01,17.4,16.45,16.45,17.1,10.977,471430.0
2018-02-02,17.4,17.0,17.25,17.3,11.105,272830.0
2018-02-05,17.3,16.8,17.3,17.0,10.913,235400.0
2018-02-06,16.7,15.85,16.7,16.2,10.399,438570.0
2018-02-07,16.95,15.9,16.5,16.3,10.463,245320.0
2018-02-08,16.5,15.9,16.3,16.2,10.399,482820.0
2018-02-09,16.0,15.2,15.2,16.0,10.27,204730.0
2018-02-12,16.2,15.55,16.0,15.8,10.143,86940.0
2018-02-13,16.9,15.6,15.7,16.9,10.848,79470.0
2018-02-21,17.7,16.9,16.9,17.0,10.913,200990.0
2018-02-22,17.25,16.65,16.65,17.0,10.913,82430.0
2018-02-23,17.0,16.5,17.0,16.85,10.817,194280.0
2018-02-26,17.0,16.65,17.0,16.65,10.688,43550.0
2018-02-27,17.7,16.4,16.4,17.7,11.362,276610.0
2018-02-28,18.9,17.7,17.8,18.9,12.132,617440.0
2018-03-01,20.2,19.45,19.45,20.2,12.966,902140.0
2018-03-02,21.4,20.2,20.8,21.1,13.544,785990.0
2018-03-05,21.1,19.95,20.8,19.95,12.806,819620.0
2018-03-06,20.5,19.0,20.0,20.5,13.159,362680.0
2018-03-07,20.5,19.55,20.5,19.7,12.646,435310.0
2018-03-08,19.85,19.15,19.4,19.7,12.646,174810.0
2018-03-09,20.2,19.0,19.7,19.0,12.196,359860.0
2018-03-12,19.5,18.2,19.0,18.5,11.876,276260.0
2018-03-13,19.5,18.4,18.4,19.05,12.229,1032990.0
2018-03-14,19.35,18.55,19.05,18.55,11.907,577950.0
2018-03-15,18.85,18.4,18.5,18.7,12.004,438860.0
2018-03-16,18.8,18.4,18.7,18.4,11.811,411440.0
2018-03-19,18.6,17.7,18.3,18.5,11.876,722240.0
2018-03-20,18.85,18.4,18.5,18.4,11.811,490430.0
2018-03-21,19.65,18.45,18.45,19.65,12.614,1850610.0
2018-03-22,20.3,19.45,19.9,19.6,12.581,971210.0
2018-03-23,19.2,18.3,19.2,18.75,12.036,444030.0
2018-03-26,18.85,18.3,18.75,18.6,11.94,620820.0
2018-03-27,19.7,18.6,18.8,19.0,12.196,1365240.0
2018-03-28,19.45,18.35,19.0,18.35,11.779,1191310.0
2018-03-29,19.0,18.35,18.7,18.7,12.004,868060.0
2018-03-30,19.0,18.5,18.8,18.7,12.004,760260.0
2018-04-02,19.15,18.7,18.75,19.0,12.196,1420090.0
2018-04-03,19.15,18.6,19.0,18.9,12.132,359980.0
2018-04-04,19.0,18.6,18.95,18.8,12.068,915340.0
2018-04-05,19.85,18.95,19.0,19.8,12.71,1810860.0
2018-04-06,20.0,19.5,20.0,19.55,12.55,691050.0
2018-04-09,20.0,19.2,20.0,19.5,12.517,663290.0
2018-04-10,19.3,18.35,19.3,18.35,11.779,622150.0
2018-04-11,18.65,17.25,18.35,17.3,11.105,563730.0
2018-04-12,18.0,17.05,17.1,17.3,11.105,259500.0
2018-04-13,17.75,17.05,17.3,17.5,11.233,362230.0
2018-04-16,18.0,17.5,17.9,17.65,11.33,138090.0
2018-04-17,18.05,17.6,17.8,17.65,11.33,453310.0
2018-04-18,17.95,17.5,17.9,17.65,11.33,717410.0
2018-04-19,17.75,16.9,17.3,17.0,10.913,289680.0
2018-04-20,17.25,16.7,17.0,17.2,11.041,199900.0
2018-04-23,17.35,16.2,17.0,16.2,10.399,146830.0
2018-04-24,16.45,15.75,16.2,16.1,10.335,182140.0
2018-04-26,16.45,15.7,16.1,16.4,10.528,335920.0
2018-04-27,16.85,16.05,16.3,16.85,10.817,179750.0
2018-05-02,16.95,16.55,16.9,16.8,10.784,150420.0
2018-05-03,17.9,16.25,16.4,17.9,11.491,270000.0
2018-05-04,18.7,17.6,18.3,18.7,12.004,480960.0
2018-05-07,18.7,17.5,18.7,18.7,12.004,350660.0
2018-05-08,18.7,18.2,18.7,18.5,11.876,315460.0
2018-05-09,18.5,18.1,18.45,18.3,11.747,372700.0
2018-05-10,18.4,17.7,18.4,18.4,11.811,317410.0
2018-05-11,18.4,17.9,18.4,18.4,11.811,395810.0
2018-05-14,18.8,18.2,18.35,18.8,12.068,373030.0
2018-05-15,19.0,18.8,19.0,18.85,12.1,404860.0
2018-05-16,18.8,18.4,18.8,18.5,11.876,112840.0
2018-05-17,18.75,17.25,18.5,18.4,11.811,314260.0
2018-05-18,18.5,17.85,18.4,18.4,11.811,138920.0
2018-05-21,18.5,17.8,18.25,18.4,11.811,114450.0
2018-05-22,18.35,17.5,18.3,18.2,11.683,141900.0
2018-05-23,18.2,17.65,18.2,18.0,11.555,39350.0
2018-05-24,18.0,17.5,18.0,17.95,11.522,125630.0
2018-05-25,18.1,17.75,18.0,18.0,11.555,168340.0
2018-05-28,17.9,16.8,17.9,16.8,10.784,70140.0
2018-05-29,17.05,16.5,16.8,17.0,10.913,71800.0
2018-05-30,17.0,16.65,16.95,17.0,10.913,102130.0
2018-05-31,17.2,16.8,17.0,16.95,10.88,109190.0
2018-06-01,17.0,16.6,16.9,16.9,10.848,168230.0
