Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,51.5,50.5,50.5,51.5,26.729,2420.0
2018-01-03,55.0,53.0,53.0,54.0,28.027,1730.0
2018-01-04,57.5,53.9,57.5,54.0,28.027,1110.0
2018-01-05,52.0,51.1,51.1,52.0,26.989,750.0
2018-01-08,50.0,49.0,50.0,49.0,26.45,1000.0
2018-01-09,51.0,51.0,51.0,51.0,27.53,2500.0
2018-01-10,51.2,50.9,51.0,51.0,27.53,2090.0
2018-01-11,51.0,51.0,51.0,51.0,27.53,0.0
2018-01-12,54.0,54.0,54.0,54.0,29.149,1160.0
2018-01-15,52.8,52.5,52.5,52.5,28.339,1500.0
2018-01-16,53.0,51.0,53.0,53.0,28.609,440.0
2018-01-17,53.0,52.0,53.0,52.0,28.069,510.0
2018-01-18,53.0,52.0,52.0,53.0,28.609,2230.0
2018-01-19,52.8,52.8,52.8,52.8,28.501,980.0
2018-01-22,53.0,52.3,53.0,52.3,28.231,190.0
2018-01-25,53.0,50.0,51.1,52.0,28.069,3570.0
2018-01-26,52.5,51.1,51.1,52.5,28.339,2220.0
2018-01-29,51.5,51.0,51.5,51.0,27.53,1130.0
2018-01-30,51.0,51.0,51.0,51.0,27.53,3830.0
2018-01-31,52.0,51.0,51.0,51.3,27.692,800.0
2018-02-01,51.6,51.0,51.6,51.0,27.53,1280.0
2018-02-02,52.0,51.0,51.0,52.0,28.069,3050.0
2018-02-05,52.0,51.1,52.0,51.1,27.584,1070.0
2018-02-06,51.0,51.0,51.0,51.0,27.53,1080.0
2018-02-07,51.0,51.0,51.0,51.0,27.53,1000.0
2018-02-08,51.0,51.0,51.0,51.0,27.53,1080.0
2018-02-09,51.5,51.0,51.0,51.5,27.8,3900.0
2018-02-12,51.7,51.5,51.5,51.7,27.907,900.0
2018-02-13,51.8,51.8,51.8,51.8,27.961,300.0
2018-02-21,51.8,51.8,51.8,51.8,27.961,0.0
2018-02-22,52.2,52.0,52.2,52.2,28.177,1960.0
2018-02-23,53.0,53.0,53.0,53.0,28.609,740.0
2018-02-26,53.5,53.0,53.0,53.5,28.879,840.0
2018-02-27,54.1,53.1,53.9,53.1,28.663,530.0
2018-02-28,53.5,53.5,53.5,53.5,28.879,10.0
2018-03-01,53.5,53.5,53.5,53.5,28.879,0.0
2018-03-02,54.5,54.0,54.0,54.5,29.419,320.0
2018-03-05,55.5,53.8,54.5,53.8,29.041,1080.0
2018-03-06,53.9,53.8,53.9,53.8,29.041,1070.0
2018-03-07,54.5,53.8,54.5,53.8,29.041,210.0
2018-03-08,54.5,53.8,53.8,54.4,29.365,4270.0
2018-03-09,54.4,54.4,54.4,54.4,29.365,230.0
2018-03-12,54.4,54.4,54.4,54.4,29.365,0.0
2018-03-13,54.4,54.4,54.4,54.4,29.365,0.0
2018-03-14,54.4,54.4,54.4,54.4,29.365,0.0
2018-03-15,54.4,54.4,54.4,54.4,29.365,0.0
2018-03-16,54.4,54.4,54.4,54.4,29.365,60.0
2018-03-19,54.4,54.0,54.0,54.4,29.365,850.0
2018-03-20,55.0,54.5,55.0,54.5,29.419,840.0
2018-03-21,55.0,54.5,55.0,54.5,29.419,180.0
2018-03-22,55.0,54.6,55.0,54.6,29.473,1940.0
2018-03-23,54.6,54.6,54.6,54.6,29.473,0.0
2018-03-26,57.0,54.6,54.6,57.0,30.768,950.0
2018-03-27,55.0,55.0,55.0,55.0,29.689,10.0
2018-03-28,55.0,55.0,55.0,55.0,29.689,0.0
2018-03-29,55.5,55.5,55.5,55.5,29.959,500.0
2018-03-30,57.0,55.8,57.0,55.8,30.121,60.0
2018-04-02,54.0,54.0,54.0,54.0,29.149,500.0
2018-04-03,54.0,54.0,54.0,54.0,29.149,10.0
2018-04-04,54.0,54.0,54.0,54.0,29.149,0.0
2018-04-05,54.0,54.0,54.0,54.0,29.149,0.0
2018-04-06,56.6,56.6,56.6,56.6,30.552,10.0
2018-04-09,54.3,54.3,54.3,54.3,29.311,340.0
2018-04-10,55.0,55.0,55.0,55.0,29.689,120.0
2018-04-11,56.0,54.0,56.0,55.0,29.689,4510.0
2018-04-12,55.0,54.5,55.0,54.5,29.419,220.0
2018-04-13,54.5,54.5,54.5,54.5,29.419,0.0
2018-04-16,54.5,54.5,54.5,54.5,29.419,0.0
2018-04-17,53.0,53.0,53.0,53.0,28.609,110.0
2018-04-18,53.3,53.0,53.0,53.3,28.771,230.0
2018-04-19,53.2,53.1,53.2,53.1,28.663,460.0
2018-04-20,51.0,51.0,51.0,51.0,27.53,300.0
2018-04-23,52.2,51.0,52.2,51.0,27.53,620.0
2018-04-24,51.5,51.0,51.5,51.5,27.8,590.0
2018-04-26,53.3,52.0,52.0,53.2,28.717,1600.0
2018-04-27,54.0,53.7,54.0,53.7,28.987,1000.0
2018-05-02,54.5,54.0,54.5,54.0,29.149,3600.0
2018-05-03,54.0,54.0,54.0,54.0,29.149,500.0
2018-05-04,54.5,54.5,54.5,54.5,29.419,30.0
2018-05-07,54.5,54.5,54.5,54.5,29.419,0.0
2018-05-08,54.5,54.5,54.5,54.5,29.419,200.0
2018-05-09,54.5,54.0,54.5,54.3,29.311,2080.0
2018-05-10,54.5,54.0,54.5,54.0,29.149,540.0
2018-05-11,54.1,53.0,54.1,53.0,28.609,1970.0
2018-05-14,50.0,50.0,53.0,50.0,28.609,0.0
2018-05-15,53.5,53.0,53.5,53.0,30.326,150.0
2018-05-16,53.0,53.0,53.0,53.0,30.326,0.0
2018-05-17,53.0,53.0,53.0,53.0,30.326,20.0
2018-05-18,53.0,53.0,53.0,53.0,30.326,0.0
2018-05-21,53.0,52.7,53.0,52.7,30.154,90.0
2018-05-22,51.5,51.0,51.5,51.0,29.181,110.0
2018-05-23,51.5,51.0,51.0,51.0,29.181,330.0
2018-05-24,51.0,51.0,51.0,51.0,29.181,30.0
2018-05-25,51.6,51.0,51.0,51.6,29.525,110.0
2018-05-28,52.0,51.6,51.6,51.6,29.525,2320.0
2018-05-29,52.5,52.0,52.5,52.0,29.753,440.0
2018-05-30,52.0,52.0,52.0,52.0,29.753,0.0
2018-05-31,52.0,52.0,52.0,52.0,29.753,0.0
2018-06-01,52.0,52.0,52.0,52.0,29.753,0.0
2018-06-04,52.5,52.5,52.5,52.5,30.04,220.0
2018-06-05,52.5,52.5,52.5,52.5,30.04,0.0
2018-06-06,54.0,54.0,54.0,54.0,30.898,30.0
2018-06-07,54.0,54.0,54.0,54.0,30.898,0.0
2018-06-08,54.0,54.0,54.0,54.0,30.898,10.0
2018-06-11,53.0,53.0,53.0,53.0,30.326,20.0
2018-06-12,54.0,53.0,53.0,54.0,30.898,500.0
2018-06-13,54.0,54.0,54.0,54.0,30.898,220.0
2018-06-14,54.0,53.0,53.0,53.0,30.326,860.0
2018-06-15,55.0,54.0,54.0,54.0,30.898,1440.0
2018-06-18,54.3,54.1,54.3,54.1,30.955,1040.0
2018-06-19,55.0,50.4,50.4,54.1,30.955,1740.0
2018-06-20,56.0,54.3,56.0,55.0,31.47,980.0
2018-06-21,54.5,54.3,54.5,54.3,31.069,870.0
2018-06-22,54.3,54.3,54.3,54.3,31.069,520.0
2018-06-25,54.3,54.3,54.3,54.3,31.069,0.0
2018-06-26,55.0,55.0,55.0,55.0,31.47,380.0
2018-06-27,55.0,55.0,55.0,55.0,31.47,510.0
2018-06-28,56.0,56.0,56.0,56.0,32.042,500.0
2018-06-29,56.0,56.0,56.0,56.0,32.042,770.0
2018-07-02,56.0,56.0,56.0,56.0,32.042,0.0
2018-07-03,55.0,55.0,55.0,55.0,31.47,40.0
2018-07-04,54.0,54.0,54.0,54.0,30.898,320.0
2018-07-05,54.0,54.0,54.0,54.0,30.898,200.0
2018-07-06,55.0,54.0,55.0,54.0,30.898,510.0
2018-07-09,54.0,54.0,54.0,54.0,30.898,40.0
