Date,High,Low,Open,Close,Adj Close,Volume
2018-01-05,11.9,11.9,11.9,11.9,6.48,100.0
2018-01-08,13.6,13.6,13.6,13.6,7.406,100.0
2018-01-09,13.6,13.6,13.6,13.6,7.406,0.0
2018-01-10,15.6,15.6,15.6,15.6,8.495,100.0
2018-01-11,17.9,17.9,17.9,17.9,9.747,100.0
2018-01-12,20.5,20.5,20.5,20.5,11.163,100.0
2018-01-15,20.5,20.5,20.5,20.5,11.163,0.0
2018-01-16,23.5,23.5,23.5,23.5,12.796,100.0
2018-01-17,27.0,25.9,27.0,25.9,14.103,8200.0
2018-01-18,30.3,25.0,30.3,26.3,14.321,6700.0
2018-01-19,28.9,24.0,25.5,25.0,13.613,27650.0
2018-01-22,26.0,25.0,25.1,26.0,14.158,93750.0
2018-01-23,27.0,25.0,25.1,27.0,14.702,54100.0
2018-01-24,27.0,25.4,25.6,27.0,14.702,67200.0
2018-01-25,27.6,27.4,27.5,27.4,14.92,13900.0
2018-01-26,27.7,27.0,27.6,27.0,14.702,10200.0
2018-01-29,27.2,26.4,27.2,26.5,14.43,4000.0
2018-01-30,28.0,27.5,28.0,27.5,14.975,300.0
2018-01-31,28.0,26.8,28.0,27.5,14.975,1400.0
2018-02-01,27.5,26.9,27.0,26.9,14.648,4400.0
2018-02-02,27.2,27.0,27.2,27.0,14.702,550.0
2018-02-05,27.0,27.0,27.0,27.0,14.702,9300.0
2018-02-06,27.0,25.0,26.0,27.0,14.702,13100.0
2018-02-07,29.9,27.0,29.9,27.0,14.702,1100.0
2018-02-08,28.5,26.0,28.5,26.0,14.158,750.0
2018-02-09,27.4,25.8,27.4,26.5,14.43,2700.0
2018-02-12,27.5,27.0,27.5,27.1,14.757,6300.0
2018-02-13,27.4,27.1,27.1,27.1,14.757,3500.0
2018-02-21,28.5,28.0,28.0,28.0,15.247,2900.0
2018-02-22,32.0,27.2,32.0,27.2,14.811,1700.0
2018-02-23,28.0,28.0,28.0,28.0,15.247,0.0
2018-02-26,29.0,27.9,28.2,27.9,15.192,6100.0
2018-02-27,27.2,27.0,27.1,27.0,14.702,7500.0
2018-02-28,27.5,27.0,27.2,27.0,14.702,12800.0
2018-03-01,31.3,23.3,23.3,31.3,17.044,33800.0
2018-03-02,34.1,31.2,34.0,32.0,17.425,85519.0
2018-03-05,32.7,31.7,32.7,32.6,17.751,22000.0
2018-03-06,34.0,32.1,32.2,32.9,17.915,43300.0
2018-03-07,37.8,33.5,34.4,37.8,20.584,21100.0
2018-03-08,37.0,35.0,35.0,37.0,20.147,4500.0
2018-03-09,39.8,36.0,36.0,37.0,20.147,11835.0
2018-03-12,43.5,40.0,40.0,43.5,23.687,32300.0
2018-03-13,49.7,48.0,49.0,49.7,27.063,19400.0
2018-03-14,55.0,46.3,55.0,48.0,26.137,22710.0
2018-03-15,49.8,47.0,47.0,49.5,26.955,12025.0
2018-03-16,53.0,49.0,51.9,50.5,27.499,26600.0
2018-03-19,58.3,54.9,54.9,55.5,30.222,13110.0
2018-03-20,59.0,55.5,55.5,59.0,32.127,28405.0
2018-03-21,60.5,57.0,58.5,60.5,32.945,7200.0
2018-03-22,68.0,59.3,60.0,67.9,36.974,16000.0
2018-03-23,65.0,63.0,65.0,63.5,34.578,8000.0
2018-03-26,70.0,64.6,64.6,70.0,38.117,4600.0
2018-03-27,79.5,67.0,73.9,79.5,43.29,5705.0
2018-03-28,80.0,73.0,76.7,73.0,39.751,2070.0
2018-03-29,81.5,76.0,76.0,81.5,44.379,3300.0
2018-03-30,85.0,81.8,82.0,83.0,45.196,8250.0
2018-04-02,91.5,82.0,91.5,82.0,44.652,2975.0
2018-04-03,84.5,78.0,84.5,80.9,44.052,3650.0
2018-04-04,82.5,79.1,79.1,82.0,44.652,45850.0
2018-04-05,82.8,81.9,82.1,82.8,45.087,34710.0
2018-04-06,83.0,81.0,82.6,81.0,44.107,31600.0
2018-04-09,80.0,78.0,80.0,78.0,42.473,15400.0
2018-04-10,80.9,78.1,80.5,78.1,42.528,2200.0
2018-04-11,77.0,73.0,77.0,75.0,40.84,8665.0
2018-04-12,72.9,69.0,72.1,70.6,38.444,7500.0
2018-04-13,75.0,64.5,64.5,70.5,38.389,5650.0
2018-04-16,73.5,71.0,71.0,72.5,39.479,9500.0
2018-04-17,77.2,74.0,74.0,77.2,42.038,66200.0
2018-04-18,77.4,77.0,77.0,77.4,42.147,20110.0
2018-04-19,75.0,73.1,75.0,74.9,40.785,1200.0
2018-04-20,75.5,73.0,73.0,75.5,41.112,10100.0
2018-04-23,75.7,73.0,75.2,73.6,40.077,30400.0
2018-04-24,75.1,73.0,74.9,75.1,40.894,34400.0
2018-04-26,76.1,75.0,75.0,76.0,41.385,108300.0
2018-04-27,87.0,77.0,77.0,87.0,47.375,58500.0
2018-05-02,84.5,82.5,82.5,84.5,46.013,2300.0
2018-05-03,84.5,83.0,84.5,83.0,45.196,2500.0
2018-05-04,95.5,85.5,95.5,85.5,46.558,200.0
2018-05-07,95.0,81.0,95.0,85.9,46.775,3300.0
2018-05-08,86.0,79.0,85.5,81.0,44.107,13700.0
2018-05-09,98.0,84.0,85.3,98.0,53.364,21700.0
2018-05-10,104.0,90.5,95.0,104.0,56.631,16910.0
2018-05-11,114.0,93.0,93.1,114.0,62.076,11165.0
2018-05-14,108.5,99.0,101.5,99.0,53.909,1250.0
2018-05-15,95.0,93.0,95.0,94.0,51.186,2800.0
2018-05-16,93.0,92.5,93.0,92.5,50.369,1700.0
2018-05-17,94.0,89.0,94.0,91.0,49.552,9815.0
2018-05-18,99.0,90.3,90.3,99.0,53.909,3300.0
2018-05-21,100.0,95.0,95.0,100.0,54.453,1060.0
2018-05-22,97.0,95.0,97.0,95.0,51.731,3700.0
2018-05-23,95.3,95.3,95.3,95.3,51.894,15.0
2018-05-24,96.0,95.0,95.0,95.0,51.731,700.0
2018-05-25,95.0,92.5,95.0,94.0,51.186,8250.0
2018-05-28,94.0,90.0,94.0,90.0,49.008,14900.0
2018-05-29,91.0,87.5,90.5,90.5,49.28,29621.0
2018-05-30,87.1,86.0,86.2,86.0,46.83,12110.0
2018-05-31,87.0,86.7,86.7,87.0,47.375,2530.0
2018-06-01,91.2,88.6,90.0,91.0,49.552,14000.0
2018-06-04,95.0,90.0,90.0,95.0,51.731,2880.0
2018-06-05,95.5,94.5,95.5,94.5,51.458,970.0
2018-06-06,95.5,95.0,95.0,95.0,51.731,2100.0
2018-06-07,95.0,94.0,94.0,95.0,51.731,6100.0
2018-06-08,97.0,94.8,94.8,97.0,52.819,1310.0
2018-06-11,91.0,91.0,91.0,91.0,49.552,1610.0
2018-06-12,91.0,91.0,91.0,91.0,49.552,0.0
2018-06-13,91.0,91.0,91.0,91.0,49.552,0.0
2018-06-14,91.0,91.0,91.0,91.0,49.552,0.0
2018-06-15,91.0,91.0,91.0,91.0,49.552,100.0
2018-06-18,95.0,89.0,94.0,89.0,48.463,1900.0
2018-06-19,87.5,86.0,87.5,86.0,46.83,6000.0
2018-06-20,87.0,83.0,87.0,83.0,45.196,5200.0
2018-06-21,86.9,85.0,85.0,85.0,46.285,5900.0
2018-06-22,87.8,85.0,85.0,87.0,47.375,5500.0
2018-06-25,85.0,85.0,85.0,85.0,46.285,1000.0
2018-06-26,91.0,84.0,85.0,91.0,49.552,33500.0
2018-06-27,91.1,90.0,90.3,91.1,49.607,7900.0
2018-06-28,87.4,85.0,87.4,85.0,46.285,4700.0
2018-06-29,82.0,79.5,81.5,79.5,43.29,10300.0
2018-07-02,74.2,69.0,74.2,69.0,37.573,12800.0
2018-07-03,61.1,61.0,61.0,61.1,33.271,1500.0
2018-07-04,68.9,68.8,68.9,68.9,37.518,1039.0
2018-07-05,70.0,62.0,70.0,68.0,37.028,2100.0
2018-07-06,62.7,61.5,62.7,62.5,34.033,5200.0
2018-07-09,62.3,54.0,62.3,58.0,31.583,12250.0
2018-07-10,63.4,56.5,63.4,58.0,31.583,9100.0
2018-07-11,63.9,53.6,53.6,61.8,33.652,2500.0
2018-07-12,59.3,55.0,56.5,59.2,32.237,900.0
2018-07-13,60.0,56.0,60.0,56.0,30.494,720.0
2018-07-16,54.0,48.6,52.5,54.0,29.405,25905.0
2018-07-17,57.9,54.0,57.9,54.0,29.405,45700.0
2018-07-18,61.5,51.0,54.0,61.5,33.489,13550.0
2018-07-19,64.9,54.5,64.9,63.0,34.306,3614.0
2018-07-20,68.0,60.4,63.0,68.0,37.028,4200.0
2018-07-23,68.0,64.0,68.0,64.0,34.85,450.0
2018-07-24,67.9,67.9,67.9,67.9,36.974,100.0
2018-07-25,67.9,67.9,67.9,67.9,36.974,0.0
2018-07-26,70.0,58.2,58.2,60.0,32.672,8160.0
2018-07-27,69.5,69.5,69.5,69.5,37.845,100.0
2018-07-30,69.4,59.1,59.1,60.0,32.672,850.0
2018-07-31,61.7,54.7,61.7,60.0,32.672,1409.0
2018-08-01,59.0,59.0,59.0,59.0,32.127,0.0
2018-08-02,66.7,58.0,58.0,66.7,36.32,4900.0
2018-08-03,58.2,57.7,57.7,58.1,31.637,650.0
2018-08-06,61.8,56.5,61.7,56.5,30.766,1300.0
2018-08-07,61.9,61.5,61.9,61.5,33.489,400.0
2018-08-08,61.6,61.6,61.6,61.6,33.543,0.0
2018-08-09,56.6,52.4,54.0,56.0,30.494,6700.0
2018-08-10,56.5,53.0,56.5,55.9,30.439,2000.0
2018-08-13,54.8,51.5,54.8,54.2,29.514,12000.0
2018-08-14,53.9,51.8,51.8,53.7,29.241,32500.0
2018-08-15,58.9,54.0,58.9,54.0,29.405,22200.0
2018-08-16,54.5,52.5,54.5,54.1,29.459,19800.0
2018-08-17,55.8,50.5,55.8,53.2,28.969,13800.0
2018-08-20,53.5,50.0,52.6,50.0,27.226,6420.0
2018-08-21,53.2,50.0,53.2,51.0,27.771,4400.0
2018-08-22,52.6,50.0,52.6,50.1,27.281,2200.0
2018-08-23,52.0,50.4,50.4,51.9,28.261,1050.0
2018-08-24,56.0,52.8,56.0,52.8,28.751,300.0
2018-08-27,53.0,52.0,52.0,52.0,28.316,17500.0
2018-08-28,52.7,52.4,52.4,52.4,28.533,897.0
2018-08-29,53.5,50.0,53.5,52.5,28.588,6559.0
2018-08-30,53.5,51.0,51.0,53.5,29.133,1100.0
2018-08-31,53.3,50.2,53.3,50.2,27.335,1630.0
2018-09-04,52.8,52.8,52.8,52.8,28.751,100.0
2018-09-05,53.0,50.0,52.7,50.1,27.281,500.0
2018-09-06,50.9,49.0,49.0,50.9,27.716,420.0
2018-09-07,50.9,49.0,50.0,49.0,26.682,7100.0
2018-09-10,48.9,48.0,48.8,48.0,26.137,800.0
2018-09-11,48.2,43.0,43.5,43.0,23.415,5110.0
2018-09-12,46.0,37.9,46.0,37.9,20.638,7620.0
2018-09-13,38.8,33.3,34.0,33.7,18.351,24460.0
2018-09-14,37.9,34.2,37.4,36.0,19.603,4116.0
2018-09-17,38.0,33.2,37.9,33.6,18.296,17900.0
2018-09-18,32.7,29.0,32.7,29.3,15.955,19210.0
2018-09-19,29.9,27.0,27.2,27.0,14.702,5800.0
2018-09-20,30.8,23.7,30.0,27.7,15.084,16630.0
2018-09-21,28.0,22.8,23.5,28.0,15.247,4200.0
2018-09-24,29.0,26.7,26.7,29.0,15.792,2329.0
2018-09-25,29.0,27.0,29.0,28.2,15.355,7550.0
2018-09-26,28.0,26.9,28.0,27.0,14.702,8000.0
2018-09-27,28.0,25.8,27.0,27.9,15.192,12450.0
2018-09-28,27.8,27.1,27.1,27.5,14.975,6500.0
2018-10-01,27.3,26.9,27.2,26.9,14.648,16201.0
2018-10-02,27.0,25.9,27.0,27.0,14.702,19900.0
2018-10-03,27.0,24.2,26.0,24.2,13.178,5210.0
2018-10-04,24.6,21.0,24.6,21.0,11.435,42800.0
2018-10-05,22.3,19.2,21.0,21.0,11.435,16880.0
2018-10-08,20.2,20.1,20.2,20.1,10.945,2600.0
2018-10-09,20.2,18.2,20.2,18.2,9.911,10510.0
2018-10-10,19.9,18.0,18.0,19.9,10.836,3100.0
2018-10-11,19.0,16.7,19.0,18.3,9.965,5400.0
2018-10-12,20.0,17.1,17.3,19.9,10.836,1630.0
2018-10-15,19.0,17.6,17.6,19.0,10.346,1010.0
2018-10-16,19.0,18.3,19.0,18.5,10.074,500.0
2018-10-17,19.9,18.2,19.9,19.4,10.564,2400.0
2018-10-18,19.0,16.1,19.0,17.8,9.692,6220.0
2018-10-19,18.6,16.0,18.6,16.5,8.985,7600.0
2018-10-22,17.7,15.0,15.0,16.0,8.713,3600.0
2018-10-23,17.3,16.1,16.9,16.1,8.767,2100.0
2018-10-24,15.9,15.5,15.9,15.5,8.44,2100.0
2018-10-25,16.9,16.0,16.0,16.9,9.203,600.0
2018-10-26,17.1,17.1,17.1,17.1,9.311,100.0
2018-10-29,17.1,17.1,17.1,17.1,9.311,0.0
2018-10-30,16.7,14.6,14.6,16.0,8.713,1500.0
2018-10-31,16.9,14.2,16.9,15.5,8.44,6800.0
2018-11-01,15.5,15.5,15.5,15.5,8.44,56.0
2018-11-02,15.0,15.0,15.0,15.0,8.168,1800.0
2018-11-05,13.5,13.5,13.5,13.5,7.351,300.0
2018-11-06,13.5,13.5,13.5,13.5,7.351,10.0
2018-11-07,15.4,14.4,15.2,15.4,8.386,2800.0
2018-11-08,14.0,13.2,13.2,14.0,7.623,1010.0
2018-11-09,13.9,13.9,13.9,13.9,7.569,0.0
2018-11-12,15.0,11.9,11.9,14.0,7.623,839.0
2018-11-13,12.5,12.1,12.5,12.1,6.589,1100.0
2018-11-14,12.2,12.2,12.2,12.2,6.644,0.0
2018-11-15,12.2,12.2,12.2,12.2,6.644,0.0
2018-11-16,13.7,10.7,10.7,13.7,7.46,1030.0
2018-11-19,11.9,11.9,11.9,11.9,6.48,100.0
2018-11-20,12.6,12.6,12.6,12.6,6.861,300.0
2018-11-21,12.9,12.9,12.9,12.9,7.025,100.0
2018-11-22,12.7,12.7,12.7,12.7,6.915,100.0
2018-11-23,13.9,11.2,11.2,13.9,7.569,900.0
2018-11-26,13.8,13.0,13.0,13.8,7.515,1100.0
2018-11-27,14.5,14.5,14.5,14.5,7.896,145.0
2018-11-28,14.7,12.4,12.4,14.7,8.005,200.0
2018-11-29,14.5,11.8,11.9,14.5,7.896,400.0
2018-11-30,13.5,11.0,12.2,13.5,7.351,900.0
