Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,10.1,9.6,10.1,10.0,9.524,7460.0
2018-01-03,10.0,9.4,9.4,9.6,9.143,10450.0
2018-01-04,10.0,9.99,10.0,10.0,9.524,13310.0
2018-01-05,10.0,10.0,10.0,10.0,9.524,6200.0
2018-01-08,10.0,9.5,9.9,10.0,9.524,12320.0
2018-01-09,10.0,9.31,9.31,9.34,8.895,7130.0
2018-01-10,9.9,8.72,9.9,9.8,9.334,6210.0
2018-01-11,10.0,9.8,9.8,10.0,9.524,3500.0
2018-01-12,10.0,10.0,10.0,10.0,9.524,30.0
2018-01-15,9.9,9.3,9.3,9.9,9.429,4810.0
2018-01-16,9.9,9.9,9.9,9.9,9.429,0.0
2018-01-17,10.0,9.21,9.99,9.7,9.238,26300.0
2018-01-18,9.4,9.03,9.03,9.4,8.953,63800.0
2018-01-19,9.39,8.75,9.0,9.39,8.943,36930.0
2018-01-22,9.39,8.75,9.39,8.75,8.334,15030.0
2018-01-25,9.0,8.45,9.0,8.99,8.562,24190.0
2018-01-26,9.0,8.41,8.41,9.0,8.572,10420.0
2018-01-29,8.9,8.38,8.9,8.9,8.476,2170.0
2018-01-30,8.85,8.35,8.35,8.36,7.962,6200.0
2018-01-31,8.9,7.78,8.9,8.9,8.476,540.0
2018-02-01,9.0,8.8,8.98,9.0,8.572,4200.0
2018-02-02,9.1,8.9,9.0,9.0,8.572,4600.0
2018-02-05,9.0,9.0,9.0,9.0,8.572,0.0
2018-02-06,8.37,8.37,8.37,8.37,7.972,10.0
2018-02-07,8.94,8.8,8.9,8.9,8.476,2800.0
2018-02-08,8.9,8.9,8.9,8.9,8.476,0.0
2018-02-09,8.9,8.9,8.9,8.9,8.476,0.0
2018-02-12,9.5,9.5,9.5,9.5,9.048,350.0
2018-02-13,9.3,9.15,9.2,9.3,8.857,16500.0
2018-02-21,9.9,8.66,9.9,9.3,8.857,1790.0
2018-02-22,8.66,8.65,8.66,8.65,8.238,4240.0
