Date,High,Low,Open,Close,Adj Close,Volume
2020-12-31,15.6,15.6,15.6,15.6,15.6,3000.0
2021-01-04,17.9,17.9,17.9,17.9,17.9,2000.0
2021-01-05,20.5,20.5,20.5,20.5,20.5,3000.0
2021-01-06,23.5,23.5,23.5,23.5,23.5,100.0
2021-01-07,27.0,20.0,20.0,27.0,27.0,200.0
2021-01-08,23.5,23.5,23.5,23.5,23.5,0.0
2021-01-11,23.5,23.5,23.5,23.5,23.5,0.0
2021-01-12,23.5,23.5,23.5,23.5,23.5,0.0
2021-01-13,23.5,23.5,23.5,23.5,23.5,0.0
2021-01-14,23.5,23.5,23.5,23.5,23.5,0.0
2021-01-15,23.5,23.5,23.5,23.5,23.5,0.0
2021-01-18,23.5,23.5,23.5,23.5,23.5,0.0
2021-01-19,23.5,23.5,23.5,23.5,23.5,0.0
2021-01-20,23.5,23.5,23.5,23.5,23.5,100.0
2021-01-21,23.5,23.5,23.5,23.5,23.5,0.0
2021-01-22,23.5,23.5,23.5,23.5,23.5,0.0
2021-01-25,23.5,23.5,23.5,23.5,23.5,0.0
2021-01-26,23.5,23.5,23.5,23.5,23.5,0.0
2021-01-27,21.0,21.0,21.0,21.0,21.0,100.0
2021-01-28,21.0,21.0,21.0,21.0,21.0,0.0
2021-01-29,21.0,21.0,21.0,21.0,21.0,0.0
2021-02-01,21.0,21.0,21.0,21.0,21.0,0.0
2021-02-02,21.0,21.0,21.0,21.0,21.0,0.0
2021-02-03,21.0,21.0,21.0,21.0,21.0,0.0
2021-02-04,21.0,21.0,21.0,21.0,21.0,0.0
2021-02-05,21.0,21.0,21.0,21.0,21.0,0.0
2021-02-08,21.0,21.0,21.0,21.0,21.0,0.0
2021-02-09,21.0,21.0,21.0,21.0,21.0,0.0
2021-02-17,21.0,21.0,21.0,21.0,21.0,0.0
2021-02-18,21.0,21.0,21.0,21.0,21.0,0.0
2021-02-19,21.0,21.0,21.0,21.0,21.0,0.0
2021-02-22,21.0,21.0,21.0,21.0,21.0,0.0
2021-02-23,21.0,21.0,21.0,21.0,21.0,0.0
2021-02-24,21.0,21.0,21.0,21.0,21.0,2.0
2021-02-25,21.0,21.0,21.0,21.0,21.0,12.0
2021-02-26,21.0,21.0,21.0,21.0,21.0,0.0
2021-03-01,21.0,21.0,21.0,21.0,21.0,1.0
2021-03-02,21.0,21.0,21.0,21.0,21.0,100.0
2021-03-03,21.0,21.0,21.0,21.0,21.0,0.0
2021-03-04,24.1,24.1,24.1,24.1,24.1,100.0
2021-03-05,24.1,24.1,24.1,24.1,24.1,0.0
2021-03-08,24.1,24.1,24.1,24.1,24.1,0.0
2021-03-09,24.1,24.1,24.1,24.1,24.1,0.0
2021-03-10,27.5,27.5,27.5,27.5,27.5,100.0
2021-03-11,27.5,27.5,27.5,27.5,27.5,0.0
2021-03-12,27.5,23.4,23.4,27.5,27.5,200.0
2021-03-15,25.5,25.5,25.5,25.5,25.5,0.0
2021-03-16,25.5,25.5,25.5,25.5,25.5,0.0
