Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,22.15,21.8,22.0,22.15,12.687,5968230.0
2018-01-03,22.35,21.75,22.15,22.1,12.659,4493570.0
2018-01-04,22.85,22.15,22.2,22.35,12.802,5395680.0
2018-01-05,22.35,21.65,22.0,21.75,12.458,8393430.0
2018-01-08,23.25,21.55,21.8,23.25,13.318,5311910.0
2018-01-09,24.0,22.7,23.45,23.6,13.518,5174950.0
2018-01-10,24.25,23.4,23.6,24.0,13.747,6545720.0
2018-01-11,24.5,23.4,23.8,24.5,14.034,5958890.0
2018-01-12,24.75,23.9,24.5,24.15,13.833,3841190.0
2018-01-15,25.8,24.1,24.15,25.8,14.778,5228390.0
2018-01-16,26.65,25.45,25.45,26.0,14.893,5401340.0
2018-01-17,26.35,24.6,26.3,25.0,14.32,5471640.0
2018-01-18,26.0,24.25,24.65,26.0,14.893,7917320.0
2018-01-19,27.75,25.8,26.0,27.5,15.752,7336480.0
2018-01-22,27.85,27.0,27.5,27.7,15.866,4942720.0
2018-01-25,29.35,27.2,27.9,29.0,16.611,7180320.0
2018-01-26,29.3,28.2,29.0,28.7,16.439,3570290.0
2018-01-29,29.05,28.3,28.7,28.5,16.325,3175750.0
2018-01-30,30.45,27.85,28.2,30.45,17.442,6332110.0
2018-01-31,32.1,30.5,30.95,30.5,17.47,2840980.0
2018-02-01,31.1,29.0,30.5,29.5,16.898,3042040.0
2018-02-02,29.75,28.8,29.5,29.75,17.041,2018170.0
2018-02-05,29.1,27.7,29.1,27.7,15.866,4335850.0
2018-02-06,27.7,25.8,25.8,26.7,15.294,6611920.0
2018-02-07,28.4,26.8,28.4,28.0,16.038,2520670.0
2018-02-08,29.4,27.6,27.6,28.5,16.325,3277360.0
2018-02-09,28.6,26.8,26.9,28.2,16.153,3142580.0
2018-02-12,30.0,28.6,28.9,30.0,17.184,2145830.0
2018-02-13,31.1,30.4,30.9,30.6,17.528,2275020.0
2018-02-21,32.1,30.85,30.85,31.45,18.014,2659490.0
2018-02-22,32.6,30.8,30.8,31.9,18.272,4391400.0
2018-02-23,33.5,31.9,32.1,33.45,19.16,3876300.0
2018-02-26,34.1,32.4,34.0,32.5,18.616,4779870.0
2018-02-27,32.9,31.7,32.7,32.3,18.501,3726030.0
2018-02-28,33.45,31.65,31.8,33.3,19.074,3578320.0
2018-03-01,33.95,32.5,33.0,33.0,18.902,2660470.0
2018-03-02,35.3,32.5,32.6,35.3,20.22,6665070.0
2018-03-05,36.75,35.5,35.8,35.9,20.563,6315160.0
2018-03-06,37.2,35.2,35.9,37.0,21.193,3680000.0
2018-03-07,37.1,36.3,36.7,36.6,20.964,3888230.0
2018-03-08,37.15,36.1,36.2,36.9,21.136,3241230.0
2018-03-09,37.2,36.0,37.1,36.0,20.621,2168300.0
2018-03-12,36.5,34.6,36.0,34.7,19.876,4056870.0
2018-03-13,36.5,34.15,34.2,36.5,20.907,2394680.0
2018-03-14,37.1,36.15,36.5,36.15,20.707,1585240.0
2018-03-15,36.3,35.5,35.5,36.3,20.793,1555890.0
2018-03-16,36.45,35.75,36.2,35.9,20.563,2784000.0
2018-03-19,38.4,36.2,36.5,38.4,21.995,6653820.0
2018-03-20,39.2,38.0,38.2,38.4,21.995,2067540.0
2018-03-21,38.7,37.9,38.6,38.2,21.881,2587760.0
2018-03-22,38.75,38.0,38.15,38.2,21.881,2981900.0
2018-03-23,37.8,36.6,36.7,36.8,21.079,4755760.0
2018-03-26,38.35,36.55,36.55,38.35,21.967,2360960.0
2018-03-27,39.0,37.3,38.8,37.5,21.48,2265000.0
2018-03-28,38.0,36.7,37.3,36.7,21.022,2653850.0
2018-03-29,37.1,35.85,37.0,36.6,20.964,3642710.0
2018-03-30,37.2,35.85,36.2,36.4,20.85,3727360.0
2018-04-02,37.7,36.5,36.95,37.4,21.423,2972320.0
2018-04-03,37.7,36.8,37.3,36.8,21.079,2201580.0
2018-04-04,38.3,37.0,37.1,37.5,21.48,6350270.0
2018-04-05,38.1,36.5,37.95,37.95,21.738,5683910.0
2018-04-06,39.4,37.95,38.0,39.2,22.454,5484740.0
2018-04-09,40.2,39.2,39.2,39.8,22.797,4440570.0
2018-04-10,39.9,38.35,39.9,38.6,22.11,4284700.0
2018-04-11,38.7,36.65,38.6,36.7,21.022,5281800.0
2018-04-12,37.3,36.0,36.1,36.8,21.079,2720090.0
2018-04-13,37.35,35.8,37.35,35.8,20.506,3318900.0
2018-04-16,35.7,34.4,35.5,34.4,19.704,3658540.0
2018-04-17,36.3,34.3,34.6,36.3,20.793,3382270.0
2018-04-18,36.95,35.0,36.5,35.15,20.134,2534350.0
2018-04-19,35.95,34.2,35.15,35.5,20.334,3858540.0
2018-04-20,37.0,35.45,35.5,37.0,21.193,3952790.0
2018-04-23,37.5,34.45,37.4,34.45,19.733,2882770.0
2018-04-24,35.1,33.55,34.0,34.5,19.762,2451360.0
2018-04-26,34.7,32.1,34.5,32.1,18.387,3348690.0
2018-04-27,32.9,30.75,31.0,32.9,18.845,2627470.0
2018-05-02,33.3,30.6,33.2,30.6,17.528,2268700.0
2018-05-03,30.8,28.65,30.1,30.8,17.642,3605810.0
2018-05-04,32.0,31.0,31.2,31.5,18.043,2099170.0
2018-05-07,33.7,31.45,31.5,33.7,19.303,2817940.0
2018-05-08,34.35,33.3,33.7,33.7,19.303,3663980.0
2018-05-09,34.65,33.4,33.5,34.4,19.704,3495650.0
2018-05-10,34.65,32.8,34.0,33.0,18.902,1956590.0
2018-05-11,33.8,32.0,32.2,33.5,19.189,1830460.0
2018-05-14,35.0,33.7,33.9,35.0,20.048,2593590.0
2018-05-15,36.2,35.2,35.3,35.95,20.592,3024070.0
2018-05-16,36.35,35.4,35.8,36.3,20.793,3470200.0
2018-05-17,36.3,35.3,36.3,35.8,20.506,2136750.0
2018-05-18,36.0,34.8,35.8,36.0,20.621,2699990.0
2018-05-21,36.5,34.75,36.5,35.2,20.162,2889630.0
2018-05-22,31.2,29.0,31.0,29.0,18.772,5032560.0
2018-05-23,29.85,28.0,28.1,29.85,19.322,1670420.0
