Date,High,Low,Open,Close,Adj Close,Volume
2021-07-15,40.0,26.0,40.0,29.0,18.096,5223200.0
2021-07-16,30.4,27.9,29.0,30.0,18.72,2685467.0
2021-07-19,30.2,28.0,29.8,28.0,17.472,1078833.0
2021-07-20,28.9,26.7,28.0,28.0,17.472,1366200.0
2021-07-21,29.4,28.0,28.0,29.3,18.283,1013750.0
2021-07-22,30.6,28.6,29.3,30.1,18.782,1110440.0
2021-07-23,30.3,28.5,30.0,28.5,17.784,680700.0
2021-07-26,28.6,27.5,28.2,27.5,17.16,478600.0
2021-07-27,29.0,26.9,27.5,26.9,16.785,619600.0
2021-07-28,27.5,24.3,27.0,26.0,16.224,926156.0
2021-07-29,26.9,25.6,26.0,25.8,16.099,819100.0
2021-07-30,26.9,25.8,25.8,26.7,16.66,846300.0
2021-08-02,26.9,25.7,26.9,25.9,16.161,1013900.0
2021-08-03,26.0,24.5,25.8,25.6,15.974,1242600.0
2021-08-04,26.6,25.5,25.7,26.6,16.598,968900.0
2021-08-05,27.3,26.0,26.6,27.2,16.972,669700.0
2021-08-06,28.4,26.6,27.2,27.9,17.409,1231316.0
2021-08-09,29.4,27.5,28.0,29.2,18.22,1111500.0
2021-08-10,29.6,28.4,29.6,29.2,18.22,515209.0
2021-08-11,29.2,28.4,29.2,28.4,17.721,746800.0
2021-08-12,28.8,28.0,28.4,28.4,17.721,321940.0
2021-08-13,28.5,27.9,28.4,28.2,17.596,489600.0
2021-08-16,29.6,28.3,28.6,29.1,18.158,631410.0
2021-08-17,29.4,28.4,29.2,28.4,17.721,472800.0
2021-08-18,29.2,28.0,28.4,28.0,17.472,245054.0
2021-08-19,28.2,27.7,28.0,28.0,17.472,416424.0
2021-08-20,28.4,26.6,28.2,27.0,16.848,955362.0
2021-08-23,27.1,25.1,26.7,25.7,16.036,665806.0
2021-08-24,27.5,25.8,25.8,26.8,16.723,421760.0
2021-08-25,27.3,26.6,27.0,27.2,16.972,356631.0
2021-08-26,28.7,27.5,27.8,28.5,17.784,1064500.0
2021-08-27,28.6,27.5,28.5,28.5,17.784,769617.0
2021-09-06,29.0,27.55,28.5,28.5,17.784,499400.0
2021-09-07,28.6,27.8,28.6,28.0,17.472,231300.0
2021-09-08,28.45,27.8,28.0,28.35,17.69,336000.0
2021-09-09,28.35,28.0,28.3,28.05,17.503,160000.0
2021-09-10,28.3,28.0,28.0,28.1,17.534,293000.0
2021-09-13,28.9,27.95,28.1,28.85,18.002,527700.0
2021-09-14,28.8,28.4,28.8,28.55,17.815,218100.0
2021-09-15,28.6,28.2,28.4,28.55,17.815,224600.0
2021-09-16,28.55,28.0,28.55,28.2,17.596,298200.0
2021-09-17,29.0,28.0,28.2,29.0,18.096,925800.0
2021-09-20,29.3,28.6,29.0,28.7,17.908,269700.0
2021-09-21,28.6,28.0,28.05,28.5,17.784,236200.0
2021-09-22,28.5,28.15,28.2,28.2,17.596,263100.0
2021-09-23,29.0,28.2,28.2,28.8,17.971,1073000.0
2021-09-24,28.95,28.6,28.6,28.9,18.033,148400.0
2021-09-27,29.7,28.5,28.9,29.0,18.096,818700.0
2021-09-28,28.9,28.4,28.9,28.75,17.94,263200.0
2021-09-29,28.65,28.45,28.5,28.45,17.752,154300.0
2021-09-30,28.8,28.35,28.5,28.6,17.846,289700.0
2021-10-01,28.8,28.3,28.6,28.3,17.659,262600.0
2021-10-04,28.5,28.05,28.5,28.4,17.721,151200.0
2021-10-05,28.65,28.15,28.4,28.65,17.877,245900.0
2021-10-06,29.05,28.5,28.7,28.8,17.971,232600.0
2021-10-07,29.0,28.5,28.9,28.9,18.033,324900.0
2021-10-08,29.0,28.5,28.9,28.9,18.033,354300.0
2021-10-11,30.9,29.1,29.25,30.9,19.281,1808100.0
2021-10-12,32.8,31.0,31.6,32.5,20.279,1325500.0
2021-10-13,33.4,31.9,32.1,32.45,20.248,343100.0
2021-10-14,32.25,31.55,31.8,31.55,19.687,1105400.0
2021-10-15,32.0,30.3,31.8,31.2,19.468,1207100.0
2021-10-18,32.1,30.9,31.2,31.0,19.343,545800.0
2021-10-19,31.5,30.5,31.0,31.5,19.655,579700.0
2021-10-20,31.5,29.55,31.5,30.8,19.219,450700.0
2021-10-21,31.1,30.0,31.1,30.3,18.907,328400.0
2021-10-22,30.75,30.05,30.05,30.3,18.907,628400.0
2021-10-25,30.7,29.6,30.3,29.6,18.47,536600.0
2021-10-26,29.3,28.35,29.3,29.0,18.096,799200.0
2021-10-27,30.7,29.05,29.05,30.6,19.094,427200.0
2021-10-28,31.0,30.0,31.0,30.6,19.094,616000.0
2021-10-29,30.45,29.8,30.45,30.4,18.969,872200.0
2021-11-01,30.8,30.1,30.5,30.6,19.094,1538400.0
2021-11-02,31.5,30.15,30.6,31.4,19.593,2067400.0
2021-11-03,31.75,30.3,31.75,30.8,19.219,1287700.0
2021-11-04,31.0,30.25,30.75,30.9,19.281,1179100.0
2021-11-05,31.0,30.2,31.0,30.35,18.938,697700.0
2021-11-08,31.0,30.35,30.35,30.95,19.312,843200.0
2021-11-09,30.9,30.5,30.9,30.6,19.094,1069200.0
2021-11-10,31.4,30.65,30.65,31.1,19.406,1227800.0
2021-11-11,31.3,30.3,31.1,30.5,19.032,1173500.0
2021-11-12,30.8,30.05,30.6,30.5,19.032,470100.0
2021-11-15,31.65,30.4,30.5,31.05,19.375,1291100.0
2021-11-16,31.5,30.7,31.5,30.7,19.156,593700.0
2021-11-17,31.2,30.6,30.6,31.1,19.406,734300.0
2021-11-18,32.5,31.1,31.1,32.15,20.061,1477400.0
2021-11-19,33.5,32.15,32.7,32.75,20.435,2633500.0
2021-11-22,33.0,31.8,32.75,31.9,19.905,698200.0
2021-11-23,32.2,31.5,31.7,31.8,19.843,667300.0
2021-11-24,33.15,31.5,31.8,32.0,19.967,1248300.0
2021-11-25,33.4,32.1,32.9,32.65,20.373,1585900.0
2021-11-26,32.8,31.2,32.65,31.2,19.468,1236300.0
2021-11-29,31.45,30.3,30.4,30.65,19.125,1456600.0
2021-11-30,32.75,30.7,30.7,32.75,20.435,901100.0
2021-12-01,35.0,33.05,35.0,34.0,21.215,2782400.0
2021-12-02,34.0,33.2,33.2,33.9,21.153,689300.0
