Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,12.8,12.5,12.8,12.65,8.934,698790.0
2018-01-03,13.05,12.7,12.7,12.9,9.11,1272090.0
2018-01-04,13.4,12.1,13.0,12.1,8.545,2740800.0
2018-01-05,12.9,12.9,12.9,12.9,9.11,1448850.0
2018-01-08,13.8,13.1,13.2,13.8,9.746,2918590.0
2018-01-09,14.5,13.5,14.3,14.3,10.099,2244530.0
2018-01-10,15.05,14.3,14.3,14.9,10.523,2572140.0
2018-01-11,15.1,14.5,14.9,15.0,10.593,2083800.0
2018-01-12,15.0,14.55,15.0,14.65,10.346,1955710.0
2018-01-15,14.8,14.5,14.6,14.65,10.346,911760.0
2018-01-16,14.8,14.55,14.65,14.65,10.346,1543920.0
2018-01-17,14.7,14.0,14.65,14.0,9.887,1091210.0
2018-01-18,14.8,13.9,14.0,14.8,10.452,946040.0
2018-01-19,15.4,14.9,14.9,15.2,10.735,2366760.0
2018-01-22,15.5,15.1,15.2,15.3,10.805,1133640.0
2018-01-25,15.65,15.2,15.55,15.45,10.911,2489230.0
2018-01-26,15.65,15.25,15.45,15.65,11.052,1067950.0
2018-01-29,16.5,15.7,15.7,16.1,11.37,1639160.0
2018-01-30,16.5,15.8,15.85,16.2,11.441,1160150.0
2018-01-31,16.4,15.2,16.4,15.5,10.946,1352290.0
2018-02-01,15.8,15.2,15.5,15.5,10.946,798510.0
2018-02-02,15.7,15.3,15.45,15.6,11.017,416790.0
2018-02-05,15.5,14.55,15.25,14.55,10.276,867650.0
2018-02-06,15.1,13.55,13.6,14.6,10.311,1533420.0
2018-02-07,15.15,14.6,14.6,15.15,10.699,693700.0
2018-02-08,14.95,14.45,14.8,14.45,10.205,310780.0
2018-02-09,14.7,13.7,13.7,14.7,10.381,570900.0
2018-02-12,15.1,14.7,15.05,15.0,10.593,318670.0
2018-02-13,16.0,14.9,15.0,16.0,11.3,575930.0
2018-02-21,16.15,14.95,15.9,16.05,11.335,1441960.0
2018-02-22,16.6,15.8,15.95,16.2,11.441,1989520.0
2018-02-23,16.2,15.65,15.8,15.8,11.158,968500.0
2018-02-26,16.0,15.1,15.8,15.35,10.841,1360370.0
2018-02-27,15.8,15.3,15.5,15.7,11.088,526590.0
2018-02-28,15.7,15.3,15.5,15.5,10.946,1113530.0
2018-03-01,15.5,15.3,15.4,15.3,10.805,560030.0
2018-03-02,15.3,15.0,15.3,15.05,10.629,795320.0
2018-03-05,15.1,14.55,15.05,14.55,10.276,676610.0
2018-03-06,14.9,14.5,14.9,14.8,10.452,488680.0
2018-03-07,14.9,14.25,14.9,14.25,10.064,607140.0
2018-03-08,14.5,14.2,14.2,14.25,10.064,266650.0
2018-03-09,14.5,14.2,14.25,14.25,10.064,246990.0
2018-03-12,15.2,14.2,14.5,15.2,10.735,1478080.0
2018-03-13,15.2,14.75,15.2,15.0,10.593,571240.0
2018-03-14,15.15,14.85,14.85,15.0,10.593,868830.0
2018-03-15,15.1,14.95,15.0,15.0,10.593,516110.0
2018-03-16,15.5,14.95,15.1,15.0,10.593,1474000.0
2018-03-19,15.2,14.6,15.0,14.7,10.381,551110.0
2018-03-20,14.85,14.5,14.6,14.5,10.24,626090.0
2018-03-21,14.75,14.45,14.75,14.5,10.24,447730.0
2018-03-22,14.8,14.5,14.75,14.8,10.452,355790.0
2018-03-23,14.75,14.3,14.5,14.75,10.417,268390.0
2018-03-26,14.65,14.0,14.5,14.1,9.958,994030.0
2018-03-27,14.4,13.75,14.05,14.0,9.887,1346250.0
2018-03-28,14.0,13.8,13.9,13.9,9.816,545020.0
2018-03-29,14.0,13.85,14.0,14.0,9.887,287610.0
2018-03-30,14.05,13.7,14.0,14.0,9.887,407110.0
2018-04-02,14.1,13.8,14.0,13.9,9.816,401190.0
2018-04-03,14.5,13.9,14.0,14.5,10.24,402740.0
2018-04-04,14.8,14.5,14.6,14.7,10.381,521710.0
2018-04-05,14.85,14.65,14.7,14.7,10.381,452000.0
2018-04-06,15.1,14.7,14.7,14.95,10.558,694130.0
2018-04-09,14.95,14.7,14.9,14.8,10.452,490220.0
2018-04-10,14.9,14.55,14.65,14.7,10.381,455320.0
2018-04-11,14.8,14.5,14.65,14.6,10.311,574000.0
2018-04-12,14.85,14.45,14.45,14.75,10.417,436830.0
2018-04-13,15.0,14.7,14.8,14.85,10.487,945100.0
2018-04-16,15.2,14.7,14.85,15.1,10.664,1059380.0
2018-04-17,16.0,15.25,15.25,15.8,11.158,1771780.0
2018-04-18,16.5,15.9,15.95,16.45,11.617,2388230.0
2018-04-19,16.35,15.5,16.1,15.9,11.229,1074060.0
2018-04-20,16.2,15.2,15.9,16.2,11.441,643750.0
2018-04-23,16.1,15.2,16.1,15.2,10.735,1277030.0
2018-04-24,15.3,14.55,15.3,15.1,10.664,408540.0
2018-04-26,15.1,14.5,14.7,14.55,10.276,493630.0
2018-04-27,15.1,14.45,14.55,15.1,10.664,352240.0
2018-05-02,15.35,14.5,15.3,14.85,10.487,339710.0
2018-05-03,15.0,14.45,14.5,15.0,10.593,349730.0
2018-05-04,15.25,14.8,15.25,15.0,10.593,388220.0
2018-05-07,15.4,15.0,15.2,15.4,10.876,303360.0
2018-05-08,15.55,15.15,15.4,15.4,10.876,245440.0
2018-05-09,15.5,15.2,15.4,15.4,10.876,256550.0
2018-05-10,15.4,14.85,15.4,14.85,10.487,246930.0
2018-05-11,15.2,14.8,14.85,15.15,10.699,561150.0
2018-05-14,15.3,14.95,15.3,15.15,10.699,75240.0
2018-05-15,15.15,14.85,15.15,15.05,10.629,241510.0
2018-05-16,15.0,14.8,14.9,15.0,10.593,76440.0
2018-05-17,15.0,14.7,14.8,14.7,10.381,166800.0
2018-05-18,14.9,14.5,14.9,14.75,10.417,178420.0
2018-05-21,15.0,14.7,15.0,14.75,10.417,456020.0
2018-05-22,14.8,14.5,14.8,14.5,10.24,549690.0
2018-05-23,14.7,14.45,14.7,14.6,10.311,109700.0
2018-05-24,14.8,14.45,14.45,14.8,10.452,248570.0
2018-05-25,14.9,14.7,14.85,14.7,10.381,98120.0
2018-05-28,14.7,14.1,14.5,14.5,10.24,970150.0
2018-05-29,14.6,14.3,14.4,14.5,10.24,350450.0
2018-05-30,14.5,14.1,14.5,14.35,10.134,169620.0
2018-05-31,14.65,14.2,14.35,14.45,10.205,241600.0
2018-06-01,14.7,14.45,14.65,14.45,10.205,424000.0
2018-06-04,15.0,14.55,14.7,14.9,10.523,616740.0
2018-06-05,15.55,14.6,14.9,15.45,10.911,668540.0
2018-06-06,15.5,15.2,15.5,15.3,10.805,182530.0
2018-06-07,15.3,14.9,15.3,15.2,10.735,191920.0
2018-06-08,15.3,15.0,15.0,15.2,10.735,266900.0
2018-06-11,15.2,15.0,15.2,15.15,10.699,133010.0
2018-06-12,15.0,14.75,15.0,14.8,10.452,179510.0
2018-06-13,14.8,14.6,14.8,14.65,10.346,153470.0
2018-06-14,14.85,14.6,14.6,14.75,10.417,147380.0
2018-06-15,14.8,14.6,14.7,14.6,10.311,60360.0
2018-06-18,14.7,14.4,14.7,14.4,10.17,88480.0
2018-06-19,14.6,14.1,14.2,14.25,10.064,288520.0
2018-06-20,14.45,14.25,14.25,14.4,10.17,143700.0
2018-06-21,14.35,14.15,14.25,14.2,10.028,219030.0
2018-06-22,14.4,14.0,14.2,14.3,10.099,172970.0
2018-06-25,14.5,14.3,14.3,14.5,10.24,83390.0
2018-06-26,14.5,14.3,14.45,14.35,10.134,80990.0
2018-06-27,14.5,14.35,14.5,14.45,10.205,38030.0
2018-06-28,14.5,14.25,14.45,14.4,10.17,84850.0
2018-06-29,14.9,14.3,14.4,14.5,10.24,480890.0
2018-07-02,14.65,14.1,14.1,14.3,10.099,229450.0
2018-07-03,14.5,13.3,14.25,14.1,9.958,434100.0
2018-07-04,14.45,14.0,14.1,14.2,10.028,278900.0
2018-07-05,14.2,13.95,14.2,14.2,10.028,278840.0
2018-07-06,14.1,13.8,14.0,14.0,9.887,218960.0
