Date,High,Low,Open,Close,Adj Close,Volume
2018-08-01,16.8,16.8,16.8,16.8,10.242,18400.0
2018-08-02,19.0,16.8,19.0,16.8,10.242,6600.0
2018-08-03,16.8,15.7,16.8,15.7,9.571,2200.0
2018-08-06,13.5,13.5,13.5,13.5,8.23,300.0
2018-08-07,11.5,11.5,11.5,11.5,7.011,1400.0
2018-08-08,10.5,9.8,9.8,9.8,5.974,49500.0
2018-08-09,10.5,9.8,10.0,10.4,6.34,24500.0
2018-08-10,10.5,10.0,10.4,10.3,6.279,16400.0
2018-08-13,10.3,10.2,10.3,10.3,6.279,14800.0
2018-08-14,10.3,10.0,10.3,10.0,6.096,8600.0
2018-08-15,10.3,9.5,10.1,9.5,5.791,17100.0
2018-08-16,10.5,10.0,10.1,10.0,6.096,5000.0
2018-08-17,10.1,10.0,10.1,10.0,6.096,3000.0
2018-08-20,10.4,10.2,10.2,10.4,6.34,700.0
2018-08-21,11.8,10.3,10.4,10.3,6.279,127700.0
2018-08-22,11.4,10.8,11.0,11.4,6.95,11100.0
2018-08-23,10.9,10.5,10.9,10.5,6.401,15700.0
2018-08-24,12.3,10.1,10.7,12.3,7.498,89200.0
2018-08-27,13.4,12.6,13.0,13.4,8.169,101800.0
2018-08-28,15.0,13.4,13.4,14.8,9.022,79400.0
2018-08-29,16.4,14.3,14.3,16.4,9.998,100900.0
2018-08-30,16.3,13.8,16.1,13.8,8.413,76200.0
2018-08-31,14.9,13.3,13.7,14.1,8.596,53200.0
2018-09-04,15.0,13.7,14.4,15.0,9.144,36000.0
2018-09-05,14.3,13.3,13.3,14.3,8.718,28600.0
2018-09-06,14.0,13.8,14.0,13.9,8.474,28000.0
2018-09-07,14.0,13.0,14.0,13.0,7.925,22200.0
2018-09-10,13.2,12.5,13.0,12.5,7.62,18900.0
2018-09-11,13.0,11.5,12.7,12.9,7.864,20300.0
2018-09-12,12.7,12.3,12.5,12.5,7.62,33000.0
2018-09-13,13.2,12.7,13.0,13.0,7.925,21100.0
2018-09-14,13.1,12.4,12.9,13.1,7.986,23700.0
2018-09-17,14.4,13.0,13.0,14.4,8.779,13000.0
2018-09-18,14.6,13.8,13.8,14.6,8.901,30000.0
2018-09-19,14.2,13.4,13.8,13.5,8.23,20700.0
2018-09-20,13.7,13.0,13.7,13.4,8.169,15000.0
2018-09-21,12.5,11.4,12.5,11.5,7.011,56100.0
2018-09-24,11.0,10.1,11.0,10.5,6.401,76500.0
2018-09-25,11.8,10.2,10.2,11.8,7.194,338200.0
2018-09-26,11.9,10.7,10.8,11.9,7.255,669700.0
2018-09-27,12.9,11.5,11.5,12.9,7.864,488100.0
2018-09-28,13.5,12.5,13.5,12.5,7.62,345100.0
2018-10-01,13.5,12.5,12.5,12.6,7.681,295900.0
2018-10-02,12.8,12.0,12.8,12.1,7.376,225500.0
2018-10-03,12.8,12.1,12.1,12.5,7.62,181900.0
2018-10-04,13.1,12.6,12.6,12.6,7.681,168700.0
2018-10-05,13.3,12.6,12.6,12.6,7.681,147100.0
2018-10-08,13.1,12.6,13.0,13.0,7.925,160700.0
2018-10-09,13.2,12.5,12.9,12.8,7.803,128500.0
2018-10-10,12.8,12.5,12.8,12.5,7.62,158700.0
2018-10-11,12.5,12.1,12.5,12.1,7.376,32400.0
2018-10-12,12.3,12.1,12.1,12.3,7.498,4800.0
2018-10-15,13.0,13.0,13.0,13.0,7.925,100.0
2018-10-16,13.0,12.3,13.0,12.3,7.498,133300.0
2018-10-17,12.5,11.9,12.5,11.9,7.255,98600.0
2018-10-18,12.2,12.0,12.0,12.0,7.316,117000.0
2018-10-19,12.2,12.0,12.0,12.0,7.316,49800.0
2018-10-22,12.0,11.8,11.9,11.8,7.194,37000.0
2018-10-23,12.0,11.5,12.0,11.6,7.072,50100.0
2018-10-24,13.3,11.5,13.3,12.0,7.316,108500.0
2018-10-25,11.8,11.5,11.7,11.5,7.011,51900.0
2018-10-26,12.0,11.5,12.0,11.5,7.011,38300.0
2018-10-29,12.8,11.5,12.8,11.5,7.011,4500.0
2018-10-30,11.9,11.3,11.6,11.9,7.255,14800.0
2018-10-31,12.0,11.5,12.0,11.5,7.011,33800.0
2018-11-01,11.8,11.5,11.8,11.5,7.011,11800.0
2018-11-02,12.0,11.4,12.0,11.5,7.011,24500.0
2018-11-05,11.8,11.5,11.8,11.5,7.011,19000.0
2018-11-06,11.9,11.2,11.9,11.2,6.828,78800.0
