Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,24.6,24.6,24.6,24.6,24.6,300.0
2018-01-03,24.6,23.0,23.0,23.0,23.0,1660.0
2018-01-04,23.0,21.45,23.0,21.7,21.7,6980.0
2018-01-05,21.7,21.7,21.7,21.7,21.7,0.0
2018-01-08,21.8,21.8,21.8,21.8,21.8,10.0
2018-01-09,21.65,20.3,20.3,21.45,21.45,3620.0
2018-01-10,21.0,21.0,21.0,21.0,21.0,170.0
2018-01-11,20.95,19.7,20.0,20.9,20.9,540.0
2018-01-12,20.85,19.45,19.45,20.85,20.85,1610.0
2018-01-15,20.5,19.4,19.7,20.0,20.0,1070.0
2018-01-16,20.4,20.0,20.4,20.0,20.0,3590.0
2018-01-17,20.0,20.0,20.0,20.0,20.0,0.0
2018-01-18,20.0,20.0,20.0,20.0,20.0,50.0
2018-01-19,20.5,20.0,20.5,20.0,20.0,210.0
2018-01-22,20.0,19.95,19.95,20.0,20.0,310.0
2018-01-25,21.4,20.5,20.5,21.4,21.4,50.0
2018-01-26,20.2,20.2,20.2,20.2,20.2,30.0
2018-01-29,20.8,20.8,20.8,20.8,20.8,10.0
2018-01-30,20.8,20.8,20.8,20.8,20.8,0.0
2018-01-31,22.15,20.0,22.0,20.5,20.5,110.0
2018-02-01,19.9,19.1,19.1,19.9,19.9,2060.0
2018-02-02,19.9,19.9,19.9,19.9,19.9,0.0
2018-02-05,19.9,19.9,19.9,19.9,19.9,0.0
2018-02-06,19.9,19.9,19.9,19.9,19.9,0.0
2018-02-07,19.9,19.9,19.9,19.9,19.9,0.0
2018-02-08,21.25,20.6,20.6,21.25,21.25,160.0
2018-02-09,19.8,19.8,19.8,19.8,19.8,10.0
2018-02-12,19.0,19.0,19.0,19.0,19.0,70.0
2018-02-13,19.8,17.7,19.8,19.7,19.7,50.0
2018-02-21,19.7,19.7,19.7,19.7,19.7,0.0
2018-02-22,20.35,18.4,18.4,20.35,20.35,60.0
2018-02-23,20.2,19.9,19.9,20.2,20.2,120.0
2018-02-26,20.9,18.8,20.7,18.8,18.8,1880.0
2018-02-27,20.1,18.8,18.8,20.1,20.1,1830.0
