Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,7.02,6.93,6.98,6.93,5.956,6081800.0
2018-01-03,7.0,6.79,6.95,6.8,5.845,15867110.0
2018-01-04,6.86,6.79,6.8,6.83,5.87,11573160.0
2018-01-05,6.85,6.77,6.84,6.8,5.845,7928010.0
2018-01-08,6.83,6.78,6.8,6.79,5.836,7192860.0
2018-01-09,6.94,6.78,6.8,6.9,5.93,14057250.0
2018-01-10,7.14,7.01,7.09,7.03,6.042,12770280.0
2018-01-11,7.23,7.03,7.1,7.14,6.137,16797010.0
2018-01-12,7.21,7.13,7.21,7.15,6.145,12216580.0
2018-01-15,7.18,7.04,7.16,7.04,6.051,8480700.0
2018-01-16,7.1,6.99,7.02,7.1,6.103,10728300.0
2018-01-17,7.17,7.0,7.17,7.0,6.016,11881620.0
2018-01-18,7.05,6.95,6.97,7.0,6.016,7272000.0
2018-01-19,7.1,6.98,7.05,6.98,6.0,7765750.0
2018-01-22,7.06,7.0,7.02,7.02,6.033,7790340.0
2018-01-25,7.0,6.8,7.0,6.83,5.87,10950350.0
2018-01-26,6.97,6.82,6.97,6.82,5.861,5164170.0
2018-01-29,6.91,6.78,6.84,6.78,5.828,4793770.0
2018-01-30,7.08,6.8,6.8,6.97,5.991,8249710.0
2018-01-31,7.07,6.9,7.0,6.9,5.93,11390430.0
2018-02-01,6.36,6.15,6.25,6.15,5.913,7649940.0
2018-02-02,6.15,6.01,6.15,6.08,5.846,5294060.0
2018-02-05,6.05,5.66,6.04,5.66,5.442,7300120.0
2018-02-06,5.41,5.27,5.27,5.27,5.067,13944360.0
2018-02-07,5.63,5.52,5.55,5.63,5.413,8423370.0
2018-02-08,5.78,5.63,5.67,5.63,5.413,6583700.0
2018-02-09,5.45,5.29,5.3,5.41,5.202,6354310.0
2018-02-12,5.63,5.41,5.41,5.61,5.394,2942210.0
2018-02-13,5.84,5.75,5.79,5.8,5.577,4493740.0
2018-02-21,6.04,5.95,5.95,5.98,5.75,6114810.0
2018-02-22,5.98,5.83,5.98,5.83,5.605,4963300.0
2018-02-23,5.92,5.82,5.9,5.83,5.605,3353330.0
2018-02-26,5.82,5.59,5.81,5.69,5.471,10461800.0
2018-02-27,5.73,5.62,5.7,5.67,5.452,4669250.0
2018-02-28,5.67,5.58,5.67,5.59,5.375,5565800.0
2018-03-01,5.58,5.49,5.55,5.54,5.327,4226820.0
2018-03-02,5.54,5.47,5.54,5.49,5.279,3855430.0
2018-03-05,5.7,5.5,5.5,5.59,5.375,4301590.0
2018-03-06,5.67,5.5,5.55,5.6,5.384,3909960.0
2018-03-07,5.99,5.68,5.7,5.99,5.759,24369290.0
2018-03-08,6.23,5.91,6.05,5.91,5.682,11859020.0
2018-03-09,5.95,5.79,5.9,5.82,5.596,8558750.0
2018-03-12,5.98,5.82,5.82,5.83,5.605,6310430.0
2018-03-13,5.84,5.79,5.82,5.8,5.577,6382400.0
2018-03-14,5.93,5.77,5.79,5.87,5.644,9504720.0
2018-03-15,6.06,5.85,5.88,5.99,5.759,8877110.0
2018-03-16,6.15,6.01,6.05,6.01,5.779,9393740.0
2018-03-19,6.3,6.08,6.15,6.09,5.855,14606000.0
2018-03-20,6.09,6.02,6.08,6.03,5.798,7551830.0
2018-03-21,6.17,6.04,6.04,6.07,5.836,8427250.0
2018-03-22,6.23,6.1,6.1,6.17,5.932,15879390.0
2018-03-23,6.1,6.03,6.1,6.05,5.817,12963640.0
2018-03-26,6.25,6.1,6.1,6.15,5.913,8411310.0
2018-03-27,6.58,6.44,6.58,6.58,6.327,37197500.0
2018-03-28,6.84,6.45,6.66,6.45,6.202,20871100.0
2018-03-29,6.52,6.26,6.45,6.26,6.019,13967080.0
2018-03-30,6.35,6.23,6.27,6.25,6.009,8151950.0
2018-04-02,6.47,6.28,6.3,6.4,6.154,10207450.0
2018-04-03,6.42,6.26,6.38,6.26,6.019,9485990.0
2018-04-04,6.37,6.26,6.3,6.27,6.029,6250850.0
2018-04-05,6.34,6.23,6.34,6.24,6.0,6951140.0
2018-04-06,6.27,6.11,6.24,6.11,5.875,11818470.0
2018-04-09,6.26,6.1,6.18,6.11,5.875,7598150.0
2018-04-10,6.19,5.97,6.19,6.0,5.769,11300740.0
2018-04-11,6.06,5.77,6.0,5.8,5.577,10910500.0
2018-04-12,5.9,5.73,5.75,5.77,5.548,7220840.0
2018-04-13,5.86,5.76,5.8,5.78,5.557,5207010.0
2018-04-16,5.82,5.7,5.8,5.81,5.586,3753770.0
2018-04-17,5.94,5.8,5.85,5.82,5.596,5046160.0
2018-04-18,6.04,5.79,5.85,5.85,5.625,7893870.0
2018-04-19,5.92,5.75,5.9,5.78,5.557,5321040.0
2018-04-20,5.82,5.75,5.79,5.75,5.529,6563560.0
2018-04-23,5.85,5.5,5.75,5.5,5.288,7396590.0
2018-04-24,5.55,5.44,5.5,5.5,5.288,4793580.0
2018-04-26,5.56,5.3,5.56,5.35,5.144,5654570.0
2018-04-27,5.52,5.34,5.35,5.42,5.211,4374460.0
2018-05-02,5.47,5.35,5.46,5.35,5.144,4317640.0
2018-05-03,5.36,5.21,5.36,5.21,5.009,5616970.0
2018-05-04,5.31,5.21,5.26,5.29,5.086,3002690.0
2018-05-07,5.39,5.27,5.35,5.37,5.163,3099350.0
2018-05-08,5.5,5.35,5.37,5.45,5.24,4543900.0
2018-05-09,5.53,5.38,5.45,5.38,5.173,3188620.0
2018-05-10,5.39,5.26,5.38,5.26,5.057,5606960.0
2018-05-11,5.31,5.24,5.26,5.31,5.106,3970500.0
2018-05-14,5.34,5.28,5.33,5.28,5.077,1755550.0
2018-05-15,5.32,5.28,5.31,5.28,5.077,2159620.0
2018-05-16,5.4,5.28,5.3,5.31,5.106,4303840.0
2018-05-17,5.39,5.32,5.35,5.32,5.115,2881310.0
2018-05-18,5.38,5.28,5.35,5.32,5.115,4076180.0
2018-05-21,5.34,5.29,5.32,5.29,5.086,2274080.0
2018-05-22,5.29,5.05,5.27,5.08,4.884,7004380.0
2018-05-23,5.11,5.05,5.07,5.1,4.904,3497360.0
2018-05-24,5.13,5.04,5.12,5.04,4.846,2391000.0
2018-05-25,5.04,4.87,5.01,4.87,4.682,3810170.0
2018-05-28,4.88,4.53,4.88,4.53,4.356,9566410.0
2018-05-29,4.84,4.52,4.56,4.84,4.654,5413000.0
2018-05-30,4.83,4.68,4.83,4.7,4.519,2533020.0
2018-05-31,4.74,4.64,4.64,4.72,4.538,2824200.0
2018-06-01,4.96,4.72,4.73,4.83,4.644,3800480.0
2018-06-04,4.93,4.83,4.83,4.92,4.731,3595980.0
2018-06-05,5.23,4.91,4.95,5.18,4.981,7175680.0
2018-06-06,5.22,5.05,5.22,5.11,4.913,4120580.0
2018-06-07,5.2,5.11,5.12,5.11,4.913,3248500.0
2018-06-08,5.12,5.02,5.11,5.05,4.856,3641520.0
2018-06-11,5.13,4.98,5.0,5.08,4.884,5320640.0
2018-06-12,5.12,4.95,5.12,4.99,4.798,5970250.0
2018-06-13,5.11,5.0,5.0,5.0,4.807,2909190.0
2018-06-14,5.05,4.97,5.03,4.97,4.779,3376360.0
2018-06-15,4.99,4.94,4.98,4.95,4.759,5612880.0
2018-06-18,5.06,4.9,4.95,4.9,4.711,5397660.0
2018-06-19,4.9,4.6,4.85,4.62,4.442,6522780.0
2018-06-20,4.76,4.62,4.69,4.69,4.509,4713750.0
2018-06-21,4.99,4.71,4.75,4.76,4.577,4182210.0
2018-06-22,5.0,4.78,4.81,5.0,4.807,7071550.0
2018-06-25,5.29,5.1,5.1,5.25,5.048,11576330.0
2018-06-26,5.6,5.15,5.25,5.55,5.336,18367850.0
2018-06-27,5.7,5.32,5.64,5.32,5.115,20982750.0
2018-06-28,5.28,5.05,5.21,5.05,4.856,9340090.0
2018-06-29,5.13,5.0,5.0,5.06,4.865,5040480.0
2018-07-02,5.01,4.78,5.0,4.78,4.596,12570580.0
2018-07-03,4.86,4.6,4.8,4.6,4.423,8290720.0
2018-07-04,4.72,4.49,4.65,4.66,4.481,4947080.0
2018-07-05,4.74,4.5,4.67,4.56,4.384,6992770.0
2018-07-06,4.73,4.48,4.52,4.7,4.519,5167750.0
2018-07-09,4.85,4.7,4.75,4.7,4.519,5316980.0
2018-07-10,4.86,4.7,4.7,4.85,4.663,7276750.0
2018-07-11,5.15,4.76,4.95,4.76,4.577,11579040.0
2018-07-12,4.91,4.78,4.79,4.8,4.615,5171700.0
2018-07-13,5.1,4.85,4.9,4.99,4.798,10415260.0
2018-07-16,5.19,5.06,5.13,5.1,4.904,9311470.0
2018-07-17,5.17,5.06,5.1,5.07,4.875,7595150.0
2018-07-18,5.18,5.03,5.07,5.13,4.932,9777500.0
2018-07-19,5.18,5.06,5.13,5.06,4.865,6298130.0
2018-07-20,5.41,5.08,5.08,5.41,5.202,19283310.0
2018-07-23,5.74,5.55,5.6,5.56,5.346,18078760.0
2018-07-24,5.64,5.47,5.5,5.59,5.375,12987980.0
2018-07-25,5.98,5.6,5.62,5.98,5.75,26848850.0
2018-07-26,6.19,5.75,6.1,5.75,5.529,24940220.0
2018-07-27,6.12,5.85,5.89,6.1,5.865,15481240.0
2018-07-30,6.52,6.21,6.25,6.52,6.269,29370630.0
2018-07-31,6.74,6.36,6.5,6.54,6.288,31600210.0
2018-08-01,6.7,6.32,6.6,6.35,6.105,22238680.0
2018-08-02,6.4,5.95,6.3,6.12,5.884,27689580.0
2018-08-03,6.28,6.03,6.28,6.04,5.807,13640430.0
2018-08-06,6.4,6.13,6.15,6.4,6.154,15424680.0
2018-08-07,6.48,6.23,6.4,6.23,5.99,13530360.0
2018-08-08,6.3,6.08,6.23,6.09,5.855,15146290.0
2018-08-09,6.19,6.08,6.16,6.08,5.846,10339070.0
2018-08-10,6.12,5.95,6.08,6.07,5.836,9700340.0
2018-08-13,6.23,5.98,6.05,6.18,5.942,10442750.0
2018-08-14,6.18,6.09,6.18,6.09,6.09,7637000.0
2018-08-15,6.33,6.02,6.09,6.11,6.11,11309930.0
2018-08-16,6.25,6.08,6.08,6.14,6.14,9399870.0
2018-08-17,6.23,6.12,6.22,6.12,6.12,6113980.0
2018-08-20,6.45,6.27,6.3,6.33,6.33,20636080.0
2018-08-21,6.68,6.37,6.37,6.6,6.6,23327860.0
2018-08-22,6.87,6.6,6.75,6.6,6.6,20226670.0
2018-08-23,6.66,6.52,6.6,6.52,6.52,14116170.0
2018-08-24,6.61,6.45,6.48,6.56,6.56,11128710.0
2018-08-27,6.67,6.51,6.66,6.51,6.51,10778230.0
2018-08-28,6.58,6.41,6.52,6.42,6.42,10491470.0
2018-08-29,6.54,6.33,6.4,6.45,6.45,11111740.0
2018-08-30,6.6,6.45,6.45,6.55,6.55,8175240.0
2018-08-31,6.58,6.45,6.52,6.45,6.45,9154770.0
2018-09-04,6.48,6.27,6.44,6.27,6.27,10964750.0
2018-09-05,6.3,6.08,6.25,6.11,6.11,11293250.0
2018-09-06,6.23,6.11,6.13,6.15,6.15,8771410.0
2018-09-07,6.21,6.13,6.21,6.16,6.16,5540080.0
2018-09-10,6.18,6.01,6.15,6.01,6.01,8957860.0
2018-09-11,6.13,6.0,6.0,6.11,6.11,6784780.0
2018-09-12,6.29,6.13,6.14,6.18,6.18,7857050.0
2018-09-13,6.27,6.14,6.22,6.14,6.14,4641280.0
2018-09-14,6.18,6.12,6.15,6.12,6.12,5094040.0
2018-09-17,6.12,6.05,6.12,6.05,6.05,6871330.0
2018-09-18,6.1,6.02,6.02,6.06,6.06,5031600.0
2018-09-19,6.13,6.06,6.1,6.07,6.07,5949780.0
2018-09-20,6.1,6.05,6.08,6.05,6.05,5485940.0
2018-09-21,6.1,6.01,6.08,6.04,6.04,8796490.0
2018-09-24,6.09,6.04,6.04,6.05,6.05,4493670.0
2018-09-25,6.44,6.05,6.07,6.35,6.35,19597830.0
2018-09-26,6.38,6.18,6.37,6.18,6.18,9196870.0
2018-09-27,6.24,6.17,6.2,6.17,6.17,6149140.0
2018-09-28,6.26,6.17,6.2,6.19,6.19,7022640.0
2018-10-01,6.24,6.08,6.23,6.09,6.09,11125580.0
2018-10-02,6.13,6.06,6.09,6.07,6.07,6488090.0
2018-10-03,6.17,6.07,6.07,6.09,6.09,4532830.0
2018-10-04,6.15,6.08,6.15,6.09,6.09,4211780.0
2018-10-05,6.19,6.06,6.09,6.06,6.06,6990350.0
2018-10-08,6.1,6.03,6.06,6.04,6.04,5494020.0
2018-10-09,6.01,5.72,6.0,5.73,5.73,21845180.0
2018-10-10,5.81,5.74,5.78,5.79,5.79,8645450.0
2018-10-11,5.58,5.39,5.46,5.39,5.39,22323530.0
2018-10-12,5.5,5.23,5.39,5.48,5.48,9774840.0
2018-10-15,5.5,5.37,5.5,5.37,5.37,5471210.0
2018-10-16,5.45,5.36,5.38,5.4,5.4,3373030.0
2018-10-17,5.5,5.4,5.49,5.41,5.41,3363430.0
2018-10-18,5.41,5.32,5.4,5.32,5.32,2952870.0
2018-10-19,5.3,5.21,5.3,5.25,5.25,3561460.0
2018-10-22,5.34,5.22,5.28,5.25,5.25,4689200.0
2018-10-23,5.38,5.2,5.3,5.25,5.25,9081960.0
2018-10-24,5.34,5.23,5.25,5.25,5.25,3080600.0
2018-10-25,5.15,5.02,5.1,5.08,5.08,5844450.0
2018-10-26,5.16,5.02,5.15,5.02,5.02,5815780.0
2018-10-29,5.07,4.99,5.07,5.0,5.0,5725220.0
2018-10-30,5.03,4.94,4.99,4.94,4.94,3730360.0
2018-10-31,5.06,4.95,4.95,5.01,5.01,4531270.0
2018-11-01,5.08,4.98,5.01,4.98,4.98,4570230.0
2018-11-02,5.26,5.01,5.01,5.26,5.26,5864920.0
2018-11-05,5.27,5.12,5.26,5.19,5.19,4214490.0
2018-11-06,5.27,5.17,5.21,5.19,5.19,4114320.0
2018-11-07,5.41,5.12,5.19,5.41,5.41,5846360.0
2018-11-08,5.78,5.55,5.6,5.68,5.68,16058990.0
2018-11-09,6.03,5.76,5.99,5.79,5.79,16355350.0
2018-11-12,5.71,5.59,5.6,5.6,5.6,5548440.0
2018-11-13,5.84,5.65,5.7,5.65,5.65,7908480.0
2018-11-14,5.75,5.48,5.64,5.48,5.48,5344960.0
2018-11-15,5.51,5.17,5.48,5.22,5.22,15079830.0
2018-11-16,5.33,5.07,5.29,5.26,5.26,19432950.0
2018-11-19,5.45,5.3,5.3,5.41,5.41,4721300.0
2018-11-20,5.41,5.3,5.32,5.38,5.38,4366370.0
2018-11-21,5.33,5.24,5.25,5.3,5.3,5192700.0
2018-11-22,5.38,5.31,5.35,5.31,5.31,3441920.0
2018-11-23,5.35,5.28,5.32,5.28,5.28,3195740.0
2018-11-26,5.31,5.25,5.25,5.28,5.28,3617470.0
2018-11-27,5.35,5.27,5.3,5.27,5.27,4104620.0
2018-11-28,5.3,5.25,5.27,5.26,5.26,2873250.0
2018-11-29,5.31,5.23,5.27,5.23,5.23,4407670.0
2018-11-30,5.24,5.16,5.22,5.2,5.2,2096970.0
2018-12-03,5.39,5.28,5.28,5.37,5.37,4477940.0
2018-12-04,5.52,5.38,5.39,5.4,5.4,6927400.0
2018-12-05,5.37,5.31,5.33,5.33,5.33,3863460.0
2018-12-06,5.39,5.29,5.35,5.3,5.3,2841690.0
2018-12-07,5.44,5.32,5.32,5.36,5.36,4689610.0
2018-12-10,5.37,5.32,5.36,5.32,5.32,3133920.0
2018-12-11,5.37,5.3,5.33,5.31,5.31,4048590.0
