Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,59.8,57.2,57.3,59.8,18.457,5022160.0
2018-01-03,60.7,59.5,60.5,59.8,18.457,2829930.0
2018-01-04,61.0,59.9,60.0,61.0,18.827,2784800.0
2018-01-05,61.1,59.9,61.0,60.0,18.518,2851450.0
2018-01-08,60.9,59.3,59.6,60.9,18.796,2529030.0
2018-01-09,62.3,60.3,61.0,62.1,19.167,4010010.0
2018-01-10,63.0,61.1,62.0,61.5,18.981,2610670.0
2018-01-11,61.9,60.7,61.1,61.5,18.981,2420150.0
2018-01-12,62.0,60.2,61.8,60.2,18.58,2824950.0
2018-01-15,61.2,59.7,60.1,61.0,18.827,2296030.0
2018-01-16,61.5,60.3,60.9,61.0,18.827,1512380.0
2018-01-17,61.1,59.0,61.0,59.0,18.21,2259230.0
2018-01-18,59.0,57.6,58.3,59.0,18.21,3314290.0
2018-01-19,59.8,58.9,59.0,58.9,18.179,2002690.0
2018-01-22,61.5,59.4,59.5,60.9,18.796,2509650.0
2018-01-25,62.6,60.9,61.5,61.1,18.858,5368250.0
2018-01-26,62.0,60.5,62.0,60.8,18.765,1631780.0
2018-01-29,61.9,59.9,60.9,60.3,18.611,1335440.0
2018-01-30,64.0,59.5,59.8,64.0,19.753,4719350.0
2018-01-31,65.5,62.9,64.8,62.9,19.414,3988780.0
2018-02-01,63.5,61.6,62.9,61.6,19.012,2086500.0
2018-02-02,61.8,60.5,61.6,61.0,18.827,1671290.0
2018-02-05,60.8,57.1,60.1,57.1,17.623,3754890.0
2018-02-06,56.5,53.2,53.2,54.2,16.728,5312890.0
2018-02-07,57.3,56.0,57.0,56.6,17.469,1872960.0
2018-02-08,57.0,55.0,56.0,55.2,17.037,1709000.0
2018-02-09,55.0,52.5,52.5,55.0,16.975,2139970.0
2018-02-12,57.1,54.5,56.3,57.1,17.623,1166010.0
2018-02-13,59.3,57.8,58.2,59.0,18.21,1448350.0
2018-02-21,60.3,59.0,60.1,59.4,18.333,1574450.0
2018-02-22,59.5,58.2,59.3,58.4,18.025,1433060.0
2018-02-23,60.6,58.5,58.5,60.5,18.673,1607200.0
2018-02-26,61.8,60.4,61.0,60.4,18.642,2467750.0
2018-02-27,60.8,59.5,60.7,59.8,18.457,1415610.0
2018-02-28,60.4,59.1,59.2,59.8,18.457,1835710.0
2018-03-01,61.2,59.1,59.4,60.8,18.765,2114250.0
2018-03-02,61.3,60.0,60.5,61.1,18.858,1840930.0
2018-03-05,64.5,61.3,61.3,61.5,18.981,6025340.0
2018-03-06,63.3,61.7,62.5,63.3,19.537,2577540.0
2018-03-07,63.7,61.5,63.5,62.2,19.198,2000410.0
2018-03-08,62.5,61.3,62.0,62.2,19.198,1316600.0
2018-03-09,63.1,61.5,62.7,61.6,19.012,2068410.0
2018-03-12,62.6,61.4,62.0,61.4,18.951,1611250.0
2018-03-13,61.2,59.4,61.2,60.1,18.549,4159670.0
2018-03-14,60.8,59.4,60.1,60.8,18.765,2070230.0
2018-03-15,61.1,60.3,61.0,60.6,18.704,1189330.0
2018-03-16,60.8,59.7,60.6,60.1,18.549,1426890.0
2018-03-19,60.6,59.9,60.2,60.5,18.673,1337110.0
2018-03-20,62.3,60.0,60.2,61.3,18.92,2921440.0
2018-03-21,61.8,61.0,61.3,61.0,18.827,999470.0
2018-03-22,61.4,60.1,61.0,60.1,18.549,1264760.0
2018-03-23,59.6,58.0,59.0,58.6,18.086,2833670.0
2018-03-26,59.4,58.6,58.6,59.2,18.272,940840.0
2018-03-27,60.1,59.0,59.9,59.5,18.364,993260.0
2018-03-28,59.4,58.8,59.1,58.9,18.179,660440.0
2018-03-29,59.7,59.0,59.4,59.5,18.364,827280.0
2018-03-30,61.3,59.4,59.6,60.7,18.735,2434830.0
2018-04-02,61.7,61.0,61.5,61.5,18.981,2194820.0
2018-04-03,61.4,60.9,61.2,61.2,18.889,1140770.0
2018-04-04,62.8,61.6,62.0,61.7,19.043,2297950.0
2018-04-05,63.7,61.5,62.0,63.0,19.444,2874100.0
2018-04-06,64.3,62.7,64.2,62.7,19.352,3614250.0
2018-04-09,63.6,62.6,62.6,63.4,19.568,1502210.0
2018-04-10,65.2,63.5,63.6,64.4,19.877,4490010.0
2018-04-11,65.4,63.0,64.8,63.0,19.444,3296390.0
2018-04-12,63.6,62.1,63.0,63.6,19.63,1321110.0
2018-04-13,63.9,62.0,63.9,62.0,19.136,2146710.0
2018-04-16,62.4,60.9,62.0,61.1,18.858,1181050.0
2018-04-17,62.0,60.9,61.5,62.0,19.136,1105060.0
2018-04-18,62.9,61.9,62.3,62.0,19.136,1247240.0
2018-04-19,62.1,60.7,62.0,60.7,18.735,2377390.0
2018-04-20,61.5,60.3,61.0,61.3,18.92,972550.0
2018-04-23,61.7,57.2,61.3,58.0,17.901,1461440.0
2018-04-24,58.5,56.1,57.4,56.4,17.407,1850860.0
2018-04-26,57.7,55.0,56.9,55.0,16.975,2031810.0
2018-04-27,57.4,54.9,55.0,57.0,17.593,1597710.0
2018-05-02,58.0,56.8,57.8,57.0,17.593,1370180.0
2018-05-03,58.0,55.7,56.8,58.0,17.901,2162850.0
2018-05-04,59.0,58.2,58.5,58.8,18.148,1171180.0
2018-05-07,59.6,58.6,58.8,59.6,18.395,878040.0
