Date,High,Low,Open,Close,Adj Close,Volume
2018-07-26,10.0,10.0,10.0,10.0,9.736,0.0
2018-07-27,10.0,10.0,10.0,10.0,9.736,0.0
2018-07-30,10.0,10.0,10.0,10.0,9.736,0.0
2018-07-31,10.0,10.0,10.0,10.0,9.736,0.0
2018-08-01,10.0,10.0,10.0,10.0,9.736,0.0
2018-08-02,10.0,10.0,10.0,10.0,9.736,0.0
2018-08-03,10.0,10.0,10.0,10.0,9.736,0.0
2018-08-06,10.0,10.0,10.0,10.0,9.736,0.0
2018-08-07,10.0,10.0,10.0,10.0,9.736,0.0
2018-08-08,10.0,10.0,10.0,10.0,9.736,0.0
2018-08-09,14.0,14.0,14.0,14.0,13.63,1000.0
2018-08-10,14.0,14.0,14.0,14.0,13.63,0.0
2018-08-13,14.0,14.0,14.0,14.0,13.63,0.0
2018-08-14,14.0,14.0,14.0,14.0,13.63,0.0
2018-08-15,14.0,14.0,14.0,14.0,13.63,0.0
2018-08-16,14.0,14.0,14.0,14.0,13.63,0.0
2018-08-17,14.0,14.0,14.0,14.0,13.63,0.0
2018-08-20,14.0,14.0,14.0,14.0,13.63,0.0
2018-08-21,14.0,14.0,14.0,14.0,13.63,0.0
2018-08-22,14.0,14.0,14.0,14.0,13.63,0.0
2018-08-23,14.0,14.0,14.0,14.0,13.63,0.0
2018-08-24,14.0,14.0,14.0,14.0,13.63,0.0
2018-08-27,14.0,14.0,14.0,14.0,13.63,0.0
2018-08-28,16.0,15.0,15.0,16.0,15.578,5000.0
2018-08-29,15.3,15.3,15.3,15.3,14.896,0.0
2018-08-30,15.3,15.3,15.3,15.3,14.896,0.0
2018-08-31,15.3,15.3,15.3,15.3,14.896,0.0
2018-09-04,15.3,15.3,15.3,15.3,14.896,0.0
2018-09-05,15.3,15.3,15.3,15.3,14.896,0.0
2018-09-06,15.3,15.3,15.3,15.3,14.896,0.0
2018-09-07,15.3,15.3,15.3,15.3,14.896,0.0
2018-09-10,15.3,15.3,15.3,15.3,14.896,0.0
2018-09-11,15.3,15.3,15.3,15.3,14.896,0.0
2018-09-12,15.3,15.3,15.3,15.3,14.896,0.0
2018-09-13,15.3,15.3,15.3,15.3,14.896,0.0
2018-09-14,15.3,15.3,15.3,15.3,14.896,0.0
2018-09-17,15.3,15.3,15.3,15.3,14.896,0.0
2018-09-18,15.3,15.3,15.3,15.3,14.896,0.0
2018-09-19,15.3,15.3,15.3,15.3,14.896,0.0
2018-09-20,15.3,15.3,15.3,15.3,14.896,0.0
2018-09-21,15.3,15.3,15.3,15.3,14.896,0.0
2018-09-24,15.3,15.3,15.3,15.3,14.896,0.0
2018-09-25,15.3,15.3,15.3,15.3,14.896,0.0
2018-09-26,15.3,15.3,15.3,15.3,14.896,0.0
2018-09-27,15.3,15.3,15.3,15.3,14.896,0.0
2018-09-28,15.3,15.3,15.3,15.3,14.896,0.0
2018-10-01,15.3,15.3,15.3,15.3,14.896,0.0
2018-10-02,15.3,15.3,15.3,15.3,14.896,0.0
2018-10-03,15.3,15.3,15.3,15.3,14.896,0.0
2018-10-04,15.3,15.3,15.3,15.3,14.896,0.0
