Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,12.4,12.25,12.4,12.25,3.659,55830.0
2018-01-03,12.65,12.15,12.2,12.6,3.764,132100.0
2018-01-04,13.0,12.5,12.6,12.75,3.808,90470.0
2018-01-05,12.8,12.45,12.65,12.45,3.719,61400.0
2018-01-08,12.7,12.2,12.4,12.7,3.793,34160.0
2018-01-09,13.55,12.7,12.7,13.55,4.047,202260.0
2018-01-10,14.45,13.8,13.8,14.45,4.316,488910.0
2018-01-11,15.0,14.1,15.0,14.3,4.271,67240.0
2018-01-12,14.5,14.1,14.3,14.35,4.286,43370.0
2018-01-15,14.3,13.9,14.0,14.1,4.212,51270.0
2018-01-16,14.3,13.8,14.1,14.3,4.271,163970.0
2018-01-17,15.3,14.05,14.1,15.3,4.57,404050.0
2018-01-18,15.3,14.6,15.0,15.0,4.48,70810.0
2018-01-19,15.4,15.0,15.0,15.0,4.48,45230.0
2018-01-22,15.1,14.8,15.1,14.95,4.466,34420.0
2018-01-25,15.2,14.8,15.2,15.1,4.51,77410.0
2018-01-26,15.25,15.0,15.25,15.2,4.54,53210.0
2018-01-29,15.3,14.8,15.3,14.9,4.451,88040.0
2018-01-30,14.9,14.55,14.8,14.55,4.346,120750.0
2018-01-31,15.0,14.55,14.95,14.55,4.346,43640.0
2018-02-01,14.95,14.2,14.6,14.9,4.451,41560.0
2018-02-02,14.85,14.45,14.85,14.7,4.391,37840.0
2018-02-05,14.3,13.85,14.2,13.85,4.137,207550.0
2018-02-06,14.8,12.9,13.5,14.8,4.421,166170.0
2018-02-07,14.55,14.0,14.0,14.0,4.182,48040.0
2018-02-08,14.3,13.7,14.0,14.3,4.271,6860.0
2018-02-09,13.9,13.3,13.8,13.4,4.003,62000.0
2018-02-12,14.3,13.65,14.2,13.75,4.107,26020.0
2018-02-13,14.7,13.6,13.85,14.55,4.346,20250.0
2018-02-21,14.9,14.2,14.9,14.5,4.331,20980.0
2018-02-22,14.5,14.3,14.5,14.3,4.271,13020.0
2018-02-23,14.5,14.2,14.4,14.5,4.331,33800.0
2018-02-26,14.9,14.5,14.5,14.8,4.421,28270.0
2018-02-27,14.6,14.4,14.55,14.4,4.301,34610.0
2018-02-28,14.8,14.35,14.4,14.8,4.421,163570.0
2018-03-01,14.8,14.6,14.8,14.6,4.361,13160.0
2018-03-02,14.6,14.4,14.6,14.6,4.361,70370.0
2018-03-05,14.8,14.6,14.6,14.75,4.406,184670.0
2018-03-06,14.8,14.5,14.6,14.8,4.421,134520.0
2018-03-07,15.15,14.7,14.7,15.1,4.51,291000.0
2018-03-08,15.3,15.1,15.15,15.3,4.57,151100.0
2018-03-09,16.0,15.45,15.45,15.8,4.719,77790.0
2018-03-12,15.8,15.4,15.8,15.65,4.675,35070.0
2018-03-13,15.65,15.2,15.65,15.65,4.675,53900.0
2018-03-14,15.65,15.4,15.4,15.65,4.675,35720.0
2018-03-15,15.6,15.45,15.55,15.5,4.63,52840.0
2018-03-16,16.15,15.45,15.6,16.0,4.779,171470.0
2018-03-19,16.0,15.8,16.0,16.0,4.779,43760.0
2018-03-20,16.15,15.85,16.0,16.1,4.809,46400.0
2018-03-21,16.15,15.95,16.1,16.0,4.779,24560.0
2018-03-22,16.0,15.5,15.9,15.8,4.719,41720.0
2018-03-23,15.4,15.0,15.0,15.1,4.51,145450.0
2018-03-26,15.3,15.1,15.1,15.2,4.54,67730.0
2018-03-27,16.0,15.2,16.0,15.25,4.555,123620.0
2018-03-28,15.55,15.0,15.25,15.55,4.645,110780.0
2018-03-29,15.7,15.2,15.7,15.45,4.615,12490.0
2018-03-30,15.4,15.15,15.2,15.4,4.6,40910.0
2018-04-02,15.5,15.4,15.4,15.4,4.6,52160.0
2018-04-03,15.5,15.3,15.5,15.35,4.585,80750.0
2018-04-04,15.6,15.5,15.5,15.6,4.66,53460.0
2018-04-05,15.7,15.4,15.6,15.65,4.675,50800.0
2018-04-06,16.0,15.5,15.7,16.0,4.779,97860.0
2018-04-09,17.1,16.0,16.0,17.0,5.078,341650.0
2018-04-10,17.2,16.6,17.1,16.7,4.988,131310.0
2018-04-11,17.15,16.6,16.8,16.7,4.988,204410.0
2018-04-12,16.7,16.05,16.7,16.6,4.958,65160.0
2018-04-13,16.8,16.3,16.6,16.3,4.869,120000.0
2018-04-16,16.7,16.1,16.3,16.7,4.988,66580.0
2018-04-17,17.0,16.4,16.4,16.9,5.048,48300.0
2018-04-18,16.9,16.55,16.8,16.75,5.003,58590.0
2018-04-19,16.75,16.1,16.75,16.5,4.929,98900.0
2018-04-20,16.5,16.1,16.4,16.2,4.839,24190.0
2018-04-23,16.2,15.5,16.05,16.0,4.779,130610.0
2018-04-24,15.8,15.5,15.8,15.7,4.69,90870.0
2018-04-26,16.75,15.0,16.75,15.1,4.51,75990.0
2018-04-27,15.95,14.9,14.9,15.5,4.63,42240.0
2018-05-02,15.45,15.1,15.35,15.1,4.51,34890.0
2018-05-03,15.5,15.0,15.2,15.1,4.51,74440.0
2018-05-04,15.45,15.2,15.45,15.4,4.6,20460.0
2018-05-07,15.8,15.5,15.8,15.6,4.66,22750.0
2018-05-08,15.6,15.4,15.55,15.5,4.63,58650.0
2018-05-09,15.55,15.4,15.5,15.5,4.63,9310.0
2018-05-10,15.8,15.5,15.8,15.5,4.63,18710.0
2018-05-11,15.6,15.5,15.6,15.5,4.63,10220.0
2018-05-14,15.9,15.6,15.6,15.85,4.734,9340.0
2018-05-15,16.25,16.0,16.25,16.1,4.809,27120.0
2018-05-16,16.2,16.05,16.2,16.05,4.794,25760.0
2018-05-17,15.1,14.3,14.5,14.6,4.952,24520.0
2018-05-18,14.6,14.3,14.6,14.4,4.884,28630.0
2018-05-21,14.4,14.4,14.4,14.4,4.884,4450.0
2018-05-22,14.4,13.9,14.4,13.9,4.714,63580.0
2018-05-23,14.2,13.7,13.8,14.0,4.748,9080.0
2018-05-24,14.0,13.7,14.0,13.7,4.646,27960.0
2018-05-25,13.75,13.5,13.75,13.6,4.613,45740.0
2018-05-28,13.6,12.9,13.15,12.9,4.375,61190.0
2018-05-29,13.5,13.0,13.0,13.5,4.579,33510.0
2018-05-30,13.8,13.35,13.8,13.55,4.596,3890.0
