Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,98.2,94.0,97.1,95.3,63.344,1418300.0
2018-01-03,97.8,95.0,95.0,97.4,64.74,755420.0
2018-01-04,102.0,98.0,98.0,102.0,67.798,977010.0
2018-01-05,103.5,100.0,102.6,100.4,66.734,829840.0
2018-01-08,101.9,99.0,100.0,100.4,66.734,730170.0
2018-01-09,103.4,100.4,102.0,102.0,67.798,778170.0
2018-01-10,105.0,102.8,104.0,103.0,68.463,904540.0
2018-01-11,104.0,101.1,103.5,103.2,68.595,697400.0
2018-01-12,103.6,100.0,103.1,100.5,66.801,1049410.0
2018-01-15,102.2,98.6,100.5,102.2,67.931,968320.0
2018-01-16,103.9,101.8,102.8,103.5,68.795,1138380.0
2018-01-17,104.2,99.9,103.0,99.9,66.402,1016930.0
2018-01-18,100.1,96.8,99.0,100.1,66.535,1015250.0
2018-01-19,101.0,99.0,99.9,99.0,65.804,724530.0
2018-01-22,105.9,98.0,99.0,105.9,70.39,1812130.0
2018-01-25,113.3,111.0,112.5,113.3,75.309,1156390.0
2018-01-26,120.0,112.0,118.8,116.4,77.369,2222720.0
2018-01-29,118.9,115.0,118.9,115.9,77.037,929870.0
2018-01-30,116.8,112.5,114.0,116.5,77.436,1171560.0
2018-01-31,124.6,114.0,115.0,124.6,82.82,2286340.0
2018-02-01,124.6,119.0,124.6,122.2,81.224,1183240.0
2018-02-02,124.0,120.0,122.2,121.0,80.427,561430.0
2018-02-05,119.8,112.6,118.1,112.6,74.843,1082160.0
2018-02-06,109.5,104.8,104.8,104.8,69.659,1054820.0
2018-02-07,111.8,106.7,107.9,110.0,73.115,708130.0
2018-02-08,107.9,104.0,105.0,104.0,69.127,684310.0
2018-02-09,100.0,96.8,96.8,96.8,64.341,1146710.0
2018-02-12,103.5,95.2,95.2,103.5,68.795,1341740.0
2018-02-13,109.0,105.3,105.3,108.0,71.786,541220.0
2018-02-21,113.8,108.9,110.0,112.0,74.445,553510.0
2018-02-22,110.3,106.0,110.0,106.0,70.457,605460.0
2018-02-23,111.5,107.2,109.0,111.0,73.78,748160.0
2018-02-26,118.0,111.5,111.5,113.0,75.109,845250.0
2018-02-27,116.0,112.6,116.0,113.5,75.442,608620.0
2018-02-28,114.2,111.5,112.5,113.9,75.708,721370.0
2018-03-01,117.4,112.0,113.0,116.0,77.103,875090.0
2018-03-02,118.0,114.0,114.0,117.0,77.768,923410.0
2018-03-05,120.3,112.0,119.0,112.0,74.445,822020.0
2018-03-06,117.2,113.0,115.0,117.0,77.768,806110.0
2018-03-07,117.8,111.5,117.0,114.8,76.306,718330.0
2018-03-08,116.9,113.1,113.1,114.6,76.173,301630.0
2018-03-09,115.5,112.0,114.8,112.0,74.445,606610.0
2018-03-12,116.8,114.0,116.0,116.2,77.236,504770.0
2018-03-13,116.2,113.9,116.2,115.0,76.439,218290.0
2018-03-14,118.5,114.6,115.0,118.2,78.566,816130.0
2018-03-15,121.0,116.0,117.0,121.0,80.427,577980.0
2018-03-16,128.0,119.8,121.0,128.0,85.08,1231950.0
2018-03-19,129.5,126.5,127.0,128.5,85.412,727400.0
2018-03-20,129.0,126.0,126.5,126.0,83.75,619750.0
2018-03-21,129.6,126.5,128.0,127.2,84.548,621450.0
2018-03-22,134.9,128.8,129.8,133.8,88.935,898250.0
2018-03-23,132.0,128.5,129.5,130.9,87.007,722160.0
2018-03-26,135.8,129.6,130.0,129.6,86.143,960430.0
2018-03-27,133.0,125.8,132.0,126.8,84.282,854590.0
2018-03-28,127.5,125.5,126.9,127.0,84.415,420920.0
2018-03-29,127.2,125.5,127.0,126.5,84.083,254020.0
2018-03-30,131.7,126.5,127.0,131.4,87.34,606010.0
2018-04-02,136.4,131.7,132.0,136.1,90.464,811810.0
2018-04-03,136.1,133.0,136.1,133.0,88.403,738610.0
2018-04-04,135.0,129.0,134.9,130.0,86.409,851340.0
2018-04-05,131.0,126.6,130.0,129.9,86.343,1029020.0
2018-04-06,132.9,128.5,130.0,129.8,86.276,327230.0
2018-04-09,131.0,128.0,128.1,129.8,86.276,419850.0
2018-04-10,131.5,129.5,130.0,129.5,86.077,594310.0
2018-04-11,132.5,126.5,131.5,126.5,84.083,819030.0
2018-04-12,130.5,126.0,128.0,130.5,86.741,791540.0
2018-04-13,132.0,126.0,132.0,128.0,85.08,410160.0
2018-04-16,129.5,126.2,129.5,127.3,84.614,379940.0
2018-04-17,128.6,124.0,127.0,128.0,85.08,646850.0
2018-04-18,129.7,127.1,129.2,129.3,85.944,804260.0
2018-04-19,132.2,128.1,130.8,129.3,85.944,1152430.0
2018-04-20,134.0,128.2,128.2,134.0,89.068,947250.0
2018-04-23,136.0,124.7,133.7,124.7,82.886,925000.0
2018-04-24,129.5,118.0,124.7,128.8,85.611,642240.0
2018-04-26,129.5,119.8,128.9,119.8,79.629,1075280.0
2018-04-27,119.7,111.5,116.0,111.5,74.112,953420.0
2018-05-02,108.0,103.7,105.0,103.7,68.928,284180.0
2018-05-03,100.0,96.5,96.5,96.5,64.142,1512540.0
2018-05-04,101.8,96.6,98.0,98.0,65.139,686180.0
2018-05-07,103.5,98.7,101.0,103.5,68.795,426370.0
2018-05-08,106.0,102.0,103.5,103.0,68.463,798500.0
2018-05-09,109.8,103.5,104.0,107.5,71.454,820800.0
2018-05-10,112.5,105.0,110.1,105.0,69.792,879660.0
2018-05-11,111.1,102.5,105.0,111.1,73.846,810690.0
2018-05-14,118.0,111.2,111.2,118.0,78.433,617860.0
2018-05-15,121.5,118.6,119.0,118.6,78.832,678850.0
2018-05-16,120.2,116.0,116.0,119.7,79.563,606740.0
2018-05-17,122.0,116.0,121.0,116.0,77.103,403650.0
2018-05-18,117.0,109.1,116.0,115.0,76.439,780910.0
2018-05-21,117.5,108.5,117.5,108.5,72.118,441810.0
2018-05-22,110.5,102.2,108.0,105.9,70.39,464230.0
2018-05-23,113.3,105.0,105.5,113.3,75.309,600060.0
2018-05-24,115.1,108.1,113.5,113.2,75.242,285680.0
2018-05-25,111.0,105.3,110.0,105.3,69.991,479980.0
2018-05-28,100.0,98.0,98.0,98.0,65.139,479870.0
2018-05-29,99.9,91.2,91.2,96.0,63.81,1241130.0
2018-05-30,96.0,89.3,96.0,89.3,59.356,1176750.0
2018-05-31,93.0,90.4,91.0,90.4,60.087,1078930.0
2018-06-01,93.3,91.5,92.0,92.5,61.483,632800.0
2018-06-04,93.6,91.0,92.9,92.3,61.35,948070.0
2018-06-05,98.7,91.9,92.0,98.7,65.604,1375130.0
2018-06-06,103.3,99.0,101.0,102.9,68.396,610180.0
2018-06-07,103.0,97.0,103.0,99.6,66.203,1220730.0
2018-06-08,101.0,96.0,99.5,97.5,64.807,886300.0
2018-06-11,99.9,95.1,96.0,97.2,64.607,430500.0
2018-06-12,96.8,91.0,95.6,92.2,61.284,975270.0
2018-06-13,96.6,93.0,93.0,96.6,64.209,581410.0
2018-06-14,98.0,94.0,97.0,94.0,62.48,441200.0
2018-06-15,95.9,94.0,94.0,95.9,63.743,424790.0
2018-06-18,95.3,90.0,95.0,90.0,59.822,804300.0
2018-06-19,89.5,83.7,88.5,87.0,57.828,1737920.0
2018-06-20,92.0,85.5,88.0,92.0,61.151,590050.0
2018-06-21,92.0,88.5,92.0,89.1,59.223,423980.0
2018-06-22,92.1,87.0,87.1,90.7,60.287,953560.0
2018-06-25,94.5,91.0,93.9,91.0,60.486,559460.0
2018-06-26,90.5,88.0,88.0,90.0,59.822,362610.0
2018-06-27,92.5,90.0,91.9,90.2,59.955,759500.0
2018-06-28,89.5,87.0,88.9,87.3,59.344,423120.0
2018-06-29,89.0,86.0,87.3,88.5,60.16,381860.0
2018-07-02,89.3,84.1,87.0,88.4,60.092,781630.0
2018-07-03,88.5,83.0,88.4,83.0,56.421,550270.0
2018-07-04,84.6,77.9,84.0,79.5,54.042,866710.0
2018-07-05,80.5,74.0,79.5,74.0,50.303,625240.0
2018-07-06,79.1,70.0,73.0,79.1,53.77,744380.0
2018-07-09,83.8,79.5,79.5,79.5,54.042,499120.0
2018-07-10,83.0,80.0,80.5,80.0,54.382,552090.0
2018-07-11,80.0,76.1,78.0,77.8,52.887,616210.0
2018-07-12,79.9,76.1,76.5,79.0,53.702,237010.0
2018-07-13,82.0,79.0,79.0,81.8,55.606,416710.0
2018-07-16,82.5,80.2,82.0,81.2,55.198,219390.0
2018-07-17,79.8,78.0,79.6,79.0,53.702,518690.0
2018-07-18,83.0,79.5,80.0,83.0,56.421,696840.0
2018-07-19,85.1,83.3,84.0,84.2,57.237,455830.0
2018-07-20,84.0,82.1,84.0,82.7,56.217,545360.0
2018-07-23,86.1,83.5,84.2,84.6,57.509,668990.0
2018-07-24,86.0,82.4,84.9,84.8,57.645,406130.0
2018-07-25,86.4,83.6,85.5,83.7,56.897,398500.0
2018-07-26,84.9,82.4,84.1,83.1,56.489,318080.0
2018-07-27,85.5,83.4,84.5,84.8,57.645,328400.0
2018-07-30,86.9,84.0,85.3,86.9,59.073,496190.0
2018-07-31,89.4,86.2,87.5,87.8,59.684,591060.0
2018-08-01,90.3,87.1,87.8,88.7,60.296,601640.0
2018-08-02,91.5,88.1,89.3,91.0,61.86,638300.0
2018-08-03,95.4,91.5,91.5,93.6,63.627,786540.0
2018-08-06,97.0,93.0,94.4,96.1,65.326,795130.0
2018-08-07,96.5,93.7,96.5,94.0,63.899,661110.0
2018-08-08,98.0,95.0,95.1,98.0,66.618,892220.0
2018-08-09,98.5,96.1,97.5,98.2,66.754,573240.0
2018-08-10,98.8,97.2,98.2,98.7,67.094,571920.0
2018-08-13,103.0,97.4,98.0,103.0,70.017,552870.0
2018-08-14,103.6,100.0,103.0,101.2,68.793,399060.0
2018-08-15,102.0,95.0,101.2,95.0,64.579,660200.0
2018-08-16,95.9,90.0,93.0,94.5,64.239,926520.0
2018-08-17,97.1,95.4,97.0,96.2,65.394,245620.0
2018-08-20,98.3,95.8,96.2,98.2,66.754,342360.0
2018-08-21,98.0,96.3,97.1,97.5,66.278,488840.0
2018-08-22,100.5,98.1,98.5,100.0,67.978,569580.0
2018-08-23,102.2,99.1,101.0,100.4,68.249,332960.0
2018-08-24,102.4,99.8,99.8,101.5,68.997,515530.0
2018-08-27,101.2,100.0,100.9,100.2,69.482,451380.0
