Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,15.9,14.6,15.9,14.6,8.104,6400.0
2018-01-03,16.0,14.9,16.0,14.9,8.271,6809.0
2018-01-04,16.0,14.5,14.5,14.7,8.159,9252.0
2018-01-05,16.0,14.7,16.0,14.7,8.159,7100.0
2018-01-08,15.0,14.7,14.7,14.9,8.271,6636.0
2018-01-09,15.0,14.5,14.7,14.8,8.216,9977.0
2018-01-10,15.1,14.5,14.5,15.1,8.382,58000.0
2018-01-11,14.9,14.6,14.8,14.7,8.159,22305.0
2018-01-12,14.8,14.7,14.7,14.8,8.216,3900.0
2018-01-15,14.8,14.7,14.8,14.8,8.216,1500.0
2018-01-16,15.2,14.6,15.0,14.6,8.104,14430.0
2018-01-17,14.7,14.4,14.7,14.5,8.048,15300.0
2018-01-18,14.6,14.5,14.6,14.5,8.048,16100.0
2018-01-19,14.8,14.3,14.6,14.7,8.159,14125.0
2018-01-22,14.7,14.5,14.6,14.5,8.048,11200.0
2018-01-23,14.6,14.3,14.5,14.6,8.104,8000.0
2018-01-24,14.6,14.5,14.6,14.5,8.048,8301.0
2018-01-25,14.6,14.5,14.5,14.6,8.104,4400.0
2018-01-26,14.6,14.6,14.6,14.6,8.104,1030.0
2018-01-29,14.5,14.5,14.5,14.5,8.048,40100.0
2018-01-30,14.5,14.4,14.5,14.4,7.993,13000.0
2018-01-31,14.8,14.5,14.5,14.8,8.216,15100.0
2018-02-01,14.6,14.5,14.6,14.6,8.104,5200.0
2018-02-02,14.6,14.6,14.6,14.6,8.104,6205.0
2018-02-05,14.6,14.4,14.6,14.4,7.993,11300.0
2018-02-06,14.3,12.6,14.3,14.0,7.771,13506.0
2018-02-07,14.0,13.0,14.0,13.2,7.326,11400.0
2018-02-08,14.4,13.1,13.2,14.0,7.771,5915.0
2018-02-09,13.8,13.2,13.2,13.8,7.66,10100.0
2018-02-12,13.3,13.1,13.1,13.3,7.383,1505.0
2018-02-13,14.6,13.2,13.2,14.0,7.771,11928.0
2018-02-21,14.2,14.0,14.0,14.2,7.882,3645.0
2018-02-22,14.0,14.0,14.0,14.0,7.771,0.0
2018-02-23,14.3,14.2,14.2,14.3,7.938,3820.0
2018-02-26,14.2,14.2,14.2,14.2,7.882,20.0
2018-02-27,14.8,14.2,14.8,14.2,7.882,10040.0
2018-02-28,14.5,14.4,14.4,14.4,7.993,5100.0
2018-03-01,14.4,14.4,14.4,14.4,7.993,100.0
2018-03-02,14.4,14.4,14.4,14.4,7.993,2000.0
2018-03-05,14.0,13.9,13.9,14.0,7.771,4110.0
2018-03-06,13.9,13.9,13.9,13.9,7.715,4000.0
2018-03-07,14.6,14.0,14.6,14.0,7.771,16000.0
2018-03-08,14.0,13.9,13.9,13.9,7.715,8010.0
2018-03-09,14.1,13.8,14.1,14.0,7.771,22000.0
2018-03-12,14.1,13.9,14.1,13.9,7.715,20440.0
2018-03-13,14.2,13.8,13.8,14.1,7.826,7270.0
2018-03-14,14.0,13.8,14.0,13.8,7.66,3100.0
2018-03-15,14.0,13.9,13.9,14.0,7.771,4100.0
2018-03-16,14.0,13.9,13.9,13.9,7.715,9200.0
2018-03-19,14.0,13.8,14.0,13.9,7.715,11440.0
2018-03-20,13.8,13.2,13.6,13.8,7.66,9780.0
2018-03-21,13.9,13.5,13.7,13.6,7.549,23710.0
2018-03-22,14.0,13.7,13.7,14.0,7.771,2400.0
2018-03-23,13.7,13.2,13.7,13.5,7.493,46405.0
2018-03-26,13.4,13.4,13.4,13.4,7.438,900.0
2018-03-27,13.5,13.4,13.4,13.4,7.438,43220.0
2018-03-28,13.4,13.0,13.1,13.2,7.326,50900.0
2018-03-29,13.2,12.8,13.0,12.8,7.105,33700.0
2018-03-30,13.0,12.9,13.0,13.0,7.216,8310.0
2018-04-02,12.9,12.8,12.9,12.9,7.16,27600.0
2018-04-03,12.8,12.8,12.8,12.8,7.105,60.0
2018-04-04,13.7,13.5,13.5,13.7,7.605,9810.0
2018-04-05,13.9,13.6,13.8,13.8,7.66,23500.0
2018-04-06,13.5,13.3,13.3,13.5,7.493,11250.0
2018-04-09,13.7,13.5,13.7,13.5,7.493,7900.0
2018-04-10,13.8,13.5,13.5,13.5,7.493,4150.0
2018-04-11,13.7,13.5,13.6,13.7,7.605,39800.0
2018-04-12,13.7,13.5,13.6,13.5,7.493,77300.0
2018-04-13,13.7,13.4,13.6,13.4,7.438,35800.0
2018-04-16,13.7,13.5,13.6,13.5,7.493,18350.0
2018-04-17,13.6,13.6,13.6,13.6,7.549,45000.0
2018-04-18,13.6,13.4,13.4,13.5,7.493,51640.0
2018-04-19,13.8,13.4,13.6,13.5,7.493,50610.0
2018-04-20,14.0,13.4,13.5,13.7,7.605,81450.0
2018-04-23,13.6,13.5,13.5,13.6,7.549,7300.0
2018-04-24,13.7,13.3,13.7,13.3,7.383,510.0
2018-04-26,13.7,13.2,13.7,13.2,7.326,4800.0
2018-04-27,13.4,13.3,13.3,13.3,7.383,2520.0
2018-05-02,13.4,13.2,13.4,13.3,7.383,58900.0
2018-05-03,13.4,13.2,13.4,13.3,7.383,53600.0
2018-05-04,13.6,13.4,13.5,13.6,7.549,56700.0
2018-05-07,13.5,13.3,13.5,13.3,7.383,7310.0
2018-05-08,13.8,13.3,13.6,13.6,7.549,51300.0
2018-05-09,13.8,13.5,13.6,13.8,7.66,40203.0
2018-05-10,13.8,13.6,13.7,13.6,7.549,33000.0
2018-05-11,13.7,12.8,13.6,13.7,7.605,46100.0
2018-05-14,13.7,13.1,13.7,13.6,7.549,25650.0
2018-05-15,13.7,13.3,13.5,13.6,7.549,40830.0
