Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,11.2,11.2,11.2,11.2,9.468,0.0
2018-01-03,11.6,11.3,11.3,11.6,9.806,8600.0
2018-01-04,11.5,11.4,11.4,11.5,9.721,6200.0
2018-01-05,11.7,11.5,11.5,11.7,9.89,8500.0
2018-01-08,11.5,10.8,10.8,11.5,9.721,5400.0
2018-01-09,11.5,11.5,11.5,11.5,9.721,100.0
2018-01-10,11.5,11.5,11.5,11.5,9.721,38500.0
2018-01-11,11.2,11.1,11.1,11.2,9.468,60000.0
2018-01-12,11.2,11.2,11.2,11.2,9.468,0.0
2018-01-15,11.5,11.2,11.3,11.5,9.721,1200.0
2018-01-16,11.1,11.0,11.1,11.0,9.299,20000.0
2018-01-17,11.5,11.0,11.0,11.3,9.552,49300.0
2018-01-18,11.1,11.0,11.0,11.0,9.299,33500.0
2018-01-19,11.0,11.0,11.0,11.0,9.299,0.0
2018-01-22,11.8,11.0,11.5,11.7,9.89,85000.0
2018-01-23,11.5,11.1,11.1,11.5,9.721,25000.0
2018-01-24,11.6,11.4,11.6,11.5,9.721,67100.0
2018-01-25,11.4,11.4,11.4,11.4,9.637,1000.0
2018-01-26,11.5,11.3,11.3,11.5,9.721,11000.0
2018-01-29,11.1,11.0,11.0,11.0,9.299,12000.0
2018-01-30,11.4,11.0,11.0,11.1,9.383,15800.0
2018-01-31,11.4,11.2,11.4,11.2,9.468,13400.0
2018-02-01,11.2,11.2,11.2,11.2,9.468,5000.0
2018-02-02,11.2,11.2,11.2,11.2,9.468,5550.0
2018-02-05,11.1,11.0,11.1,11.1,9.383,20000.0
2018-02-06,11.0,11.0,11.0,11.0,9.299,6500.0
2018-02-07,11.0,11.0,11.0,11.0,9.299,11900.0
2018-02-08,11.0,11.0,11.0,11.0,9.299,10100.0
2018-02-09,11.2,11.0,11.0,11.2,9.468,5600.0
2018-02-12,11.0,11.0,11.0,11.0,9.299,0.0
2018-02-13,11.0,11.0,11.0,11.0,9.299,0.0
2018-02-21,11.0,11.0,11.0,11.0,9.299,0.0
2018-02-22,11.5,10.8,11.5,10.8,9.129,12000.0
2018-02-23,11.4,11.4,11.4,11.4,9.637,0.0
2018-02-26,11.0,11.0,11.0,11.0,9.299,3500.0
2018-02-27,11.0,11.0,11.0,11.0,9.299,3000.0
2018-02-28,11.2,11.0,11.0,11.0,9.299,4900.0
2018-03-01,11.0,11.0,11.0,11.0,9.299,11500.0
2018-03-02,11.0,11.0,11.0,11.0,9.299,7500.0
2018-03-05,11.0,11.0,11.0,11.0,9.299,14200.0
2018-03-06,10.9,10.8,10.8,10.9,9.214,6300.0
2018-03-07,11.0,10.8,10.9,10.8,9.129,52500.0
2018-03-08,11.0,11.0,11.0,11.0,9.299,17600.0
2018-03-09,11.0,11.0,11.0,11.0,9.299,0.0
2018-03-12,10.9,10.9,10.9,10.9,9.214,3000.0
2018-03-13,10.9,10.8,10.9,10.8,9.129,6000.0
2018-03-14,10.9,10.8,10.9,10.8,9.129,16200.0
2018-03-15,11.5,10.9,10.9,11.5,9.721,51800.0
2018-03-16,11.1,10.8,11.0,11.1,9.383,29500.0
2018-03-19,11.0,11.0,11.0,11.0,9.299,30000.0
2018-03-20,11.0,11.0,11.0,11.0,9.299,382900.0
2018-03-21,11.0,11.0,11.0,11.0,9.299,400.0
2018-03-22,10.9,10.9,10.9,10.9,9.214,31500.0
2018-03-23,10.9,10.9,10.9,10.9,9.214,0.0
2018-03-26,10.9,10.9,10.9,10.9,9.214,0.0
2018-03-27,10.8,10.8,10.8,10.8,9.129,148100.0
2018-03-28,10.8,10.6,10.8,10.7,9.045,25000.0
2018-03-29,10.6,10.6,10.6,10.6,8.96,186000.0
2018-03-30,10.6,10.6,10.6,10.6,8.96,0.0
2018-04-02,10.6,10.6,10.6,10.6,8.96,0.0
2018-04-03,10.9,10.9,10.9,10.9,9.214,30000.0
2018-04-04,10.9,10.9,10.9,10.9,9.214,0.0
2018-04-05,10.9,10.6,10.9,10.6,8.96,8000.0
2018-04-06,11.0,10.9,10.9,11.0,9.299,86100.0
2018-04-09,10.9,10.9,10.9,10.9,9.214,0.0
2018-04-10,10.9,10.8,10.8,10.9,9.214,7000.0
2018-04-11,11.0,10.9,11.0,10.9,9.214,13900.0
2018-04-12,10.9,10.8,10.8,10.9,9.214,40000.0
2018-04-13,10.8,10.8,10.8,10.8,9.129,35000.0
2018-04-16,10.8,10.8,10.8,10.8,9.129,0.0
2018-04-17,10.8,10.8,10.8,10.8,9.129,0.0
2018-04-18,11.0,11.0,11.0,11.0,9.299,6000.0
2018-04-19,11.0,11.0,11.0,11.0,9.299,0.0
2018-04-20,10.8,10.8,10.8,10.8,9.129,10000.0
2018-04-23,10.8,10.8,10.8,10.8,9.129,7500.0
2018-04-24,10.8,10.8,10.8,10.8,9.129,12900.0
2018-04-26,10.8,10.8,10.8,10.8,9.129,0.0
2018-04-27,10.8,10.8,10.8,10.8,9.129,0.0
2018-05-02,10.8,10.8,10.8,10.8,9.129,0.0
2018-05-03,10.8,10.8,10.8,10.8,9.129,0.0
2018-05-04,10.8,10.8,10.8,10.8,9.129,0.0
2018-05-07,10.7,10.7,10.7,10.7,9.045,13000.0
2018-05-08,10.7,10.7,10.7,10.7,9.045,0.0
2018-05-09,10.7,10.7,10.7,10.7,9.045,0.0
2018-05-10,10.9,10.8,10.8,10.9,9.214,12000.0
2018-05-11,10.8,10.8,10.8,10.8,9.129,9400.0
2018-05-14,10.8,10.8,10.8,10.8,9.129,0.0
2018-05-15,10.8,10.8,10.8,10.8,9.129,0.0
2018-05-16,10.5,10.0,10.1,10.5,8.876,4000.0
2018-05-17,10.5,10.3,10.5,10.5,8.876,70900.0
2018-05-18,10.4,10.4,10.4,10.4,8.791,0.0
2018-05-21,10.4,10.4,10.4,10.4,8.791,0.0
2018-05-22,10.4,10.3,10.3,10.4,8.791,3500.0
2018-05-23,10.4,10.4,10.4,10.4,8.791,500.0
2018-05-24,10.4,10.4,10.4,10.4,8.791,5900.0
2018-05-25,10.4,10.4,10.4,10.4,8.791,0.0
2018-05-28,10.3,10.3,10.3,10.3,8.707,15000.0
2018-05-29,10.3,10.3,10.3,10.3,8.707,10000.0
2018-05-30,10.3,10.3,10.3,10.3,8.707,0.0
2018-05-31,10.3,10.3,10.3,10.3,8.707,0.0
2018-06-01,10.3,10.3,10.3,10.3,8.707,5000.0
2018-06-04,10.3,10.3,10.3,10.3,8.707,0.0
2018-06-05,10.8,10.8,10.8,10.8,9.129,100.0
2018-06-06,10.8,10.6,10.8,10.6,8.96,24700.0
2018-06-07,10.6,10.6,10.6,10.6,8.96,5000.0
2018-06-08,10.6,10.6,10.6,10.6,8.96,0.0
2018-06-11,11.0,11.0,11.0,11.0,9.299,11300.0
2018-06-12,11.0,11.0,11.0,11.0,9.299,3000.0
2018-06-13,11.0,11.0,11.0,11.0,9.299,0.0
2018-06-14,11.0,11.0,11.0,11.0,9.299,0.0
2018-06-15,11.0,11.0,11.0,11.0,9.299,0.0
2018-06-18,11.5,10.7,11.5,10.7,9.045,28200.0
2018-06-19,11.5,11.5,11.5,11.5,9.721,16700.0
2018-06-20,11.5,11.5,11.5,11.5,9.721,0.0
2018-06-21,11.5,11.5,11.5,11.5,9.721,10900.0
2018-06-22,11.5,11.5,11.5,11.5,9.721,800.0
2018-06-25,11.5,11.5,11.5,11.5,9.721,2900.0
2018-06-26,11.5,11.5,11.5,11.5,9.721,2000.0
2018-06-27,11.5,11.5,11.5,11.5,9.721,0.0
2018-06-28,12.0,11.8,11.8,12.0,10.144,9800.0
2018-06-29,11.9,11.9,11.9,11.9,10.059,0.0
2018-07-02,11.9,11.9,11.9,11.9,10.059,3300.0
2018-07-03,12.0,11.9,11.9,11.9,10.059,18700.0
2018-07-04,11.9,11.9,11.9,11.9,10.059,5000.0
2018-07-05,12.0,11.9,11.9,12.0,10.144,6400.0
2018-07-06,12.0,12.0,12.0,12.0,10.144,1000.0
2018-07-09,12.0,12.0,12.0,12.0,10.144,1000.0
2018-07-10,12.0,12.0,12.0,12.0,10.144,0.0
2018-07-11,12.0,12.0,12.0,12.0,10.144,0.0
2018-07-12,12.0,12.0,12.0,12.0,10.144,0.0
