Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,15.9,15.0,15.9,15.05,9.175,1480.0
2018-01-03,15.65,14.7,15.65,14.7,8.962,1450.0
2018-01-04,15.45,15.45,15.45,15.45,9.419,240.0
2018-01-05,15.2,15.0,15.15,15.2,9.267,480.0
2018-01-08,15.85,15.0,15.85,15.0,9.145,5220.0
2018-01-09,15.5,14.15,15.4,14.15,8.627,5590.0
2018-01-10,15.1,14.9,15.0,14.9,9.084,10030.0
2018-01-11,15.45,14.5,15.45,15.4,9.389,910.0
2018-01-12,15.4,14.7,15.4,14.7,8.962,1010.0
2018-01-15,15.35,15.35,15.35,15.35,9.358,160.0
2018-01-16,15.5,14.55,15.0,15.5,9.45,1000.0
2018-01-17,15.0,15.0,15.0,15.0,9.145,7150.0
2018-01-18,15.45,15.45,15.45,15.45,9.419,260.0
2018-01-19,15.45,15.0,15.2,15.0,9.145,350.0
2018-01-22,15.35,15.35,15.35,15.35,9.358,10.0
2018-01-25,15.35,14.9,15.35,14.9,9.084,1480.0
2018-01-26,15.9,13.9,15.5,15.2,9.267,1030.0
2018-01-29,15.2,15.15,15.2,15.15,9.236,7140.0
2018-01-30,15.15,15.1,15.15,15.1,9.206,70.0
2018-01-31,15.15,14.05,15.0,15.0,9.145,2480.0
2018-02-01,16.0,14.95,15.5,14.95,9.114,1290.0
2018-02-02,15.5,14.8,15.0,14.8,9.023,260.0
2018-02-05,15.25,14.4,15.25,15.2,9.267,2500.0
2018-02-06,16.25,14.3,15.3,15.2,9.267,920.0
2018-02-07,15.3,15.2,15.2,15.3,9.328,30.0
2018-02-08,15.95,15.3,15.3,15.95,9.724,330.0
2018-02-09,15.95,15.95,15.95,15.95,9.724,270.0
2018-02-12,15.6,14.9,14.9,15.6,9.511,670.0
2018-02-13,16.5,15.5,15.9,15.6,9.511,1620.0
2018-02-21,16.5,16.0,16.0,16.5,10.059,230.0
2018-02-22,16.5,15.5,15.6,16.5,10.059,200.0
2018-02-23,15.5,15.35,15.5,15.35,9.358,3670.0
2018-02-26,16.0,15.1,15.35,15.6,9.511,450.0
2018-02-27,16.5,15.0,15.6,15.9,9.694,9030.0
2018-02-28,16.5,15.0,15.9,16.5,10.059,7480.0
2018-03-01,16.4,15.4,15.4,15.4,9.389,3520.0
2018-03-02,15.9,15.85,15.9,15.85,9.663,410.0
2018-03-05,16.05,15.1,15.1,16.05,9.785,990.0
2018-03-06,15.85,14.95,15.5,14.95,9.114,2780.0
2018-03-07,15.5,13.95,15.5,13.95,8.505,38170.0
2018-03-08,14.6,13.6,14.6,13.6,8.291,2180.0
2018-03-09,14.55,14.5,14.55,14.55,8.871,4580.0
2018-03-12,14.55,13.6,14.55,13.6,8.291,2950.0
