Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,4.1,3.9,3.9,4.0,3.383,2800.0
2018-01-03,4.2,4.0,4.0,4.1,3.467,93133.0
2018-01-04,4.2,4.1,4.2,4.1,3.467,14600.0
2018-01-05,4.1,4.1,4.1,4.1,3.467,1690.0
2018-01-08,4.2,4.0,4.0,4.2,3.552,20384.0
2018-01-09,4.2,4.0,4.1,4.2,3.552,66155.0
2018-01-10,4.2,4.0,4.0,4.0,3.383,14866.0
2018-01-11,4.2,4.0,4.0,4.1,3.467,24451.0
2018-01-12,4.2,4.1,4.1,4.1,3.467,47774.0
2018-01-15,4.2,4.1,4.1,4.2,3.552,20241.0
2018-01-16,4.2,4.0,4.2,4.0,3.383,20288.0
2018-01-17,4.2,4.0,4.0,4.1,3.467,22000.0
2018-01-18,4.1,4.0,4.0,4.0,3.383,24443.0
2018-01-19,4.1,4.0,4.1,4.0,3.383,8242.0
2018-01-22,4.1,3.8,4.0,3.8,3.213,31450.0
2018-01-23,4.1,3.8,3.9,4.0,3.383,37164.0
2018-01-24,3.9,3.8,3.9,3.9,3.298,33500.0
2018-01-25,3.9,3.6,3.8,3.9,3.298,28900.0
2018-01-26,3.8,3.8,3.8,3.8,3.213,20430.0
2018-01-29,3.9,3.8,3.9,3.9,3.298,6777.0
2018-01-30,3.9,3.8,3.9,3.8,3.213,3137.0
2018-01-31,3.9,3.7,3.9,3.8,3.213,14500.0
2018-02-01,3.9,3.8,3.8,3.9,3.298,10200.0
2018-02-02,3.8,3.8,3.8,3.8,3.213,100.0
2018-02-05,3.8,3.6,3.6,3.7,3.129,8436.0
2018-02-06,3.6,3.2,3.3,3.6,3.044,970.0
2018-02-07,3.6,3.5,3.5,3.5,2.96,24100.0
2018-02-08,3.6,3.6,3.6,3.6,3.044,0.0
2018-02-09,3.8,3.4,3.5,3.8,3.213,5400.0
2018-02-12,3.7,3.5,3.7,3.7,3.129,2200.0
2018-02-13,3.6,3.5,3.5,3.6,3.044,3320.0
2018-02-21,3.7,3.5,3.5,3.7,3.129,3510.0
2018-02-22,3.7,3.7,3.7,3.7,3.129,12.0
2018-02-23,3.7,3.5,3.5,3.6,3.044,12420.0
2018-02-26,3.7,3.5,3.7,3.6,3.044,9620.0
2018-02-27,3.6,3.6,3.6,3.6,3.044,600.0
2018-02-28,3.6,3.6,3.6,3.6,3.044,0.0
2018-03-01,3.6,3.4,3.4,3.6,3.044,8802.0
2018-03-02,3.6,3.5,3.5,3.5,2.96,11604.0
2018-03-05,3.5,3.5,3.5,3.5,2.96,1833.0
2018-03-06,3.6,3.3,3.5,3.6,3.044,4178.0
2018-03-07,4.0,3.6,3.6,4.0,3.383,182500.0
2018-03-08,4.0,3.9,4.0,4.0,3.383,5332.0
2018-03-09,3.9,3.8,3.9,3.8,3.213,9600.0
2018-03-12,3.9,3.8,3.9,3.9,3.298,13952.0
2018-03-13,3.9,3.9,3.9,3.9,3.298,100.0
2018-03-14,3.9,3.9,3.9,3.9,3.298,120.0
2018-03-15,3.8,3.8,3.8,3.8,3.213,800.0
2018-03-16,3.9,3.7,3.9,3.8,3.213,28550.0
2018-03-19,3.9,3.7,3.8,3.8,3.213,8500.0
2018-03-20,3.9,3.9,3.9,3.9,3.298,117.0
2018-03-21,3.9,3.5,3.9,3.8,3.213,21888.0
2018-03-22,3.7,3.7,3.7,3.7,3.129,700.0
2018-03-23,3.7,3.5,3.5,3.7,3.129,1610.0
2018-03-26,3.7,3.5,3.7,3.7,3.129,3800.0
2018-03-27,3.7,3.5,3.5,3.6,3.044,11116.0
2018-03-28,3.6,3.4,3.6,3.4,2.875,5300.0
2018-03-29,3.6,3.6,3.6,3.6,3.044,100.0
2018-03-30,3.6,3.4,3.4,3.6,3.044,5100.0
2018-04-02,3.7,3.4,3.6,3.4,2.875,6605.0
2018-04-03,3.7,3.6,3.7,3.6,3.044,302.0
2018-04-04,3.7,3.6,3.6,3.7,3.129,201.0
2018-04-05,3.6,3.6,3.6,3.6,3.044,1400.0
2018-04-06,3.6,3.4,3.5,3.6,3.044,7492.0
2018-04-09,3.6,3.4,3.6,3.6,3.044,7946.0
2018-04-10,3.7,3.7,3.7,3.7,3.129,180.0
2018-04-11,3.7,3.7,3.7,3.7,3.129,200.0
2018-04-12,3.7,3.7,3.7,3.7,3.129,0.0
2018-04-13,3.6,3.6,3.6,3.6,3.044,200.0
2018-04-16,3.5,3.5,3.5,3.5,2.96,100.0
2018-04-17,3.6,3.6,3.6,3.6,3.044,200.0
2018-04-18,3.6,3.4,3.4,3.6,3.044,1222.0
2018-04-19,3.4,3.2,3.4,3.3,2.791,16500.0
2018-04-20,3.6,3.3,3.4,3.3,2.791,22050.0
2018-04-23,3.4,3.4,3.4,3.4,2.875,300.0
2018-04-24,3.4,3.4,3.4,3.4,2.875,0.0
2018-04-26,3.3,3.0,3.2,3.3,2.791,4100.0
2018-04-27,3.4,3.3,3.3,3.4,2.875,15600.0
2018-05-02,3.4,3.0,3.0,3.4,2.875,102508.0
2018-05-03,3.4,3.2,3.2,3.4,2.875,1344.0
2018-05-04,3.3,3.2,3.3,3.3,2.791,17503.0
2018-05-07,3.3,3.3,3.3,3.3,2.791,190.0
2018-05-08,3.4,3.3,3.3,3.3,2.791,6000.0
2018-05-09,3.4,3.4,3.4,3.4,2.875,0.0
2018-05-10,3.3,3.2,3.3,3.3,2.791,4900.0
2018-05-11,3.2,3.2,3.2,3.2,2.706,1000.0
2018-05-14,3.2,3.2,3.2,3.2,2.706,0.0
2018-05-15,3.3,3.3,3.3,3.3,2.791,2300.0
2018-05-16,3.5,3.3,3.4,3.3,2.791,30400.0
2018-05-17,3.4,3.3,3.3,3.3,2.791,8400.0
2018-05-18,3.7,3.4,3.4,3.7,3.129,135900.0
2018-05-21,3.9,3.7,3.7,3.9,3.298,148599.0
2018-05-22,3.9,3.5,3.9,3.5,2.96,31300.0
2018-05-23,3.7,3.4,3.4,3.7,3.129,2160.0
2018-05-24,3.7,3.4,3.7,3.4,2.875,12800.0
2018-05-25,3.6,3.3,3.3,3.5,2.96,8310.0
2018-05-28,3.3,3.2,3.3,3.2,2.706,8700.0
2018-05-29,3.3,3.2,3.2,3.3,2.791,6694.0
2018-05-30,3.3,3.2,3.2,3.3,2.791,18000.0
2018-05-31,3.3,3.3,3.3,3.3,2.791,21231.0
2018-06-01,3.3,3.3,3.3,3.3,2.791,22100.0
2018-06-04,3.3,3.3,3.3,3.3,2.791,0.0
2018-06-05,3.3,3.2,3.2,3.3,2.791,10520.0
2018-06-06,3.2,3.2,3.2,3.2,2.706,15000.0
2018-06-07,3.2,3.1,3.1,3.2,2.706,1100.0
2018-06-08,3.2,3.1,3.2,3.1,2.622,4906.0
2018-06-11,3.2,3.1,3.1,3.1,2.622,11000.0
2018-06-12,3.2,3.1,3.1,3.1,2.622,5300.0
2018-06-13,3.2,3.1,3.2,3.1,2.622,46275.0
2018-06-14,3.2,3.1,3.1,3.1,2.622,20100.0
2018-06-15,3.1,3.0,3.0,3.1,2.622,14170.0
2018-06-18,3.1,3.1,3.1,3.1,2.622,1000.0
2018-06-19,3.1,3.0,3.1,3.0,2.537,24134.0
2018-06-20,3.1,3.1,3.1,3.1,2.622,26.0
2018-06-21,3.0,2.7,2.9,3.0,2.537,2100.0
2018-06-22,3.1,3.1,3.1,3.1,2.622,156.0
2018-06-25,3.1,3.0,3.0,3.0,2.537,5303.0
2018-06-26,2.8,2.8,2.8,2.8,2.368,1000.0
2018-06-27,3.1,2.8,3.1,2.8,2.368,11730.0
2018-06-28,3.1,2.8,2.8,3.0,2.537,41900.0
2018-06-29,3.2,3.0,3.0,3.2,2.706,42361.0
2018-07-02,3.0,3.0,3.0,3.0,2.537,6168.0
2018-07-03,3.0,3.0,3.0,3.0,2.537,1500.0
2018-07-04,3.3,3.3,3.3,3.3,2.791,161.0
2018-07-05,3.1,2.9,3.0,3.1,2.622,9800.0
2018-07-06,3.0,2.9,3.0,2.9,2.452,8800.0
2018-07-09,3.0,2.9,3.0,3.0,2.537,12928.0
2018-07-10,3.0,3.0,3.0,3.0,2.537,3700.0
2018-07-11,3.1,3.0,3.0,3.0,2.537,48400.0
2018-07-12,3.0,2.8,3.0,3.0,2.537,615600.0
2018-07-13,3.0,2.8,2.8,3.0,2.537,3121.0
2018-07-16,3.1,3.0,3.0,3.0,2.537,13620.0
2018-07-17,3.0,3.0,3.0,3.0,2.537,27000.0
2018-07-18,3.1,3.0,3.0,3.1,2.622,36647.0
2018-07-19,3.2,3.1,3.1,3.1,2.622,20700.0
2018-07-20,3.2,3.1,3.1,3.1,2.622,20500.0
2018-07-23,3.1,3.1,3.1,3.1,2.622,53200.0
2018-07-24,3.1,3.0,3.0,3.1,2.622,10100.0
2018-07-25,3.1,3.0,3.0,3.1,2.622,524600.0
2018-07-26,3.0,3.0,3.0,3.0,2.537,0.0
2018-07-27,3.1,2.8,2.8,3.1,2.622,2672.0
2018-07-30,3.0,2.9,2.9,3.0,2.537,2120.0
2018-07-31,3.0,2.9,2.9,3.0,2.537,4100.0
2018-08-01,3.0,2.9,3.0,2.9,2.452,200.0
2018-08-02,3.0,2.9,2.9,3.0,2.537,4110.0
2018-08-03,3.1,2.8,2.8,3.1,2.622,49326.0
2018-08-06,3.1,3.1,3.1,3.1,2.622,100.0
2018-08-07,3.1,3.1,3.1,3.1,2.622,50000.0
2018-08-08,3.2,3.1,3.1,3.1,2.622,36200.0
2018-08-09,3.1,3.1,3.1,3.1,2.622,85463.0
2018-08-10,3.1,3.1,3.1,3.1,2.622,394.0
2018-08-13,3.1,3.0,3.0,3.1,2.622,206.0
2018-08-14,3.1,2.9,3.0,3.1,2.622,4860.0
2018-08-15,3.1,3.0,3.0,3.0,2.537,2100.0
2018-08-16,2.9,2.9,2.9,2.9,2.452,10000.0
2018-08-17,3.1,3.0,3.1,3.1,2.622,55101.0
2018-08-20,3.1,3.1,3.1,3.1,2.622,40060.0
2018-08-21,3.1,3.0,3.0,3.1,2.622,23500.0
2018-08-22,3.0,3.0,3.0,3.0,2.537,13500.0
2018-08-23,3.1,3.1,3.1,3.1,2.622,100.0
2018-08-24,3.2,3.1,3.2,3.2,2.706,49900.0
2018-08-27,3.1,3.1,3.1,3.1,2.622,5500.0
2018-08-28,3.1,3.1,3.1,3.1,2.622,20399.0
2018-08-29,3.3,3.1,3.2,3.2,2.706,77861.0
2018-08-30,3.3,3.1,3.2,3.3,2.791,65801.0
2018-08-31,3.3,3.2,3.3,3.3,2.791,73274.0
2018-09-04,3.3,3.2,3.2,3.2,2.706,25195.0
2018-09-05,3.2,3.2,3.2,3.2,2.706,20062.0
2018-09-06,3.2,3.2,3.2,3.2,2.706,35000.0
2018-09-07,3.3,3.2,3.2,3.3,2.791,2700.0
2018-09-10,3.2,3.2,3.2,3.2,2.706,10600.0
2018-09-11,3.3,3.2,3.2,3.3,2.791,11600.0
2018-09-12,3.3,3.1,3.1,3.3,2.791,13900.0
2018-09-13,3.3,3.2,3.2,3.2,2.706,14500.0
2018-09-14,3.2,3.2,3.2,3.2,2.706,40031.0
2018-09-17,3.3,3.2,3.2,3.2,2.706,24246.0
2018-09-18,3.3,3.1,3.2,3.2,2.706,24200.0
2018-09-19,3.2,3.2,3.2,3.2,2.706,9800.0
2018-09-20,3.3,3.2,3.2,3.3,2.791,6061.0
2018-09-21,3.2,3.2,3.2,3.2,2.706,10100.0
2018-09-24,3.3,3.2,3.2,3.2,2.706,6100.0
2018-09-25,3.3,3.2,3.2,3.2,2.706,16200.0
2018-09-26,3.3,3.3,3.3,3.3,2.791,5120.0
2018-09-27,3.3,3.2,3.3,3.3,2.791,5612.0
2018-09-28,3.3,3.3,3.3,3.3,2.791,23897.0
2018-10-01,3.6,3.4,3.4,3.5,2.96,23935.0
2018-10-02,3.5,3.4,3.4,3.5,2.96,6700.0
2018-10-03,3.5,3.4,3.4,3.5,2.96,10200.0
2018-10-04,3.5,3.4,3.4,3.5,2.96,3100.0
2018-10-05,3.4,3.4,3.4,3.4,2.875,0.0
2018-10-08,3.4,3.4,3.4,3.4,2.875,4500.0
2018-10-09,3.5,3.5,3.5,3.5,2.96,16166.0
2018-10-10,3.6,3.5,3.5,3.6,3.044,16200.0
2018-10-11,3.4,3.3,3.4,3.3,2.791,102000.0
2018-10-12,3.5,3.3,3.3,3.5,2.96,36559.0
2018-10-15,3.6,3.5,3.5,3.6,3.044,13003.0
2018-10-16,3.6,3.6,3.6,3.6,3.044,900.0
2018-10-17,3.6,3.6,3.6,3.6,3.044,0.0
2018-10-18,3.5,3.5,3.5,3.5,2.96,6900.0
2018-10-19,3.5,3.5,3.5,3.5,2.96,47.0
2018-10-22,3.5,3.4,3.4,3.5,2.96,4400.0
2018-10-23,3.4,3.2,3.3,3.4,2.875,8200.0
2018-10-24,3.6,3.3,3.4,3.6,3.044,60800.0
2018-10-25,3.5,3.4,3.4,3.5,2.96,37700.0
2018-10-26,3.6,3.5,3.6,3.5,2.96,17600.0
2018-10-29,4.0,3.5,3.5,3.8,3.213,177357.0
2018-10-30,3.9,3.7,3.8,3.9,3.298,69927.0
2018-10-31,3.9,3.7,3.7,3.9,3.298,42500.0
2018-11-01,4.0,3.7,3.8,3.9,3.298,157651.0
2018-11-02,3.8,3.7,3.8,3.8,3.213,5300.0
2018-11-05,4.0,3.6,3.7,3.9,3.298,56200.0
2018-11-06,4.3,3.7,3.8,4.1,3.467,243627.0
2018-11-07,4.5,3.9,4.0,4.3,3.636,246975.0
2018-11-08,4.5,4.2,4.2,4.5,3.805,86196.0
2018-11-09,4.7,4.3,4.4,4.7,3.974,192034.0
2018-11-12,4.8,4.6,4.6,4.8,4.058,71560.0
2018-11-13,4.9,4.7,4.7,4.8,4.058,175943.0
2018-11-14,4.9,4.8,4.8,4.9,4.143,151821.0
2018-11-15,4.7,4.6,4.7,4.6,3.89,21587.0
2018-11-16,4.6,4.1,4.4,4.6,3.89,34575.0
2018-11-19,4.9,4.6,4.9,4.9,4.143,17724.0
2018-11-20,5.0,4.8,4.8,4.9,4.143,121288.0
2018-11-21,4.9,4.8,4.9,4.9,4.143,5878.0
2018-11-22,5.0,4.7,4.7,5.0,4.227,77448.0
2018-11-23,5.0,4.9,5.0,4.9,4.143,86000.0
2018-11-26,5.0,4.9,4.9,5.0,4.227,1211.0
2018-11-27,4.9,4.6,4.6,4.9,4.143,400.0
2018-11-28,4.9,4.8,4.8,4.9,4.143,200.0
2018-11-29,4.8,4.5,4.6,4.5,3.805,5900.0
2018-11-30,4.4,4.3,4.4,4.4,3.721,3500.0
2018-12-03,4.6,4.3,4.5,4.6,3.89,14900.0
2018-12-04,4.5,4.4,4.4,4.4,3.721,11800.0
2018-12-05,4.6,4.5,4.5,4.6,3.89,4600.0
2018-12-06,4.7,4.7,4.7,4.7,3.974,62369.0
2018-12-07,4.8,4.6,4.6,4.8,4.058,7658.0
2018-12-10,4.9,4.8,4.9,4.8,4.058,27567.0
2018-12-11,4.9,4.8,4.8,4.9,4.143,5600.0
2018-12-12,4.9,4.8,4.8,4.8,4.058,33300.0
2018-12-13,4.9,4.8,4.8,4.8,4.058,5100.0
2018-12-14,4.9,4.7,4.8,4.8,4.058,6742.0
2018-12-17,4.8,4.6,4.7,4.8,4.058,1902.0
2018-12-18,4.7,4.5,4.7,4.5,3.805,26100.0
2018-12-19,4.6,4.5,4.5,4.6,3.89,6600.0
2018-12-20,5.0,4.5,4.5,5.0,4.227,69700.0
2018-12-21,5.0,4.5,5.0,4.8,4.058,85100.0
2018-12-24,4.9,4.7,4.7,4.8,4.058,495400.0
2018-12-25,5.1,4.7,4.9,4.9,4.143,52800.0
