Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,8.75,8.5,8.6,8.61,8.61,190820.0
2018-01-03,8.65,8.47,8.51,8.59,8.59,1856250.0
2018-01-04,8.84,8.52,8.59,8.61,8.61,707430.0
2018-01-05,8.8,8.55,8.58,8.76,8.76,2393610.0
2018-01-08,9.0,8.7,8.8,8.75,8.75,601320.0
2018-01-09,8.95,8.69,8.75,8.72,8.72,433380.0
2018-01-10,8.79,8.5,8.71,8.5,8.5,648120.0
2018-01-11,8.6,8.38,8.6,8.4,8.4,741710.0
2018-01-12,8.7,8.3,8.4,8.39,8.39,1589950.0
2018-01-15,8.55,8.35,8.39,8.38,8.38,1479940.0
2018-01-16,8.52,8.35,8.39,8.37,8.37,403360.0
2018-01-17,8.48,8.35,8.37,8.37,8.37,901250.0
2018-01-18,8.4,8.19,8.35,8.22,8.22,341170.0
2018-01-19,8.25,8.02,8.21,8.03,8.03,998840.0
2018-01-22,8.2,7.64,8.03,7.66,7.66,1037520.0
2018-01-25,7.66,7.21,7.63,7.25,7.25,2121580.0
2018-01-26,7.6,7.25,7.25,7.6,7.6,757420.0
2018-01-29,8.13,7.7,7.7,8.12,8.12,1504440.0
2018-01-30,8.68,8.14,8.25,8.68,8.68,1238730.0
2018-01-31,9.28,8.8,9.13,9.26,9.26,2671410.0
2018-02-01,9.31,8.99,9.3,9.26,9.26,3538320.0
2018-02-02,9.5,8.9,9.01,9.37,9.37,1524060.0
2018-02-05,9.45,9.15,9.21,9.36,9.36,2225240.0
2018-02-06,8.9,8.71,8.75,8.71,8.71,1016880.0
2018-02-07,9.2,8.6,9.1,9.2,9.2,702040.0
2018-02-08,9.8,9.11,9.2,9.3,9.3,1122380.0
2018-02-09,9.25,8.9,9.1,9.25,9.25,469430.0
2018-02-12,9.7,9.25,9.25,9.65,9.65,1456880.0
2018-02-13,10.0,9.6,10.0,10.0,10.0,553120.0
2018-02-21,10.2,10.0,10.0,10.05,10.05,832890.0
2018-02-22,10.0,9.6,10.0,9.6,9.6,313160.0
2018-02-23,9.6,9.19,9.5,9.3,9.3,882330.0
2018-02-26,9.5,9.1,9.2,9.38,9.38,1661790.0
2018-02-27,9.49,9.25,9.35,9.38,9.38,924330.0
2018-02-28,9.86,9.3,9.3,9.84,9.84,2190910.0
2018-03-01,10.5,9.84,9.84,10.5,10.5,3311830.0
2018-03-02,11.2,10.5,10.5,11.2,11.2,3006420.0
2018-03-05,11.4,10.5,11.2,11.15,11.15,3534960.0
2018-03-06,11.4,10.65,10.65,11.3,11.3,3324520.0
2018-03-07,11.45,10.7,11.25,10.7,10.7,3541310.0
2018-03-08,11.0,10.65,10.65,10.8,10.8,1792510.0
2018-03-09,11.2,10.8,10.8,10.95,10.95,3761330.0
2018-03-12,11.0,10.4,10.9,10.8,10.8,2580340.0
2018-03-13,11.55,10.6,10.6,11.55,11.55,1985440.0
2018-03-14,12.35,11.55,11.55,11.9,11.9,3897520.0
2018-03-15,11.9,11.35,11.65,11.5,11.5,2281310.0
2018-03-16,11.6,11.15,11.3,11.6,11.6,3125460.0
2018-03-19,11.5,11.0,11.35,11.4,11.4,2443910.0
2018-03-20,11.35,10.65,11.0,10.65,10.65,2963110.0
2018-03-21,10.95,9.91,10.65,9.91,9.91,3915670.0
2018-03-22,10.4,9.22,9.23,10.05,10.05,7747440.0
2018-03-23,10.0,9.35,9.8,9.35,9.35,3287610.0
2018-03-26,9.48,8.77,9.24,8.8,8.8,2645430.0
2018-03-27,9.08,8.8,8.8,8.95,8.95,1855790.0
2018-03-28,9.2,8.48,8.83,9.06,9.06,3333830.0
2018-03-29,9.2,8.91,9.02,9.0,9.0,1645420.0
2018-03-30,8.99,8.8,8.9,8.8,8.8,1011130.0
2018-04-02,8.8,8.37,8.8,8.8,8.8,1532730.0
