Date,High,Low,Open,Close,Adj Close,Volume
2018-01-02,60.2,59.2,60.2,59.5,11.814,451690.0
2018-01-03,62.0,59.5,59.5,62.0,12.31,298780.0
2018-01-04,64.0,61.4,61.4,63.1,12.528,290370.0
2018-01-05,63.4,61.5,63.4,61.6,12.231,161750.0
2018-01-08,62.7,61.6,61.9,62.4,12.389,335960.0
2018-01-09,63.5,61.7,62.9,61.8,12.389,244660.0
2018-01-10,62.9,61.1,61.8,61.3,12.289,282000.0
2018-01-11,62.0,59.5,61.3,61.3,12.289,601830.0
2018-01-12,62.0,60.1,61.0,60.5,12.129,294650.0
2018-01-15,62.7,60.0,60.4,62.7,12.57,347130.0
2018-01-16,62.9,61.2,62.5,61.9,12.409,247890.0
2018-01-17,62.2,59.5,62.0,59.5,11.928,283530.0
2018-01-18,61.0,58.6,59.0,61.0,12.229,709500.0
2018-01-19,63.0,61.0,61.0,63.0,12.63,497520.0
2018-01-22,66.4,64.0,64.0,66.3,13.291,477210.0
2018-01-25,70.2,66.4,66.6,70.2,14.073,831230.0
2018-01-26,75.1,69.7,71.0,75.1,15.056,1156770.0
2018-01-29,80.3,75.6,75.8,80.3,16.098,358490.0
2018-01-30,85.9,79.3,80.9,83.0,16.639,829620.0
2018-01-31,83.6,80.8,83.4,80.8,16.198,355990.0
2018-02-01,83.5,80.2,80.5,82.0,16.439,575000.0
2018-02-02,82.9,80.3,82.9,82.0,16.439,203070.0
2018-02-05,80.5,76.3,80.5,77.2,15.476,765180.0
2018-02-06,77.0,71.8,71.8,73.0,14.635,1044810.0
2018-02-07,78.1,76.0,77.5,78.1,15.657,515890.0
2018-02-08,79.0,74.1,74.1,76.9,15.416,371280.0
2018-02-09,81.3,72.0,72.0,81.0,16.238,481760.0
2018-02-12,83.0,81.0,81.0,82.6,16.559,260570.0
2018-02-13,83.2,78.0,82.6,79.8,15.998,299780.0
2018-02-21,81.5,79.3,80.0,79.5,15.938,377440.0
2018-02-22,80.0,77.4,77.5,79.0,15.837,164260.0
2018-02-23,80.1,78.6,79.2,80.0,16.038,158350.0
2018-02-26,83.3,80.0,82.4,80.1,16.058,794440.0
